Time (s),X (g),Y (g),Z (g)
0.001835346,0.2678778,-0.6374136,-0.2950808
0.006859779,0.2710595,-0.6340857,-0.2936467
0.011884689,0.2633638,-0.6359432,-0.2920913
0.016909122,0.2660838,-0.6377439,-0.2966302
0.021933556,0.2693774,-0.6360266,-0.29662
0.026958942,0.2685686,-0.6461927,-0.2899302
0.031982899,0.2682296,-0.6454864,-0.2931849
0.037011623,0.2683111,-0.6478506,-0.2946521
0.042032242,0.2670304,-0.6435314,-0.2920528
0.047057152,0.2659408,-0.6510434,-0.2943723
0.052081585,0.2690899,-0.6505051,-0.2922382
0.057106018,0.2712815,-0.6431682,-0.2945254
0.062126637,0.2641132,-0.6447163,-0.2919935
0.067151546,0.2674824,-0.6541303,-0.29027
0.072175980,0.270053,-0.6497251,-0.289604
0.077200890,0.2742583,-0.6543061,-0.290945
0.082230091,0.2686474,-0.6492217,-0.2894644
0.087249756,0.2666491,-0.6496213,-0.2967773
0.092274666,0.2650365,-0.6497736,-0.2938136
0.097299099,0.2653027,-0.6479744,-0.2923254
0.102324009,0.2649557,-0.6473168,-0.292918
0.107348442,0.2684079,-0.6514242,-0.2911656
0.112373352,0.2674455,-0.6523123,-0.2944037
0.117397785,0.2710792,-0.6531311,-0.2983425
0.122422218,0.268289,-0.6551219,-0.2952254
0.127447128,0.2614945,-0.6523534,-0.2914992
0.132471561,0.2679844,-0.6567012,-0.2934296
0.137496471,0.2597077,-0.650336,-0.2992592
0.142520905,0.2633342,-0.6538326,-0.2949416
0.147545338,0.2611131,-0.6519217,-0.2941659
0.152570248,0.2650315,-0.6505293,-0.2933404
0.157594681,0.2662826,-0.6542101,-0.2958369
0.162619591,0.2678282,-0.6489214,-0.2997202
0.167644024,0.2680497,-0.6542491,-0.2925926
0.172668934,0.2712029,-0.6542526,-0.2969327
0.177693367,0.2705548,-0.6485547,-0.3013429
0.182717800,0.2719297,-0.6460883,-0.2951812
0.187741756,0.267833,-0.6461822,-0.294001
0.192766666,0.2701117,-0.6454742,-0.2966612
0.197791100,0.2732892,-0.6459678,-0.2989398
0.250550270,0.2722485,-0.6419427,-0.2972039
0.253062248,0.2714283,-0.6436154,-0.2980338
0.258091450,0.2713851,-0.6408349,-0.2987078
0.263111591,0.271702,-0.6451097,-0.2985653
0.268132210,0.277096,-0.647893,-0.2909513
0.273156643,0.277742,-0.6415207,-0.3000789
0.278181553,0.2782728,-0.6425897,-0.2955342
0.283205986,0.2771106,-0.6460096,-0.2967526
0.288230419,0.2733645,-0.6409477,-0.2959422
0.293255329,0.2692246,-0.6397585,-0.295705
0.298279762,0.2732331,-0.6442181,-0.2931312
0.303304672,0.272964,-0.6425656,-0.2980407
0.308329105,0.2676351,-0.6469138,-0.2954781
0.313354015,0.2658207,-0.6455629,-0.2921677
0.318378449,0.2675544,-0.642704,-0.2913469
0.323402882,0.2670807,-0.6452745,-0.2928267
0.328427792,0.2654718,-0.6425927,-0.2933819
0.330939770,0.2662709,-0.6410512,-0.2936855
0.335964203,0.2655186,-0.6481283,-0.2948706
0.340989113,0.2650752,-0.645295,-0.2914472
0.346016407,0.2578842,-0.644416,-0.2929963
0.351037979,0.2612104,-0.6467821,-0.2915336
0.356062889,0.265335,-0.6478998,-0.2972744
0.361087322,0.268506,-0.6476644,-0.2947526
0.366112232,0.2660113,-0.6509293,-0.2965455
0.371136665,0.2688009,-0.6477284,-0.296941
0.376161575,0.2663915,-0.6484562,-0.2942606
0.381186009,0.2696891,-0.648959,-0.288259
0.386210442,0.2661624,-0.646288,-0.2891759
0.391240120,0.2652233,-0.6434233,-0.2936882
0.396259785,0.257608,-0.6390072,-0.2889453
0.401284695,0.2610252,-0.6465176,-0.2967572
0.406309128,0.2634051,-0.6466115,-0.2922437
0.411333561,0.2649209,-0.652853,-0.2874768
0.416358471,0.2621563,-0.6478932,-0.2996629
0.421386242,0.2613004,-0.6487666,-0.2919029
0.426407814,0.2596059,-0.6471686,-0.2929786
0.431432247,0.2626381,-0.6438926,-0.288802
0.436457157,0.2579656,-0.6430817,-0.2896121
0.441481590,0.264048,-0.6464007,-0.2888403
0.446506024,0.2621713,-0.6448519,-0.2944805
0.451530933,0.2562685,-0.6453409,-0.2896888
0.456555367,0.2614345,-0.646025,-0.2890862
0.461580277,0.2597323,-0.6483679,-0.2911164
0.466601372,0.2619086,-0.6456517,-0.2982113
0.471625328,0.2636699,-0.6467295,-0.2908793
0.476650238,0.2651631,-0.6455008,-0.2930811
0.481675148,0.2619787,-0.6469514,-0.2927124
0.489211083,0.2573909,-0.6439624,-0.2895714
0.494235993,0.2639375,-0.6444286,-0.2878779
0.496748448,0.2642254,-0.642701,-0.291213
0.501773358,0.2647028,-0.6404157,-0.2920354
0.506797791,0.2611629,-0.6392984,-0.2914189
0.511822224,0.2668942,-0.6432012,-0.2939764
0.516847134,0.269558,-0.6477295,-0.2913353
0.521874905,0.2706412,-0.6452278,-0.2885936
0.526896477,0.2675261,-0.6435363,-0.2884124
0.531920910,0.2659159,-0.6410172,-0.2947297
0.536944866,0.2597487,-0.6445499,-0.2931558
0.541970253,0.2628483,-0.6431111,-0.2935026
0.546994209,0.2659042,-0.642477,-0.2949572
0.552018643,0.2640451,-0.6408675,-0.2930857
0.557043553,0.2635203,-0.6408335,-0.2935475
0.562068939,0.2631933,-0.6448424,-0.2915702
0.567092896,0.261315,-0.6381477,-0.2916914
0.572117329,0.263132,-0.6461967,-0.2869273
0.577142239,0.2633487,-0.6452975,-0.291382
0.582166672,0.2612337,-0.6473148,-0.2944811
0.587191105,0.2624553,-0.6414161,-0.2925453
0.592216015,0.2596706,-0.6421102,-0.2978562
0.597240448,0.2677514,-0.6462914,-0.2979347
0.602265358,0.2656349,-0.6509833,-0.2992306
0.607289791,0.2666708,-0.6469679,-0.2951616
0.612314224,0.2636174,-0.6526735,-0.2944068
0.617339134,0.2615165,-0.6487942,-0.294645
0.622363567,0.2634575,-0.6424245,-0.2972474
0.627393723,0.2593255,-0.6452273,-0.2943056
0.632412911,0.2569044,-0.6379644,-0.2894309
0.637437821,0.2584541,-0.641261,-0.2943717
0.642462254,0.2618581,-0.6448359,-0.2908868
0.647486687,0.2655454,-0.6461624,-0.2927787
0.652511597,0.2660779,-0.6474934,-0.2940928
0.657536030,0.2732462,-0.6484975,-0.2926323
0.662560940,0.2711454,-0.6494896,-0.292363
0.667581558,0.2696611,-0.6461943,-0.2938933
0.672605992,0.2687089,-0.6475425,-0.2950505
0.677630425,0.2677268,-0.6452135,-0.2946407
0.682655335,0.2623412,-0.6483098,-0.2939265
0.687679768,0.2653986,-0.6439242,-0.2964775
0.692704678,0.2534163,-0.6441982,-0.2912169
0.697729111,0.2588929,-0.6510853,-0.303432
0.702754021,0.2642252,-0.648629,-0.2955702
0.707778454,0.2638527,-0.6550624,-0.3007197
0.712802887,0.2638927,-0.6518264,-0.2960337
0.717827797,0.2621296,-0.6574854,-0.296199
0.722852230,0.26285,-0.6500661,-0.2944576
0.727877140,0.2618668,-0.6599329,-0.2966356
0.732901573,0.2620844,-0.6529559,-0.2932801
0.737926483,0.2637824,-0.6564298,-0.3005126
0.742950916,0.2639987,-0.6485139,-0.2986207
0.747977734,0.2644031,-0.6518714,-0.2962677
0.753000260,0.2696047,-0.6496205,-0.2952024
0.758027554,0.2671449,-0.6471757,-0.2934813
0.763049602,0.2689627,-0.645897,-0.2949087
0.768074036,0.2667706,-0.6526089,-0.2962958
0.773098469,0.269204,-0.6520226,-0.2926608
0.778123379,0.2665234,-0.6514456,-0.296266
0.783147812,0.2639195,-0.6428354,-0.2930475
0.788177013,0.2655897,-0.6472217,-0.2912935
0.793197155,0.2624012,-0.6465821,-0.2915949
0.798222065,0.2700228,-0.6483804,-0.2982425
0.803246021,0.2652442,-0.6466428,-0.2900994
0.808270454,0.2649666,-0.6451222,-0.2970244
0.813294887,0.2680019,-0.6406646,-0.2957652
0.818319797,0.2666117,-0.6447987,-0.2940526
0.823344231,0.2659743,-0.6462165,-0.2955605
0.828369141,0.2766427,-0.6441951,-0.292558
0.833393574,0.2658738,-0.649938,-0.2942371
0.838418007,0.2739521,-0.645364,-0.2958269
0.840930939,0.2691853,-0.6400753,-0.2947576
0.848467350,0.2746468,-0.6470438,-0.3006123
0.850980282,0.2735066,-0.641286,-0.2942248
0.856004715,0.2710682,-0.6436063,-0.2975138
0.861029625,0.2669449,-0.6491699,-0.2938538
0.866050243,0.2634621,-0.6495378,-0.3009932
0.871074676,0.2634435,-0.6536632,-0.2919146
0.876099110,0.2598379,-0.6524605,-0.2938941
0.881124020,0.2630182,-0.6530002,-0.2962207
0.886148453,0.2673249,-0.6497058,-0.2929671
0.891174316,0.2702755,-0.6502643,-0.2923356
0.896197796,0.2673425,-0.6475032,-0.2916617
0.901222706,0.2750582,-0.6463842,-0.2895281
0.906247139,0.2796656,-0.6453893,-0.2879578
0.911276340,0.2852663,-0.6458201,-0.2883066
0.916295528,0.2903996,-0.6477247,-0.2904466
0.921320438,0.2823771,-0.6392282,-0.2888319
0.926344872,0.2868506,-0.6372424,-0.2886261
0.931369781,0.2804962,-0.6378488,-0.2902249
0.936394215,0.2758015,-0.6379634,-0.2905628
0.941418648,0.2755619,-0.6368674,-0.2907638
