Time (s),Humidity (%)
0.476650238,12.20313
1.476529122,11.96094
2.476503849,13.28613
3.476383209,12.06543
4.476263046,11.73145
5.521368027,10.48535
6.476027012,12.45703
7.478417873,13.28711
8.488351345,11.69629
9.478182793,12.50391
10.478062630,11.52441
11.498045445,12.44629
12.477827549,12.12305
13.540515900,11.70801
14.477588654,11.17871
15.477469444,11.7207
16.477350712,11.62793
17.477231979,11.0752
18.477113247,12.10156
19.476994515,12.02051
20.476875782,11.59375
21.476757527,11.2373
22.477157593,11.61719
23.477039337,11.95215
24.476921558,12.45898
25.476803303,11.49121
26.476685047,11.69824
27.476571560,12.45898
28.476454258,11.98633
29.476336956,12.10254
30.476219654,11.61816
31.476811409,12.18262
32.501821041,12.22949
33.476581097,11.49121
34.579469204,12.59863
35.514032364,12.75977
36.478743076,12.33301
37.478626251,11.73438
38.478513718,11.67676
39.478567600,12.12598
40.478451252,12.28711
41.478334427,10.53516
42.478218556,11.97656
43.478102207,11.49219
44.477986336,11.51465
45.477870464,11.74609
46.477754116,13.10645
47.477638245,11.01953
48.477521896,12.63379
49.477406025,10.75391
50.477289677,11.29688
51.477174282,12.02246
52.477058411,12.53027
53.476943016,12.27637
54.547175884,11.31934
55.476715565,12.80664
56.476599217,11.28516
57.476488114,11.71191
58.476372719,11.72363
59.476256371,11.41211
60.476140976,12.32324
61.476025581,11.96582
62.478422642,10.87012
63.478307247,12.55371
64.478191853,12.86523
65.478076458,12.2998
66.477961063,12.55371
67.477846623,12.08105
68.477731228,12.27734
69.477615357,11.38965
70.477505684,11.75879
71.477385998,11.58496
72.477270603,12.85352
73.477158070,11.12402
74.477045059,11.81641
75.476930618,11.18164
76.476815701,12.03516
77.526947975,12.73828
78.476586342,11.87402
79.476471901,11.15918
80.476357460,11.34375
81.476243019,11.49316
82.476128578,11.71289
83.476014614,11.89746
84.475904465,13.13086
85.475790024,11.99023
86.475676060,12.3125
87.475562096,12.35938
88.475448132,12.11719
89.475333691,11.64453
90.477732658,12.16309
91.477619171,11.58594
92.477981567,13.08496
93.477867603,11.56348
94.535537720,13.23535
95.477640629,10.64063
96.477527142,12.31348
97.477414131,12.80859
98.477300644,11.0791
99.477187157,12.24414
100.477074146,10.72168
101.519670487,12.74023
102.476847649,10.17969
103.477411270,12.5332
104.530060768,12.29102
105.477189064,11.47168
106.477076531,11.3916
107.476963520,11.91016
108.476850987,11.40332
109.476738453,10.84961
110.476625443,11.11426
111.476512909,12.1416
112.476400852,11.3457
113.476287842,11.17188
114.476175785,10.23828
115.476063728,12.49902
116.475951672,11.32227
117.475842953,10.88477
118.475731373,11.95703
119.530890465,10.80371
120.475507259,10.76855
121.482932568,11.71484
