Time (s),X (g),Y (g),Z (g)
0.001835346,-0.3351024,0.423907,0.5229549
0.006859779,-0.3303431,0.4236041,0.5230097
0.011884689,-0.3362481,0.4227986,0.5173234
0.016909122,-0.337311,0.4229454,0.5226778
0.021933556,-0.3340238,0.4231561,0.5242013
0.026958942,-0.3386081,0.4340802,0.5205972
0.031982899,-0.3396566,0.4318162,0.5225659
0.037011623,-0.3417111,0.4329438,0.5240867
0.042032242,-0.3388941,0.4307285,0.5202916
0.047057152,-0.3453588,0.4347441,0.5227984
0.052081585,-0.3421152,0.4368908,0.522882
0.057106018,-0.3368468,0.4312536,0.5243128
0.062126637,-0.3418137,0.4309474,0.5181417
0.067151546,-0.3449363,0.4403537,0.5207227
0.072175980,-0.3401821,0.4386055,0.5207604
0.077200890,-0.3408106,0.443122,0.525191
0.082230091,-0.3408687,0.437951,0.5194275
0.087249756,-0.3452818,0.4336307,0.5237216
0.092274666,-0.3454019,0.4347427,0.5204084
0.097299099,-0.3435649,0.4343749,0.5189808
0.102324009,-0.3436647,0.4334986,0.5189833
0.107348442,-0.3433464,0.438974,0.5205175
0.112373352,-0.3458463,0.4376035,0.522454
0.117397785,-0.3454559,0.4376811,0.5277515
0.122422218,-0.3475175,0.4397401,0.5239629
0.127447128,-0.3490258,0.436933,0.5162758
0.132471561,-0.3481825,0.4418355,0.5225697
0.137496471,-0.3519896,0.4306534,0.5205189
0.142520905,-0.3501717,0.4370668,0.5201355
0.147545338,-0.350193,0.4351866,0.5177335
0.152570248,-0.3463523,0.4362291,0.5192046
0.157594681,-0.3488063,0.4381731,0.5225995
0.162619591,-0.3458404,0.4328318,0.5254191
0.167644024,-0.3463874,0.4406714,0.5212287
0.172668934,-0.3458855,0.439658,0.5264823
0.177693367,-0.3443359,0.4327973,0.5282993
0.182717800,-0.3394919,0.4347702,0.5239958
0.187741756,-0.341886,0.4337578,0.5206108
0.192766666,-0.3408908,0.4327196,0.5239248
0.197791100,-0.3399104,0.4331509,0.5277435
0.250550270,-0.3376567,0.4304135,0.5249889
0.253062248,-0.3396143,0.4308639,0.5254528
0.258091450,-0.338169,0.4283869,0.52537
0.263111591,-0.3406747,0.4317406,0.5263234
0.268132210,-0.3359637,0.4400225,0.5244532
0.273156643,-0.3349367,0.4306615,0.5304959
0.278181553,-0.3335849,0.434051,0.5275968
0.283205986,-0.3370693,0.4354298,0.5284978
0.288230419,-0.3361095,0.430531,0.5245354
0.293255329,-0.3381169,0.4280438,0.5215458
0.298279762,-0.337329,0.4343346,0.5229756
0.303304672,-0.3383671,0.4303549,0.5261878
0.308329105,-0.3438495,0.4327356,0.5218132
0.313354015,-0.3430202,0.4327273,0.5178843
0.315865994,-0.3410964,0.4278521,0.513931
0.320890427,-0.341269,0.4297317,0.5167176
0.325914860,-0.3415051,0.4374629,0.5181355
0.330939770,-0.3405907,0.428624,0.5183818
0.335964203,-0.3461074,0.4329166,0.5202524
0.340989113,-0.3433246,0.4324349,0.5168037
0.346016407,-0.3482418,0.4280176,0.5133246
0.351037979,-0.3469476,0.4319208,0.5147537
0.356062889,-0.3470466,0.431391,0.5218824
0.361087322,-0.3437874,0.4338753,0.521876
0.366112232,-0.3482482,0.43435,0.522329
0.371136665,-0.3444539,0.4329143,0.5237044
0.376161575,-0.3455291,0.4339081,0.5203195
0.381186009,-0.3413375,0.438821,0.5179222
0.386210442,-0.3423682,0.434903,0.5158891
0.391240120,-0.3428904,0.4299748,0.5181531
0.396259785,-0.3434281,0.4261026,0.5089374
0.401284695,-0.3488831,0.4289214,0.5185015
0.406309128,-0.3455953,0.4323657,0.5165921
0.411333561,-0.3467235,0.4401563,0.5152081
0.416358471,-0.3500435,0.428851,0.521729
0.421386242,-0.3482013,0.4332758,0.5155222
0.426407814,-0.3487099,0.4308246,0.5149781
0.431432247,-0.3429406,0.4318495,0.5130546
0.436457157,-0.3458529,0.4289312,0.5106132
0.441481590,-0.3435149,0.4342949,0.5145049
0.446506024,-0.3458914,0.4293907,0.5173183
0.451530933,-0.3483275,0.4299176,0.510144
0.456555367,-0.3449832,0.432865,0.5130582
0.461580277,-0.3483635,0.4328479,0.5140312
0.466601372,-0.347806,0.4279563,0.5202199
0.471625328,-0.3444628,0.433394,0.5159982
0.476650238,-0.3434584,0.4319124,0.5183766
0.481675148,-0.346345,0.4318857,0.5164585
0.489211083,-0.3462806,0.4294569,0.5106797
0.494235993,-0.3414349,0.4333536,0.51361
0.496748448,-0.3413823,0.4304116,0.5159771
0.501773358,-0.3398689,0.428474,0.5164545
0.506797791,-0.3412893,0.4265454,0.5135717
0.511822224,-0.3408296,0.4304342,0.5198734
0.516847134,-0.3408805,0.4363102,0.5204529
0.521874905,-0.3374822,0.436357,0.5185477
0.526896477,-0.3384251,0.4339436,0.5161332
0.531920910,-0.3402995,0.4280558,0.5194106
0.536944866,-0.3461202,0.4290205,0.515117
0.541970253,-0.3432259,0.4290194,0.5170195
0.546994209,-0.3412993,0.4290175,0.5198892
0.552018643,-0.3408203,0.4280589,0.5169914
0.557043553,-0.3413303,0.4275966,0.5169901
0.562068939,-0.3433507,0.4315268,0.5160881
0.567092896,-0.3404123,0.4257393,0.5136222
0.572117329,-0.3425,0.4350163,0.5127721
0.577142239,-0.3434779,0.4320819,0.5160807
0.582166672,-0.3473774,0.4310974,0.5175076
0.587191105,-0.3420554,0.4282672,0.5155666
0.592216015,-0.3464167,0.4248812,0.5179508
0.597240448,-0.3436333,0.4313046,0.523822
0.602265358,-0.3485605,0.4333283,0.5243734
0.607289791,-0.3437677,0.4329886,0.5210503
0.612314224,-0.3492036,0.4364572,0.5196816
0.617339134,-0.348248,0.432634,0.5177292
0.622363567,-0.3438738,0.4273263,0.5195804
0.627393723,-0.3473391,0.4293467,0.5153154
0.632412911,-0.3424858,0.4256036,0.5085996
0.637437821,-0.3454074,0.4261248,0.5139314
0.642462254,-0.3440218,0.4320996,0.5140832
0.647486687,-0.3430788,0.4336644,0.5180121
0.652511597,-0.344069,0.4342607,0.5195348
0.657536030,-0.339287,0.4387788,0.5230171
0.662560940,-0.3412561,0.4388793,0.5216385
0.667581558,-0.3407843,0.4350646,0.5211381
0.672605992,-0.3427701,0.435109,0.5216361
0.677630425,-0.3418393,0.4332305,0.5201839
0.682655335,-0.3472291,0.4337718,0.5168593
0.687679768,-0.343368,0.4304616,0.519729
0.692704678,-0.3496928,0.4286557,0.5082673
0.697729111,-0.3550621,0.4296172,0.5222335
0.702754021,-0.3469043,0.4342061,0.5190052
0.707778454,-0.3532487,0.4361991,0.52389
0.712802887,-0.3494079,0.4363518,0.5196298
0.717827797,-0.3542923,0.4398211,0.5197358
0.722852230,-0.3484378,0.4355459,0.5173208
0.727877140,-0.3562452,0.4413718,0.5203072
0.732901573,-0.3503843,0.4380636,0.5164641
0.737926483,-0.3542236,0.4375317,0.5236783
0.742950916,-0.3483156,0.4327331,0.5207753
0.747977734,-0.349284,0.4366571,0.5199052
0.753000260,-0.3439248,0.4376722,0.5218633
0.758027554,-0.3433854,0.4357732,0.5185214
0.763049602,-0.341889,0.4348221,0.5204589
0.768074036,-0.3481918,0.4381996,0.5214875
0.773098469,-0.3447937,0.4406861,0.5201088
0.778123379,-0.3476271,0.4372618,0.5210525
0.783147812,-0.3426944,0.431492,0.5152497
0.788177013,-0.343701,0.4363835,0.5158163
0.793197155,-0.3455868,0.4344618,0.5139124
0.798222065,-0.3441291,0.4354168,0.5240133
0.803246021,-0.3431754,0.43651,0.5144794
0.808270454,-0.3450507,0.4316188,0.5192319
0.813294887,-0.3396956,0.4302206,0.5192366
0.818319797,-0.3426368,0.4336616,0.5178722
0.823344231,-0.3445786,0.4336883,0.5188609
0.825857162,-0.3411966,0.4342042,0.5203109
0.833393574,-0.3465772,0.437161,0.5184627
0.835906029,-0.3387534,0.4293779,0.5245849
0.840930939,-0.3383139,0.43092,0.518869
0.845955372,-0.3427496,0.4328082,0.5299101
0.850980282,-0.3360367,0.4339198,0.5212946
0.856004715,-0.3404549,0.4329321,0.5227044
0.861029625,-0.3454123,0.4373542,0.518446
0.866050243,-0.3507327,0.4324647,0.5217466
0.871074676,-0.3498948,0.4403749,0.5156398
0.876099110,-0.352292,0.43699,0.5146602
0.881124020,-0.3513131,0.4374884,0.5185251
0.886148453,-0.3449901,0.4385361,0.5180932
0.891174316,-0.3430305,0.4405113,0.5195902
0.896197796,-0.3429423,0.4376324,0.5167272
0.901222706,-0.3361438,0.4410962,0.5196846
0.906247139,-0.3317465,0.4430701,0.5211763
0.911276340,-0.3283328,0.4454722,0.5250381
0.916295528,-0.3268775,0.4477942,0.530287
0.921320438,-0.3263069,0.4389626,0.5224328
0.926344872,-0.3219725,0.4393142,0.5247175
0.931369781,-0.3273398,0.4362248,0.5221525
0.936394215,-0.3308089,0.434094,0.519564
0.941418648,-0.3304412,0.4329663,0.5193789
0.946443558,-0.3363467,0.4289129,0.5119686
0.951468945,-0.3403638,0.4277859,0.5098692
0.956492901,-0.3385992,0.427213,0.5111474
0.961517334,-0.3373549,0.4286711,0.5076908
0.966542244,-0.3360747,0.4237587,0.5108501
0.971566677,-0.3316399,0.437825,0.5209277
0.976591110,-0.3314508,0.4406154,0.5231407
0.981616020,-0.3312084,0.4365486,0.5175372
0.986640453,-0.3354219,0.4410632,0.5254005
0.991665363,-0.3336947,0.432991,0.5196604
0.996689796,-0.3329163,0.4219882,0.5138781
1.001714706,-0.3390115,0.4178171,0.5101364
1.006739140,-0.3388636,0.419122,0.5069923
1.011763573,-0.3411208,0.4194155,0.5115234
1.016788483,-0.3386942,0.435385,0.5105108
1.021812916,-0.3360778,0.4347065,0.5154969
1.026837826,-0.3383539,0.4388568,0.5171712
1.031862259,-0.3367241,0.4400978,0.5159122
1.036886692,-0.3374792,0.4388708,0.5150996
1.041911602,-0.3396735,0.4356327,0.5233639
1.046936035,-0.3390598,0.4398535,0.5159222
1.051960945,-0.3452256,0.4443865,0.5271643
1.056985378,-0.3440777,0.4436903,0.5239568
1.062010288,-0.344896,0.4453837,0.5246035
1.067030907,-0.3490599,0.4441195,0.5232896
1.072055340,-0.3449291,0.4370372,0.5247666
1.077082634,-0.3480996,0.4343378,0.5196037
1.082104683,-0.35426,0.4398711,0.5198165
1.087129116,-0.3486857,0.4361908,0.5198909
1.092154026,-0.3547793,0.4387068,0.5253108
1.097178459,-0.3583246,0.4296285,0.5142869
1.102202892,-0.3570436,0.4248583,0.5167229
1.107227802,-0.3640715,0.4254417,0.5154054
