Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
0.001835346,2.516804,0.9867554,38.55856
0.006859779,2.788005,0.986503,38.20337
0.011884689,3.00154,0.9867312,38.20337
0.016909122,3.192991,0.9853779,38.20337
0.021933556,3.179147,0.9851688,38.20337
0.026958942,3.181477,0.9963031,38.20337
0.031982899,3.015322,0.9934362,38.20337
0.037011623,2.720894,0.9939559,38.20337
0.042032242,2.876117,0.9926497,38.20337
0.047057152,2.861842,0.9956045,38.20337
0.052081585,2.917407,0.99761,38.20337
0.057106018,2.975972,0.991806,38.13573
0.062126637,2.768599,0.9926818,38.13573
0.067151546,2.916951,1.000942,38.13573
0.072175980,2.804409,0.9992317,38.13573
0.077200890,2.651433,1.002411,38.13573
0.082230091,2.656473,0.9986247,38.13573
0.087249756,2.143794,0.9931604,38.13573
0.092274666,1.933978,0.9949293,38.13573
0.097299099,2.020589,0.9948828,38.13573
0.102324009,2.106428,0.9939402,38.13573
0.107348442,2.409955,0.9987871,37.93284
0.112373352,2.172936,0.9968154,37.93284
0.117397785,2.228954,0.9955528,37.93284
0.122422218,1.972515,0.9983037,37.93284
0.127447128,1.806696,0.9973243,37.93284
0.132471561,1.465662,1.000527,37.93284
0.137496471,1.273007,0.9900327,37.93284
0.142520905,1.077611,0.9963381,37.93284
0.147545338,1.02143,0.9950492,37.93284
0.152570248,0.858358,0.9957575,38.49155
0.157594681,0.4441851,0.996736,38.49155
0.162619591,0.345232,0.9909382,38.49155
0.167644024,0.415767,0.9995273,38.49155
0.172668934,0.08244259,0.997316,38.49155
0.177693367,0.5848237,0.9902928,38.49155
0.182717800,0.8014258,0.9934152,38.49155
0.187741756,0.5809653,0.9932019,38.49155
0.192766666,0.6373819,0.9914697,38.49155
0.197791100,0.3639056,0.9910482,38.49155
0.248037338,1.196687,0.9957136,38.49155
0.253062248,0.8425974,0.9896446,38.28699
0.255574703,0.9430276,0.9887174,38.28699
0.260599613,1.040507,0.9920421,38.28699
0.265620232,1.00853,0.9903095,38.28699
0.270644665,1.112286,0.9895253,38.28699
0.275669575,1.151361,0.9905078,38.28699
0.280694008,1.510709,0.986503,38.28699
0.285718441,1.284146,0.9883128,38.28699
0.290743351,1.485492,0.9920608,38.28699
0.295767784,1.736958,0.9880859,38.28699
0.300791740,1.736958,0.9868045,38.55856
0.305816650,1.88094,0.9902714,38.55856
0.310841084,1.980994,0.988798,38.55856
0.315865994,2.217066,0.9898929,38.55856
0.320890427,2.140275,0.9910495,38.55856
0.325914860,2.448964,0.9982295,38.55856
0.330939770,2.161451,0.9896678,38.55856
0.335964203,2.066482,0.9932275,38.55856
0.340989113,1.867191,0.9936978,38.55856
0.346016407,1.57783,0.9901274,38.55856
0.351037979,1.550312,0.993581,37.70095
0.356062889,1.388707,0.9913238,37.70095
0.361087322,1.249407,0.9938095,37.70095
0.366112232,1.314037,0.9940038,37.70095
0.371136665,1.306244,0.9923796,37.70095
0.376161575,1.357641,0.9941063,37.70095
0.381186009,1.552305,0.9995848,37.70095
0.386210442,1.627118,0.9962505,37.70095
0.391240120,1.449367,0.9909221,37.70095
0.396259785,1.541395,0.9894446,37.70095
0.401284695,1.299723,0.9896412,38.14164
0.406309128,1.088201,0.9935409,38.14164
0.411333561,1.280022,1.001403,38.14164
0.416358471,1.169264,0.9887798,38.14164
0.421386242,1.07025,0.9946334,38.14164
0.426407814,1.066812,0.9923809,38.14164
0.431432247,0.9814577,0.9940268,38.14164
0.436457157,0.9384403,0.9916974,38.14164
0.441481590,0.8749518,0.9959995,38.14164
0.446506024,1.058023,0.9904748,38.14164
0.451530933,0.9506293,0.9926714,37.93355
0.456555367,0.9557167,0.9948908,37.93355
0.461580277,0.6813263,0.9945229,37.93355
0.466601372,0.8547734,0.9882752,37.93355
0.471625328,0.7694596,0.9946592,37.93355
0.476650238,0.897936,0.9926885,37.93355
0.481675148,1.116267,0.9930514,37.93355
0.486699104,0.9262758,0.991125,37.93355
0.491724014,1.151661,0.9942559,37.93355
0.496748448,0.9234349,0.9919519,38.28699
0.501773358,0.7540008,0.990011,38.28699
0.506797791,0.5599461,0.9887893,38.28699
0.511822224,0.6274008,0.9910201,38.28699
0.516847134,0.4714499,0.9965611,38.28699
0.521874905,0.4678282,0.9971827,38.28699
0.526896477,0.47076,0.9953766,38.28699
0.531920910,0.2659552,0.9888027,38.28699
0.536944866,0.2687297,0.9905851,38.28699
0.541970253,0.3943885,0.9902186,38.28699
0.546994209,0.1470714,0.9895851,38.55856
0.552018643,0.2817375,0.9893779,38.55856
0.557043553,0.5367388,0.9888862,38.55856
0.562068939,0.6084347,0.9928135,38.55856
0.567092896,0.477345,0.9878901,38.55856
0.572117329,0.5518664,0.9969921,38.55856
0.577142239,0.6021007,0.9932846,38.55856
0.582166672,0.4850792,0.9918341,38.55856
0.587191105,0.7603446,0.989697,38.55856
0.592216015,1.190014,0.9856249,38.55856
0.597240448,1.649795,0.9904521,38.13573
0.602265358,1.542301,0.9920393,38.13573
0.607289791,1.427699,0.9925693,38.13573
0.612314224,1.325976,0.9960229,38.13573
0.617339134,0.9156289,0.9927592,38.13573
0.622363567,0.7329921,0.9872661,38.13573
0.627393723,0.9663827,0.9900962,38.13573
0.632412911,1.107949,0.9882387,38.13573
0.637437821,1.280039,0.9872386,38.13573
0.642462254,1.692905,0.9929446,38.13573
0.647486687,1.778249,0.9934372,38.49155
0.652511597,1.768855,0.9935126,38.49155
0.657536030,1.642519,0.997144,38.49155
0.662560940,1.696769,0.9974082,38.49155
0.667581558,1.32885,0.9937734,38.49155
0.672605992,1.280339,0.9935727,38.49155
0.677630425,1.156916,0.9920811,38.49155
0.682655335,1.427162,0.9931712,38.49155
0.687679768,1.762895,0.9893101,38.49155
0.692704678,1.93102,0.9901038,38.49155
0.697729111,1.880525,0.9873586,38.20337
0.702754021,1.947237,0.992712,38.20337
0.707778454,1.835168,0.9932019,38.20337
0.712802887,1.536646,0.9943898,38.20337
0.717827797,1.434314,0.9975309,38.20337
0.722852230,1.137885,0.9940774,38.20337
0.727877140,0.8832762,0.998771,38.20337
0.732901573,0.8113199,0.996604,38.20337
0.737926483,0.762642,0.9942325,38.20337
0.742950916,0.7565868,0.9904158,37.69557
0.747977734,0.8241273,0.9943898,37.69557
0.753000260,0.6956073,0.995065,37.69557
0.755512238,0.90996,0.9887989,37.69557
0.763049602,0.7269197,0.992671,37.69557
0.765562057,0.6274248,0.9956232,37.69557
0.770586014,0.6986964,0.9943599,37.69557
0.775616169,0.8144888,0.9964796,37.69557
0.780635357,0.6450536,0.9917127,37.69557
0.785659790,0.607233,0.9935166,37.69557
0.790684700,0.8611087,0.9958408,37.69557
0.795709133,0.8527292,0.9967165,38.49155
0.800734043,0.9821005,0.9977638,38.49155
0.805760384,0.7156528,0.9901606,38.49155
0.810782909,0.6932257,0.9888977,38.49155
0.815807819,0.7823914,0.9891346,38.49155
0.820835113,0.9609133,0.9914267,38.49155
0.825857162,0.8307372,0.9918679,38.49155
0.830881596,0.8797507,0.9915769,38.49155
0.835906029,1.073843,0.9861996,38.49155
0.840930939,1.043321,0.9890591,38.28767
0.845955372,0.9864226,0.9880562,38.28767
0.850980282,1.084836,0.9914057,38.28767
0.856004715,0.9749278,0.9899048,38.28767
0.861029625,0.7898911,0.9950109,38.28767
0.866050243,0.7737334,0.9892682,38.28767
0.871074676,0.8401991,0.9983944,38.28767
0.876099110,0.7851242,0.9952572,38.28767
0.881124020,0.9849598,0.9947984,38.28767
0.886148453,1.216529,0.9960918,38.28767
0.891174316,1.23633,0.9976992,37.78018
0.896197796,1.173129,0.9955884,37.78018
0.901222706,0.8793233,0.9984766,37.78018
0.906247139,0.954635,1.000229,37.78018
0.911276340,0.8851349,1.001839,37.78018
0.916295528,1.344558,1.003026,37.78018
0.921320438,1.822204,0.996402,37.78018
0.926344872,2.188781,0.9965537,37.78018
0.931369781,2.481409,0.9939898,37.78018
0.936394215,3.197841,0.9925074,37.78018
0.941418648,3.098485,0.991592,37.84845
0.946443558,3.115636,0.9893406,37.84845
0.951468945,3.103095,0.9887115,37.84845
0.956492901,2.816786,0.9879605,37.84845
0.961517334,2.939952,0.9903064,37.84845
0.966542244,3.377267,0.9848129,37.84845
0.971566677,3.702035,0.9961835,37.84845
0.976591110,4.402805,0.9984561,37.84845
0.981616020,5.553596,0.9960026,37.84845
0.986640453,6.160482,0.9985285,37.84845
0.991665363,6.837983,0.9923605,37.84845
0.996689796,6.573191,0.9833729,37.84845
1.001714706,6.013808,0.9801655,37.84845
1.006739140,5.120131,0.9823431,37.84845
1.011763573,5.018876,0.981483,37.84845
1.016788483,4.970832,0.9973904,37.84845
1.021812916,5.315156,0.9957526,37.84845
1.026837826,5.63933,0.9994221,37.84845
1.031862259,6.000368,1.001171,37.84845
1.036886692,5.950495,1.000321,37.84845
1.041911602,5.802749,0.9953025,38.20946
1.046936035,5.729861,1.001333,38.20946
1.051960945,5.738647,1.003037,38.20946
1.056985378,6.048974,1.003303,38.20946
1.062010288,6.131621,1.004947,38.20946
1.067030907,6.359644,1.004054,38.20946
1.072055340,6.386823,0.9971792,38.20946
1.077082634,6.398171,0.9958196,38.20946
1.082104683,6.459719,1.001135,38.20946
1.087129116,6.781581,0.9979525,38.64143
1.092154026,6.9202,0.9991982,38.64143
1.097178459,7.289283,0.9930768,38.64143
1.102202892,7.23329,0.9881813,38.64143
1.107227802,6.992179,0.9891321,38.64143
1.112252235,6.79051,0.986361,38.64143
1.117277145,6.174903,0.9814516,38.64143
1.122301579,5.402681,0.9832162,38.64143
1.127326489,4.470716,0.9930592,38.64143
1.132350922,4.059933,0.989395,38.64143
1.137375355,3.729835,0.9910295,38.30846
1.142400265,3.835507,0.9909288,38.30846
1.147424698,3.659885,0.991296,38.30846
1.152449608,3.556858,0.9894367,38.30846
1.157474041,2.958414,0.9874492,38.30846
1.162497997,2.352748,0.989045,38.30846
1.167523384,2.080912,0.9936119,38.30846
1.172547340,1.747073,0.9966263,38.30846
1.177571774,2.239794,0.993739,38.30846
1.182600498,2.399688,0.9996759,38.30846
1.187621117,2.505301,0.9966167,37.9545
1.192646027,2.445056,0.993024,37.9545
1.197670460,2.330182,0.9871764,37.9545
1.202694893,1.894199,0.9914646,37.9545
1.207719803,1.763001,0.9873656,37.9545
1.212744236,1.772069,0.9887753,37.9545
1.217769146,1.659963,0.982814,37.9545
1.222793579,1.987519,0.9871087,37.9545
1.227818489,1.989599,0.9895302,37.9545
1.232842922,2.344422,0.9869151,37.9545
1.237867355,2.721988,0.9937387,38.57455
1.242892265,2.750161,0.9953618,38.57455
1.247916699,3.319173,0.9896486,38.57455
1.252941608,3.203464,0.9925997,38.57455
1.257966042,2.885348,0.9852711,38.57455
1.262990475,2.686724,0.9937293,38.57455
1.268011570,2.632087,0.9919156,38.57455
1.270524025,2.642546,0.9917659,38.57455
1.275548458,2.367031,0.9863738,38.57455
1.280573368,2.409695,0.991418,38.57455
1.285597801,2.16816,0.9873206,38.30846
1.290622711,2.030001,0.9888507,38.30846
1.295647144,2.467758,0.9922077,38.30846
1.300671101,2.760745,0.9884151,38.30846
1.305695534,3.138076,0.989262,38.30846
1.310720444,3.505357,0.9864361,38.30846
1.315748215,3.995276,0.9887575,38.30846
1.320769787,4.243656,0.9923032,38.30846
1.325794220,4.464166,0.9958439,38.30846
1.330820084,4.835114,0.985222,38.30846
1.335843563,4.679358,0.9941287,38.30846
1.340867996,4.521244,0.9904414,38.30846
1.345892906,4.276297,0.9925382,38.30846
1.350917339,3.794678,0.9890559,38.30846
1.355942249,3.777289,0.9903169,38.30846
1.360966683,3.7927,0.986765,38.30846
1.365992069,3.815886,0.9837478,38.30846
1.371016026,4.070092,0.9853434,38.30846
1.376040459,4.080495,0.9884569,38.30846
1.381065369,3.897841,0.9865145,38.30846
1.386089802,3.542301,0.9916296,37.70144
1.391119957,3.427336,0.9909498,37.70144
1.396139145,2.982939,0.9883271,37.70144
1.401163578,2.809799,0.9912491,37.70144
1.406188488,2.928453,0.9943337,37.70144
1.411212921,3.072131,0.9878982,37.70144
1.416237831,3.033263,0.9945816,37.70144
1.421262264,3.427128,0.9933469,37.70144
1.426287174,3.568098,0.9870427,37.70144
1.431311607,4.001057,0.9907984,37.78018
1.436336041,4.373333,0.9928478,37.78018
1.441360951,4.393702,0.9875071,37.78018
1.446385384,4.298008,0.9904131,37.78018
1.451410771,4.199828,0.9889427,37.78018
1.456434727,4.354603,0.9883011,37.78018
1.461459160,4.461386,0.9877608,37.78018
1.466479778,4.910426,0.9817601,37.78018
1.471504688,4.81073,0.9807144,37.78018
1.476529122,5.143834,0.9794762,37.78018
1.481554031,5.508899,0.9781309,38.23079
1.486578465,6.087754,0.9869677,38.23079
1.491603375,6.11271,0.9942546,38.23079
1.496627808,6.268776,0.9973429,38.23079
1.501652241,6.204233,1.008056,38.23079
1.506681919,5.48692,1.004806,38.23079
1.511701584,4.975072,1.016072,38.23079
1.516726494,4.113154,1.009873,38.23079
1.521750927,3.55335,1.007831,38.23079
1.526775360,3.257596,1.010036,38.23079
1.531800270,2.8205,1.005628,38.21949
1.536824703,2.778767,1.001432,38.21949
1.541848660,2.607046,1.002218,38.21949
1.546873570,2.35004,0.9958889,38.21949
1.551901341,2.680257,0.9964485,38.21949
1.556922913,2.853576,0.9965472,38.21949
1.561947346,2.920898,1.000637,38.21949
1.566973210,3.193023,0.9986772,38.21949
1.571996689,3.386014,0.9913767,38.21949
1.577021122,3.369313,0.9977447,38.21949
1.582046032,3.576053,0.9999351,37.97906
1.587070465,3.373654,0.9975145,37.97906
1.592095852,3.649944,0.9998944,37.97906
1.597119808,3.923926,0.9959829,37.97906
1.602144241,4.206252,0.9944519,37.97906
1.607169151,4.498653,0.9955589,37.97906
1.612193585,4.451176,0.9898918,37.97906
1.617218495,4.196851,0.991598,37.97906
1.622242928,3.998342,0.9891161,37.97906
1.627267361,3.886039,0.9917555,38.28699
1.632292271,3.790061,0.9926883,38.28699
1.637317658,3.365755,0.992653,38.28699
1.642341614,3.238663,0.991987,38.28699
1.647366047,2.928844,0.9904038,38.28699
1.652390957,2.483524,0.9874009,38.28699
1.657415390,2.484336,0.9899496,38.28699
1.662439823,2.020298,0.9810925,38.28699
1.667460442,2.021956,0.9857338,38.28699
1.672485352,1.944379,0.9902586,38.28699
1.677509785,1.952317,0.9858198,38.21949
1.682534695,1.965196,0.9901715,38.21949
1.687559128,1.605515,0.9906306,38.21949
1.692584038,1.607988,0.9886879,38.21949
1.697608471,1.456446,0.9870058,38.21949
1.702632904,1.166055,0.980422,38.21949
1.707657814,1.161303,0.9829694,38.21949
1.712682247,1.354816,0.9807478,38.21949
1.717707157,2.001448,0.9806947,38.21949
1.722731590,2.311385,0.9824408,38.21949
1.727756024,2.616454,0.982129,38.13573
1.732780934,2.657997,0.9845678,38.13573
1.737805367,2.588164,0.982817,38.13573
1.742830277,2.703332,0.9847635,38.13573
1.747854710,2.955642,0.985272,38.13573
1.752879620,3.301738,0.9874375,38.13573
1.757904053,3.941825,0.9886314,38.13573
1.762928486,4.550696,0.9963496,38.13573
1.767953396,4.817892,0.9940874,38.13573
1.772979736,5.212327,0.9968588,38.13573
1.775489807,5.158638,0.9987671,38.41426
1.780514717,5.338425,0.9983565,38.41426
1.785539150,6.018822,0.9950677,38.41426
1.790563583,6.532779,0.9952791,38.41426
1.795588493,6.971454,0.9966281,38.41426
1.800612926,7.124168,0.9961066,38.41426
1.805637836,6.960649,0.9941106,38.41426
1.810662270,6.656527,0.9875499,38.41426
1.815687180,6.795183,0.990325,38.41426
1.820711613,6.475231,0.9935038,38.41426
1.825738907,6.7827,0.9907985,38.13573
1.830760956,7.244477,0.9907593,38.13573
1.835788727,7.217638,0.9935388,38.13573
1.840810299,7.109296,0.9916044,38.13573
1.845834732,7.672539,0.9890724,38.13573
1.850859642,7.83371,0.9911337,38.13573
1.855884075,8.488292,0.9960735,38.13573
1.860908508,8.700046,0.9972804,38.13573
1.865929127,8.522326,0.9944644,38.13573
1.870954037,7.95044,0.9958082,38.13573
1.875978470,6.997231,0.996851,37.97906
1.881003380,6.316409,0.9929521,37.97906
1.886027813,5.36566,0.9989447,37.97906
1.891052246,4.800618,0.9946088,37.97906
1.896077156,4.427526,0.9981323,37.97906
1.901101589,3.878879,0.990275,37.97906
1.906126499,3.810879,0.9844925,37.97906
1.911150932,3.798465,0.9852139,37.97906
1.916175842,4.386858,0.9866725,37.97906
1.921200275,5.374562,0.9869254,37.97906
1.926224709,6.31768,0.9926468,37.97906
1.931248665,7.241349,0.9940214,37.97906
1.936278820,7.250474,0.9998844,37.97906
1.941298008,7.145051,1.006173,37.97906
1.946322918,6.850923,1.006003,37.97906
1.951347351,6.141057,1.005207,37.97906
