Time (s),W,X,Y,Z
0.001835346,0.2090828,-0.889452,-0.2916225,-0.2770264
0.006859779,0.2089741,-0.889455,-0.2916675,-0.2770512
0.011884689,0.2088568,-0.8894615,-0.2917075,-0.2770769
0.016909122,0.2087273,-0.8894705,-0.2917537,-0.2770964
0.021933556,0.2085945,-0.8894831,-0.2917918,-0.2771164
0.026958942,0.2084641,-0.8894965,-0.2918261,-0.2771354
0.031982899,0.208335,-0.8895097,-0.2918575,-0.2771568
0.037011623,0.208217,-0.88952,-0.2918868,-0.2771816
0.042032242,0.2080981,-0.8895316,-0.29191,-0.2772093
0.047057152,0.20798,-0.8895396,-0.2919365,-0.2772442
0.052081585,0.2078636,-0.889551,-0.291954,-0.277277
0.057106018,0.2077363,-0.8895631,-0.2919777,-0.2773079
0.062126637,0.207619,-0.8895712,-0.2920026,-0.2773435
0.067151546,0.2075008,-0.8895812,-0.2920296,-0.2773716
0.072175980,0.2073832,-0.889589,-0.292062,-0.2774009
0.077200890,0.2072727,-0.8895953,-0.292098,-0.2774252
0.082230091,0.2071669,-0.889603,-0.2921186,-0.2774581
0.087249756,0.2070771,-0.889607,-0.2921389,-0.2774907
0.092274666,0.2069969,-0.8896104,-0.2921507,-0.2775268
0.097299099,0.2069239,-0.889609,-0.2921687,-0.2775667
0.102324009,0.2068477,-0.8896061,-0.2921909,-0.27761
0.107348442,0.2067605,-0.8896046,-0.2922204,-0.2776485
0.112373352,0.206672,-0.8896054,-0.2922509,-0.2776797
0.117397785,0.2065875,-0.8896021,-0.2922873,-0.2777154
0.122422218,0.2065126,-0.8895965,-0.2923182,-0.2777563
0.127447128,0.2064496,-0.8895891,-0.2923498,-0.277793
0.132471561,0.2063973,-0.8895821,-0.2923772,-0.2778255
0.137496471,0.2063545,-0.8895748,-0.2924047,-0.2778521
0.142520905,0.2063105,-0.889572,-0.2924262,-0.2778707
0.147545338,0.2062709,-0.8895723,-0.2924402,-0.2778847
0.152570248,0.2062352,-0.889574,-0.2924559,-0.2778896
0.157594681,0.2062138,-0.8895757,-0.2924646,-0.2778904
0.162619591,0.2062,-0.8895798,-0.2924661,-0.2778859
0.167644024,0.2061993,-0.8895856,-0.2924656,-0.2778688
0.172668934,0.2062027,-0.8895851,-0.2924654,-0.2778674
0.177693367,0.2062233,-0.8895849,-0.2924574,-0.2778617
0.182717800,0.2062498,-0.8895822,-0.2924514,-0.2778566
0.187741756,0.2062767,-0.889577,-0.2924486,-0.2778562
0.192766666,0.206304,-0.889571,-0.2924459,-0.2778585
0.197791100,0.2063257,-0.8895656,-0.2924463,-0.2778586
0.248037338,0.2064425,-0.8894617,-0.292504,-0.2780441
0.253062248,0.2064605,-0.8894458,-0.2925118,-0.2780733
0.258091450,0.2064765,-0.8894271,-0.2925249,-0.2781073
0.263111591,0.2064875,-0.8894112,-0.2925319,-0.2781432
0.268132210,0.2065083,-0.8893922,-0.2925395,-0.2781799
0.270644665,0.2065203,-0.8893837,-0.2925389,-0.2781993
0.275669575,0.2065414,-0.889366,-0.2925377,-0.2782414
0.280694008,0.2065623,-0.8893446,-0.2925365,-0.2782956
0.285718441,0.2065804,-0.8893264,-0.2925305,-0.2783466
0.290743351,0.2065985,-0.8893073,-0.292526,-0.2783985
0.295767784,0.2066154,-0.8892853,-0.2925146,-0.2784684
0.300791740,0.2066267,-0.8892645,-0.2925037,-0.2785382
0.305816650,0.2066385,-0.8892418,-0.292492,-0.2786137
0.310841084,0.2066461,-0.889219,-0.2924784,-0.2786955
0.315865994,0.206665,-0.8891956,-0.2924558,-0.27878
0.320890427,0.2066768,-0.8891719,-0.2924323,-0.2788712
0.325914860,0.2066962,-0.8891476,-0.2924049,-0.2789627
0.330939770,0.2067169,-0.8891248,-0.2923716,-0.279055
0.335964203,0.2067328,-0.8891073,-0.2923361,-0.279136
0.340989113,0.2067438,-0.8890939,-0.2923012,-0.2792076
0.346016407,0.2067462,-0.8890843,-0.292267,-0.2792716
0.351037979,0.2067407,-0.8890818,-0.2922264,-0.2793263
0.356062889,0.2067324,-0.8890808,-0.292189,-0.2793754
0.361087322,0.2067159,-0.8890826,-0.2921524,-0.2794195
0.366112232,0.2067005,-0.8890825,-0.2921233,-0.2794617
0.371136665,0.2066925,-0.8890846,-0.2920821,-0.2795038
0.376161575,0.2066892,-0.889084,-0.2920448,-0.2795472
0.381186009,0.2066905,-0.88908,-0.2920033,-0.2796025
0.386210442,0.2067005,-0.8890751,-0.2919599,-0.2796563
0.391240120,0.2067156,-0.8890691,-0.2919196,-0.2797063
0.396259785,0.2067295,-0.8890625,-0.2918811,-0.2797567
0.401284695,0.2067294,-0.8890591,-0.2918459,-0.2798042
0.406309128,0.2067346,-0.8890616,-0.2918079,-0.2798323
0.411333561,0.2067455,-0.8890616,-0.2917673,-0.2798666
0.416358471,0.2067603,-0.8890639,-0.2917244,-0.2798931
0.421386242,0.2067769,-0.8890664,-0.2916855,-0.2799134
0.426407814,0.2067893,-0.8890706,-0.2916429,-0.2799351
0.431432247,0.2067974,-0.8890778,-0.2916058,-0.2799447
0.436457157,0.2068001,-0.8890895,-0.291561,-0.2799528
0.441481590,0.2068033,-0.8890999,-0.2915235,-0.2799561
0.446506024,0.2068105,-0.8891143,-0.2914807,-0.2799497
0.451530933,0.2068188,-0.8891275,-0.2914416,-0.2799426
0.456555367,0.2068191,-0.8891416,-0.2914028,-0.2799375
