Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.476650238,44.566,32.904
1.476529122,44.522,32.904
2.476503849,44.466,32.904
3.476383209,44.512,32.906
4.476263046,44.524,32.906
5.521368027,44.498,32.908
6.476027012,44.516,32.908
7.475905895,44.538,32.908
8.488351345,44.57,32.91
9.478182793,44.516,32.91
10.478062630,44.544,32.912
11.498045445,44.506,32.912
12.477827549,44.556,32.912
13.540515900,44.574,32.912
14.477588654,44.542,32.914
15.477469444,44.594,32.914
16.477350712,44.566,32.916
17.477231979,44.578,32.916
18.477113247,44.59,32.918
19.476994515,44.568,32.918
20.476875782,44.6,32.92
21.476757527,44.564,32.92
22.477157593,44.544,32.92
23.477039337,44.618,32.922
24.476921558,44.612,32.922
25.476803303,44.612,32.924
26.476685047,44.602,32.924
27.476571560,44.6,32.924
28.476454258,44.626,32.926
29.476336956,44.616,32.926
30.476219654,44.594,32.928
31.476811409,44.618,32.928
32.501821041,44.634,32.928
33.476581097,44.64,32.93
34.579469204,44.626,32.93
35.514032364,44.656,32.93
36.478743076,44.67,32.93
37.478626251,44.672,32.932
38.478513718,44.63,32.932
39.478567600,44.646,32.934
40.478451252,44.648,32.934
41.478334427,44.654,32.934
42.478218556,44.664,32.934
43.478102207,44.678,32.934
44.477986336,44.666,32.934
45.477870464,44.622,32.936
46.477754116,44.652,32.936
47.477638245,44.656,32.936
48.477521896,44.704,32.936
49.477406025,44.7,32.936
50.477289677,44.674,32.938
51.477174282,44.638,32.938
52.477058411,44.702,32.938
53.476943016,44.704,32.938
54.547175884,44.666,32.938
55.476715565,44.714,32.938
56.476599217,44.674,32.94
57.476488114,44.666,32.94
58.476372719,44.718,32.94
59.476256371,44.672,32.94
60.476140976,44.722,32.94
61.476025581,44.658,32.94
62.475910187,44.7,32.94
63.478307247,44.696,32.94
64.478191853,44.714,32.94
65.478076458,44.69,32.94
66.477961063,44.708,32.942
67.477846623,44.67,32.942
68.477731228,44.68,32.942
69.477615357,44.688,32.942
70.477505684,44.748,32.942
71.477385998,44.68,32.942
72.477270603,44.712,32.944
73.477158070,44.688,32.944
74.477045059,44.688,32.944
75.476930618,44.748,32.944
76.476815701,44.7,32.944
77.526947975,44.678,32.946
78.476586342,44.716,32.946
79.476471901,44.706,32.946
80.476357460,44.688,32.946
81.476243019,44.688,32.948
82.476128578,44.738,32.948
83.476014614,44.706,32.948
84.475904465,44.722,32.948
85.475790024,44.708,32.948
86.475676060,44.736,32.95
87.475562096,44.696,32.95
88.475448132,44.73,32.95
89.475333691,44.726,32.95
90.475220680,44.748,32.95
91.477619171,44.794,32.95
92.477981567,44.746,32.952
93.477867603,44.72,32.952
94.535537720,44.744,32.952
95.477640629,44.728,32.952
96.477527142,44.75,32.954
97.477414131,44.738,32.954
98.477300644,44.758,32.954
99.477187157,44.738,32.954
100.477074146,44.748,32.954
101.519670487,44.788,32.956
102.476847649,44.756,32.956
103.477411270,44.782,32.956
104.530060768,44.754,32.958
105.477189064,44.794,32.958
106.477076531,44.772,32.958
107.476963520,44.76,32.958
108.476850987,44.772,32.958
109.476738453,44.79,32.96
110.476625443,44.768,32.96
111.476512909,44.756,32.96
112.476400852,44.772,32.96
113.476287842,44.798,32.96
114.476175785,44.834,32.962
115.476063728,44.766,32.962
116.475951672,44.78,32.962
117.475842953,44.804,32.962
118.475731373,44.784,32.962
119.530890465,44.83,32.964
120.475507259,44.788,32.964
121.482932568,44.818,32.964
