Time (s),X (g),Y (g),Z (g)
0.002537727,0.06396907,0.4523594,-0.1060733
0.007613659,0.07152639,0.4456345,-0.1028419
0.012689590,0.06693951,0.4531111,-0.101213
0.017765522,0.06746086,0.4468455,-0.09954114
0.022841454,0.07105386,0.448171,-0.1020489
0.025379658,0.07174421,0.4462089,-0.1036992
0.030455589,0.07023197,0.4448779,-0.102078
0.035531521,0.07158075,0.443022,-0.09492813
0.040607452,0.07215507,0.4475241,-0.0966763
0.045683384,0.07513593,0.443676,-0.09654705
0.050758839,0.07240272,0.4455698,-0.09289689
0.055834770,0.07121117,0.4464015,-0.09017222
0.060915470,0.07404242,0.4414157,-0.09331252
0.065986633,0.0662477,0.438422,-0.09095059
0.071062565,0.07348958,0.4365571,-0.09633451
0.076138496,0.07371526,0.4355029,-0.09301884
0.081214428,0.07128519,0.4367189,-0.09282152
0.086290360,0.0708883,0.4363113,-0.0882602
0.091366291,0.07389353,0.4336433,-0.09972193
0.096442223,0.06764414,0.4376301,-0.09533855
0.101517677,0.07517648,0.4391154,-0.09420022
0.106593609,0.07270598,0.4366126,-0.09810416
0.111669540,0.06910309,0.4382643,-0.09605697
0.116745472,0.07231851,0.440716,-0.09533726
0.121821404,0.07531751,0.4323499,-0.09449381
0.126897335,0.0688787,0.4319799,-0.09225079
0.131973743,0.07431394,0.4295065,-0.09366203
0.137049675,0.0767888,0.4308401,-0.09518268
0.142125607,0.07086842,0.4330735,-0.09423808
0.147201538,0.0696886,0.4345051,-0.09785211
0.152276516,0.07533127,0.4390316,-0.09300239
0.157355785,0.06798691,0.4388562,-0.09150706
0.162428856,0.07493275,0.4383529,-0.09432831
0.167504787,0.06886709,0.4337993,-0.1002999
0.172580719,0.07584861,0.4408134,-0.0894665
0.177656651,0.07746063,0.4360418,-0.09558619
0.182732582,0.0724671,0.4337271,-0.09821354
0.185270309,0.0720495,0.4376611,-0.09481511
0.190346241,0.07141191,0.4388651,-0.1042927
0.195422173,0.07299571,0.4428541,-0.1018047
0.200498581,0.07290614,0.4418734,-0.09526116
0.205573559,0.07268659,0.4442878,-0.09379221
0.210649490,0.07364526,0.4412569,-0.09868933
0.215725422,0.07307857,0.4406341,-0.09787032
0.220801354,0.08069663,0.4397851,-0.09714538
0.225877762,0.07669517,0.4477099,-0.09786283
0.230953693,0.07626592,0.4439873,-0.1030996
0.236029625,0.08208927,0.4480961,-0.1002055
0.241105557,0.07475263,0.445082,-0.1032724
0.246181488,0.07654166,0.4475383,-0.1027077
0.251256466,0.07580364,0.4455639,-0.1045058
0.256332874,0.07992414,0.4450578,-0.1021462
0.261408806,0.07618716,0.4494283,-0.1097763
0.266484737,0.0766854,0.4428389,-0.1024462
0.271563053,0.07420154,0.4476899,-0.1079966
0.276636601,0.07612912,0.4510523,-0.1035037
0.281712532,0.07212629,0.4487723,-0.1060501
0.286791325,0.0792214,0.4468307,-0.1042676
0.291864395,0.07114232,0.4433978,-0.1039074
0.296940327,0.07060108,0.4533652,-0.1003857
0.302015781,0.07504873,0.4460708,-0.1048879
0.307095051,0.07308249,0.4454348,-0.09873048
0.312167645,0.07153742,0.4484303,-0.09826693
0.317243576,0.07098467,0.4455513,-0.1017714
0.322319508,0.07287405,0.4452273,-0.09590723
0.327395439,0.06852826,0.4479194,-0.09614027
0.332471371,0.06832961,0.4437711,-0.09784638
0.337549210,0.06948929,0.448995,-0.09605561
0.342623234,0.07044302,0.4429674,-0.09391318
0.347700596,0.07326256,0.4403754,-0.09774966
0.352774620,0.06612925,0.4441159,-0.09388942
0.355312824,0.06692024,0.4425826,-0.09684955
0.360388756,0.07697269,0.4411123,-0.09609318
0.365464687,0.06841916,0.4456699,-0.09281057
0.370540619,0.06943775,0.438275,-0.09653566
0.375616551,0.07084834,0.435645,-0.1005087
0.380692482,0.06642401,0.4391796,-0.1000906
0.385768414,0.06440973,0.4374007,-0.09828749
0.390844345,0.07212321,0.4328512,-0.09727906
0.395920277,0.0740282,0.4380518,-0.09868536
0.400995731,0.06798358,0.4376441,-0.100774
0.406071663,0.07150368,0.4386424,-0.09761653
0.411147595,0.06431539,0.4378674,-0.0919541
0.416223526,0.07079339,0.442531,-0.09642149
