Time (s),Humidity (%)
0.446679115,13.6084
1.446630955,12.72461
2.446582317,14.37012
3.446534634,13.83301
4.446485996,13.60938
5.446438313,13.09473
6.446390152,13.39648
7.446342468,13.60938
8.446294785,13.48633
9.446246624,13.83301
10.446202278,13.4082
11.446151734,12.70313
12.446109772,13.07324
13.446057320,13.56543
14.446010113,13.10645
15.445963860,13.44238
16.445916653,13.99023
17.445872307,13.58789
18.445828438,14.10254
19.445776463,13.23047
20.445729733,12.81641
21.445688725,14.79688
22.445636749,13.33105
23.445590973,13.26367
24.445549965,14.62891
25.445498943,13.47656
26.445453167,12.77148
27.445407868,12.33594
28.445362091,12.71582
29.445316792,13.70117
30.445274830,12.83984
31.445225716,12.99609
32.445180416,13.48926
33.445135594,14.09375
34.447628498,13.37695
35.447583199,13.41113
36.447538376,13.62402
37.447494030,13.08691
38.447449684,13.0752
39.447404862,13.06445
40.447360516,14.53027
41.447316170,12.80762
42.447272301,13.10938
43.447227955,13.97168
44.447184086,13.69141
45.447140217,13.89355
46.447096348,13.14355
47.447052956,13.79297
48.447009087,13.46875
49.446966171,13.96094
50.446922302,13.33398
51.446878910,13.2002
52.446835995,14.0957
53.446792603,13.26758
54.446749687,13.3457
55.446706295,13.03223
56.446663380,14.27441
57.446620941,13.64844
58.446577549,13.24512
59.446534634,12.99902
60.446491718,13.3457
61.446449280,13.76074
62.446406365,13.02148
63.446363926,13.18945
64.446324825,12.99902
65.446278572,12.93262
66.446235657,13.16699
67.446193218,13.54785
68.446150780,13.71582
69.446107864,13.98438
70.446067810,12.79785
71.446023941,13.13379
72.445985794,13.6709
73.445938587,13.2793
74.445896149,12.60742
75.445854664,12.95508
76.445811749,13.0332
77.445769310,14.01855
78.445727825,13.99609
79.445684910,13.85059
80.445643425,13.67188
81.445600987,12.85449
82.445559025,13.57129
83.445517063,13.95117
84.445474625,13.42578
85.445432663,13.22363
86.445390701,12.82031
87.445349217,14.1084
88.445307255,13.28027
89.445265293,13.12305
90.445226193,13.01172
91.445181847,13.70605
92.445139885,14.25391
93.445098877,14.1084
94.445056915,13.17969
95.445015907,13.29199
96.444974423,12.45215
97.444932938,13.42578
98.444896221,13.26953
99.444849968,13.37012
100.444808483,13.42676
101.444767475,12.92285
102.444726467,11.9707
103.447223187,13.23633
104.447182655,12.95605
105.447141647,14.08691
106.447101116,12.08301
107.447059631,13.58398
108.447019100,12.66504
109.446978569,13.97559
110.446938038,12.47559
111.446897984,13.4043
112.446858406,14.21094
113.446816921,13.49414
114.446776867,12.88965
115.446736336,13.31543
116.446696758,12.83398
117.446656704,13.22656
118.446617127,13.31543
119.446577549,14.22266
120.446537972,12.92383
121.446498871,13.02539
