Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
0.000000000,0.9810154,0.9996184,36.89842
0.005078316,0.9990907,1.001935,36.89842
0.010151863,1.189177,1.005186,36.89842
0.015227795,1.82866,1.00956,36.89842
0.020305157,1.595399,1.001883,36.89842
0.025379658,1.898195,1.001115,36.89842
0.030455589,1.978516,1.001861,36.89842
0.035531521,2.002238,1.007552,36.89842
0.040607452,2.224205,1.008033,37.21531
0.045683384,1.955786,1.006653,37.21531
0.050758839,2.067211,1.010571,37.21531
0.055834770,2.345308,1.013303,37.21531
0.060915470,2.356839,1.008476,37.21531
0.065986633,2.191735,1.008732,37.21531
0.071062565,2.304942,1.003573,37.21531
0.076138496,2.219443,1.006118,37.21531
0.081214428,2.154068,1.00665,37.21531
0.086290360,1.931366,1.01056,36.84438
0.091366291,1.97037,0.9992725,36.84438
0.096442223,1.674394,1.004524,36.84438
0.101517677,1.956578,1.00675,36.84438
0.106593609,1.874389,1.001946,36.84438
0.111669540,1.541318,1.004258,36.84438
0.116745472,1.522212,1.006219,36.84438
0.121821404,1.065191,1.003535,36.84438
0.126897335,0.9208732,1.004929,36.84438
0.131973743,0.7929646,1.002977,36.84438
0.137049675,0.8136693,1.00237,36.82306
0.142125607,0.5018141,1.00375,36.82306
0.147201538,0.4501555,1.001029,36.82306
0.152276516,0.3849393,1.007804,36.82306
0.157355785,0.5119845,1.008541,36.82306
0.162428856,0.2048019,1.00628,36.82306
0.164966583,0.2470109,1.000095,36.82306
0.170042515,0.3909419,1.004512,36.82306
0.175118446,0.3910692,1.00846,36.82306
0.180198669,0.4643968,1.000994,36.82306
0.185270309,0.7860264,1.005322,36.54583
0.190346241,0.7802631,0.9972774,36.54583
0.195422173,0.9365189,1.001406,36.54583
0.200498581,0.8259331,1.006842,36.54583
0.205573559,0.7799485,1.009218,36.54583
0.210649490,1.015931,1.003541,36.54583
0.215725422,0.9379034,1.003959,36.54583
0.220801354,0.965447,1.00483,36.54583
0.225877762,0.8890063,1.007396,36.54583
0.230953693,0.7061415,1.000999,36.87722
0.236029625,0.7830832,1.005905,36.87722
0.241105557,0.672879,1.001218,36.87722
0.246181488,0.6404337,1.002966,36.87722
0.251256466,0.3111723,1.00041,36.87722
0.256332874,0.4070401,1.002624,36.87722
0.261408806,0.3111904,0.9974729,36.87722
0.266484737,0.4110521,1.001104,36.87722
0.271563053,0.2705001,0.9981219,36.87722
0.276636601,0.4225082,1.003811,36.87722
0.281712532,0.6168825,1.000199,36.72122
0.286791325,0.4868593,1.001464,36.72122
0.291864395,0.6776642,0.999625,36.72122
0.296940327,0.9093808,1.007238,36.72122
0.302015781,1.008391,1.000239,36.72122
0.307095051,1.248664,1.005325,36.72122
0.312167645,1.460402,1.006971,36.72122
0.317243576,1.355394,1.002496,36.72122
0.322319508,1.137301,1.007751,36.72122
0.327395439,1.409243,1.008435,36.58297
0.329933643,1.614435,1.00856,36.58297
0.335009575,1.38675,1.006078,36.58297
0.340085507,1.49059,1.003727,36.58297
0.345161438,1.666846,1.005918,36.58297
0.350236416,1.37726,1.008747,36.58297
0.355312824,1.599903,1.005306,36.58297
0.360388756,1.495912,1.006068,36.58297
0.365464687,1.32556,1.010413,36.58297
0.370540619,1.482919,1.003856,36.58297
0.375616551,1.26357,0.9992196,37.52755
0.380692482,1.159279,1.000847,37.52755
0.385768414,1.062713,1.00155,37.52755
0.390844345,0.8719789,1.001001,37.52755
0.395920277,0.9017429,1.002158,37.52755
0.400995731,0.6370503,0.99966,37.52755
0.406071663,0.6229346,1.003194,37.52755
0.411147595,0.4889724,1.00746,37.52755
0.416223526,0.4012966,1.00594,37.52755
0.421299458,0.4598706,1.005256,37.52755
0.426375389,0.414775,1.002853,36.54583
0.431451321,0.1631759,1.006664,36.54583
0.436527252,0.1228011,1.010838,36.54583
0.441603184,0.1802772,1.006534,36.54583
0.446679115,0.4006316,1.006339,36.54583
0.451754570,0.4764794,1.006081,36.54583
0.456830502,0.3977832,1.001484,36.54583
0.461906433,0.5126855,1.005265,36.54583
0.466982365,0.5053675,1.005324,36.54583
0.472058296,0.7934867,1.000762,36.93531
0.477134228,0.534405,1.007577,36.93531
0.482210159,0.5988845,1.002631,36.93531
0.487286091,0.7158564,1.005608,36.93531
0.492366314,0.8945376,1.005205,36.93531
0.494900227,0.7788731,1.003706,36.93531
0.499976158,0.6774803,1.003724,36.93531
0.505051613,0.8044648,1.002193,36.93531
0.510127545,0.6643778,1.00834,36.93531
0.515203476,0.5876524,1.004877,36.93531
0.520279408,0.4837508,1.004837,37.01826
0.525355339,0.4837508,1.008422,37.01826
0.530431271,0.6631362,1.000225,37.01826
0.535508633,0.3945355,1.000332,37.01826
0.540583134,0.3527682,1.007201,37.01826
0.545659065,0.3097748,1.00227,37.01826
0.550736427,0.3131441,0.9956405,37.01826
0.555810452,0.3980756,1.000603,37.01826
0.560886383,0.338135,0.9983096,37.01826
0.565962315,0.3608619,1.005875,37.01826
0.571038246,0.4246632,1.010545,36.58297
0.576114178,0.3372169,1.005768,36.58297
0.581194878,0.5393096,1.005211,36.58297
0.586266041,0.3919263,1.007961,36.58297
0.591342449,0.6789293,1.007519,36.58297
0.596418381,0.879442,1.007848,36.58297
0.601494312,0.7832745,1.007837,36.58297
0.606569290,1.07404,1.007152,36.58297
0.611645222,0.8570807,1.005106,36.58297
0.616721153,1.159279,1.008756,36.58297
0.621797562,1.178516,1.007046,37.45121
0.626873493,1.186235,1.008892,37.45121
0.631949425,1.215167,1.002445,37.45121
0.637025356,1.379671,1.002574,37.45121
0.642101288,1.240991,1.009066,37.45121
0.647177220,0.9567685,1.004717,37.45121
0.652252674,1.062819,1.003027,37.45121
0.657328606,1.163631,1.006787,37.45121
0.659866333,1.090319,1.009827,37.45121
0.664942265,0.934622,1.006318,37.45121
0.670018196,0.9402446,1.008722,36.58297
0.675094128,0.7254956,1.003459,36.58297
0.680170059,1.023902,1.002528,36.58297
0.685246468,0.7852651,1.003742,36.58297
0.690322399,0.77101,0.9996303,36.58297
0.695398331,0.8158138,1.001132,36.58297
0.700474262,0.7101021,1.002225,36.58297
0.705549240,0.4720142,0.9992783,36.58297
0.710625172,0.5248981,1.001593,36.58297
0.715701580,0.3102091,0.9993059,37.47044
0.720777512,0.4169666,1.002516,37.47044
0.725853443,0.2917711,1.002873,37.47044
0.730929375,0.2712027,1.004686,37.47044
0.736005306,0.1910751,1.003886,37.47044
0.741081238,0.4185644,1.002483,37.47044
0.746159077,0.2022673,1.008799,37.47044
0.751233101,0.3255939,1.009935,37.47044
0.756308556,0.3741698,1.003867,37.47044
0.761384487,0.4006076,1.005359,37.47044
0.766460419,0.3769009,1.004987,36.82306
0.771536350,0.3197817,1.002472,36.82306
0.776612282,0.3490295,1.004778,36.82306
0.781688213,0.5876524,1.00286,36.82306
0.786764145,0.4869988,1.005594,36.82306
0.791840076,0.4286759,1.000922,36.82306
0.796916008,0.4448359,1.002388,36.82306
0.801991939,0.3566137,1.001996,36.82306
0.807067394,0.3676271,1.00109,36.82306
0.812143326,0.3228962,1.005595,36.93531
0.817219257,0.310872,1.007314,36.93531
0.822295189,0.2717544,1.002003,36.93531
0.827371120,0.2533274,0.9997797,36.93531
0.829909325,0.3438917,1.003541,36.93531
0.834985256,0.1091699,1.001598,36.93531
0.840061665,0.1749405,0.9995826,36.93531
0.845137119,0.1538832,1.009728,36.93531
0.850213051,0.216001,1.000634,36.93531
0.855288506,0.567049,0.9968793,36.93531
0.860364437,0.2622423,1.003684,36.99731
0.865440369,0.4725436,1.00317,36.99731
0.870516300,0.6140908,1.005805,36.99731
0.875592232,0.7252755,1.002426,36.99731
0.880672932,0.6151079,1.001285,36.99731
0.885744095,0.6894413,1.008741,36.99731
0.890820026,0.7465338,1.002815,36.99731
0.895895958,0.8235373,1.002586,36.99731
0.900971889,0.8140644,1.003093,36.99731
0.906047344,0.7052127,1.007125,36.99731
0.911126137,0.7045542,1.005459,37.69347
0.916199207,0.5409901,1.007191,37.69347
0.921275139,0.7037255,1.002882,37.69347
