Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
0.002537727,0.02495563,-0.09064066,0.9920931,0.8772096,0.4693236,0.01813945,-0.4721947,0.8727027,0.08984342
0.005078316,0.02491476,-0.0906269,0.9920954,0.8772148,0.4693123,0.01816767,-0.4721871,0.8727099,0.08981204
0.010151863,0.024818,-0.09059674,0.992101,0.877224,0.4692928,0.01823673,-0.472176,0.8727237,0.08973989
0.015227795,0.02468565,-0.09055063,0.9921089,0.8772402,0.4692591,0.01832813,-0.4721537,0.8727468,0.08963707
0.020305157,0.02455254,-0.09051019,0.9921163,0.8772603,0.4692182,0.01842213,-0.4721243,0.8727731,0.08953902
0.025379658,0.02440435,-0.09047782,0.9921234,0.8772774,0.4691819,0.0185338,-0.4721012,0.8727961,0.08944079
0.030455589,0.02424002,-0.09044275,0.9921312,0.8772956,0.4691433,0.01865822,-0.472077,0.8728206,0.08933258
0.035531521,0.0240775,-0.09041607,0.9921384,0.877319,0.4690954,0.01878425,-0.4720434,0.8728496,0.08923295
0.040607452,0.02389604,-0.09037879,0.9921467,0.8773444,0.4690425,0.0189212,-0.4720065,0.8728819,0.0891149
0.045683384,0.02371775,-0.09036031,0.9921533,0.8773674,0.4689943,0.01906499,-0.4719743,0.87291,0.08901492
0.050758839,0.02354127,-0.09033114,0.9921606,0.877394,0.4689389,0.01920116,-0.4719345,0.8729429,0.08890647
0.055834770,0.02334845,-0.09030756,0.9921681,0.8774244,0.4688765,0.01935384,-0.4718893,0.8729792,0.08879545
0.060915470,0.02314471,-0.09028408,0.9921757,0.8774557,0.4688115,0.0195159,-0.4718424,0.8730167,0.08867931
0.065986633,0.022953,-0.09028193,0.9921807,0.8774793,0.4687602,0.01967883,-0.4718088,0.8730443,0.08858725
0.071062565,0.02275887,-0.0902853,0.9921858,0.8775045,0.4687072,0.0198468,-0.4717732,0.8730731,0.08849934
0.076138496,0.02256782,-0.09027743,0.9921916,0.8775244,0.4686633,0.02000734,-0.4717467,0.8730975,0.08840251
0.081214428,0.02237616,-0.09027255,0.9921968,0.877548,0.4686121,0.02016902,-0.471713,0.8731255,0.08830819
0.086290360,0.02220374,-0.09028101,0.9922005,0.8775682,0.4685681,0.02032101,-0.4716848,0.8731485,0.08823472
0.091366291,0.02203481,-0.09028921,0.9922041,0.8775834,0.4685334,0.02047068,-0.4716657,0.8731664,0.08816245
0.096442223,0.02188864,-0.09030303,0.9922067,0.8776029,0.4684916,0.02060226,-0.4716374,0.8731877,0.08810616
0.101517677,0.02171935,-0.09030584,0.9922106,0.8776193,0.4684545,0.02074939,-0.4716159,0.8732073,0.088029
0.106593609,0.02156033,-0.09031957,0.9922134,0.877637,0.4684151,0.0208925,-0.4715912,0.8732272,0.08796641
0.111669540,0.02141759,-0.09034953,0.9922143,0.8776528,0.4683802,0.0210295,-0.4715697,0.8732431,0.08792582
0.116745472,0.0213009,-0.09036589,0.9922158,0.8776689,0.4683452,0.02113682,-0.4715457,0.8732603,0.08788556
0.121821404,0.02120012,-0.09039024,0.9922161,0.8776841,0.4683127,0.02123424,-0.4715228,0.8732754,0.08785993
0.126897335,0.0211127,-0.09041458,0.992216,0.8776983,0.4682824,0.02132007,-0.471501,0.8732892,0.08784053
0.131973743,0.02105315,-0.09044382,0.9922148,0.8777028,0.4682708,0.0213854,-0.4714955,0.8732923,0.08783817
0.137049675,0.02099301,-0.0904679,0.9922141,0.8777126,0.4682502,0.02144808,-0.4714807,0.8733012,0.08783138
0.142125607,0.02095166,-0.09049726,0.9922125,0.8777188,0.4682364,0.02149722,-0.4714713,0.8733056,0.08783787
0.147201538,0.0209257,-0.0905239,0.9922106,0.8777266,0.4682202,0.02153116,-0.4714579,0.8733115,0.08784932
0.152276516,0.02091132,-0.09056118,0.9922076,0.8777295,0.4682133,0.021561,-0.4714531,0.8733114,0.08787549
0.157355785,0.02089114,-0.09059033,0.9922053,0.8777335,0.4682039,0.0215916,-0.4714464,0.8733131,0.08789164
0.162428856,0.0209036,-0.09061661,0.9922028,0.8777347,0.4682024,0.02159318,-0.4714441,0.8733115,0.0879209
0.167504787,0.02092659,-0.09062383,0.9922015,0.8777345,0.4682033,0.02157637,-0.471443,0.8733103,0.0879381
0.170042515,0.02094243,-0.09062868,0.9922007,0.8777321,0.4682084,0.02156517,-0.4714468,0.873307,0.08794975
0.175118446,0.02096851,-0.09064654,0.9921982,0.8777281,0.4682158,0.02155125,-0.4714525,0.8733008,0.08797756
0.180198669,0.02100895,-0.0906615,0.9921958,0.8777194,0.4682333,0.02152446,-0.4714666,0.8732898,0.08800951
0.185270309,0.02106805,-0.0906789,0.9921928,0.8777086,0.4682553,0.02148286,-0.4714836,0.8732761,0.08805239
0.190346241,0.02112105,-0.09068772,0.9921908,0.8776888,0.4682943,0.02144426,-0.4715181,0.8732543,0.0880844
0.195422173,0.02118681,-0.09069133,0.992189,0.8776718,0.4683287,0.02139154,-0.4715466,0.8732356,0.08811805
