Time (s),W,X,Y,Z
0.002537727,-0.6306479,0.338764,0.5804697,0.383673
0.005078316,-0.6306314,0.3387645,0.5804827,0.3836796
0.010151863,-0.630594,0.3387627,0.5805149,0.3836941
0.015227795,-0.6305407,0.3387643,0.5805583,0.3837146
0.020305157,-0.6304868,0.3387664,0.5805992,0.3837394
0.025379658,-0.6304308,0.3387613,0.5806445,0.3837675
0.030455589,-0.6303691,0.3387549,0.5806949,0.3837983
0.035531521,-0.6303075,0.3387495,0.580741,0.3838345
0.040607452,-0.6302376,0.3387455,0.5807941,0.3838723
0.045683384,-0.6301728,0.3387345,0.5808436,0.3839136
0.050758839,-0.6301054,0.3387297,0.580893,0.3839537
0.055834770,-0.6300327,0.3387226,0.580945,0.3840007
0.060915470,-0.6299564,0.3387142,0.5809998,0.3840503
0.065986633,-0.62989,0.3386962,0.5810497,0.3840993
0.071062565,-0.6298233,0.3386768,0.5810991,0.3841513
0.076138496,-0.6297575,0.3386582,0.5811515,0.3841962
0.081214428,-0.6296906,0.3386411,0.581202,0.3842444
0.086290360,-0.6296331,0.3386208,0.5812454,0.384291
0.091366291,-0.6295783,0.338598,0.5812898,0.3843337
0.096442223,-0.6295298,0.3385803,0.5813244,0.3843766
0.101517677,-0.6294735,0.3385599,0.5813694,0.3844185
0.106593609,-0.6294217,0.3385388,0.5814086,0.3844627
0.111669540,-0.6293783,0.3385141,0.5814405,0.3845074
0.116745472,-0.6293402,0.3384987,0.5814667,0.3845435
0.121821404,-0.6293086,0.338483,0.5814869,0.3845786
0.126897335,-0.6292813,0.3384691,0.5815034,0.3846105
0.131973743,-0.6292668,0.3384522,0.5815142,0.3846328
0.137049675,-0.6292493,0.3384402,0.5815242,0.3846569
0.142125607,-0.6292397,0.3384276,0.5815287,0.384677
0.147201538,-0.6292336,0.3384198,0.5815283,0.3846944
0.152276516,-0.6292346,0.3384073,0.5815243,0.3847098
0.157355785,-0.629232,0.3383972,0.5815231,0.3847245
0.162428856,-0.6292399,0.3383918,0.5815139,0.3847306
0.164966583,-0.6292439,0.3383921,0.5815108,0.3847285
0.170042515,-0.6292545,0.3383932,0.5815006,0.3847254
0.175118446,-0.6292668,0.3383897,0.5814905,0.3847234
0.180198669,-0.6292846,0.3383864,0.5814787,0.384715
0.185270309,-0.6293092,0.3383842,0.5814615,0.3847026
0.190346241,-0.6293339,0.3383777,0.5814517,0.3846831
0.195422173,-0.6293604,0.3383769,0.5814378,0.3846616
0.200498581,-0.6293877,0.3383744,0.5814227,0.3846416
0.205573559,-0.6294148,0.3383681,0.5814058,0.3846282
0.210649490,-0.6294469,0.3383572,0.5813865,0.3846146
0.215725422,-0.6294773,0.3383473,0.5813692,0.3845998
0.220801354,-0.629509,0.3383467,0.5813524,0.3845735
0.225877762,-0.6295363,0.3383372,0.5813386,0.3845585
0.230953693,-0.6295627,0.3383247,0.5813234,0.3845492
0.236029625,-0.6295904,0.3383084,0.5813088,0.3845403
0.241105557,-0.6296121,0.338302,0.5812956,0.38453
0.246181488,-0.629632,0.3382957,0.5812867,0.3845166
0.251256466,-0.6296425,0.3382982,0.5812829,0.3845028
0.256332874,-0.629653,0.3383006,0.5812783,0.3844907
0.261408806,-0.6296609,0.3383002,0.5812773,0.3844794
0.266484737,-0.6296575,0.3383016,0.5812879,0.384468
0.271563053,-0.629652,0.3383038,0.5812964,0.3844619
0.276636601,-0.6296444,0.3383012,0.5813105,0.3844556
0.281712532,-0.6296312,0.3382972,0.5813295,0.384452
0.286791325,-0.629618,0.3382875,0.5813504,0.3844505
0.291864395,-0.6296008,0.3382784,0.5813704,0.384456
0.296940327,-0.6295695,0.3382806,0.581396,0.3844669
0.302015781,-0.6295395,0.3382734,0.5814251,0.3844785
0.307095051,-0.6295025,0.3382624,0.5814534,0.384506
0.312167645,-0.6294628,0.3382475,0.5814897,0.3845291
0.317243576,-0.6294224,0.338239,0.5815227,0.3845526
0.322319508,-0.629387,0.3382291,0.5815503,0.3845776
0.327395439,-0.629347,0.3382185,0.5815852,0.3846
0.332471371,-0.6293002,0.338208,0.5816231,0.3846283
0.335009575,-0.6292787,0.338204,0.5816395,0.3846422
0.340085507,-0.6292309,0.3382008,0.5816757,0.3846686
0.345161438,-0.6291824,0.3381925,0.5817102,0.3847028
0.350236416,-0.6291382,0.3381848,0.5817444,0.3847302
0.355312824,-0.6290924,0.3381727,0.5817822,0.3847585
0.360388756,-0.6290455,0.3381621,0.5818192,0.3847885
0.365464687,-0.6290045,0.3381507,0.5818509,0.3848178
0.370540619,-0.6289605,0.3381419,0.5818816,0.384851
0.375616551,-0.6289187,0.3381428,0.5819111,0.3848738
0.380692482,-0.628882,0.3381458,0.5819342,0.3848964
0.385768414,-0.6288474,0.3381398,0.5819599,0.3849193
0.390844345,-0.6288202,0.3381342,0.5819806,0.3849373
0.395920277,-0.6287929,0.3381354,0.5819954,0.3849586
0.400995731,-0.6287736,0.3381234,0.5820104,0.3849778
0.406071663,-0.6287563,0.3381118,0.5820253,0.3849936
0.411147595,-0.6287431,0.3381028,0.5820381,0.385004
0.416223526,-0.6287351,0.338095,0.5820428,0.3850165
0.421299458,-0.6287217,0.3380894,0.5820516,0.3850302
0.426375389,-0.6287137,0.3380863,0.5820607,0.3850321
0.431451321,-0.6287128,0.338089,0.5820591,0.3850337
0.436527252,-0.6287172,0.3380896,0.5820535,0.3850342
0.441603184,-0.6287168,0.3380938,0.5820537,0.3850313
0.446679115,-0.6287271,0.338096,0.5820469,0.3850224
0.451754570,-0.6287406,0.3381003,0.582037,0.3850118
0.456830502,-0.6287516,0.3381087,0.5820277,0.3850005
0.461906433,-0.6287665,0.338114,0.5820161,0.384989
