Time (s),Power (dBm),Percentage (%)
0.449531078,-41,100
0.949015617,-43,100
1.449527264,-43,100
1.948952675,-43,100
2.449530125,-41,100
2.949026585,-43,100
3.449521065,-43,100
3.949014664,-43,100
4.449525833,-45,100
4.948928833,-43,100
5.449569225,-43,100
5.948933125,-43,100
6.449123383,-43,100
6.949131966,-43,100
7.449132443,-43,100
7.949140072,-43,100
8.449229241,-43,100
8.948908329,-43,100
9.449236870,-43,100
9.948998451,-43,100
10.449291706,-43,100
10.948921204,-43,100
11.449291706,-43,100
11.948953629,-43,100
12.449328423,-43,100
12.948935032,-41,100
13.449252606,-43,100
13.948922634,-43,100
14.449142933,-43,100
14.948916435,-43,100
15.449240208,-45,100
15.948960781,-45,100
16.449204445,-45,100
16.948913574,-45,100
17.449108601,-45,100
17.948909760,-45,100
18.449066162,-43,100
18.948989868,-43,100
19.449038982,-43,100
19.948898315,-41,100
20.449003220,-41,100
20.948888779,-41,100
21.449012756,-41,100
21.948936939,-39,100
22.448967457,-39,100
22.948900223,-39,100
23.449007988,-39,100
23.948897362,-39,100
24.448951244,-37,100
24.948862553,-39,100
25.448954582,-39,100
25.948905945,-37,100
26.448984146,-37,100
26.948918819,-37,100
27.449059010,-37,100
27.948873043,-37,100
28.448926449,-37,100
28.948893070,-37,100
29.448955536,-37,100
29.948816299,-37,100
30.448906422,-39,100
30.948842049,-39,100
31.449040413,-39,100
31.948895931,-39,100
32.449016571,-41,100
32.948804378,-39,100
33.449019909,-41,100
33.948806286,-41,100
34.449034214,-41,100
34.948964119,-43,100
35.448974609,-43,100
35.948940754,-43,100
36.449059963,-43,100
36.948941231,-43,100
37.448982239,-45,100
37.948927879,-43,100
38.448983669,-45,100
38.948886871,-45,100
39.448934555,-45,100
39.948908329,-43,100
40.449169159,-45,100
40.948843479,-45,100
41.449126244,-45,100
41.948801041,-47,100
42.449084759,-47,100
42.948757172,-47,100
43.449105263,-49,100
43.948744297,-49,100
44.449113369,-51,98
44.948787212,-49,100
45.449054241,-49,100
45.948752403,-51,98
46.449080467,-49,100
46.948727131,-49,100
47.449030399,-49,100
47.948700905,-49,100
48.449026585,-49,100
48.948717117,-51,98
49.449022293,-49,100
49.948689938,-49,100
50.448978901,-49,100
50.948635101,-49,100
51.448930264,-47,100
51.948585510,-49,100
52.448899269,-47,100
52.948817730,-47,100
53.448851585,-47,100
53.948820591,-49,100
54.449129582,-47,100
54.948766232,-45,100
55.449073315,-45,100
55.948736191,-45,100
56.449121952,-45,100
56.948523521,-45,100
57.449046612,-45,100
57.948683739,-43,100
58.449109078,-43,100
58.948639870,-45,100
59.449108601,-43,100
59.948729992,-43,100
60.448865414,-43,100
60.948635578,-43,100
61.449061871,-43,100
61.948635101,-43,100
62.449060440,-43,100
62.948449135,-45,100
63.449017048,-43,100
63.948588371,-43,100
64.448668003,-43,100
64.948643208,-45,100
65.448669911,-43,100
65.948785305,-43,100
66.448658943,-43,100
66.948678017,-45,100
67.448657036,-45,100
67.948566914,-45,100
68.448659897,-47,100
68.948646545,-45,100
69.448671341,-47,100
69.948603153,-47,100
70.448638916,-47,100
70.948521137,-49,100
71.448620319,-47,100
71.948659420,-45,100
72.448656082,-45,100
72.948659897,-47,100
73.448644638,-47,100
73.948488712,-49,100
74.448611736,-47,100
74.948688507,-47,100
75.448662281,-45,100
75.948582649,-45,100
76.448624611,-47,100
76.948494434,-45,100
77.448610306,-45,100
77.948536396,-45,100
78.448684216,-45,100
78.948644638,-45,100
79.448672295,-45,100
79.948344231,-45,100
80.448685169,-45,100
80.948638439,-47,100
81.448636532,-45,100
81.948637962,-45,100
82.448643684,-45,100
82.948391438,-47,100
83.448605061,-45,100
83.948462963,-45,100
84.448621273,-45,100
84.948419094,-45,100
85.448673248,-47,100
85.948359966,-45,100
86.448616028,-45,100
86.948338509,-45,100
87.448677063,-47,100
87.948443413,-47,100
88.448650360,-45,100
88.948326111,-45,100
89.448657513,-45,100
89.948324680,-45,100
90.448592186,-45,100
90.948369503,-43,100
91.448635101,-45,100
91.948326588,-43,100
92.448557854,-43,100
92.948362350,-43,100
93.448564053,-45,100
93.948321342,-45,100
94.448555470,-43,100
94.948333263,-45,100
95.448574543,-45,100
95.948297977,-43,100
96.448549271,-45,100
96.948284149,-45,100
97.448606968,-45,100
97.948276997,-43,100
98.448524952,-43,100
98.948289871,-41,100
99.448554993,-41,100
99.948332310,-41,100
100.448675156,-41,100
100.948287487,-39,100
101.448652744,-39,100
101.948299885,-37,100
102.448649407,-39,100
102.948240757,-39,100
103.448646546,-39,100
103.948282242,-39,100
104.448622704,-39,100
104.948250294,-41,100
105.448600769,-39,100
105.948253632,-39,100
106.448576450,-43,100
106.948438644,-43,100
107.448479653,-45,100
107.948421001,-47,100
108.448518753,-47,100
108.948412895,-49,100
109.448466301,-47,100
109.948400974,-49,100
110.448462010,-47,100
110.948431969,-47,100
111.448461533,-47,100
111.948403358,-45,100
112.448421002,-45,100
112.948357105,-43,100
113.448400974,-43,100
113.948375702,-43,100
114.448400021,-43,100
114.948335171,-45,100
115.448367119,-43,100
115.948230743,-45,100
116.448577881,-45,100
116.948215008,-43,100
117.448562145,-45,100
117.948248386,-43,100
118.448523522,-41,100
118.948207378,-43,100
119.448538303,-43,100
119.948204994,-43,100
120.448507309,-41,100
120.948192120,-43,100
121.448512077,-43,100
