Time (s),X (g),Y (g),Z (g)
0.004195213,-0.001290228,-0.0007283976,0.01586413
0.009125710,-0.003334959,0.001979157,0.0133481
0.014051437,-0.002938032,0.0005916273,0.01229074
0.018981457,-0.0004600401,-0.001964651,0.01180207
0.023911476,0.002856124,0.0004888035,0.01033345
0.028841972,7.693609E-05,0.0005684188,0.01343659
0.033771992,-0.001980196,-0.0001059645,0.009704784
0.038702011,0.002964071,0.002547118,0.008799681
0.043632030,-0.002629876,0.0003209054,0.0114291
0.048562527,-0.002257465,0.003314523,0.009228146
0.053492546,-0.003398442,0.000391438,0.004856373
0.058422565,0.002210097,-0.0009551734,0.008894396
0.063353062,-0.001454851,0.0003523231,0.01499707
0.068283081,0.003497574,0.001508708,0.006662107
0.073213100,-0.005412437,-0.0002884043,0.01262529
0.080608368,0.002329417,0.001797221,0.0103291
0.085538864,0.003380247,0.002657161,0.006857636
0.090468884,0.005880798,-0.001758443,0.01364416
0.095398903,0.001065334,-0.001635949,0.005544566
0.100329399,-0.002787981,-0.001266477,0.01337568
0.105259419,-0.003374978,0.0014084,0.01612118
0.110189438,0.0003644372,0.001456637,0.01595588
0.115119934,0.001493902,0.002526884,0.006725079
0.120049953,0.0005291298,0.001682629,0.01232051
0.124979973,-0.000549302,0.003348052,0.01148488
0.129910469,0.002047597,-0.003375674,0.006380142
0.134840488,0.00029149,0.0006009294,0.01043206
0.139770508,0.02983524,0.004085456,0.008223381
0.144700050,0.03976039,-0.009124395,-0.008587709
0.149631023,-0.01968835,0.005413579,0.002691759
0.154561043,-0.02115074,-0.004703045,0.03703
0.159490585,-0.009999629,0.003049619,-0.0008810172
0.164421558,0.02951753,-0.00776698,0.01271144
0.169351578,0.002215754,0.008843752,0.00124449
0.174281120,0.01590557,-0.0004895476,0.004649709
0.179212093,-0.005724234,-0.0009510203,0.002833646
0.184142113,-0.01273369,-0.003197453,0.02107758
0.189071655,-0.009191765,0.004077778,0.008011327
0.194002628,0.01067994,0.003409106,0.01205298
0.198932648,0.01118572,0.006272614,0.009421527
0.203862190,0.001829004,-0.0004148115,0.01229396
0.208793163,-0.001057453,-0.007942158,0.005314139
0.213718891,-0.01020256,-0.003088983,0.01883845
0.218650341,-0.003147135,0.001805085,0.009281644
0.223579407,0.002289531,0.009165692,0.008911734
0.228509426,0.008101666,0.009520981,0.01674546
0.233439446,0.003157645,0.001449939,0.009649847
0.238369942,0.002028375,-0.009546283,0.008406069
0.243299961,-0.006145426,-0.00667584,0.01553186
0.248229981,0.0002961343,-0.001784756,0.009410635
0.253160000,0.004979511,0.005679202,0.01290599
0.260555267,0.001490641,0.009332083,0.01427163
0.265485764,-0.0004424786,0.0003786085,0.01217483
0.270415783,-0.007881349,-0.008005813,0.01308013
0.275345802,-0.004295789,-0.005089888,0.01159506
0.280276299,0.002329047,-0.003233022,0.01361378
0.285206318,0.005942292,0.003236193,0.007586143
0.290136337,-0.0004182472,0.004078418,0.01850305
0.295066834,-0.002963134,-0.0009898122,0.009972088
0.299996853,-0.003687813,-0.005248961,0.00454224
0.304926872,-0.004515572,-0.008088144,0.01485775
0.309857369,0.00709645,-0.002661147,0.01211831
0.314787388,0.004041969,-0.001135725,0.007964959
0.319721222,-0.0008466933,0.003102319,0.01492131
0.324647427,-0.002765695,0.0002362556,0.01335437
0.329577923,-0.00782943,-0.001807221,0.01404178
0.334507942,-0.006900084,-0.0008109326,0.01100127
0.339437485,0.007074856,0.0003029443,0.01547735
0.344368458,0.003266997,0.001573907,0.009018281
0.349298477,0.0007114052,-0.0006679555,0.01279226
0.354228020,0.0006753167,-0.004725624,0.008606236
0.359158993,-0.007845735,-0.001343432,0.01233088
0.364089012,-0.002193358,-0.003019071,0.01019453
0.369018555,0.003718154,0.0006443164,0.007311163
0.373949528,0.002481266,0.003580615,0.008165227
0.378879547,0.001932388,-0.001392816,0.01339198
0.383809090,-0.002388905,0.001226282,0.00586665
0.388740063,-0.003780976,-0.005021285,0.00902227
0.393670082,0.003276831,0.001184131,0.0147774
0.398599625,0.001522783,0.003964172,0.007135305
0.403530598,0.0003935655,0.0008405838,0.009584282
0.408460140,-0.004875549,0.0004023655,0.007694919
0.413386345,-0.004262363,-0.002646341,0.00921395
0.418316364,-0.0008630909,-0.001340664,0.007549827
0.423246861,-0.0009158617,0.002322163,0.01387893
0.428181648,-0.001332546,0.00349976,0.01132013
0.433106899,-0.001202052,0.009412264,0.01035833
0.440502167,-0.0009750556,-0.000561628,0.0135049
0.445432663,0.002136601,-0.002372912,0.01254655
0.450362682,0.0005370839,-0.001887546,0.01495221
0.455292702,-0.002002824,0.002530262,0.008169902
0.460225105,-0.000997128,0.002831628,0.01472424
0.465153217,-0.002010162,0.0002942847,0.008208727
0.470083237,0.002132235,-0.0003962996,0.01932869
0.475013733,-0.0002569207,-0.003353983,0.01032607
0.479943752,-0.0001010797,-0.0007269618,0.009206751
0.484873772,0.002396287,-0.002438414,0.01423939
0.489804268,-0.00107804,0.002510285,0.007489
0.494734287,-0.005759719,0.001060638,0.01390039
0.499664784,-0.001798875,0.001394432,0.01009804
0.504594803,-0.0003568309,0.007120457,0.00865523
0.509524822,0.003383164,0.0002255158,0.01287137
0.514454842,0.003728289,-0.003725891,0.01505586
0.519384861,0.0007766413,-0.001799127,0.008761564
0.524315357,-0.0003491389,0.002877352,0.01235083
0.529245377,-0.003940947,0.003847674,0.01334476
0.534179688,-0.0002990081,0.005554155,0.01166341
0.539105892,-0.001043491,0.002736802,0.01366244
0.544035912,-0.0001915256,0.001152875,0.01386546
0.548965454,0.0003667776,-0.002832471,0.006241728
0.553896427,-0.002127364,-0.001147268,0.01164821
0.558826447,-0.005388631,0.001473874,0.01600687
0.563755989,0.0005409722,0.00280514,0.01060826
0.568686962,-0.001217104,0.003363375,0.01344501
0.573616982,0.0006687664,0.0007853904,0.0163888
0.578546524,-0.001735525,0.0006841618,0.009253404
0.583477497,-0.004003133,0.003143875,0.01037571
0.588407517,0.0002909759,0.0003416778,0.01428247
0.593337059,0.002903494,0.0009214671,0.01096088
0.598268032,0.001569814,-0.0005451469,0.01083224
0.603197575,-0.001687312,0.002058637,0.01519108
0.608127594,-0.003158829,-0.003838774,0.0130159
0.615519047,0.001410251,-0.004425405,0.00813799
0.620449066,-0.0002526445,-6.665313E-05,0.01005165
0.625379563,-0.001327046,0.0007466488,0.01413233
0.630309582,-0.005281082,0.001784677,0.01237053
0.635239601,-0.004438804,0.003050814,0.01444196
0.640170098,-0.005787972,0.007998941,0.01057883
0.645100117,-0.002986622,0.005013091,0.01604593
0.650035381,-0.006055813,0.006835477,0.01806673
0.654960632,0.0002834615,0.006144939,0.009703119
0.659890652,-0.001981219,0.002665352,0.01391142
0.664820671,0.0004421212,-0.003249225,0.01113859
0.669751167,0.006705623,-0.004780944,0.006628423
0.674681187,-0.00149832,-0.00483592,0.01189005
0.679611206,-9.450433E-05,0.0004318424,0.01109577
0.684541702,-0.0002637901,-0.0005980211,0.01026888
0.689471722,-0.0018088,0.001797963,0.007523766
0.694401741,0.001114757,0.001098809,0.01507687
0.699332237,-0.001029866,-0.004494977,0.01101055
0.704262257,0.00490112,-0.003234972,0.003057799
0.709192276,-0.0007923499,-0.002808166,0.01331247
