Time (s),X (g),Y (g),Z (g)
0.004195213,0.005935758,-0.001995381,0.01476222
0.009125710,0.002043158,-0.0005685464,0.0138284
0.014051437,0.002534866,-0.001524724,0.01238376
0.018981457,0.005448163,-0.002466474,0.0104605
0.023911476,0.006392837,0.001409959,0.008592665
0.028841972,0.005435199,-6.785616E-05,0.01239705
0.033771992,0.002527952,-0.001529124,0.009520888
0.038702011,0.004921466,0.003320489,0.007661939
0.043632030,0.002540708,-0.001564495,0.01142424
0.048562527,0.0005852282,0.001322139,0.01002431
0.053492546,-0.000857532,-0.00159863,0.005695522
0.058422565,0.005916089,-0.0001069009,0.007140934
0.063353062,0.00496009,-0.001099989,0.0142929
0.068283081,0.004916042,0.002783958,0.005268633
0.073213100,0.001086593,-0.003553294,0.01331764
0.078143597,0.008323461,0.0008558892,0.01049793
0.083073616,0.005870372,0.002281401,0.006703079
0.090468884,0.01119855,0.0008385591,0.01003069
0.095398903,0.00390023,-0.001130164,0.004301369
0.100329399,0.003933042,-0.00310564,0.01286745
0.105259419,0.003427058,-0.001198903,0.0162366
0.110189438,0.006328702,0.0007398576,0.0148195
0.115119934,0.002892435,0.002651796,0.006258726
0.120049953,0.004838437,0.001181975,0.01149535
0.124979973,0.002887875,0.00212317,0.01150978
0.129910469,0.00580591,-0.002186339,0.004301727
0.134840488,0.004337043,0.0002057068,0.00958395
0.139770508,0.02552387,0.01823031,-0.001686275
0.144700050,0.0322696,0.0124964,-0.02369654
0.149631023,-0.01702899,-0.005343892,0.01052582
0.154561043,0.0006614625,-0.01640586,0.03992581
0.159490585,-0.009723216,-0.002356198,0.003363788
0.164421558,0.03238901,0.007581297,-0.0003859997
0.169351578,-0.001624852,0.008751985,0.00255549
0.174281120,0.01489159,0.007401485,-0.001309037
0.179212093,-0.002971441,-0.003843617,0.00431329
0.184142113,5.811453E-05,-0.01014649,0.02283311
0.189071655,-0.005807161,-0.001456641,0.01146829
0.194002628,0.01207992,0.007826343,0.008206725
0.198932648,0.01011148,0.01068782,0.006333053
0.203862190,0.00679639,1.950189E-05,0.01051092
0.208793163,0.004900992,-0.007673241,0.003265262
0.213718891,0.001093447,-0.008672301,0.01994884
0.218650341,0.0005680919,-0.0004312135,0.01000452
0.223579407,0.001500726,0.008729275,0.009618342
0.228509426,0.009272784,0.01162713,0.0148809
0.233439446,0.005924284,0.002428234,0.008099079
0.238369942,0.009373993,-0.007647648,0.004643917
0.243299961,0.004542559,-0.009595178,0.01465803
0.248229981,0.004968137,-0.001819946,0.00806284
0.253160000,0.00687322,0.00687873,0.01149255
0.258090496,0.005408883,0.01117671,0.01105481
0.265485764,0.004574805,-0.0004339442,0.01137465
0.270415783,0.002716631,-0.01151988,0.01268214
0.275345802,0.00367108,-0.00710893,0.01081651
0.280276299,0.008995473,-0.002239753,0.01085532
0.285206318,0.006497353,0.005476817,0.005700886
0.290136337,0.00560227,0.002513237,0.01806188
0.295066834,0.002240896,-0.002799198,0.009885848
0.299996853,0.001274973,-0.006626908,0.004122257
0.304926872,0.006186098,-0.009971999,0.01313841
0.309857369,0.0119319,0.0007270947,0.008000195
0.314787388,0.007072687,0.0006970391,0.005621612
0.319721222,0.004193455,0.001607813,0.01469344
0.324647427,0.003269672,-0.001782902,0.01321256
0.329577923,0.0004067421,-0.00614417,0.01506948
0.334507942,-0.0005631745,-0.004673384,0.01221693
0.339437485,0.0120081,0.003142234,0.0118075
0.344368458,0.005693287,0.00261531,0.00751549
0.349298477,0.006218195,-0.0007907301,0.0112887
0.354228020,0.006233305,-0.004152428,0.006477356
0.359158993,-0.0005289018,-0.005671885,0.01362514
0.364089012,0.003845006,-0.004184823,0.009329081
0.369018555,0.005751342,0.002110209,0.005572498
0.373949528,0.003818154,0.004002862,0.007497072
0.378879547,0.007766575,-0.000831522,0.01124263
0.383809090,-1.609325E-06,-0.0003983602,0.00648129
0.388740063,0.002968431,-0.006674033,0.008308887
0.393670082,0.008281916,0.002026394,0.0126828
0.398599625,0.00244996,0.003899753,0.006976545
0.403530598,0.003952086,0.0005050823,0.008835375
0.408460140,-0.0008648336,-0.002447445,0.008800745
0.413386345,0.001609832,-0.004857678,0.009232819
0.418316364,0.003058881,-0.001935448,0.006869912
0.423246861,0.004043281,0.000944905,0.01357329
0.428181648,0.00211823,0.001873244,0.01166451
0.433106899,-0.0007957816,0.007125694,0.01218939
0.438037396,-0.0007244647,0.001750477,0.01736504
0.445432663,0.00800693,-0.00154293,0.01016194
0.450362682,0.007516623,-0.002032593,0.01302725
0.455292702,0.0006929636,0.0008334853,0.008775055
0.460225105,0.004106283,0.00131283,0.01449865
0.465153217,0.001691103,-0.001117297,0.008265793
0.470083237,0.00996536,-0.0001256131,0.0168494
0.475013733,0.005592108,-0.003505044,0.008710206
0.479943752,0.004089445,-0.001090232,0.008275867
0.484873772,0.008951008,-0.001548074,0.0116052
0.489804268,0.001159757,0.001313776,0.007830799
0.494734287,0.0007261932,-0.002583317,0.0149408
0.499664784,0.002164811,-0.0001350604,0.01019043
0.504594803,0.0001921058,0.005639769,0.009777427
0.509524822,0.007994831,0.001327772,0.01066816
0.514454842,0.01092753,-0.002037264,0.0115819
0.519384861,0.005079299,-0.00156394,0.007306695
0.524315357,0.003615737,0.001785897,0.01211679
0.529245377,0.0007230043,0.0007840954,0.01449174
0.534179688,0.00218761,0.00417304,0.01212519
0.539105892,0.003668219,0.00125714,0.0135197
0.544035912,0.005134612,0.0002965331,0.01302695
0.548965454,0.004152566,-0.002558179,0.004890323
0.553896427,0.003669918,-0.002581425,0.0110994
0.558826447,0.001721591,-0.0021285,0.01684141
0.563755989,0.003632009,0.002246909,0.01020133
0.568686962,0.003161699,0.001724981,0.01353341
0.573616982,0.007041991,0.0002974607,0.01495016
0.578546524,0.002175629,-0.0006840192,0.009222806
0.583477497,-0.0002581775,0.0002694987,0.01162601
0.588407517,0.006054431,-0.0001859143,0.01304466
0.593337059,0.006505191,0.001777098,0.009254813
0.598268032,0.006028563,-0.0001644865,0.009235144
0.603197575,0.004091591,0.0002768151,0.01497173
0.608127594,0.004600257,-0.005503293,0.01204604
0.613054276,0.004097044,-0.007405248,0.008219004
0.620449066,0.004030228,-0.0006283186,0.009261668
0.625379563,0.004516959,-0.0006381683,0.01355952
0.630309582,0.0001509488,-0.001637194,0.013556
0.635239601,0.001135677,-0.0002022497,0.01547068
0.640170098,-0.003739506,0.003605001,0.01360726
0.645100117,0.002108127,0.002165951,0.01691866
0.650035381,-0.0003111959,0.002127986,0.02026224
0.654960632,0.001582295,0.005070928,0.01027429
0.659890652,0.003055841,0.0007184111,0.01404959
0.664820671,0.006441534,-0.003102127,0.009241581
0.669751167,0.01025534,-0.001104668,0.002597153
0.674681187,0.005894542,-0.005491085,0.01020712
0.679611206,0.004376352,-0.0001601055,0.01028311
0.684541702,0.004346818,-0.001106698,0.009334028
0.689471722,0.0009068549,0.0003323555,0.00793761
0.694401741,0.006721884,0.0008499399,0.01367015
0.699332237,0.005750358,-0.004922837,0.009325862
0.704262257,0.00663361,-0.0005115233,0.000325799
0.709192276,0.00616461,-0.003434986,0.0117597
0.714122296,0.002711087,0.001396649,0.008964717
0.719052792,-0.00210771,-0.002513237,0.01561141
0.723982811,-0.003611475,0.004724935,0.01856244
0.728912354,-0.004597545,0.005677339,0.01188993
0.733843327,0.005118698,0.003305264,0.01519489
0.738773346,0.005101025,-0.001028303,0.01373422
0.743706227,0.006008923,-0.0009712651,0.006598055
0.748633862,0.00886935,-0.0009340383,0.006618679
0.753563881,0.007827938,6.692111E-05,0.001407266
0.758493423,0.005830944,0.004381478,0.01245803
0.763424396,0.001885116,0.006290637,0.008208871
0.768354416,0.003828824,-0.0004552156,0.009582639
0.773283958,0.005765647,-0.005249273,0.01002091
0.778214931,0.00763005,-0.001331199,0.007220984
0.783144951,0.002235264,-0.0008534677,0.007259548
0.788074493,0.005113482,0.0006287172,0.007283449
0.795469761,0.001658618,0.002522446,0.01258445
0.800400734,-0.001274824,0.002981562,0.0140357
0.805331230,0.0006241798,0.00396372,0.01214951
0.810260296,0.002514869,0.005426399,0.008360147
0.815186501,0.003505886,-0.002293419,0.01162976
0.820116997,0.001491934,0.0001362413,0.0107314
0.825047016,0.001450688,-0.001314245,0.01360464
0.829977035,0.002344966,0.00258949,0.009372413
0.834907532,0.005705386,-0.0007592551,0.009356976
0.839837551,0.001761675,-0.003635861,0.004591167
0.844767570,0.005600959,-0.003598604,0.00938338
0.849698067,0.007468045,-0.00113529,0.009914398
0.854628086,-0.002258778,-0.001674745,0.01566625
0.859558105,0.01075631,0.00277669,0.01381481
0.864488602,-0.002898902,-0.002115712,0.00665915
0.869418621,0.000908643,-0.0001449436,0.008615971
0.874348640,0.01149753,0.001878701,0.006747365
0.879283905,0.01482579,-0.002854668,-0.00807184
0.884209156,0.005083889,0.002336834,0.01254141
0.889139175,0.009891063,-0.002924945,0.007257581
0.894069672,0.008824825,0.005742021,0.01931763
0.898999691,0.006908178,-0.001541119,0.02593619
0.903929710,-0.005832285,-0.001571894,0.01263541
0.908859730,-0.005426019,-0.002966199,-0.0007150173
0.913790226,0.001320124,-0.0005143359,0.002183676
0.918720245,-0.00553754,0.0003950149,0.00127399
0.923649788,0.0002456307,0.00138811,0.01036859
0.928580761,-0.004618764,-0.003002044,0.01607686
0.933510780,-0.00129059,-0.004866857,0.008446574
0.938440323,0.0001075566,-0.003404465,0.01373863
0.943371296,-0.001880139,-0.004830472,0.01184112
0.948301315,-0.001022846,5.440414E-05,0.003812551
0.953230858,-8.7291E-05,0.0009989068,0.01291132
0.958161831,0.001385182,-0.006268758,0.02191681
0.963091850,-0.007876039,-0.006799497,0.02051181
0.968021393,-0.01273057,-0.006389365,0.03294247
0.975416660,0.002989948,0.01208457,0.006454885
0.980347633,0.02659649,0.01225985,-0.01021856
0.985277653,0.02410069,0.002115712,-0.007399559
0.990207195,0.005220145,-0.01540827,0.005359471
0.995138168,-0.005033016,-0.01303948,0.01450026
1.000067711,-0.009044856,0.001895357,0.02089888
1.004997730,1.323223E-05,0.01688496,0.01296133
1.009928703,0.004816562,0.01250984,0.01055008
1.014859200,0.004344285,-0.002976481,0.01137096
1.019784451,0.001410306,-0.01357869,0.009388626
1.024714470,-0.000611037,-0.01500193,0.01180673
1.029644966,0.0040631,-0.00285475,0.007684231
1.034574986,0.0005291998,0.005788974,0.007822871
1.039505005,0.00137949,0.01152982,0.01078767
1.044435501,-0.002512187,0.003705256,0.01694119
1.049365520,-0.0001638234,-0.001587152,0.00737524
1.054295540,0.009911984,-0.004850533,-0.002165616
1.059226036,0.01510513,-0.005254544,-0.007841051
1.064156055,0.01545179,-0.0008939691,-9.679794E-05
1.069086075,0.00949353,0.001959153,-0.0009585023
1.074016571,0.006019503,0.001917958,-0.0004417896
1.078946590,0.004994094,0.0009215884,0.001486599
1.083876610,0.007390827,-0.002940763,0.00767535
1.088807106,-0.006229997,-0.004024785,0.01773208
1.093737125,-0.004796594,-0.005947269,0.01629126
1.098667145,-0.003937423,0.00321139,0.01641554
