Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
0.004195213,0.7896963,0.5005564,-0.3372713,-0.4397185,0.8572668,0.24334,0.4134687,-0.0448321,0.9023319
0.009125710,0.7896951,0.5005632,-0.3372652,-0.4397267,0.8572634,0.2433386,0.4134631,-0.04483052,0.902335
0.014051437,0.7897129,0.5005317,-0.3372704,-0.439697,0.8572817,0.2433283,0.4134609,-0.04483439,0.902336
0.018981457,0.7897295,0.5004963,-0.3372836,-0.439663,0.8573021,0.2433171,0.4134649,-0.04483524,0.902334
0.023911476,0.7897401,0.5004758,-0.3372883,-0.439647,0.8573141,0.2433026,0.4134609,-0.04482967,0.9023358
0.028841972,0.7897406,0.5004683,-0.337298,-0.4396421,0.8573188,0.2432946,0.413465,-0.04482079,0.9023342
0.033771992,0.7897404,0.5004711,-0.3372942,-0.4396452,0.857317,0.2432947,0.4134618,-0.04482152,0.9023355
0.038702011,0.7897515,0.5004475,-0.337303,-0.4396274,0.8573313,0.2432767,0.4134595,-0.04481202,0.9023371
0.043632030,0.7897242,0.5004981,-0.3372921,-0.4396827,0.8573029,0.2432771,0.413453,-0.0447918,0.9023411
0.048562527,0.7897674,0.5004189,-0.3373083,-0.4396151,0.8573494,0.243235,0.4134423,-0.04478455,0.9023464
0.053492546,0.7897919,0.500366,-0.33733,-0.4395746,0.8573816,0.2431954,0.4134389,-0.04476315,0.9023494
0.058422565,0.7898437,0.5002496,-0.3373804,-0.4394621,0.8574491,0.2431594,0.4134589,-0.04476301,0.9023401
0.063353062,0.7899184,0.5000991,-0.3374273,-0.4393211,0.8575361,0.2431051,0.4134651,-0.044765,0.9023369
0.068283081,0.7899587,0.5000175,-0.3374546,-0.4392507,0.8575847,0.2430618,0.4134633,-0.04475217,0.9023387
0.073213100,0.7900319,0.4998714,-0.3374988,-0.4391147,0.8576694,0.2430073,0.4134673,-0.04475324,0.9023368
0.078143597,0.7900888,0.4997486,-0.3375457,-0.4389983,0.8577403,0.2429648,0.4134806,-0.04475217,0.9023303
0.083073616,0.7901195,0.4996762,-0.3375809,-0.4389371,0.8577834,0.2429226,0.4134868,-0.04473118,0.9023286
0.088003635,0.7901452,0.4996046,-0.3376262,-0.4388716,0.8578258,0.2428904,0.4135068,-0.04471404,0.9023203
0.092934132,0.7902528,0.499382,-0.337704,-0.4386592,0.8579552,0.2428176,0.413527,-0.04471999,0.9023113
0.097864151,0.7903405,0.4992018,-0.3377634,-0.4384975,0.85806,0.2427364,0.4135293,-0.04470535,0.9023106
0.105259419,0.7904761,0.4989151,-0.3378684,-0.4382375,0.8582273,0.2426121,0.4135448,-0.04468136,0.9023048
0.110189438,0.7905438,0.498777,-0.337913,-0.4381179,0.8583082,0.2425404,0.4135413,-0.04466167,0.9023072
0.115119934,0.7905939,0.4986657,-0.3379599,-0.4380231,0.8583741,0.242478,0.4135458,-0.04463565,0.9023066
0.120049953,0.7906463,0.4985432,-0.3380173,-0.4379109,0.8584458,0.242426,0.4135639,-0.04461978,0.902299
0.124979973,0.7907078,0.4984166,-0.3380596,-0.4377986,0.8585196,0.2423658,0.4135647,-0.04460631,0.9022993
0.129910469,0.7908109,0.4982061,-0.3381276,-0.4376002,0.8586411,0.2422921,0.4135766,-0.04461006,0.9022937
0.134840488,0.790891,0.498044,-0.3381788,-0.4374498,0.8587351,0.24223,0.4135823,-0.04460855,0.9022913
0.139770508,0.7909321,0.4979167,-0.33827,-0.4373391,0.8588112,0.2421593,0.4136208,-0.0445597,0.9022763
0.144700050,0.7908452,0.4980367,-0.338297,-0.4374497,0.8587438,0.242199,0.4136703,-0.04452086,0.9022554
0.149631023,0.790779,0.4982097,-0.3381974,-0.4376232,0.8586436,0.2422421,0.4136137,-0.044524,0.902281
0.154561043,0.790778,0.4982726,-0.3381076,-0.4376857,0.8586056,0.2422651,0.4135499,-0.0445603,0.9023086
0.159490585,0.7906824,0.4984461,-0.338076,-0.4378501,0.8585061,0.2423213,0.4135592,-0.04453996,0.9023052
0.164421558,0.7906369,0.4984706,-0.3381464,-0.4378623,0.8584932,0.2423446,0.4136333,-0.0445124,0.9022726
0.169351578,0.7905275,0.4986644,-0.3381186,-0.4380556,0.858384,0.2423852,0.4136395,-0.04446473,0.9022725
0.174281120,0.7904639,0.4987811,-0.338096,-0.4381694,0.8583176,0.2424161,0.4136412,-0.04444516,0.9022727
0.179212093,0.7904439,0.4988412,-0.3380533,-0.4382247,0.8582816,0.2424429,0.4136203,-0.04446172,0.9022812
0.184142113,0.7904331,0.4988944,-0.3380003,-0.4382749,0.8582497,0.2424655,0.4135879,-0.04448336,0.9022949
