Time (s),W,X,Y,Z
0.004195213,0.9428732,0.07640795,0.1990564,0.2493111
0.009125710,0.942873,0.07640719,0.1990534,0.2493151
0.014051437,0.9428779,0.07640509,0.1990532,0.2492976
0.018981457,0.9428825,0.07640196,0.1990567,0.2492779
0.023911476,0.9428858,0.07639638,0.1990562,0.2492674
0.028841972,0.9428863,0.07639186,0.1990598,0.249264
0.033771992,0.9428862,0.07639208,0.1990579,0.2492656
0.038702011,0.9428898,0.0763845,0.1990589,0.2492537
0.043632030,0.942883,0.07637981,0.1990558,0.2492835
0.048562527,0.9428955,0.07636572,0.1990546,0.2492413
0.053492546,0.9429034,0.0763489,0.1990577,0.2492145
0.058422565,0.942918,0.07633813,0.1990733,0.2491499
0.063353062,0.942939,0.07632255,0.199083,0.2490671
0.068283081,0.942951,0.07630671,0.1990872,0.2490236
0.073213100,0.9429717,0.07629088,0.1990956,0.2489433
0.078143597,0.9429879,0.07627802,0.1991082,0.2488756
0.083073616,0.9429974,0.07626049,0.1991171,0.2488377
0.088003635,0.9430053,0.07624678,0.1991328,0.2487993
0.092934132,0.9430355,0.07622662,0.1991524,0.248676
0.097864151,0.9430609,0.07619914,0.1991634,0.2485787
0.102794170,0.9430903,0.07617142,0.1991817,0.2484611
0.110189438,0.9431204,0.07613082,0.1991936,0.2483498
0.115119934,0.9431356,0.07610615,0.1992041,0.2482911
0.120049953,0.9431511,0.0760869,0.1992208,0.2482249
0.124979973,0.9431691,0.07606594,0.1992284,0.2481568
0.129910469,0.9431981,0.07604504,0.1992435,0.2480408
0.134840488,0.9432208,0.07602635,0.1992538,0.247952
0.139770508,0.9432343,0.07599357,0.1992853,0.2478853
0.144700050,0.9432111,0.07599568,0.1993105,0.2479525
0.149631023,0.9431925,0.07600943,0.199273,0.2480493
0.154561043,0.9431909,0.07602528,0.1992326,0.2480829
0.159490585,0.9431646,0.07603691,0.1992323,0.2481794
0.164421558,0.9431526,0.07603674,0.1992731,0.2481923
0.169351578,0.9431236,0.07603721,0.1992735,0.2483026
0.174281120,0.9431064,0.07604159,0.1992716,0.2483682
0.179212093,0.9431001,0.07605359,0.1992561,0.2484004
0.184142113,0.9430963,0.07606562,0.1992342,0.2484288
0.189071655,0.9430686,0.07607909,0.1992006,0.2485565
