Time (s),Power (dBm),Percentage (%)
0.116898060,-39,100
0.616886139,-39,100
1.116806984,-39,100
1.616700649,-37,100
2.131630898,-37,100
2.683721066,-41,100
3.116841793,-39,100
3.616764546,-39,100
4.116708279,-37,100
4.616631985,-37,100
5.116590023,-39,100
5.616584778,-37,100
6.116667271,-41,100
6.616843224,-39,100
7.116632462,-41,100
7.696198464,-37,100
8.116491795,-43,100
8.617904186,-43,100
9.116658211,-37,100
9.616739273,-37,100
10.116473198,-41,100
10.627406120,-41,100
11.184984684,-41,100
11.616855145,-41,100
12.116675377,-39,100
12.616519928,-39,100
13.116460323,-41,100
13.667264939,-41,100
14.116412640,-37,100
14.616321087,-35,100
15.116574287,-39,100
15.616465569,-37,100
16.116369247,-35,100
16.616408825,-39,100
17.116285324,-37,100
17.616305828,-37,100
18.116409779,-35,100
18.616356373,-37,100
19.116294861,-35,100
19.616240978,-35,100
20.143334389,-39,100
20.616249561,-35,100
21.116406918,-39,100
21.616294861,-39,100
22.116201878,-41,100
22.616166592,-43,100
23.116120815,-37,100
23.616496086,-43,100
24.116342545,-39,100
24.616180420,-33,100
25.116179943,-37,100
25.616089344,-41,100
26.116017818,-37,100
26.616263390,-43,100
27.116139412,-35,100
27.616096974,-37,100
28.116107464,-39,100
28.615957260,-39,100
29.116919994,-39,100
29.666866303,-39,100
30.218043804,-39,100
30.630669117,-39,100
31.116841793,-39,100
31.616792202,-35,100
32.116796017,-39,100
32.616789818,-35,100
33.117010117,-37,100
33.616734028,-37,100
34.116788387,-35,100
34.616678238,-37,100
35.116653442,-37,100
35.668777943,-35,100
36.116660118,-39,100
36.616729260,-41,100
37.116601944,-35,100
37.616594792,-37,100
38.116676807,-45,100
38.616825104,-37,100
39.116604328,-37,100
39.616648674,-43,100
40.136413574,-41,100
40.616520882,-35,100
41.116548061,-39,100
41.616637707,-35,100
42.116597176,-37,100
42.616482258,-37,100
43.116446018,-44,100
43.616408348,-35,100
44.116522312,-35,100
44.616536617,-35,100
45.116535187,-41,100
45.616389752,-41,100
46.116360664,-41,100
46.650516987,-35,100
47.116443157,-31,100
47.616555214,-43,100
48.116334438,-35,100
48.616418839,-39,100
49.116278648,-39,100
49.616272450,-37,100
50.116266251,-35,100
50.616437435,-35,100
51.116303921,-39,100
51.616263867,-41,100
52.116225719,-39,100
52.616227150,-31,100
53.116201878,-39,100
53.617954731,-39,100
54.162604809,-43,100
54.787923336,-37,100
55.116147041,-41,100
55.616083622,-35,100
56.116139889,-35,100
56.704356194,-43,100
57.116159439,-37,100
57.616087914,-39,100
58.116008282,-37,100
58.616031647,-35,100
59.166842938,-41,100
59.616165161,-41,100
60.116075039,-39,100
60.615992069,-41,100
61.187517166,-35,100
61.615949154,-35,100
62.116246700,-39,100
62.616153240,-37,100
63.115988731,-41,100
63.615904808,-35,100
64.115890026,-31,100
64.615842343,-37,100
65.115883350,-33,100
65.616013050,-39,100
66.115795136,-38,100
66.615837574,-39,100
67.115797997,-37,100
67.615707874,-39,100
68.115886211,-39,100
68.615928650,-37,100
69.115704536,-39,100
69.680890083,-35,100
70.115657330,-35,100
70.615643025,-31,100
71.115724087,-39,100
71.615767479,-39,100
72.115706444,-39,100
72.615594387,-43,100
73.115571499,-37,100
73.615547180,-33,100
74.138428688,-31,100
74.615735054,-37,100
75.115635872,-37,100
75.615483284,-39,100
76.115504265,-43,100
76.615456104,-35,100
77.115610600,-35,100
77.615591049,-35,100
78.115458488,-37,100
78.615513802,-47,100
79.130128861,-47,100
79.682799339,-39,100
80.115515709,-35,100
80.615573883,-33,100
81.115451336,-35,100
81.615437985,-33,100
82.127308846,-33,100
82.665814877,-35,100
83.216106892,-35,100
83.615488529,-41,100
84.115352154,-37,100
84.615287781,-35,100
85.115245819,-35,100
85.615203381,-41,100
86.115345955,-33,100
86.615343094,-35,100
87.115231037,-37,100
87.615260124,-41,100
88.115113735,-33,100
88.615119457,-35,100
89.115212917,-37,100
89.615327835,-37,100
90.115102291,-39,100
90.615162373,-35,100
91.115050793,-37,100
91.615012646,-35,100
92.115118980,-35,100
92.615233421,-37,100
93.115000248,-37,100
93.615078449,-35,100
94.115017891,-35,100
94.614930630,-39,100
95.115251541,-43,100
95.615115643,-35,100
96.115011215,-37,100
96.614966393,-37,100
97.114878655,-37,100
97.614871979,-33,100
98.114961624,-35,100
98.615059376,-39,100
99.114881992,-37,100
99.614916325,-45,100
100.114787579,-41,100
100.614795208,-41,100
101.114795208,-37,100
101.614872456,-39,100
102.114853859,-39,100
102.614815712,-35,100
103.159795284,-35,100
103.710682392,-37,100
104.114679337,-39,100
104.614894390,-35,100
105.114739418,-41,100
105.614686012,-39,100
106.203057289,-41,100
106.644727230,-41,100
107.114649773,-37,100
107.614825726,-35,100
108.114571095,-39,100
108.614662171,-39,100
109.114571571,-41,100
109.614510059,-37,100
110.114553452,-39,100
110.614638329,-37,100
111.114492893,-37,100
111.614569187,-39,100
112.114457130,-37,100
112.614468575,-35,100
113.114414215,-35,100
113.614661217,-35,100
114.114417553,-37,100
114.614469052,-35,100
115.114445210,-35,100
115.614327908,-37,100
116.114312172,-37,100
116.614530563,-39,100
117.114594460,-39,100
117.614297390,-35,100
118.114322662,-37,100
118.614255905,-39,100
119.114220142,-39,100
119.614435196,-41,100
120.114281178,-39,100
120.614234448,-39,100
121.114265442,-40,100
121.614171982,-39,100
