Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.004195213,-0.01517372,0.06058872,-0.03046751,0.4194044,-0.04682748,0.9170941,-22.02479,6.592311,-63.20399,1008.882
0.009125710,-0.07639774,-0.05938844,-0.03046751,0.4155062,-0.04539907,0.9161634,-22.02479,6.592311,-63.20399,1008.884
0.014051437,0.1072743,0.06058872,0.09137797,0.4159957,-0.04635911,0.9147198,-22.02479,6.592311,-63.20399,1008.884
0.018981457,-0.01517372,0.0006001405,0.03045522,0.4189131,-0.04730171,0.9127945,-22.02479,6.592311,-63.20399,1008.884
0.023911476,0.1072743,0.1805659,-0.03046751,0.4198537,-0.04341971,0.9109285,-22.02479,6.592311,-63.20399,1008.884
0.028841972,0.04605031,-0.05938844,-0.09139025,0.4189002,-0.04488865,0.9147313,-22.02479,6.592311,-63.20399,1008.884
0.033771992,-0.07639774,0.0006001405,0.03045522,0.4159898,-0.04635064,0.9118564,-22.02479,6.592311,-63.20399,1008.884
0.038702011,0.1684983,0.06058872,0.03045522,0.4183809,-0.04149153,0.9099991,-22.02479,6.592311,-63.20399,1008.884
0.043632030,0.1684983,-0.1793656,-0.152313,0.4159937,-0.04635629,0.9137653,-22.02479,6.592311,-63.20399,1008.884
0.048562527,-0.1376218,-0.05938844,-0.09139025,0.4140275,-0.04346241,0.9123707,-21.73548,6.589115,-64.02517,1008.884
0.053492546,0.1684983,-0.1793656,-0.09139025,0.4125814,-0.04636178,0.9080449,-21.73548,6.589115,-64.02517,1008.884
0.058422565,0.04605031,-0.1793656,0.09137797,0.419375,-0.04486991,0.909481,-21.73548,6.589115,-64.02517,1008.884
0.063353062,0.1072743,-0.05938844,0.03045522,0.4184252,-0.04586499,0.9166298,-21.73548,6.589115,-64.02517,1008.884
0.068283081,0.04605031,0.0006001405,-0.03046751,0.4183793,-0.04196821,0.9076074,-21.73548,6.589115,-64.02517,1008.884
0.073213100,0.1072743,-0.2393542,-0.03046751,0.4145539,-0.04830653,0.9156545,-21.73548,6.589115,-64.02517,1008.884
0.078143597,0.1072743,-0.119377,-0.03046751,0.4218041,-0.04389628,0.9128283,-21.73548,6.589115,-64.02517,1008.884
0.083073616,-0.01517372,0.06058872,-0.2741585,0.4193572,-0.04244978,0.9090317,-21.73548,6.589115,-64.02517,1008.884
0.088003635,-0.01517372,-0.2993428,-0.09139025,0.4208249,-0.04293379,0.912364,-21.73548,6.589115,-64.02517,1008.884
0.092934132,0.2297224,-0.05938844,0.03045522,0.4199095,-0.05116242,0.9117936,-21.71858,6.215197,-63.58191,1008.884
0.097864151,0.04605031,0.1205773,-0.2132357,0.4184031,-0.04439681,0.91092,-21.71858,6.215197,-63.58191,1008.884
0.102794170,0.1684983,-0.2993428,-0.152313,0.4169781,-0.04876294,0.9118268,-21.71858,6.215197,-63.58191,1008.884
0.107724667,0.1684983,-0.119377,-0.2132357,0.4145273,-0.04491609,0.9142619,-21.71858,6.215197,-63.58191,1008.884
0.112654686,0.1684983,0.06058872,-0.152313,0.4188697,-0.04149256,0.9114298,-21.71858,6.215197,-63.58191,1008.884
0.120049953,-0.01517372,-0.2393542,-0.03046751,0.4184024,-0.0434378,0.9137944,-21.71858,6.215197,-63.58191,1008.884
0.124979973,0.1684983,-0.05938844,0.09137797,0.4164526,-0.04248314,0.9138091,-21.71858,6.215197,-63.58191,1008.884
0.129910469,-0.07639774,-0.05938844,0.03045522,0.4193825,-0.0467964,0.9065954,-21.71858,6.215197,-63.58191,1008.884
0.134840488,0.04605031,-0.1793656,-0.03046751,0.4179194,-0.04440284,0.9118752,-21.71858,6.215197,-63.58191,1008.884
0.139770508,0.2909464,-0.119377,-0.3350812,0.4391446,-0.0263294,0.90059,-21.71858,6.215197,-63.58191,1008.884
0.144700050,0.2297224,0.1205773,0.2132234,0.4459399,-0.03202446,0.8785589,-22.05699,7.340462,-64.02781,1008.884
0.149631023,0.04605031,0.2405545,0.2132234,0.3965847,-0.04986789,0.9128069,-22.05699,7.340462,-64.02781,1008.884
0.154561043,0.2297224,-0.05938844,-0.03046751,0.4142114,-0.06096616,0.9422344,-22.05699,7.340462,-64.02781,1008.884
0.159490585,0.2297224,-0.6592742,-0.396004,0.403836,-0.04689616,0.905669,-22.05699,7.340462,-64.02781,1008.884
0.164421558,0.1072743,-0.119377,-0.3350812,0.4460223,-0.0369311,0.9018866,-22.05699,7.340462,-64.02781,1008.884
0.169351578,0.04605031,0.1805659,0.03045522,0.4120147,-0.03571275,0.904828,-22.05699,7.340462,-64.02781,1008.884
0.174281120,0.1072743,0.2405545,0.1523007,0.4285328,-0.03704368,0.9009637,-22.05699,7.340462,-64.02781,1008.883
0.179212093,-0.01517372,0.4205202,0.2741462,0.4106489,-0.04830534,0.9065945,-22.05699,7.340462,-64.02781,1008.883
0.184142113,-0.01517372,0.1805659,-0.2132357,0.413646,-0.05462985,0.925128,-22.05699,7.340462,-64.02781,1008.883
0.189071655,0.1684983,0.06058872,-0.2741585,0.4077323,-0.04592704,0.9137858,-22.05699,7.340462,-64.02781,1008.883
0.194002628,-0.01517372,0.1205773,-0.2741585,0.4256348,-0.03660742,0.9105189,-21.72426,6.591322,-63.58617,1008.883
0.198932648,-0.01517372,-0.05938844,0.09137797,0.4236676,-0.03371214,0.9086469,-21.72426,6.591322,-63.58617,1008.883
0.203862190,-0.1376218,0.2405545,0.2741462,0.4203502,-0.04438964,0.9128253,-21.72426,6.591322,-63.58617,1008.883
0.208793163,-0.01517372,0.3605316,0.2741462,0.418446,-0.05212116,0.9055814,-21.72426,6.591322,-63.58617,1008.883
0.213718891,-0.01517372,0.4205202,0.1523007,0.4146014,-0.05316373,0.9222797,-21.72426,6.591322,-63.58617,1008.884
0.218650341,-0.01517372,0.1205773,-0.152313,0.4140376,-0.04491365,0.9123539,-21.72426,6.591322,-63.58617,1008.884
0.223579407,-0.01517372,0.06058872,-0.09139025,0.4149442,-0.0357147,0.9119809,-21.72426,6.591322,-63.58617,1008.884
0.228509426,-0.2600698,0.06058872,0.03045522,0.4227072,-0.03277649,0.9172497,-21.72426,6.591322,-63.58617,1008.884
0.233439446,-0.1988458,-0.05938844,0.2132234,0.4193568,-0.04197028,0.9104689,-21.72426,6.591322,-63.58617,1008.884
0.238369942,-0.1988458,0.06058872,0.2132234,0.4228209,-0.05209655,0.9070051,-21.72426,6.591322,-63.58617,1008.884
0.243299961,-0.07639774,0.1205773,-0.03046751,0.4179976,-0.05409324,0.917013,-21.72994,6.967447,-63.59044,1008.884
0.248229981,0.1072743,0.06058872,-0.2132357,0.4184156,-0.04633037,0.9104205,-21.72994,6.967447,-63.59044,1008.884
0.253160000,-0.1376218,0.2405545,-0.2132357,0.420305,-0.03762006,0.9138579,-21.72994,6.967447,-63.59044,1008.884
0.258090496,-0.01517372,0.1205773,-0.03046751,0.4188165,-0.03327458,0.9134335,-21.72994,6.967447,-63.59044,1008.884
0.263020516,-0.2600698,0.3605316,0.1523007,0.4169582,-0.04250818,0.9233525,-21.72994,6.967447,-63.59044,1008.884
0.267950535,-0.1376218,0.06058872,0.3959917,0.4145605,-0.05166871,0.9075028,-21.72994,6.967447,-63.59044,1008.884
0.272881031,-0.1988458,0.300543,-0.09139025,0.4160543,-0.05506366,0.9136649,-21.72994,6.967447,-63.59044,1008.884
0.277811050,-0.01517372,0.2405545,-0.2741585,0.4140742,-0.04975532,0.9137298,-21.72994,6.967447,-63.59044,1008.884
0.282741070,0.1072743,0.06058872,-0.3350812,0.4261673,-0.04289712,0.9118771,-21.72994,6.967447,-63.59044,1008.884
0.287671566,-0.07639774,0.300543,-0.03046751,0.4208152,-0.03956737,0.9190841,-21.72994,6.967447,-63.59044,1008.884
0.292601585,0.1684983,0.1805659,0.09137797,0.4150161,-0.04491712,0.9156927,-22.03601,6.590104,-63.64299,1008.886
0.299996853,-0.01517372,-0.05938844,0.03045522,0.4145551,-0.05118215,0.906554,-22.03601,6.590104,-63.64299,1008.886
0.304926872,-0.1376218,0.2405545,-0.09139025,0.4194553,-0.05456313,0.9155732,-22.03601,6.590104,-63.64299,1008.886
0.309857369,0.1684983,0.1805659,-0.152313,0.4251995,-0.04386678,0.9104361,-22.03601,6.590104,-63.64299,1008.886
0.314787388,-0.01517372,0.2405545,-0.09139025,0.4203368,-0.04389177,0.9080588,-22.03601,6.590104,-63.64299,1008.886
0.319721222,0.1684983,0.2405545,0.1523007,0.4174345,-0.04297036,0.9171422,-22.03601,6.590104,-63.64299,1008.886
0.324647427,-0.01517372,0.2405545,0.03045522,0.4164835,-0.04635873,0.9156733,-22.03601,6.590104,-63.64299,1008.886
0.329577923,0.04605031,0.1205773,-0.09139025,0.4136032,-0.0507373,0.9175373,-22.03601,6.590104,-63.64299,1008.886
0.334507942,0.04605031,0.06058872,0.03045522,0.4126156,-0.04928401,0.9146925,-22.03601,6.590104,-63.64299,1008.886
0.339437485,-0.01517372,0.1805659,-0.152313,0.4251907,-0.04145936,0.9142817,-21.73155,6.967132,-63.65315,1008.886
0.344368458,0.1072743,0.1205773,-0.03046751,0.4188701,-0.04197206,0.9099926,-21.73155,6.967132,-63.65315,1008.886
0.349298477,0.1072743,0.2405545,-0.152313,0.4193873,-0.04536636,0.9137704,-21.73155,6.967132,-63.65315,1008.886
0.354228020,0.1072743,0.1205773,-0.03046751,0.419401,-0.04873844,0.9089592,-21.73155,6.967132,-63.65315,1008.886
0.359158993,0.1684983,0.1205773,-0.152313,0.4126253,-0.05025573,0.9161129,-21.73155,6.967132,-63.65315,1008.886
0.364089012,0.1684983,0.2405545,-0.2741585,0.4169781,-0.04876294,0.9118268,-21.73155,6.967132,-63.65315,1008.886
0.369018555,0.04605031,0.2405545,-0.09139025,0.4188695,-0.04245016,0.9080781,-21.73155,6.967132,-63.65315,1008.886
0.373949528,0.1072743,0.300543,0.03045522,0.4169169,-0.04053366,0.9100128,-21.73155,6.967132,-63.65315,1008.884
0.378879547,0.2297224,0.300543,0.09137797,0.4208446,-0.04535674,0.9137678,-21.73155,6.967132,-63.65315,1008.884
0.383809090,0.1684983,0.2405545,-0.03046751,0.4130591,-0.04491017,0.9090152,-21.73155,6.967132,-63.65315,1008.884
0.388740063,0.1684983,0.06058872,-0.09139025,0.4160214,-0.05118525,0.9108463,-21.72426,6.591322,-63.58617,1008.884
0.393670082,0.2297224,0.3605316,-0.3350812,0.4213132,-0.04245532,0.915232,-21.72426,6.591322,-63.58617,1008.884
0.398599625,0.2909464,0.300543,-0.09139025,0.4154586,-0.04054186,0.9095382,-21.72426,6.591322,-63.58617,1008.884
0.403530598,0.1072743,0.2405545,-0.03046751,0.4169434,-0.0439241,0.9114054,-21.72426,6.591322,-63.58617,1008.884
0.408460140,0.2297224,0.1805659,-0.03046751,0.412106,-0.04685861,0.9113806,-21.72426,6.591322,-63.58617,1008.884
0.413386345,0.1684983,0.2405545,-0.09139025,0.4145527,-0.04926271,0.9118256,-21.72426,6.591322,-63.58617,1008.884
0.418316364,0.1072743,0.2405545,-0.03046751,0.4159848,-0.04634358,0.9094704,-21.72426,6.591322,-63.58617,1008.884
0.423246861,0.04605031,0.06058872,0.03045522,0.41695,-0.04345448,0.9161831,-21.72426,6.591322,-63.58617,1008.884
0.428181648,0.2297224,0.2405545,-0.152313,0.4149963,-0.04249417,0.9142889,-21.72426,6.591322,-63.58617,1008.884
0.433106899,0.1072743,0.1205773,-0.09139025,0.4120457,-0.03719364,0.9148328,-21.72426,6.591322,-63.58617,1008.884
0.438037396,-0.01517372,-0.2393542,-0.2132357,0.4120936,-0.04253035,0.9200208,-21.70896,6.217089,-63.20563,1008.884
0.442967415,0.04605031,-0.119377,0.09137797,0.4179272,-0.04680884,0.9075525,-21.70896,6.217089,-63.20563,1008.884
0.447897434,-0.07639774,-0.1793656,0.09137797,0.4193763,-0.04391372,0.9133099,-21.70896,6.217089,-63.20563,1008.884
0.452827931,0.1684983,-0.119377,-0.03046751,0.4160086,-0.04877217,0.912783,-21.70896,6.217089,-63.20563,1008.884
0.457757950,0.04605031,0.06058872,-0.09139025,0.4154834,-0.04297188,0.9133281,-21.70896,6.217089,-63.20563,1008.888
0.462687969,0.2297224,-0.05938844,0.03045522,0.4174306,-0.04440181,0.9104446,-21.70896,6.217089,-63.20563,1008.888
0.467618466,-0.01517372,0.1805659,-0.03046751,0.4169256,-0.04150397,0.9109561,-21.70896,6.217089,-63.20563,1008.888
0.475013733,-0.01517372,-0.1793656,0.1523007,0.4184277,-0.04778443,0.9113581,-21.70896,6.217089,-63.20563,1008.888
0.479943752,0.1072743,-0.1793656,-0.09139025,0.4169526,-0.04537391,0.9109114,-21.70896,6.217089,-63.20563,1008.888
0.484873772,-0.01517372,0.06058872,-0.03046751,0.4218206,-0.04583549,0.9142377,-21.72426,6.591322,-63.58617,1008.888
0.489804268,-0.01517372,0.1205773,-0.09139025,0.4140202,-0.04297303,0.9104674,-21.72426,6.591322,-63.58617,1008.888
0.494734287,0.04605031,0.06058872,-0.03046751,0.4135762,-0.04686736,0.9175819,-21.72426,6.591322,-63.58617,1008.888
0.499664784,-0.1376218,0.0006001405,0.03045522,0.4150067,-0.0444249,0.9128349,-21.72426,6.591322,-63.58617,1008.887
0.504594803,-0.01517372,-0.05938844,-0.09139025,0.4130223,-0.03863139,0.9124282,-21.72426,6.591322,-63.58617,1008.887
0.509524822,-0.07639774,0.1205773,0.03045522,0.4208269,-0.04293662,0.9133185,-21.72426,6.591322,-63.58617,1008.887
0.514454842,0.04605031,0.06058872,0.03045522,0.423767,-0.04630641,0.9142286,-21.72426,6.591322,-63.58617,1008.887
0.519384861,-0.01517372,0.0006001405,-0.03046751,0.4179255,-0.04584842,0.9099497,-21.72426,6.591322,-63.58617,1008.887
0.524315357,0.1072743,0.1205773,0.09137797,0.4164546,-0.04248596,0.9147635,-21.72426,6.591322,-63.58617,1008.887
0.529245377,0.04605031,-0.05938844,-0.03046751,0.4135517,-0.04347974,0.9171436,-21.72426,6.591322,-63.58617,1008.887
0.534179688,-0.07639774,0.1805659,0.03045522,0.4149804,-0.04007686,0.914794,-22.02479,6.592311,-63.20399,1008.887
0.539105892,-0.01517372,-0.119377,-0.03046751,0.4164609,-0.04297395,0.9161896,-22.02479,6.592311,-63.20399,1008.885
0.544035912,-0.01517372,-0.119377,0.1523007,0.417924,-0.0439304,0.9156986,-22.02479,6.592311,-63.20399,1008.885
0.548965454,-0.07639774,0.06058872,0.2741462,0.4169557,-0.04681525,0.9075542,-22.02479,6.592311,-63.20399,1008.885
0.553896427,0.1072743,-0.119377,-0.09139025,0.4164829,-0.04683682,0.9137589,-22.02479,6.592311,-63.20399,1008.885
0.558826447,0.04605031,-0.2393542,-0.09139025,0.4145484,-0.04638286,0.9194945,-22.02479,6.592311,-63.20399,1008.885
0.563755989,0.1072743,0.0006001405,-0.09139025,0.4164472,-0.04199657,0.9128602,-22.02479,6.592311,-63.20399,1008.885
0.568686962,-0.07639774,-0.119377,-0.09139025,0.4159718,-0.0424934,0.916196,-22.02479,6.592311,-63.20399,1008.885
0.573616982,-0.01517372,-0.1793656,-0.152313,0.419871,-0.04392323,0.917604,-22.02479,6.592311,-63.20399,1008.885
0.578546524,-0.07639774,-0.1793656,0.09137797,0.4150081,-0.04490582,0.9118749,-22.02479,6.592311,-63.20399,1008.883
0.583477497,-0.07639774,0.0006001405,0.03045522,0.4125775,-0.04396142,0.9142766,-21.35209,6.592406,-63.59325,1008.883
0.588407517,0.3521704,-0.119377,-0.09139025,0.4188989,-0.04440773,0.9156913,-21.35209,6.592406,-63.59325,1008.883
0.593337059,-0.1988458,0.0006001405,-0.152313,0.4193632,-0.04245825,0.9118949,-21.35209,6.592406,-63.59325,1008.883
0.598268032,0.1072743,0.06058872,-0.03046751,0.4188909,-0.04439643,0.9118735,-21.35209,6.592406,-63.59325,1008.883
0.603197575,0.1072743,-0.2393542,-0.03046751,0.4169564,-0.04394246,0.9176092,-21.35209,6.592406,-63.59325,1008.883
0.608127594,-0.07639774,-0.1793656,0.03045522,0.4174766,-0.0497357,0.9146781,-21.35209,6.592406,-63.59325,1008.883
0.613054276,-0.01517372,-0.2393542,-0.09139025,0.4169963,-0.05166258,0.910839,-21.35209,6.592406,-63.59325,1008.883
0.617984295,-0.01517372,-0.119377,0.03045522,0.421308,-0.04340585,0.9094942,-21.35209,6.592406,-63.59325,1008.883
