Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.854564190,76.81641,83.8125,3.7475,293.75,0
1.909325600,76.79297,83.90625,3.75375,307.1875,0
2.832753658,76.78125,83.8125,3.753125,310.625,0
3.842936039,76.76953,83.90625,3.756875,301.5625,0
4.897777081,76.75781,83.625,3.741875,333.4375,0
5.777633667,76.74219,83.34375,3.75125,294.6875,0
6.917685509,76.71875,83.15625,3.74125,303.125,0
7.886410713,76.70703,83.15625,3.75,316.25,0
8.942861080,76.69531,83.0625,3.754375,292.1875,0
9.820876598,76.67188,83.15625,3.751875,303.75,0
10.875279903,76.66016,83.15625,3.755625,302.5,0
11.930489540,76.64453,83.34375,3.75875,285.9375,0
12.808912277,76.63281,83.25,3.75875,329.6875,0
13.863703251,76.60938,83.34375,3.7575,303.4375,0
14.918593407,76.59766,83.25,3.75,302.1875,0
15.798198223,76.58594,83.25,3.7525,313.125,0
16.852867603,76.57422,83.25,3.75875,289.375,0
17.732730389,76.5625,83.25,3.748125,301.5625,0
18.787785053,76.53516,83.15625,3.755,310,0
19.843672752,76.52344,83.4375,3.75,298.75,0
20.897859573,76.51172,83.4375,3.75875,294.0625,0
21.774651527,76.5,83.53125,3.760625,294.6875,0
22.867708206,76.47656,83.34375,3.7525,295.3125,0
23.884358883,76.46484,83.34375,3.758125,283.4375,0
24.939146996,76.44922,83.4375,3.751875,289.0625,0
25.883882046,76.4375,83.4375,3.75,318.75,0
26.873271942,76.41406,83.15625,3.75125,307.1875,0
27.927897930,76.40234,83.34375,3.75625,303.75,0
28.807738304,76.39063,83.15625,3.76,303.125,0
29.863217831,76.37891,83.0625,3.755625,294.0625,0
30.918327332,76.35156,82.96875,3.755,291.875,0
31.798050880,76.33984,82.78125,3.74,301.25,0
32.850961685,76.32813,82.6875,3.758125,287.8125,0
33.905349255,76.31641,82.875,3.76,300.3125,0
34.784333229,76.30469,82.78125,3.73875,294.0625,0
35.839158535,76.28125,82.96875,3.750625,303.75,0
36.893904209,76.26953,83.0625,3.754375,290.3125,0
37.773002148,76.25391,82.96875,3.754375,300.625,0
38.828624725,76.24219,82.875,3.748125,310,0
39.884595394,76.21875,82.78125,3.7525,306.5625,0
40.937865734,76.20703,82.5,3.759375,285.9375,0
41.819190502,76.19531,82.6875,3.75875,284.0625,0
42.872750759,76.17188,82.59375,3.750625,309.0625,0
43.927850246,76.15625,82.6875,3.75125,315.9375,0
44.804600239,76.14453,82.59375,3.74875,297.5,0
45.859624386,76.13281,82.59375,3.7525,305.3125,0
46.812876701,76.10938,82.5,3.756875,300.3125,0
47.894415379,76.09766,82.40625,3.748125,320.3125,0
48.848355770,76.08594,82.40625,3.746875,315.9375,0
49.786754608,76.07422,82.3125,3.745625,318.125,0
50.797777653,76.05859,81.9375,3.7525,303.125,0
51.838422298,76.03516,81.9375,3.76,295.9375,0
52.892827511,76.02344,82.125,3.74875,313.125,0
53.770324230,76.01172,81.84375,3.74625,347.8125,0
54.825314045,75.98828,81.75,3.75,298.4375,0
55.880793571,75.97656,81.84375,3.755,307.5,0
56.934607506,75.96094,81.65625,3.739375,304.6875,0
57.813493729,75.94922,81.5625,3.7475,297.5,0
58.868402481,75.92578,81.65625,3.751875,300.9375,0
59.923350811,75.91406,81.5625,3.745,292.1875,0
60.802653789,75.90234,81.65625,3.7525,307.1875,0
61.856847286,75.89063,81.5625,3.73625,351.5625,0
62.912926674,75.86328,81.5625,3.75,318.125,0
63.811811447,75.85156,81.84375,3.746875,330.625,0
64.847243786,75.83984,81.5625,3.753125,338.75,0
65.900303364,75.81641,81.5625,3.751875,293.125,0
66.779049396,75.80469,81.65625,3.75375,298.125,0
67.833973408,75.79297,81.5625,3.74625,299.6875,0
68.888666153,75.78125,81.46875,3.749375,330,0
69.943459988,75.75391,81.5625,3.74875,300.3125,0
70.822524548,75.74219,81.5625,3.746875,328.125,0
71.879334927,75.73047,81.5625,3.74625,314.375,0
72.757662296,75.71875,81.65625,3.7425,308.4375,0
73.904190540,75.69531,81.46875,3.745,319.0625,0
