Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.000832558,151.8179,-10.11246,42.88997
0.005857468,151.8163,-10.11041,42.88699
0.010881901,151.8153,-10.10891,42.8836
0.015906334,151.813,-10.10665,42.88068
0.020931244,151.8103,-10.105,42.87756
0.025951862,151.8066,-10.10212,42.87483
0.030976295,151.8024,-10.10003,42.87289
0.036001205,151.7983,-10.09856,42.87042
0.041025639,151.794,-10.09657,42.86765
0.046050549,151.7891,-10.09438,42.86458
0.051074982,151.7824,-10.09342,42.86309
0.056099415,151.7754,-10.09229,42.86063
0.061124325,151.7689,-10.0906,42.8589
0.066148758,151.7638,-10.08945,42.85711
0.071174145,151.7595,-10.08691,42.8544
0.076199055,151.7543,-10.08546,42.85157
0.081223488,151.7509,-10.08232,42.84868
0.086247921,151.7481,-10.07912,42.8456
0.091272831,151.7457,-10.07613,42.84245
0.096297264,151.7435,-10.07279,42.83929
0.101322174,151.742,-10.0701,42.8372
0.106346607,151.7416,-10.06708,42.83474
0.111371040,151.7426,-10.06377,42.83284
0.116395950,151.7452,-10.06227,42.83139
0.121420383,151.7471,-10.06015,42.83015
0.126449585,151.7495,-10.05855,42.82955
0.131470680,151.7511,-10.05627,42.82928
0.136494637,151.7528,-10.05532,42.82938
0.141519070,151.7542,-10.05408,42.83005
0.146547794,151.7563,-10.05266,42.83007
0.151568413,151.7581,-10.05098,42.82994
0.156597614,151.7598,-10.04783,42.82903
0.161618233,151.7595,-10.04528,42.82861
0.166642666,151.7604,-10.0422,42.8279
0.171667576,151.7602,-10.03936,42.82801
0.176692009,151.7606,-10.03752,42.82853
0.181716919,151.7611,-10.03682,42.82912
0.186745167,151.7611,-10.03619,42.82994
0.191766262,151.7613,-10.03489,42.83038
0.196790695,151.7602,-10.03519,42.83171
0.201815128,151.7577,-10.03568,42.83332
0.206840038,151.7555,-10.03509,42.83469
0.211864471,151.7534,-10.03486,42.83538
0.216893196,151.7524,-10.03502,42.83664
0.221913815,151.7519,-10.03479,42.83766
0.226934433,151.7524,-10.03446,42.83918
0.231960296,151.7538,-10.03348,42.84034
0.236983776,151.7546,-10.03254,42.84205
0.242009163,151.7542,-10.03268,42.844
0.247033596,151.7532,-10.03228,42.84566
0.252058506,151.7529,-10.0308,42.84742
0.257082939,151.752,-10.02948,42.84856
0.262107372,151.7526,-10.02934,42.85071
0.267132282,151.7528,-10.02853,42.8525
0.272156715,151.7516,-10.02839,42.85466
0.277181625,151.7507,-10.02824,42.85715
0.282206058,151.7486,-10.02777,42.85894
0.287230491,151.7456,-10.0277,42.86096
0.292255401,151.7433,-10.0285,42.86327
0.297279835,151.7398,-10.0291,42.86565
0.302304745,151.7365,-10.0301,42.86789
0.307329178,151.7334,-10.03091,42.86987
0.312354088,151.7301,-10.03219,42.87191
0.317378521,151.7276,-10.03294,42.87367
0.322402954,151.7254,-10.03465,42.87525
0.327428341,151.724,-10.03588,42.87674
