Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
0.000832558,0.7169579,0.5347887,0.4340414,0.6660046,-0.7043,-0.2416708,0.1755809,0.4647236,-0.8673573
0.005857468,0.7169973,0.5347521,0.4340214,0.6659716,-0.7043095,-0.2417347,0.1755456,0.4647515,-0.8673495
0.010881901,0.7170398,0.5347126,0.4339993,0.6659322,-0.7043288,-0.2417873,0.1755198,0.464768,-0.8673458
0.015906334,0.7170786,0.5346732,0.4339831,0.6659003,-0.7043338,-0.2418604,0.1754809,0.4648056,-0.8673335
0.020931244,0.7171189,0.5346247,0.4339771,0.6658648,-0.7043422,-0.241934,0.1754526,0.4648489,-0.8673159
0.025951862,0.717157,0.5345805,0.4339682,0.6658366,-0.7043359,-0.2420295,0.1754032,0.464909,-0.8672937
0.030976295,0.7171842,0.5345368,0.4339769,0.6658167,-0.7043242,-0.2421184,0.1753672,0.464977,-0.8672643
0.036001205,0.7172159,0.5344844,0.433988,0.6657885,-0.7043221,-0.2422018,0.175342,0.4650403,-0.8672354
0.041025639,0.7172526,0.5344298,0.4339944,0.665758,-0.7043186,-0.2422961,0.1753077,0.4651083,-0.8672057
0.046050549,0.7172931,0.5343686,0.4340028,0.6657242,-0.7043143,-0.2424015,0.1752701,0.4651853,-0.8671719
0.051074982,0.7173124,0.5343052,0.4340485,0.6657073,-0.7042945,-0.2425048,0.1752536,0.4652879,-0.86712
0.056099415,0.7173434,0.5342286,0.4340909,0.6656787,-0.7042816,-0.2426208,0.1752343,0.4653952,-0.8670661
0.061124325,0.7173673,0.5341684,0.4341255,0.6656606,-0.7042606,-0.2427309,0.1752052,0.4654959,-0.8670177
0.066148758,0.7173911,0.534115,0.4341531,0.6656408,-0.704249,-0.2428188,0.1751854,0.4655748,-0.8669792
0.071174145,0.7174277,0.534064,0.4341536,0.6656118,-0.704242,-0.2429183,0.1751418,0.4656436,-0.8669509
