Time (s),Power (dBm),Percentage (%)
0.471503258,-41,100
0.944775581,-41,100
1.444547653,-41,100
1.944736958,-41,100
2.444477558,-41,100
2.944617271,-43,100
3.444439411,-41,100
3.944608212,-41,100
4.444394112,-41,100
4.944591522,-41,100
5.444314480,-41,100
5.944750309,-41,100
6.444243908,-41,100
6.944742680,-43,100
7.444366932,-43,100
7.944721699,-43,100
8.444184780,-43,100
8.944528103,-41,100
9.444353580,-43,100
9.944658756,-43,100
10.444627285,-43,100
10.944600582,-43,100
11.444612026,-43,100
11.944955826,-43,100
12.444459915,-43,100
12.945010185,-43,100
13.444311142,-43,100
13.944543838,-43,100
14.444589138,-43,100
14.944562435,-43,100
15.444596290,-43,100
15.944974899,-43,100
16.444341659,-45,100
16.944676876,-45,100
17.444329738,-43,100
17.965406895,-45,100
18.444334030,-43,100
18.944774628,-45,100
19.444317341,-45,100
19.944784641,-45,100
20.444437504,-45,100
20.944582462,-45,100
21.444389343,-45,100
21.944530964,-45,100
22.510721207,-45,100
23.047849178,-45,100
23.444592953,-47,100
23.944987774,-47,100
24.444562912,-47,100
24.944956303,-47,100
25.444445610,-47,100
25.991714478,-47,100
26.475158691,-47,100
26.944886208,-47,100
27.444597244,-47,100
27.944891930,-47,100
28.444578171,-47,100
29.024056911,-47,100
29.444470405,-47,100
29.945052624,-47,100
30.444793224,-47,100
30.945252895,-47,100
31.444983005,-47,100
31.945217133,-47,100
32.444978237,-45,100
32.945161819,-45,100
33.445015430,-47,100
33.945152283,-47,100
34.444966316,-47,100
34.945065975,-47,100
35.444757461,-47,100
35.944974899,-45,100
36.444991112,-45,100
36.944965839,-45,100
37.444726467,-45,100
37.945280552,-45,100
38.444736481,-45,100
38.944998264,-45,100
39.444715500,-45,100
39.945244789,-45,100
40.444606781,-45,100
40.945147037,-45,100
41.444645405,-45,100
41.944779396,-45,100
42.444628239,-45,100
42.944804192,-45,100
43.444612026,-45,100
43.944777489,-43,100
44.444550514,-45,100
44.945184708,-45,100
45.444617748,-45,100
45.945107937,-44,100
46.444514274,-45,100
46.991773605,-45,100
47.527095318,-45,100
47.944698334,-43,100
48.444515705,-43,100
48.944707394,-43,100
49.444494247,-45,100
50.000567913,-45,100
50.555012703,-45,100
50.944651604,-44,100
51.444387913,-43,100
51.944668770,-45,100
52.444379806,-45,100
52.944625854,-45,100
53.444326401,-45,100
53.944604397,-45,100
54.444314957,-45,100
54.944541931,-45,100
55.444308281,-45,100
55.944646835,-45,100
56.444227218,-47,100
56.944643497,-47,100
57.464604854,-47,100
57.944643021,-45,100
58.444427490,-45,100
58.944647312,-45,100
59.444363594,-45,100
59.944494247,-47,100
60.444258690,-47,100
60.944448471,-47,100
61.444223404,-47,100
61.944419861,-47,100
62.444175720,-47,100
62.944441318,-49,100
63.444117069,-47,100
63.944440365,-47,100
64.444188118,-47,100
64.944378853,-47,100
65.444180965,-45,100
65.944261551,-45,100
66.444198608,-45,100
66.944147587,-43,100
67.444112778,-47,100
67.944147587,-43,100
68.443925381,-45,100
68.944118023,-45,100
69.443885326,-43,100
69.944121838,-43,100
70.443881035,-45,100
70.944025040,-45,100
71.443862915,-43,100
71.944206238,-45,100
72.443854332,-43,100
73.005802631,-45,100
73.543385029,-43,100
73.944408417,-43,100
74.443816185,-41,100
