Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000832558,-0.3387469,-0.6078206,0.2881496,0.03848706,0.9741795,-0.1880245,-8.482075,-36.0359,-8.548841,1008.264
0.005857468,-0.462267,-0.6078206,0.4102804,0.03996179,0.9722447,-0.1890078,-8.482075,-36.0359,-8.548841,1008.264
0.010881901,-0.2769868,-0.668021,0.4102804,0.03992192,0.9756886,-0.1932741,-8.482075,-36.0359,-8.548841,1008.264
0.015906334,-0.524027,-0.6078206,0.2881496,0.03748491,0.9771094,-0.1894233,-8.852083,-36.03988,-9.005614,1008.264
0.020931244,-0.524027,-0.5476203,0.4102804,0.04187646,0.9742283,-0.1918571,-8.852083,-36.03988,-9.005614,1008.264
0.025951862,-0.9563472,-0.7884218,0.1660188,0.04238926,0.971773,-0.1890153,-8.852083,-36.03988,-9.005614,1008.264
0.030976295,-0.9563472,-0.5476203,0.1660188,0.03995667,0.9727259,-0.1880439,-8.852083,-36.03988,-9.005614,1008.264
0.036001205,-0.9563472,-0.48742,0.349215,0.04380434,0.9751934,-0.1884936,-8.852083,-36.03988,-9.005614,1008.26
0.041025639,-0.9563472,-0.6078206,0.2270842,0.04135604,0.9775963,-0.1855882,-8.852083,-36.03988,-9.005614,1008.26
0.046050549,-1.018107,-0.6078206,0.2270842,0.0442988,0.9742377,-0.1909006,-8.852083,-36.03988,-9.005614,1008.26
0.051074982,-1.512188,-0.2466185,0.2881496,0.03994998,0.9732367,-0.1913897,-8.852083,-36.03988,-9.005614,1008.26
0.056099415,-1.450428,-0.4272196,0.2881496,0.04186587,0.9751972,-0.190887,-8.852083,-36.03988,-9.005614,1008.26
0.061124325,-1.326908,-0.4272196,0.1049534,0.04195217,0.9674165,-0.1943385,-8.171293,-36.34087,-8.093267,1008.26
0.066148758,-0.8945873,-0.4272196,0.2881496,0.04430765,0.9733018,-0.1966594,-8.171293,-36.34087,-8.093267,1008.26
