Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.841556072,86.83984,181.21875,3.9825,290.3125,0
1.896223068,86.82813,181.5,3.98875,277.5,0
2.775321960,86.82813,181.3125,3.988125,312.1875,0
3.830015182,86.81641,181.21875,3.986875,294.0625,0
4.884901524,86.81641,181.40625,3.985,284.6875,0
5.763860702,86.80078,180.9375,3.9875,292.8125,0
6.818664551,86.78906,180.46875,3.990625,286.5625,0
7.873377323,86.78906,180.5625,3.9875,280,0
8.752546310,86.77734,180.46875,3.986875,281.5625,0
9.807195663,86.76563,180.46875,3.985,292.1875,0
10.862062931,86.76563,180.1875,3.9875,292.8125,0
11.740941048,86.75391,180.375,3.9875,290,0
12.795849323,86.74219,180.46875,3.99,293.125,0
13.850593567,86.74219,180.5625,3.985,281.25,0
14.905297279,86.73047,180.65625,3.98625,284.375,0
15.784563541,86.71875,180.84375,3.985,302.8125,0
16.840143681,86.71875,180.75,3.9875,293.75,0
17.894014358,86.70313,180.84375,3.98875,280.625,0
18.773005962,86.69141,181.125,3.99,274.6875,0
19.827692509,86.69141,180.5625,3.99,301.25,0
20.882493496,86.67969,180,3.984375,293.4375,0
21.761447430,86.66797,179.90625,3.985,286.5625,0
22.816300869,86.66797,179.90625,3.986875,289.375,0
23.871224403,86.65625,180.09375,3.988125,289.0625,0
24.750207901,86.65625,180.375,3.98875,284.6875,0
25.804943562,86.64453,180.28125,3.985625,286.25,0
26.859629631,86.63281,180.375,3.985625,301.875,0
27.738672256,86.63281,180.1875,3.98625,293.125,0
28.793937683,86.62109,180,3.9875,289.6875,0
29.848311901,86.60547,180.5625,3.986875,276.875,0
30.902997017,86.60547,179.625,3.988125,342.5,0
31.782137394,86.59375,179.25,3.989375,286.875,0
32.836808681,86.58203,179.0625,3.984375,284.375,0
33.891701221,86.58203,178.96875,3.984375,296.875,0
34.770807266,86.57031,179.4375,3.98625,284.375,0
35.825497150,86.55859,179.625,3.985,283.75,0
36.880381107,86.55859,179.90625,3.98625,277.5,0
37.759687424,86.54688,180.09375,3.986875,275.625,0
38.814414978,86.53516,180,3.9875,282.5,0
39.868741512,86.53516,179.53125,3.985,332.8125,0
40.747774124,86.52344,179.25,3.984375,283.125,0
41.802630424,86.50781,178.5,3.9825,296.25,0
42.857297897,86.50781,178.5,3.988125,298.4375,0
43.912100315,86.49609,178.78125,3.9875,265,0
44.791110992,86.48438,179.15625,3.9875,278.4375,0
45.845918655,86.48438,178.40625,3.98375,289.375,0
46.900821686,86.47266,177.9375,3.98375,300.625,0
47.779888630,86.46094,178.40625,3.98375,295,0
48.834643364,86.46094,178.78125,3.985,295.9375,0
49.889557838,86.44922,178.875,3.985,280.625,0
50.768291950,86.4375,178.40625,3.983125,326.5625,0
51.823337078,86.4375,178.3125,3.985625,278.75,0
52.878033161,86.42578,178.21875,3.9825,299.0625,0
53.756822109,86.42578,178.78125,3.9825,299.6875,0
54.811775684,86.41016,179.25,3.983125,286.25,0
55.866420746,86.39844,179.71875,3.985625,288.125,0
56.745583057,86.39844,179.15625,3.985625,303.75,0
57.800209045,86.38672,178.875,3.98375,283.125,0
58.855104923,86.375,178.59375,3.983125,298.4375,0
59.909806728,86.375,178.96875,3.98625,287.5,0
60.789409161,86.36328,179.4375,3.98375,274.375,0
61.843855858,86.35156,180.09375,3.985,265.625,0
62.898357868,86.35156,179.53125,3.983125,282.1875,0
63.777396679,86.33984,179.4375,3.984375,284.0625,0
64.832324028,86.32813,179.25,3.9825,299.375,0
65.887000561,86.32813,179.15625,3.983125,286.5625,0
66.766030788,86.3125,178.78125,3.984375,282.1875,0
67.820763111,86.30078,179.4375,3.98375,273.4375,0
68.875525475,86.30078,179.625,3.9775,282.8125,0
69.754655361,86.28906,179.71875,3.981875,300.625,0
70.809309006,86.27734,179.34375,3.9825,292.5,0
71.864171505,86.27734,178.96875,3.9875,279.6875,0
72.743237019,86.26563,179.4375,3.984375,270.9375,0
73.797904491,86.25391,179.53125,3.985,280.3125,0
