Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.000000000,75.25845,29.85746,70.70742
0.005075932,75.25905,29.85766,70.71053
0.010151863,75.25936,29.85804,70.71304
0.015227795,75.25927,29.85798,70.71568
0.020303726,75.25948,29.85766,70.71861
0.025379658,75.25889,29.85785,70.72028
0.030455589,75.25808,29.85849,70.7218
0.035531521,75.25791,29.85888,70.7243
0.040607452,75.25809,29.85945,70.72622
0.045683384,75.25845,29.86004,70.72758
0.050759792,75.25845,29.86109,70.72882
0.055835724,75.25864,29.86129,70.73048
0.060911655,75.25931,29.86162,70.73211
0.065987587,75.25921,29.86223,70.73347
0.071063519,75.25977,29.86252,70.73493
0.076139450,75.25957,29.86282,70.73639
0.081215382,75.2593,29.86302,70.73806
0.086291313,75.25992,29.86396,70.74023
0.091366768,75.25986,29.86408,70.74229
0.096443176,75.25964,29.86416,70.74344
0.101519108,75.25885,29.86416,70.745
0.106594563,75.25755,29.86506,70.74554
0.111670494,75.25668,29.86584,70.74632
0.116746426,75.25549,29.86662,70.74708
0.121822357,75.2542,29.86728,70.74734
0.126898289,75.25247,29.86772,70.74732
0.131974220,75.25163,29.86854,70.74753
0.137050152,75.25049,29.86935,70.74775
0.142126083,75.24977,29.87006,70.74818
0.147202015,75.24847,29.87057,70.74777
0.152277947,75.24782,29.8707,70.7471
0.157356262,75.24668,29.87107,70.74673
0.159892082,75.24589,29.87129,70.74609
0.164968014,75.24538,29.87148,70.74632
0.170043945,75.24548,29.8719,70.74557
0.175119877,75.2449,29.87312,70.74474
0.180195808,75.24479,29.8741,70.74293
0.185271740,75.2446,29.87573,70.74253
0.190347672,75.24438,29.87655,70.74274
0.195424080,75.24437,29.8777,70.74303
0.200504303,75.24358,29.87863,70.74303
0.205575943,75.24335,29.87888,70.74289
0.210651875,75.24397,29.87882,70.74284
0.215727806,75.24468,29.87915,70.74302
0.220803738,75.24509,29.87955,70.74353
0.225879669,75.24541,29.87985,70.74354
0.230955601,75.24511,29.88045,70.74418
0.236031532,75.24501,29.88104,70.74554
0.241107464,75.24516,29.88113,70.74743
0.246183395,75.24464,29.88049,70.74828
0.251259327,75.24437,29.88031,70.74898
0.256335258,75.24422,29.88061,70.75117
0.261411190,75.24416,29.88091,70.75262
0.266487121,75.24442,29.88129,70.75442
0.271563530,75.2453,29.88182,70.75616
0.276639461,75.24574,29.88205,70.758
0.281715393,75.24674,29.88263,70.76064
0.286791324,75.2477,29.8831,70.76348
0.291867256,75.24899,29.88351,70.76544
0.296943188,75.24984,29.88409,70.76808
0.302019119,75.25075,29.88486,70.77084
0.307095051,75.25126,29.88599,70.77312
0.312170982,75.2536,29.88588,70.7756
0.317246914,75.25486,29.88627,70.77812
0.322327137,75.25564,29.88658,70.7803
0.324861049,75.2566,29.88694,70.78159
0.332474708,75.25858,29.88735,70.78679
0.335012913,75.25861,29.88757,70.78812
0.340088844,75.26025,29.888,70.79079
0.345164776,75.26175,29.88842,70.79346
