Time (s),X (g),Y (g),Z (g)
0.000000000,0.4617254,0.1525663,-0.04285723
0.005075932,0.4665783,0.1536295,-0.04046382
0.010151863,0.4597194,0.156446,-0.04139876
0.015227795,0.4641058,0.1554995,-0.04620014
0.020303726,0.4635355,0.1598791,-0.04523604
0.025379658,0.4665853,0.1531229,-0.04333963
0.030455589,0.4646128,0.155047,-0.04382314
0.035531521,0.462749,0.1506172,-0.04669678
0.040607452,0.4670796,0.1536003,-0.04765898
0.045683384,0.4646778,0.1531364,-0.04046303
0.050759792,0.4630668,0.1618602,-0.04428315
0.055835724,0.4626941,0.1560246,-0.04236694
0.060911655,0.4651466,0.1550758,-0.04379946
0.065987587,0.4671819,0.150727,-0.04380693
0.071063519,0.4675848,0.1556116,-0.04283807
0.076139450,0.4646475,0.1565204,-0.04618555
0.081215382,0.4636345,0.1594782,-0.03995889
0.086291313,0.4632804,0.1531532,-0.03899306
0.091366768,0.4641402,0.1589798,-0.04330233
0.096443176,0.4647279,0.1536388,-0.0423521
0.101519108,0.463325,0.1501823,-0.04619382
0.106594563,0.4671124,0.156579,-0.04669447
0.111670494,0.4637871,0.1531521,-0.04382631
0.116746426,0.4627806,0.1555802,-0.04431704
0.121822357,0.4617893,0.1570303,-0.04528868
0.126898289,0.4619401,0.1492527,-0.0448392
0.131974220,0.4609276,0.1521775,-0.04388772
0.137050152,0.4618939,0.153701,-0.03911437
0.142126083,0.4624081,0.1522119,-0.04487251
0.147202015,0.4575185,0.1541087,-0.04344109
0.152277947,0.4687147,0.1543099,-0.03916565
0.157356262,0.4623565,0.1561503,-0.04203913
0.162430286,0.465776,0.155734,-0.04014842
0.167506218,0.4613906,0.1561341,-0.04348743
0.170043945,0.4594477,0.1555771,-0.0492322
0.175119877,0.4637938,0.1591215,-0.04158284
0.180195808,0.4638494,0.1572044,-0.03871012
0.185271740,0.4620027,0.152778,-0.04253912
0.190347672,0.4605649,0.1522774,-0.04253738
0.195424080,0.4712412,0.154894,-0.04064223
0.200504303,0.467919,0.1509443,-0.04256207
0.205575943,0.4644993,0.1518675,-0.04303525
0.210651875,0.4678518,0.1548479,-0.04159562
0.215727806,0.4658225,0.1596928,-0.04109775
0.220803738,0.4655116,0.150431,-0.04157482
0.225879669,0.4608976,0.16352,-0.04107195
0.230955601,0.4644229,0.1572233,-0.04396066
0.236031532,0.4659546,0.1538452,-0.0434874
0.241107464,0.4688945,0.1529251,-0.04205561
0.246183395,0.4664081,0.1553211,-0.04205723
0.251259327,0.4702916,0.1553556,-0.04494418
0.256335258,0.4641434,0.1460133,-0.04493736
0.261411190,0.4678925,0.1543777,-0.04158852
0.266487121,0.4661138,0.1461129,-0.0363166
0.271563530,0.4626675,0.1484767,-0.03916688
0.276639461,0.4708435,0.153439,-0.04300697
0.281715393,0.4717956,0.1549042,-0.04442923
0.286791324,0.4675816,0.1465797,-0.04201512
0.291867256,0.4683335,0.1592799,-0.03863674
0.296943188,0.4650938,0.1504437,-0.04149467
0.302019119,0.4645653,0.1533612,-0.04147685
0.307095051,0.4684914,0.1524519,-0.04147643
0.312170982,0.4645686,0.1543584,-0.03807992
0.317246914,0.467035,0.1524118,-0.04237787
0.322327137,0.4689746,0.1529195,-0.04332781
0.327398777,0.4659221,0.1611853,-0.03946027
0.332474708,0.4680616,0.1504805,-0.04136704
0.335012913,0.4664363,0.159717,-0.04087761
0.340088844,0.463536,0.1586677,-0.0446783
0.345164776,0.4655798,0.1543625,-0.03795806
0.350240707,0.459238,0.1552086,-0.04321307
0.355316639,0.4631675,0.1538187,-0.04177661
0.360392570,0.4704428,0.1548974,-0.04178894
0.365468502,0.4611869,0.1552122,-0.04704268
0.370544433,0.4654982,0.1586881,-0.04657811
0.375620365,0.4627338,0.1504,-0.04228148
0.380696773,0.4679429,0.1592942,-0.03702983
0.385772705,0.4645791,0.1562614,-0.04565965
0.390848636,0.4642414,0.1494905,-0.03992203
0.395928860,0.4641412,0.1548209,-0.0442408
0.401000500,0.4705184,0.1514847,-0.04665613
0.406076431,0.4680441,0.1544365,-0.03852436
0.411155224,0.4674796,0.1582828,-0.04475738
0.416228294,0.4689958,0.1553987,-0.04334283
0.421305656,0.4694977,0.1539117,-0.04815608
0.426380157,0.4694741,0.1554163,-0.04241943
0.431456089,0.4656598,0.1514578,-0.04434617
