Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.1236305,0.4037498,0.2197529,-0.0361187,0.9866871,0.1766169,-5.065966,-28.89567,-23.11245,1009.313
0.005075932,-0.2473542,0.5227277,0.0367322,-0.03126873,0.9877509,0.179001,-5.065966,-28.89567,-23.11245,1009.313
0.010151863,-0.1854923,0.3442609,0.0367322,-0.03813347,0.9905654,0.1780607,-5.065966,-28.89567,-23.11245,1009.313
0.015227795,-0.3710779,0.4632387,0.2197529,-0.03374617,0.9896191,0.1732608,-5.065966,-28.89567,-23.11245,1009.313
0.020303726,-0.2473542,0.4632387,0.09773912,-0.03431154,0.9940021,0.1742226,-5.065966,-28.89567,-23.11245,1009.313
0.025379658,-0.3092161,0.225283,-0.08528163,-0.03126462,0.987242,0.1761271,-5.065966,-28.89567,-23.11245,1009.313
0.030455589,-0.3710779,0.3442609,-0.08528163,-0.03324679,0.9891576,0.1756539,-5.065966,-28.89567,-23.11245,1009.313
0.035531521,-0.3092161,0.4037498,0.0367322,-0.03511657,0.9847241,0.172782,-5.065966,-28.89567,-23.11245,1009.315
0.040607452,-0.1236305,0.2847719,0.0367322,-0.03079446,0.987703,0.171816,-5.065966,-28.89567,-23.11245,1009.315
0.045683384,-0.06176861,0.2847719,-0.1462885,-0.03320532,0.9872354,0.1790051,-5.065966,-28.89567,-23.11245,1009.315
0.050759792,-0.1236305,0.1657941,-0.1462885,-0.03483214,0.9959503,0.1751829,-5.448442,-28.12538,-22.67233,1009.315
0.055835724,-0.06176861,0.2847719,0.0367322,-0.03520782,0.990114,0.1770958,-5.448442,-28.12538,-22.67233,1009.315
0.060911655,-0.06176861,0.225283,-0.02427471,-0.03276041,0.9891648,0.1756528,-5.448442,-28.12538,-22.67233,1009.315
0.065987587,-0.1854923,0.225283,-0.02427471,-0.03073426,0.9848105,0.1756455,-5.448442,-28.12538,-22.67233,1009.315
0.071063519,-0.06176861,0.2847719,0.09773912,-0.03033582,0.9896948,0.1766054,-5.448442,-28.12538,-22.67233,1009.315
0.076139450,-0.1854923,0.2847719,-0.02427471,-0.0332777,0.9906002,0.1732603,-5.448442,-28.12538,-22.67233,1009.315
0.081215382,-0.1854923,0.2847719,-0.08528163,-0.03429371,0.9935555,0.1794905,-5.448442,-28.12538,-22.67233,1009.315
0.086291313,-0.06176861,0.4037498,-0.1462885,-0.03466205,0.9872249,0.1804453,-5.448442,-28.12538,-22.67233,1009.315
0.091366768,-0.1854923,0.4037498,0.0367322,-0.03380402,0.99305,0.1761366,-5.448442,-28.12538,-22.67233,1009.315
0.096443176,-0.2473542,0.1657941,0.09773912,-0.0332175,0.9877077,0.1770898,-5.448442,-28.12538,-22.67233,1009.315
0.101519108,-0.3092161,0.2847719,0.0367322,-0.03462043,0.984248,0.1732595,-5.450523,-28.89267,-23.11523,1009.315
0.106594563,-0.3092161,0.1063051,-0.08528163,-0.03084658,0.9906323,0.1727758,-5.450523,-28.89267,-23.11523,1009.315
0.111670494,-0.2473542,0.1657941,-0.08528163,-0.03418374,0.9871954,0.1756549,-5.450523,-28.89267,-23.11523,1009.315
0.116746426,-0.3710779,0.1063051,-0.08528163,-0.0352021,0.9896123,0.1751798,-5.450523,-28.89267,-23.11523,1009.315
0.121822357,-0.3092161,0.1063051,-0.1462885,-0.03620335,0.9910516,0.1742252,-5.450523,-28.89267,-23.11523,1009.315
0.126898289,-0.3092161,0.1063051,-0.08528163,-0.03605924,0.9832636,0.1746989,-5.450523,-28.89267,-23.11523,1009.315
0.131974220,-0.2473542,0.1657941,-0.1462885,-0.03708413,0.9861785,0.1756609,-5.450523,-28.89267,-23.11523,1009.315
0.137050152,-0.2473542,-0.01267273,-0.2072954,-0.03613016,0.9876904,0.1804489,-5.450523,-28.89267,-23.11523,1009.315
0.142126083,-0.1854923,0.225283,-0.08528163,-0.03562659,0.9861926,0.1746997,-5.450523,-28.89267,-23.11523,1009.315
0.144664288,-0.2473542,-0.07216167,-0.1462885,-0.03472144,0.9901212,0.1770947,-5.450523,-28.89267,-23.11523,1009.315
0.149740219,-0.06176861,-0.07216167,-0.08528163,-0.0322415,0.9877366,0.1790032,-5.063862,-28.89069,-22.65803,1009.315
0.154816151,-0.1854923,-0.01267273,-0.1462885,-0.03268803,0.9857999,0.1813977,-5.063862,-28.89069,-22.65803,1009.315
0.159892082,-0.1854923,-0.1911395,-0.1462885,-0.03178683,0.9891828,0.1761295,-5.063862,-28.89069,-22.65803,1009.316
0.164968014,-0.06176861,0.0468162,-0.08528163,-0.03174616,0.9872568,0.1790018,-5.063862,-28.89069,-22.65803,1009.316
0.170043945,0.06195511,-0.1911395,-0.1462885,-0.03861486,0.9895255,0.1703984,-5.063862,-28.89069,-22.65803,1009.316
0.175119877,-0.1236305,-0.07216167,-0.2683024,-0.03428717,0.9930575,0.1780534,-5.063862,-28.89069,-22.65803,1009.316
0.180195808,0.123817,-0.3101174,-0.2683024,-0.0342465,0.9911317,0.1809256,-5.063862,-28.89069,-22.65803,1009.316
0.185271740,0.06195511,0.1063051,-0.3903162,-0.0361179,0.9866908,0.1770958,-5.063862,-28.89069,-22.65803,1009.316
0.190347672,-0.1236305,-0.01267273,-0.1462885,-0.0375681,0.9861823,0.1770988,-5.063862,-28.89069,-22.65803,1009.316
0.195424080,-0.06176861,-0.01267273,-0.1462885,-0.02690918,0.9887893,0.1789916,-5.832979,-28.88469,-22.6636,1009.316
0.200504303,-0.1854923,0.1063051,-0.2683024,-0.03024546,0.9848287,0.1770811,-5.832979,-28.88469,-22.6636,1009.316
0.205575943,-0.06176861,-0.01267273,-0.02427471,-0.03366887,0.9857489,0.1766107,-5.832979,-28.88469,-22.6636,1009.316
0.210651875,0.1856788,-0.01267273,-0.02427471,-0.03031549,0.9887319,0.1780415,-5.832979,-28.88469,-22.6636,1009.316
0.215727806,0.06195511,-0.01267273,-0.08528163,-0.03234978,0.9935768,0.1785282,-5.832979,-28.88469,-22.6636,1009.316
0.220803738,9.325054E-05,0.1657941,0.09773912,-0.03266681,0.9843133,0.1780442,-5.832979,-28.88469,-22.6636,1009.316
