Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.911134243,46.478,33.194
1.911097527,46.476,33.196
2.911061287,46.436,33.196
3.911024570,46.502,33.196
4.910987854,46.454,33.196
5.910951614,46.496,33.196
6.910914898,46.47,33.198
7.910879135,46.506,33.198
8.910842895,46.522,33.198
9.910807133,46.51,33.198
10.910770893,46.492,33.2
11.910735130,46.508,33.2
12.910699368,46.528,33.2
13.910663605,46.514,33.2
14.910627842,46.476,33.202
15.910592079,46.552,33.202
16.910556793,46.53,33.202
17.910521507,46.556,33.202
18.910485744,46.536,33.204
19.910450459,46.528,33.204
20.910415173,46.528,33.206
21.910380840,46.496,33.206
22.910345554,46.488,33.206
23.910310745,46.544,33.206
24.910275936,46.534,33.208
25.910241127,46.524,33.208
26.910206318,46.54,33.21
27.910171986,46.534,33.21
28.910137176,46.572,33.21
29.910103798,46.558,33.212
30.910068989,46.554,33.212
31.910035133,46.578,33.212
32.910000801,46.552,33.214
33.909966946,46.54,33.214
34.909933090,46.544,33.214
35.909899235,46.582,33.214
36.912403584,46.54,33.216
37.912370205,46.566,33.216
38.912336826,46.594,33.216
39.912303448,46.6,33.218
40.912270069,46.59,33.218
41.912236214,46.574,33.218
42.912202835,46.622,33.218
43.912169933,46.626,33.218
44.912136555,46.562,33.218
45.912103653,46.594,33.22
46.912070274,46.602,33.22
47.912037373,46.6,33.22
48.912003994,46.632,33.22
49.911971569,46.642,33.22
50.911938190,46.604,33.22
51.911905289,46.594,33.22
52.911872864,46.588,33.22
53.911839485,46.598,33.222
54.911807060,46.572,33.222
55.911779404,46.626,33.222
56.911741257,46.624,33.222
57.911708832,46.598,33.222
58.911676407,46.6,33.222
59.911643028,46.634,33.222
60.911615849,46.62,33.222
61.911578178,46.614,33.224
62.911545753,46.622,33.224
63.911513329,46.692,33.224
64.911480904,46.59,33.224
65.911448002,46.62,33.224
66.911415577,46.626,33.224
67.911384106,46.628,33.226
68.911351204,46.636,33.226
69.911318779,46.574,33.226
70.911290169,46.632,33.226
71.911258697,46.624,33.226
72.911222935,46.656,33.226
73.911190033,46.648,33.226
