Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.003711224,4.32122,-20.24921,-4.527844
0.008641243,4.329473,-20.24999,-4.579136
0.013571262,4.326537,-20.25041,-4.559681
0.018501759,4.323575,-20.2489,-4.516016
0.023431778,4.316724,-20.25374,-4.436198
0.028361797,4.326337,-20.25364,-4.482263
0.033291340,4.334205,-20.253,-4.538347
0.038222313,4.347559,-20.25109,-4.645807
0.043152332,4.346061,-20.25286,-4.640588
0.048081875,4.339431,-20.25389,-4.579161
0.053011894,4.328636,-20.25521,-4.502036
0.057941914,4.328866,-20.25428,-4.50885
0.062872410,4.331001,-20.25492,-4.532594
0.067802429,4.33576,-20.2541,-4.577557
0.072732449,4.33619,-20.25344,-4.588342
0.077662468,4.340006,-20.25403,-4.635259
0.082592964,4.343865,-20.25462,-4.683091
0.087522984,4.344072,-20.25447,-4.705567
0.092453003,4.337171,-20.25426,-4.669408
0.097383022,4.329628,-20.25402,-4.623554
0.102313519,4.328509,-20.25533,-4.619764
0.107243538,4.33235,-20.25449,-4.666945
0.112173557,4.336659,-20.2541,-4.721406
0.119568825,4.339239,-20.25649,-4.778882
0.124498844,4.339979,-20.25595,-4.810143
0.129428387,4.338184,-20.25536,-4.810699
0.134355068,4.335896,-20.2563,-4.808147
0.139285088,4.331786,-20.25735,-4.787979
0.144215107,4.329955,-20.25692,-4.779809
0.149145126,4.331253,-20.25727,-4.794766
0.154075623,4.334795,-20.25753,-4.802307
0.159005642,4.339647,-20.25821,-4.825941
0.163935661,4.341403,-20.25853,-4.829139
0.168865681,4.339917,-20.25861,-4.808754
0.173796177,4.338031,-20.25854,-4.779956
0.178726196,4.33614,-20.25986,-4.751598
0.183656216,4.334818,-20.25995,-4.724403
0.188586712,4.335705,-20.26028,-4.717884
0.193516731,4.338263,-20.26089,-4.723374
0.198446751,4.341926,-20.26196,-4.736584
0.203376770,4.34424,-20.26135,-4.784747
0.208306313,4.344194,-20.2614,-4.807455
0.213237286,4.342779,-20.2617,-4.816645
0.218166828,4.341828,-20.26133,-4.821333
0.223096848,4.339852,-20.26099,-4.819553
0.228026867,4.33855,-20.26093,-4.819851
0.232957363,4.339172,-20.26133,-4.834889
0.237887382,4.341925,-20.26176,-4.878436
0.242817402,4.344124,-20.26207,-4.920578
0.247747421,4.344762,-20.26289,-4.94018
0.252677917,4.344532,-20.26335,-4.952979
0.257607937,4.343356,-20.26385,-4.958924
0.262537956,4.342037,-20.26442,-4.967617
0.267467975,4.335964,-20.26426,-4.93916
0.272397995,4.332779,-20.26335,-4.912253
0.277328491,4.329219,-20.26745,-4.87882
0.282258510,4.340937,-20.26679,-4.960757
0.287188530,4.350761,-20.26553,-5.047253
0.294588089,4.360803,-20.26507,-5.159756
0.299513817,4.35367,-20.2669,-5.108984
0.304444313,4.34215,-20.26792,-5.017741
0.309374332,4.334569,-20.26784,-4.940138
0.314304352,4.335318,-20.26756,-4.935054
0.319233894,4.341351,-20.26778,-4.976747
0.324169159,4.345011,-20.26782,-5.006231
0.329094410,4.349908,-20.26768,-5.0502
0.334020614,4.354368,-20.26837,-5.098918
0.338950634,4.355583,-20.26917,-5.117733
0.343880653,4.350086,-20.26939,-5.073767
0.348811149,4.34357,-20.27009,-4.991685
0.353741169,4.338727,-20.27153,-4.9269
