Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
0.003711224,0.4678285,1.012738,69.2002
0.008641243,0.3926806,1.019367,69.2002
0.013571262,0.5336979,0.9899666,69.2002
0.018501759,0.2308721,1.009549,69.2002
0.023431778,0.8433562,0.9736604,69.2002
0.028361797,1.030821,1.004748,69.2002
0.033291340,0.5467321,1.011869,69.2002
0.038222313,0.3168199,1.021018,69.2002
0.043152332,1.159288,0.9962184,69.2002
0.048081875,0.5944471,1.001152,69.2002
0.053011894,0.1577831,0.9952307,69.3158
0.057941914,0.5316096,1.00497,69.3158
0.062872410,0.2663819,1.001407,69.3158
0.067802429,0.2682992,1.010235,69.3158
0.072732449,0.2090631,1.00902,69.3158
0.077662468,0.5187715,1.011651,69.3158
0.082592964,0.1832599,1.006417,69.3158
0.087522984,0.3525843,1.002427,69.3158
0.092453003,0.4190333,1.007357,69.3158
0.097383022,0.09806965,0.9988736,69.3158
0.102313519,0.3539667,1.000258,69.1613
0.107243538,0.2311088,1.011524,69.1613
0.112173557,0.1869058,1.010348,69.1613
0.117103577,0.3044193,1.004398,69.1613
0.122034073,0.1827596,1.008748,69.1613
0.126964092,0.1536333,1.005143,69.1613
0.134355068,0.2308721,1.002502,69.1613
0.139285088,0.06916086,0.9989784,69.1613
0.144215107,0.2663051,1.005841,69.1613
0.149145126,0.4525373,1.010271,69.1613
0.154075623,0.2771339,1.007056,68.99277
0.159005642,0.1360034,1.005121,68.99277
0.163935661,0.1472701,1.002347,68.99277
0.168865681,0.1845111,1.005311,68.99277
0.173796177,0.1939417,1.004031,68.99277
0.178726196,0.1150259,0.9942727,68.99277
0.183656216,0.1995668,1.011101,68.99277
0.188586712,0.2148755,1.006269,68.99277
0.193516731,0.174527,1.008112,68.99277
0.198446751,0.3172333,1.006583,68.99277
0.203376770,0.1727089,1.006352,68.90753
0.208306313,0.1474202,1.005946,68.90753
0.213237286,0.2275217,1.001403,68.90753
0.218166828,0.09531764,1.005479,68.90753
0.223096848,0.07656254,1.001392,68.90753
0.228026867,0.1879273,1.00197,68.90753
0.232957363,0.1879273,1.005462,68.90753
0.237887382,0.1054883,1.007431,68.90753
0.242817402,0.09531764,1.009583,68.90753
0.247747421,0.09621499,1.005806,69.05656
0.252677917,0.1685765,1.004038,69.05656
0.257607937,0.1690834,1.001244,69.05656
0.262537956,0.2005981,1.009661,69.05656
0.267467975,0.2225064,0.9947981,69.05656
0.272397995,0.3487523,1.010114,69.05656
0.277328491,0.679043,0.9895757,69.05656
0.282258510,0.9019402,1.008049,69.05656
