Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.352817535,82.04297,88.6875,3.77125,317.8125,0
1.479026795,82.01563,88.03125,3.7725,344.6875,0
2.463168144,82.00391,88.03125,3.7775,301.5625,0
3.342802048,81.99219,88.125,3.77375,305.625,0
4.398447991,81.98047,87.84375,3.768125,320.9375,0
5.450930596,81.95703,87.9375,3.779375,308.75,0
6.330580711,81.94531,87.9375,3.774375,306.25,0
7.385048866,81.93359,88.125,3.774375,305.3125,0
8.442347050,81.91797,88.21875,3.768125,316.875,0
9.495059013,81.89453,88.03125,3.774375,318.75,0
10.374069214,81.88281,88.21875,3.775625,291.875,0
11.428836823,81.87109,88.03125,3.7775,298.4375,0
12.483503819,81.85938,88.125,3.7775,297.5,0
13.363739014,81.84766,88.40625,3.77875,303.4375,0
14.419124603,81.82031,88.21875,3.770625,344.6875,0
15.474069595,81.80859,87.9375,3.7725,296.25,0
16.351346970,81.79688,87.75,3.774375,301.25,0
17.406508923,81.77344,87.84375,3.774375,295.9375,0
18.461146832,81.76172,87.9375,3.783125,286.25,0
19.348993778,81.75,87.9375,3.765,316.25,0
20.255493641,81.73828,87.75,3.77125,316.875,0
21.449075222,81.71094,87.75,3.773125,315.625,0
22.345177174,81.69922,87.75,3.76875,303.75,0
23.383368015,81.6875,87.9375,3.7675,303.125,0
24.437648296,81.67578,87.65625,3.77,300.625,0
25.492488384,81.65234,87.65625,3.769375,307.5,0
26.373627663,81.64063,87.65625,3.7675,311.25,0
27.469502926,81.625,87.75,3.77,313.75,0
28.481196880,81.60156,87.75,3.7575,283.4375,0
29.360225678,81.58984,87.84375,3.77375,283.4375,0
30.414606571,81.57813,87.84375,3.774375,301.25,0
31.469454765,81.56641,87.84375,3.774375,277.5,0
32.348486900,81.55469,87.84375,3.771875,280.3125,0
33.403308392,81.52734,88.125,3.77625,300,0
34.458821774,81.51563,88.125,3.76875,310.9375,0
35.338096619,81.50391,88.125,3.775625,302.1875,0
36.393122196,81.49219,88.03125,3.773125,304.6875,0
37.448138237,81.46875,88.21875,3.774375,276.5625,0
38.325550556,81.45703,88.21875,3.77625,291.5625,0
39.380587578,81.44531,88.40625,3.77625,290,0
40.435965061,81.42969,88.40625,3.775625,305.3125,0
41.412227154,81.40625,88.3125,3.7675,323.125,0
42.368765354,81.39453,88.03125,3.771875,315.9375,0
43.423965931,81.38281,88.3125,3.760625,290.3125,0
44.302956104,81.37109,88.40625,3.774375,292.1875,0
45.357701778,81.34766,88.3125,3.774375,282.8125,0
46.418334007,81.33203,88.125,3.7725,311.875,0
47.323637962,81.32031,88.125,3.766875,315,0
48.399489403,81.30859,87.5625,3.76875,316.875,0
49.403226853,81.28516,87.5625,3.77,314.375,0
50.456105232,81.27344,87.65625,3.77375,294.0625,0
51.334936142,81.26172,87.5625,3.775,327.5,0
52.389503002,81.25,87.65625,3.776875,295,0
53.444469929,81.22266,87.46875,3.779375,299.375,0
54.323667049,81.21094,87.5625,3.773125,296.5625,0
55.378134728,81.19922,87.84375,3.758125,288.125,0
56.432787418,81.17578,87.75,3.765625,294.6875,0
57.487787247,81.16406,87.375,3.776875,329.0625,0
58.368054390,81.15234,87.375,3.7625,292.8125,0
59.423917294,81.13672,87.28125,3.769375,315,0
60.478060246,81.11328,87.28125,3.77375,292.5,0
61.355896473,81.10156,87.1875,3.769375,334.6875,0
62.411319733,81.08984,86.90625,3.771875,345.9375,0
63.465125561,81.07813,87.28125,3.76875,307.5,0
64.344064236,81.05469,87.46875,3.78,297.8125,0
65.398861885,81.03906,87,3.76625,280.3125,0
66.453599453,81.02734,87.09375,3.77375,315.9375,0
67.362569809,81.01563,86.8125,3.768125,315.3125,0
68.387996197,80.99219,86.53125,3.76875,305.625,0
69.443991184,80.98047,86.53125,3.770625,297.5,0
