Time (s),X (g),Y (g),Z (g)
0.001100540,0.469161,-0.4271034,-0.2394356
0.006124973,0.4735596,-0.4342602,-0.2382866
0.011149883,0.4693233,-0.429681,-0.2398033
0.016174316,0.4725776,-0.4268706,-0.2407039
0.021199703,0.47033,-0.4257528,-0.2361247
0.026223183,0.4706831,-0.4290282,-0.2469259
0.031247616,0.468656,-0.4273606,-0.2420001
0.036272526,0.4661329,-0.4261211,-0.2394597
0.041296959,0.4718736,-0.4270703,-0.2381667
0.046321392,0.4731939,-0.4344355,-0.2393644
0.051341534,0.4717309,-0.4293345,-0.2395407
0.056365967,0.4717134,-0.4307288,-0.2385283
0.061390877,0.4751667,-0.4290465,-0.2471033
0.134246349,0.4699363,-0.4286061,-0.2368691
0.139270783,0.4723319,-0.4337146,-0.2407775
0.141782761,0.4737324,-0.4258502,-0.2391403
0.146807671,0.4634709,-0.4286552,-0.2419334
0.151832104,0.4611766,-0.4245775,-0.2392606
0.156857014,0.4620453,-0.4254506,-0.236926
0.161881447,0.46325,-0.4203318,-0.2401982
0.166905403,0.4603555,-0.4355575,-0.2398159
0.171929836,0.463362,-0.4289266,-0.2439476
0.176954746,0.4621189,-0.4272369,-0.2357146
0.181979179,0.4699486,-0.4383593,-0.2365298
0.187004089,0.4650961,-0.4340385,-0.2393834
0.192028046,0.4658933,-0.4357368,-0.2377779
0.197052479,0.4649928,-0.4299607,-0.231452
0.202077389,0.4746609,-0.4320093,-0.2361737
0.207101822,0.4702234,-0.4257305,-0.2382903
0.279957295,0.4717501,-0.4302955,-0.2327755
0.282465458,0.4721459,-0.4351186,-0.235416
0.287489891,0.4700317,-0.4307904,-0.2413863
0.292514801,0.4651769,-0.4237584,-0.2344979
0.297539234,0.4682661,-0.4238924,-0.2341262
0.302563667,0.4681779,-0.4281415,-0.2366227
0.307587624,0.4704865,-0.4265562,-0.2370999
0.312612534,0.471166,-0.4252834,-0.2380777
0.317636967,0.4714937,-0.4255934,-0.2363284
0.322661877,0.4721482,-0.4234661,-0.2372582
0.327686310,0.4649235,-0.4247988,-0.240414
0.332710743,0.4740456,-0.4262339,-0.2384717
0.337734699,0.4652799,-0.4202351,-0.2301017
0.342759609,0.469449,-0.429317,-0.2337135
0.347784042,0.4600225,-0.4159527,-0.2311394
0.352808952,0.4654147,-0.422383,-0.2324153
0.425664425,0.4577978,-0.4327985,-0.2328678
0.428176403,0.4554382,-0.431938,-0.2387363
0.433200836,0.4557235,-0.4368349,-0.2373306
0.438225746,0.4596097,-0.4312703,-0.2352226
0.443250179,0.4583851,-0.4316322,-0.2392564
0.448274136,0.4607208,-0.4283278,-0.2332713
0.453299046,0.4581362,-0.4342214,-0.2391079
0.458323479,0.4569712,-0.4293083,-0.2381072
0.463347912,0.4527265,-0.4285569,-0.2393054
0.468372822,0.4576979,-0.4270215,-0.2396077
0.473397255,0.4597524,-0.4342968,-0.2396003
0.478424549,0.4583068,-0.4242823,-0.2318337
0.483441830,0.4648288,-0.426983,-0.2311836
0.488466740,0.4664103,-0.4317608,-0.2354892
0.493495941,0.4625294,-0.4332324,-0.2454608
0.573883534,0.4756551,-0.4245771,-0.2433111
0.576395512,0.4775972,-0.4285513,-0.2424306
0.581419945,0.4782844,-0.4263285,-0.2431931
0.586444378,0.4770454,-0.4237361,-0.2419556
0.591469288,0.4801462,-0.4278625,-0.2429895
0.596493721,0.4804452,-0.4239122,-0.2401605
0.601518631,0.4833794,-0.4243476,-0.2454465
0.606542587,0.4827275,-0.4267613,-0.2400326
0.611567021,0.4825879,-0.4204598,-0.2425198
0.616591931,0.4806072,-0.4187674,-0.2439383
0.621616364,0.4806126,-0.4180943,-0.245663
0.626640797,0.482879,-0.4229996,-0.2427952
0.631664753,0.4793125,-0.4163239,-0.239615
0.636689663,0.4768161,-0.4214408,-0.2440337
0.641714096,0.4805814,-0.4228236,-0.235023
0.646739006,0.4789973,-0.4252458,-0.2336042
0.757277966,0.4823841,-0.4314545,-0.2728935
0.762298584,0.4805489,-0.4292719,-0.2667783
0.767323494,0.481289,-0.4319252,-0.2667406
0.772347927,0.4805027,-0.4353158,-0.2692904
0.777373314,0.4787456,-0.4366925,-0.2650827
0.782396793,0.4742477,-0.4391763,-0.2667618
0.787421226,0.4740042,-0.4411853,-0.2572895
0.792445660,0.4688863,-0.4430625,-0.2602372
0.797470570,0.4664596,-0.4483798,-0.2489201
0.802494526,0.46004,-0.4437927,-0.2444899
0.807518959,0.4606536,-0.4497362,-0.2459581
0.812543869,0.4636933,-0.4505133,-0.2436952
0.817568302,0.4580131,-0.4457287,-0.2365497
0.822593212,0.4667435,-0.4438358,-0.2365815
0.827617645,0.4612464,-0.4376704,-0.2362369
0.832641602,0.4657752,-0.4344691,-0.2170682
0.938157082,0.4516327,-0.4288032,-0.2527509
0.943181515,0.4502986,-0.4214802,-0.2525241
0.948205471,0.4608166,-0.4230087,-0.2573616
0.953229904,0.462201,-0.4268037,-0.2542745
0.958254814,0.4706301,-0.4236698,-0.2631289
0.963275433,0.475204,-0.4331206,-0.2665883
0.968299866,0.4860731,-0.4351395,-0.265033
0.973323822,0.4849105,-0.4414496,-0.2645551
0.978348732,0.4888884,-0.4416745,-0.256217
0.983378410,0.4884997,-0.4429911,-0.2587067
0.988399982,0.482251,-0.4472618,-0.2495761
0.993422508,0.474196,-0.4419326,-0.246294
0.998446941,0.4673081,-0.4405153,-0.2430096
1.003470898,0.4593933,-0.4378864,-0.2337061
1.008495808,0.458772,-0.4404254,-0.2355666
1.114010811,0.4672803,-0.4403262,-0.2395825
1.119034767,0.4714572,-0.438233,-0.2434861
1.121547699,0.4703896,-0.431918,-0.242014
1.126572132,0.4693012,-0.4377365,-0.2435453
1.131597042,0.4710034,-0.4333307,-0.2415083
