Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.001100540,142.1163,4.562934,38.16525
0.006124973,142.1097,4.562156,38.16814
0.011149883,142.1025,4.560833,38.17109
0.016174316,142.0937,4.559155,38.17431
0.021199703,142.085,4.557664,38.17777
0.026223183,142.0765,4.555984,38.18198
0.031247616,142.0673,4.554091,38.18614
0.036272526,142.0605,4.552079,38.19042
0.041296959,142.0545,4.550022,38.19511
0.046321392,142.0495,4.54753,38.20074
0.051341534,142.045,4.545567,38.20555
0.056365967,142.0404,4.542177,38.21248
0.061390877,142.0344,4.538809,38.2192
0.134246349,141.8788,4.465204,38.3299
0.139270783,141.8683,4.462258,38.33492
0.141782761,141.8628,4.46056,38.33751
0.146807671,141.8516,4.458443,38.34091
0.151832104,141.841,4.456114,38.34425
0.156857014,141.832,4.453812,38.34642
0.161881447,141.8243,4.451722,38.34565
0.166905403,141.8175,4.450362,38.34412
0.171929836,141.8104,4.450302,38.34056
0.176954746,141.8017,4.451143,38.3357
0.181979179,141.793,4.452218,38.32967
0.187004089,141.7843,4.455042,38.32243
0.192028046,141.7757,4.458527,38.31506
0.197052479,141.7662,4.462224,38.30673
0.202077389,141.7556,4.467644,38.2984
0.207101822,141.7452,4.473204,38.28976
0.279957295,141.6157,4.520715,38.1847
0.282465458,141.6113,4.521563,38.18172
0.287489891,141.6021,4.521952,38.17483
0.292514801,141.5923,4.522366,38.16872
0.297539234,141.5819,4.522259,38.16242
0.302563667,141.5718,4.521845,38.15697
0.307587624,141.5615,4.520818,38.15221
0.312612534,141.5524,4.519793,38.14745
0.317636967,141.543,4.518984,38.1437
0.322661877,141.5335,4.517185,38.14113
0.327686310,141.5243,4.514121,38.14037
0.332710743,141.5142,4.510846,38.14057
0.337734699,141.5048,4.507058,38.14159
0.342759609,141.4965,4.502759,38.1444
0.347784042,141.4896,4.498631,38.14765
0.352808952,141.4848,4.49316,38.1524
0.425664425,141.4884,4.416562,38.22125
0.428176403,141.4913,4.416443,38.22338
0.433200836,141.4972,4.41646,38.22726
0.438225746,141.5029,4.416975,38.23151
0.443250179,141.5085,4.418005,38.23495
0.448274136,141.514,4.42013,38.2393
0.453299046,141.5202,4.422439,38.2429
0.458323479,141.5269,4.424606,38.24682
0.463347912,141.5335,4.427268,38.25014
0.468372822,141.5416,4.430047,38.25335
0.470884800,141.5457,4.432219,38.25522
0.475909233,141.5552,4.436035,38.2578
0.480929852,141.5654,4.440275,38.26045
0.485954762,141.5757,4.445467,38.26331
0.490978718,141.5864,4.450017,38.26611
0.573883534,141.7592,4.550332,38.24468
0.576395512,141.7637,4.553319,38.24297
0.581419945,141.7723,4.558512,38.23875
0.586444378,141.7803,4.563423,38.23517
0.591469288,141.7879,4.567671,38.23171
0.596493721,141.7948,4.571566,38.22952
0.601518631,141.8006,4.574728,38.22812
0.606542587,141.8065,4.577629,38.2281
0.611567021,141.8124,4.579967,38.22931
0.616591931,141.8174,4.580552,38.23272
0.621616364,141.8217,4.580642,38.23768
0.626640797,141.8254,4.579169,38.24409
0.631664753,141.8293,4.575733,38.25267
0.636689663,141.8343,4.570947,38.26271
0.641714096,141.8401,4.56687,38.27218
0.646739006,141.8466,4.562887,38.28276
0.757277966,141.7261,4.475376,38.45019
0.762298584,141.7342,4.471083,38.44981
0.767323494,141.7434,4.464637,38.45038
0.772347927,141.753,4.455944,38.45077
0.777373314,141.7625,4.446301,38.4519
0.782396793,141.7724,4.436802,38.45077
0.787421226,141.7822,4.426686,38.44933
0.792445660,141.7923,4.416543,38.44614
0.797470570,141.8013,4.408056,38.44164
0.802494526,141.8097,4.400421,38.43626
0.807518959,141.8159,4.394727,38.42894
0.812543869,141.8207,4.390028,38.42042
0.817568302,141.8233,4.387694,38.412
0.822593212,141.8237,4.385383,38.40237
0.827617645,141.8232,4.384257,38.3928
0.832641602,141.8216,4.384149,38.38278
0.938157082,141.5555,4.402152,38.27237
0.943181515,141.5485,4.406432,38.26847
0.948205471,141.5453,4.410946,38.26438
0.953229904,141.5443,4.415038,38.26121
0.958254814,141.5449,4.419113,38.25925
0.963275433,141.5476,4.422061,38.25878
0.968299866,141.5519,4.423718,38.26034
0.973323822,141.5591,4.422828,38.26355
0.975836754,141.5627,4.421947,38.26571
0.980861187,141.571,4.418917,38.27184
0.985886097,141.5789,4.413954,38.2799
0.990910053,141.587,4.408374,38.28767
0.995934486,141.5953,4.403006,38.29547
1.000958920,141.6048,4.397396,38.30247
1.005983829,141.6156,4.393697,38.30873
1.114010811,141.7479,4.39722,38.33356
1.119034767,141.75,4.399626,38.33315
1.121547699,141.7508,4.400699,38.33315
1.126572132,141.752,4.40353,38.33278
1.131597042,141.7536,4.406314,38.33286
1.136620998,141.7551,4.409903,38.33247
1.141645432,141.7563,4.413447,38.33253
1.146670342,141.7571,4.417911,38.33206
1.151694775,141.7577,4.423558,38.33063
1.156719208,141.7578,4.428234,38.33017
1.161739349,141.7575,4.433953,38.33007
1.166763783,141.7567,4.4392,38.33033
1.171788693,141.7543,4.444094,38.33187
1.176813126,141.7516,4.44821,38.33462
1.181838036,141.7476,4.45242,38.3375
1.186862469,141.7439,4.4563,38.34043
1.294888973,141.7847,4.529572,38.2849
1.299913883,141.7963,4.532232,38.27917
1.302425861,141.8024,4.532971,38.27628
1.307450295,141.8142,4.534803,38.26926
1.312475205,141.8258,4.537323,38.26188
1.317499638,141.8358,4.541359,38.25445
1.322524071,141.8452,4.545253,38.24538
1.327548981,141.8538,4.550522,38.23563
1.332572937,141.8616,4.55681,38.22643
1.337597370,141.8693,4.563739,38.21732
1.342622280,141.8769,4.569979,38.20757
1.347648144,141.885,4.575919,38.19865
1.352671623,141.8937,4.58228,38.1898
1.357696056,141.9023,4.588454,38.18169
1.362718105,141.9121,4.593638,38.17476
1.367740631,141.9218,4.597802,38.16825
1.475768089,142.203,4.601966,38.07573
1.478280068,142.2134,4.600861,38.07588
1.483304501,142.2349,4.598023,38.07785
1.488328934,142.2566,4.595522,38.08248
1.493357659,142.2789,4.592008,38.08927
1.498378277,142.3014,4.58808,38.09776
1.500890255,142.3125,4.586084,38.10271
1.505915165,142.3344,4.58239,38.11374
1.510939598,142.3568,4.575874,38.12755
1.515963555,142.3787,4.569054,38.14297
1.520988464,142.4004,4.560185,38.15919
1.526012898,142.421,4.549233,38.17741
1.531041622,142.4416,4.538169,38.19554
1.536062241,142.4614,4.525582,38.21559
1.541086674,142.4808,4.512234,38.23469
1.649113655,142.6293,4.206932,38.62374
1.654134274,142.6382,4.201184,38.63161
1.656646252,142.6429,4.198987,38.63532
1.661670685,142.6527,4.19555,38.642
1.666695118,142.6618,4.192325,38.6487
1.671720028,142.6707,4.190931,38.65457
1.676744461,142.6798,4.189739,38.65971
1.681769371,142.6874,4.190033,38.66329
1.686793327,142.6967,4.191379,38.66627
1.691817761,142.7057,4.194282,38.66803
1.696842194,142.7155,4.197804,38.66914
1.701867104,142.7247,4.20116,38.669
1.706891537,142.7343,4.204584,38.66746
1.711916447,142.7448,4.207077,38.66645
1.716940403,142.7561,4.209651,38.66478
1.721964836,142.7678,4.211406,38.66105
1.832504272,142.6256,4.212712,38.55676
1.835016727,142.613,4.211364,38.55184
1.837528706,142.6003,4.210203,38.54716
1.842553616,142.5729,4.208646,38.53857
1.847578049,142.5435,4.208136,38.52938
1.852598667,142.5121,4.208631,38.52076
1.857622623,142.4786,4.210235,38.51186
1.862647533,142.4439,4.212099,38.50254
1.867671967,142.4072,4.212784,38.49219
1.872697353,142.3696,4.21348,38.48262
1.877721310,142.3303,4.214374,38.47406
1.882745743,142.2903,4.214104,38.46522
1.887769699,142.2473,4.212783,38.457
1.892795563,142.203,4.212348,38.44946
1.897819042,142.1574,4.211905,38.44291
1.902843475,142.1098,4.211879,38.4364
2.015894890,141.2915,4.126402,38.38834
2.020919800,141.285,4.121606,38.38762
2.023432255,141.283,4.119106,38.38773
2.025944233,141.2818,4.116649,38.38741
2.030968666,141.281,4.112343,38.3861
2.035993576,141.2845,4.107548,38.38538
2.041018009,141.2905,4.102324,38.38459
2.046041965,141.2989,4.097976,38.38369
2.051062584,141.3081,4.09462,38.3826
2.056087494,141.3188,4.091785,38.38167
2.061111927,141.3306,4.089156,38.37978
2.066136837,141.3421,4.086205,38.37893
2.071161270,141.3543,4.083725,38.3777
2.076185226,141.3661,4.080913,38.37656
2.081210613,141.3797,4.078251,38.37607
2.086234570,141.394,4.077017,38.37424
2.091259003,141.4092,4.075324,38.37376
2.096283913,141.4248,4.073823,38.37352
2.101308346,141.4399,4.071779,38.37334
2.106332302,141.454,4.069072,38.37327
2.111356735,141.467,4.065658,38.37379
2.116381645,141.4803,4.063186,38.37354
2.121406078,141.4923,4.061472,38.37328
2.126430988,141.5044,4.06181,38.37196
2.131454945,141.5162,4.061818,38.3707
2.136479378,141.5273,4.062493,38.37029
2.141504288,141.5384,4.064097,38.37031
2.146528721,141.5483,4.06506,38.37027
2.151553154,141.5593,4.066308,38.37059
2.156578064,141.5687,4.067225,38.37096
2.161602020,141.58,4.066795,38.37184
2.166626453,141.5923,4.066247,38.37279
2.171651363,141.6054,4.066196,38.37416
2.176675797,141.619,4.066096,38.37494
2.181700707,141.6322,4.067039,38.3761
2.186725140,141.6448,4.068196,38.37728
2.191749096,141.6573,4.070201,38.37757
2.196773529,141.6703,4.072089,38.37896
2.201798439,141.6834,4.074101,38.3812
2.206822872,141.6983,4.075829,38.38409
2.211847782,141.7138,4.078434,38.38687
2.216871738,141.7308,4.080352,38.39098
2.221896172,141.748,4.082905,38.39418
2.226921082,141.7657,4.085319,38.39769
2.231945515,141.7837,4.08747,38.4026
2.236969948,141.8018,4.089881,38.4071
2.241994858,141.8195,4.091817,38.41296
2.247018814,141.8374,4.094371,38.41911
2.252039433,141.8551,4.096895,38.4245
2.257063866,141.8725,4.098828,38.43036
2.262088776,141.8893,4.102463,38.43644
2.267113209,141.9056,4.105669,38.44246
2.272137642,141.922,4.109254,38.448
2.277162075,141.9383,4.112669,38.45404
2.282186508,141.9543,4.116154,38.45946
2.287210941,141.9705,4.119947,38.46502
2.292235851,141.9871,4.123312,38.47053
2.297260284,142.0038,4.127338,38.4759
2.302285194,142.02,4.131649,38.48066
