Time (s),Humidity (%)
0.493495941,11.74707
1.493357659,12.54102
2.493212223,12.63379
3.493074894,13.01367
4.492934227,14.02539
5.492887020,12.76074
6.493138790,12.27734
7.492998123,11.9209
8.493189335,12.51953
9.493049145,12.71582
10.507986069,12.85352
11.492773533,12.63574
12.575538159,12.79688
13.492494106,13.54492
14.492355347,13.0498
15.492217541,12.24414
16.492077351,12.64746
17.491939068,13.40723
18.491800308,12.59082
19.526834011,12.69434
20.509114266,12.74023
21.493902207,13.31543
22.503813267,12.32617
23.538847447,13.4082
24.493489266,12.82129
25.493351936,12.08496
26.493214607,13.74219
27.493076801,11.84375
28.492939472,12.55664
29.512904644,12.66113
30.585624218,13.8584
31.492534638,14.07715
32.492396355,12.66113
33.492259979,13.08691
34.492123604,12.92578
35.491991520,11.93652
36.491854668,12.44336
37.491719246,12.8457
38.491583347,12.71973
39.491447449,12.45508
40.491312027,13.2373
41.601716519,12.08691
42.493557930,12.63965
43.491398811,11.26953
44.511361599,13.2959
45.498665333,14.40039
46.493505955,12.99707
47.498399258,13.67578
48.493240357,13.42285
49.493105888,12.61719
50.492970944,12.6748
51.492836952,13.12402
52.578120232,13.37695
53.492568970,12.36426
54.492434502,11.86914
55.492300511,14.36719
56.492168427,11.23633
57.492033005,12.09961
58.491899490,11.98438
59.492173195,12.61816
60.492039681,12.81445
61.491906166,12.05371
62.491773605,13.11328
63.491673470,12.22656
64.516666889,12.28418
65.491411686,13.64355
66.594283104,14.61035
67.496170998,12.07715
68.493525982,12.30762
69.493393421,13.25195
70.493265152,12.90625
71.493132591,12.12402
72.568369389,11.97461
73.492868424,12.16992
74.492736340,12.14746
75.525268078,10.90332
76.492476940,11.2373
77.492344856,12.80371
78.492217541,10.67285
79.492082119,12.30859
80.491950512,12.32031
81.491818905,12.63184
82.491687775,13.41406
83.491556168,12.98828
84.491425514,12.70117
85.491294861,11.9873
86.554032326,13.99023
87.491098404,11.45703
88.490967751,11.36523
89.490837097,11.6416
90.490706921,13.62305
91.490576267,12.70117
92.493428230,12.43652
93.493298054,12.41406
94.493167877,13.23145
95.493038178,12.40234
96.492908478,12.49512
97.530467034,13.04785
98.492657662,11.51563
99.492524147,13.01367
100.560226441,13.41699
101.492270947,12.21875
102.492138863,13.1748
103.492012024,12.48438
104.491883755,12.24219
105.491754532,12.41504
106.491625786,12.93359
107.536718845,12.26563
108.491415024,12.42676
109.491286755,13.15234
110.491158486,12.48438
111.491031170,12.07031
112.490903378,11.5752
113.490775585,12.60059
114.490648270,10.15723
115.490520954,12.96875
116.490398884,12.2207
117.492784023,13.69531
118.492651940,12.09375
119.492529392,11.84082
120.492402554,12.80859
121.492275715,12.44043
122.492148876,11.0459
123.492022991,12.63574
124.491896153,11.49512
125.491770268,12.3252
126.491643906,12.56738
127.519153118,13.16602
128.491391659,13.31641
129.491265774,12.19922
130.491141796,12.50977
131.491014481,11.48438
132.490889073,12.08398
133.490762711,13.66211
134.490637303,11.78418
135.490511894,12.75195
136.490386486,11.6582
137.490261555,13.10938
138.490136147,12.29199
139.490011692,11.88867
140.489886284,11.86523
141.489761353,11.72754
142.492148876,12.1416
143.492027760,12.31543
144.491903305,12.56836
145.491778374,11.29004
146.491653919,12.32715
147.531730652,12.14258
148.503970146,11.12793
149.576838017,13.43262
150.491295815,12.2002
151.491174698,12.81055
