Time (s),X (g),Y (g),Z (g)
0.001100540,0.1263738,0.3530266,0.5664282
0.006124973,0.125311,0.3602155,0.5707619
0.011149883,0.1248683,0.354276,0.5682175
0.016174316,0.1292043,0.3536927,0.5685961
0.021199703,0.1277125,0.3545707,0.5637289
0.026223183,0.1267676,0.349984,0.574119
0.031247616,0.125753,0.3508626,0.5687686
0.036272526,0.124269,0.3502938,0.5653404
0.041296959,0.1280597,0.3546149,0.5667689
0.046321392,0.1245783,0.3588756,0.5720433
0.051341534,0.1265244,0.3549417,0.5690722
0.056365967,0.1254802,0.3563329,0.569046
0.061390877,0.1298331,0.3518376,0.5761101
0.134246349,0.123662,0.3535678,0.5673877
0.139270783,0.1226225,0.3553209,0.5740076
0.141782761,0.1284368,0.3523887,0.5691209
0.146807671,0.1187724,0.3468016,0.569418
0.151832104,0.1192364,0.3447402,0.5644925
0.156857014,0.1191686,0.347061,0.5634716
0.161881447,0.1235413,0.3425903,0.5638118
0.166905403,0.1118069,0.3501773,0.5705495
0.171929836,0.1186425,0.3452411,0.5713651
0.176954746,0.1181317,0.3485861,0.5636518
0.181979179,0.1175544,0.358645,0.572786
0.187004089,0.1167108,0.3517048,0.5711667
0.192028046,0.1162597,0.3540252,0.5711011
0.197052479,0.1187431,0.3539709,0.5628529
0.202077389,0.1255836,0.3572344,0.5709137
0.207101822,0.1262458,0.3498036,0.5678284
0.279957295,0.1255374,0.3553844,0.5669508
0.282465458,0.1231155,0.3567392,0.5717105
0.287489891,0.1246582,0.349294,0.5734315
0.292514801,0.1246889,0.3467952,0.5627591
0.297539234,0.1270875,0.3486137,0.5636275
0.302563667,0.124649,0.3494064,0.5678425
0.307587624,0.1275377,0.3492813,0.5682095
0.312612534,0.1289841,0.348188,0.568578
0.317636967,0.1289533,0.3495288,0.5675374
0.322661877,0.130876,0.3479476,0.5674165
0.327686310,0.1245806,0.342894,0.5682186
0.332710743,0.1307451,0.3496078,0.5705911
0.337734699,0.1268322,0.3466111,0.5580077
0.342759609,0.124763,0.351784,0.5670898
0.347784042,0.125297,0.3405545,0.5549047
0.352808952,0.1256228,0.3462984,0.5611584
0.425664425,0.1121594,0.3481297,0.5646616
0.428176403,0.1112499,0.3427747,0.5679777
0.433200836,0.1083005,0.346727,0.5695289
0.438225746,0.1146055,0.3468697,0.5662352
0.443250179,0.1136885,0.3439948,0.5691318
0.448274136,0.1170813,0.3470586,0.5634776
0.453299046,0.111812,0.3456014,0.5702315
0.458323479,0.1138187,0.3428061,0.5664319
0.463347912,0.1109966,0.339471,0.5655006
0.468372822,0.1158729,0.3410721,0.5665596
0.473397255,0.1129809,0.3465063,0.571026
0.478424549,0.1174224,0.3448092,0.5591346
0.480929852,0.1164758,0.3467603,0.568791
0.488466740,0.1194583,0.3513907,0.5685279
0.490978718,0.1166507,0.346566,0.5690016
0.573883534,0.1324444,0.3490835,0.5726696
0.576395512,0.1314845,0.3530298,0.5746806
0.581419945,0.1335287,0.3517045,0.5742693
0.586444378,0.134114,0.3503784,0.5714586
0.591469288,0.134151,0.3538734,0.5754103
0.596493721,0.1366446,0.3535289,0.5711635
0.601518631,0.13914,0.3521266,0.5764695
0.606542587,0.136718,0.3566058,0.5732347
0.611567021,0.1406935,0.3513592,0.5717892
0.616591931,0.1402519,0.3485023,0.5713271
0.621616364,0.1407546,0.3470935,0.5723114
0.626640797,0.1392105,0.3529798,0.5733863
0.631664753,0.1401607,0.3491842,0.5661991
0.636689663,0.1352463,0.348204,0.5715151
0.641714096,0.1365336,0.3566176,0.5664201
0.646739006,0.1335414,0.3581508,0.5660361
0.757277966,0.1332038,0.3381307,0.60243
0.762298584,0.1326258,0.3397443,0.5958374
0.767323494,0.1315235,0.3417982,0.597405
0.772347927,0.1289515,0.3418826,0.6008711
0.777373314,0.1263331,0.3444499,0.5976644
0.782396793,0.1213461,0.3425879,0.598717
0.787421226,0.1191534,0.3495743,0.592217
0.792445660,0.1141717,0.3462475,0.5937322
0.797470570,0.1081101,0.3551546,0.586771
0.802494526,0.1055906,0.3518886,0.5786866
0.807518959,0.1025539,0.3548463,0.5831081
0.812543869,0.1043712,0.3583372,0.5827278
0.817568302,0.1024058,0.3569639,0.5726843
0.822593212,0.1105627,0.360424,0.5746468
0.827617645,0.1101279,0.3541073,0.5692934
0.832641602,0.1143433,0.3664137,0.5541064
0.938157082,0.1106617,0.3309001,0.5757097
0.943181515,0.1141801,0.3259836,0.5712559
0.948205471,0.1219737,0.3293542,0.5793975
0.953229904,0.120537,0.3342112,0.5794448
0.958254814,0.1298473,0.3313012,0.5875457
0.963275433,0.1278987,0.337118,0.596746
0.968299866,0.1351072,0.3450062,0.6002384
0.973323822,0.1302103,0.3484687,0.6027576
0.978348732,0.1325107,0.3559415,0.5976689
0.983378410,0.1314824,0.3550519,0.600145
0.988399982,0.1230966,0.3600267,0.5931193
0.993422508,0.1196688,0.3548,0.5850047
0.998446941,0.1147537,0.3524852,0.5793319
1.000958920,0.1083715,0.3554869,0.5717666
1.005983829,0.1054429,0.3517398,0.5675296
1.114010811,0.1141985,0.3559943,0.5756865
1.119034767,0.119102,0.3545707,0.5790377
1.121547699,0.1220636,0.3512201,0.5742111
1.126572132,0.1177328,0.3531343,0.5780789
1.131597042,0.1216607,0.3527206,0.5747339
1.136620998,0.1163681,0.3551342,0.5766955
1.141645432,0.1222268,0.3566421,0.5786361
1.146670342,0.124771,0.3527566,0.5805035
1.151694775,0.125795,0.3566651,0.5824691
1.156719208,0.1215392,0.3546807,0.5838791
1.161739349,0.126449,0.3576558,0.5815099
1.166763783,0.1231557,0.3571262,0.5834068
1.171788693,0.1240656,0.3698186,0.5787486
1.176813126,0.1281879,0.3541958,0.5794712
