Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
0.001100540,1.533762,0.9905179,38.03376
0.006124973,1.505142,0.9966,38.03376
0.011149883,1.670153,0.9914257,38.03376
0.016174316,1.987457,0.9910814,38.03376
0.021199703,1.950214,0.9930396,38.03376
0.026223183,1.940635,0.9863441,38.03376
0.031247616,1.996022,0.9884181,38.03376
0.036272526,1.515049,0.9886317,38.03376
0.041296959,1.665037,0.992773,38.03376
0.046321392,1.635771,0.9956754,38.04189
0.051341534,1.450972,0.9926261,38.04189
0.056365967,1.891272,0.9939958,38.04189
0.061390877,2.019164,0.9883799,38.04189
0.134246349,2.3957,0.9934962,37.78997
0.139270783,2.555547,0.993861,37.78997
0.141782761,2.599791,0.9923871,37.78997
0.146807671,2.270838,0.9865534,37.59238
0.151832104,2.263424,0.9857649,37.59238
0.156857014,1.868741,0.9883515,37.59238
0.161881447,1.548752,0.984203,37.59238
0.166905403,1.36754,0.9897257,37.59238
0.171929836,1.627393,0.985072,37.59238
0.176954746,2.045839,0.9900897,37.59238
0.181979179,2.015774,0.9980003,37.59238
0.187004089,2.341761,0.9916233,37.59238
0.192028046,2.244329,0.9939743,37.59238
0.197052479,2.605419,0.9959056,38.293
0.202077389,2.725122,0.9977551,38.293
0.207101822,2.892261,0.9913025,38.293
0.279957295,2.143923,0.9982293,38.37113
0.282465458,2.07445,0.9984802,38.37113
0.287489891,2.295935,0.9910187,38.37113
0.292514801,2.244283,0.9909775,38.38184
0.297539234,2.334301,0.9927868,38.38184
0.302563667,2.155148,0.9926433,38.38184
0.307587624,2.176179,0.992695,38.38184
0.312612534,1.904971,0.9917231,38.38184
0.317636967,1.9443,0.9933568,38.38184
0.322661877,1.968852,0.9920469,38.38184
0.327686310,1.981561,0.9867402,38.38184
0.332710743,2.155862,0.9932095,38.38184
0.337734699,2.045424,0.9929294,38.38184
0.342759609,1.942727,0.9959894,37.9425
0.347784042,1.749272,0.9878411,37.9425
0.352808952,1.639148,0.992111,37.9425
0.425664425,1.463211,0.9926704,38.10611
0.428176403,1.394018,0.9866664,38.10611
0.433200836,1.299467,0.9900326,38.10611
0.435712814,1.499403,0.9925841,38.10611
0.440737724,1.263254,0.9865309,38.47586
0.445762158,1.389129,0.9859218,38.47586
0.450787068,1.462378,0.9881878,38.47586
0.455811501,1.567235,0.9831392,38.47586
0.460835457,1.512177,0.9884294,38.47586
0.465859890,1.748118,0.9880548,38.47586
0.470884800,1.965396,0.9937273,38.47586
0.475909233,2.224046,0.9933562,38.47586
0.480929852,2.299126,0.9897251,38.47586
0.485954762,2.25613,0.9885694,38.47586
0.490978718,2.408213,0.9892506,38.54958
0.573883534,2.298946,0.9895764,37.84649
0.576395512,2.303541,0.9928983,37.84649
0.581419945,2.15988,0.9916945,37.84649
0.586444378,2.026444,0.9909282,37.51905
0.591469288,1.922206,0.9934158,37.51905
0.596493721,1.564938,0.9940301,37.51905
0.601518631,1.232517,0.991621,37.51905
0.606542587,1.293265,0.9964575,37.51905
0.611567021,1.283995,0.99181,37.51905
0.616591931,1.155753,0.9890392,37.51905
0.621616364,1.300829,0.9874395,37.51905
0.626640797,1.505184,0.9928205,37.51905
0.631664753,2.112956,0.9906881,37.51905
0.636689663,2.403603,0.9882494,37.75389
0.641714096,2.354218,0.9975676,37.75389
0.646739006,2.545743,0.9989154,37.75389
0.757277966,1.334689,0.9735198,38.38184
0.762298584,1.892078,0.9762234,38.38184
0.767323494,2.31871,0.9777871,38.38184
0.772347927,2.574577,0.9769903,38.38184
0.777373314,2.715344,0.9798858,38.38184
0.782396793,2.80488,0.9775293,38.38184
0.787421226,2.73885,0.9854321,37.49547
0.792445660,3.02021,0.9815812,37.49547
0.797470570,2.630379,0.9913722,37.49547
0.802494526,2.487034,0.9896516,37.49547
0.807518959,2.18996,0.9914986,37.49547
0.812543869,2.180793,0.9949964,37.49547
0.817568302,1.868438,0.9956486,37.49547
0.822593212,1.966897,0.998861,37.49547
0.827617645,1.976061,0.9938205,37.49547
0.832641602,2.002571,1.009341,38.14465
0.938157082,1.833281,0.9727276,38.57249
0.943181515,1.8009,0.9690744,38.57249
0.945693493,1.547063,0.9656349,38.57249
0.950717926,1.209198,0.9711497,38.57249
0.955742836,0.9571334,0.9751016,38.57249
0.960762501,0.8603056,0.9721783,38.57249
0.965787411,0.9127401,0.9768442,38.57249
0.970811844,1.476687,0.9784417,38.57249
0.975836754,1.638278,0.9903458,38.57249
0.980861187,2.124155,0.9897088,38.38184
0.985886097,2.425938,1.003721,38.38184
0.990910053,2.465902,0.9932072,38.38184
0.995934486,2.428127,0.993976,38.38184
1.000958920,2.538446,0.9969679,38.38184
1.005983829,2.524488,0.9940049,38.38184
1.114010811,0.5624586,0.9952666,38.13132
1.116522789,0.5810342,0.9951065,38.13132
1.121547699,0.5252776,0.9912003,38.13132
1.126572132,0.8075874,0.9920596,38.13132
1.131597042,0.6641026,0.992496,37.402
1.136620998,0.7781126,0.9941989,37.402
1.141645432,0.8162467,0.9955033,37.402
1.146670342,0.915145,0.9914255,37.402
1.151694775,1.267532,0.9948825,37.402
1.156719208,0.8833493,0.992449,37.402
1.161739349,1.118698,0.9960601,37.402
1.166763783,1.057582,0.9950029,37.402
1.171788693,1.090104,1.008418,37.402
1.176813126,1.3132,0.9932164,38.28691
1.181838036,1.296265,0.9979311,38.28691
1.186862469,1.267436,0.9944309,38.28691
1.294888973,2.611534,0.9938656,37.84649
1.299913883,2.679445,0.9879496,37.84649
1.302425861,2.788417,0.9872482,37.84649
1.307450295,2.828796,0.9912952,37.84649
1.312475205,2.932093,0.990447,37.84649
1.317499638,2.716065,0.9881224,37.84649
1.322524071,2.781365,0.995285,37.84649
1.327548981,2.863795,0.99739,38.38184
1.332572937,2.768044,0.9964525,38.38184
1.337597370,2.836564,0.995735,38.38184
1.342622280,2.939713,0.992773,38.38184
1.347648144,2.653091,0.9926412,38.38184
1.352671623,2.940753,0.9877574,38.38184
1.357696056,2.820627,0.9926552,38.38184
1.362718105,2.677869,0.9890034,38.38184
1.367740631,2.484342,0.9919576,38.38184
1.475768089,3.96115,0.9928267,37.859
1.478280068,4.156808,0.9882361,37.859
1.480792523,4.242312,0.9899762,37.859
1.485821724,4.349402,0.9923196,37.859
1.490841389,4.56764,0.992339,37.859
1.498378277,4.726101,0.9886792,37.859
