Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
0.001100540,0.7789939,0.5225523,0.3288001,0.6122431,-0.5916455,-0.5218812,-0.07955408,0.6116703,-0.786186
0.006124973,0.7789638,0.5225374,0.3288952,0.6122832,-0.5915641,-0.5219259,-0.07954054,0.6117615,-0.7861162
0.011149883,0.7789338,0.5225147,0.3290021,0.6123242,-0.5914801,-0.5219722,-0.07951753,0.6118613,-0.7860404
0.016174316,0.7789011,0.5224831,0.3291295,0.6123695,-0.5913821,-0.5220295,-0.07948831,0.6119825,-0.7859486
0.021199703,0.7788658,0.5224556,0.3292568,0.6124179,-0.5912808,-0.5220868,-0.07946239,0.6121033,-0.7858568
0.026223183,0.7788227,0.5224354,0.3293909,0.6124765,-0.5911759,-0.5221361,-0.07943316,0.6122212,-0.7857675
0.031247616,0.7787809,0.5224096,0.3295329,0.6125352,-0.5910669,-0.5221902,-0.07940023,0.6123481,-0.7856717
0.036272526,0.7787371,0.5223969,0.3296555,0.6125948,-0.5909792,-0.5222186,-0.07936522,0.6124428,-0.785601
0.041296959,0.7786896,0.5223931,0.3297754,0.6126608,-0.5908952,-0.5222361,-0.07932943,0.6125269,-0.7855389
0.046321392,0.7786319,0.5224007,0.3298989,0.6127393,-0.5908151,-0.522234,-0.07928607,0.6125972,-0.7854881
0.051341534,0.7785828,0.5224069,0.3300059,0.6128066,-0.5907421,-0.5222369,-0.07925192,0.6126618,-0.785441
0.056365967,0.7785128,0.5224227,0.3301474,0.612904,-0.5906596,-0.5222157,-0.07919294,0.6127275,-0.7853955
0.061390877,0.7784449,0.5224283,0.3302996,0.6129982,-0.5905661,-0.5222102,-0.07913435,0.6128123,-0.7853349
0.134246349,0.7773415,0.5220321,0.3335197,0.6145663,-0.5886265,-0.5225444,-0.07785365,0.6150016,-0.7837432
0.139270783,0.7772907,0.5219972,0.3336926,0.614637,-0.5885048,-0.5225974,-0.07780239,0.6151469,-0.7836337
0.141782761,0.7772651,0.521977,0.3337851,0.6146738,-0.5884418,-0.5226248,-0.07777284,0.6152239,-0.7835759
0.146807671,0.7772306,0.5219279,0.3339409,0.6147214,-0.5883228,-0.5227019,-0.07773601,0.6153786,-0.7834576
0.151832104,0.7771977,0.5218805,0.3340933,0.6147691,-0.5882108,-0.5227712,-0.07769549,0.6155254,-0.7833458
0.156857014,0.7771768,0.5218304,0.3342197,0.6148003,-0.5881244,-0.5228311,-0.07765542,0.6156498,-0.7832515
0.161881447,0.7771875,0.5217603,0.3343053,0.6147919,-0.588075,-0.5228964,-0.07761906,0.6157564,-0.7831711
0.166905403,0.7772052,0.5216932,0.3343679,0.6147721,-0.5880358,-0.5229633,-0.0775954,0.6158502,-0.7830994
0.171929836,0.7772431,0.5216149,0.334401,0.6147237,-0.5880035,-0.5230562,-0.07759435,0.6159472,-0.7830228
0.176954746,0.7772943,0.5215213,0.3344277,0.6146569,-0.5879619,-0.5231812,-0.07760899,0.616066,-0.7829275
0.181979179,0.7773576,0.5214181,0.3344405,0.614574,-0.5879298,-0.5233144,-0.07762769,0.6161837,-0.7828326
