Time (s),W,X,Y,Z
0.001100540,0.3193378,-0.8874234,-0.3196882,-0.07021621
0.006124973,0.3193853,-0.8873978,-0.3197046,-0.07024884
0.011149883,0.3194361,-0.8873711,-0.3197194,-0.07028757
0.016174316,0.3194977,-0.8873397,-0.3197345,-0.07033415
0.021199703,0.3195595,-0.8873075,-0.319752,-0.07037988
0.026223183,0.3196186,-0.8872741,-0.3197749,-0.07042857
0.031247616,0.3196821,-0.8872394,-0.3197967,-0.07048059
0.036272526,0.3197271,-0.8872108,-0.3198202,-0.07052729
0.041296959,0.3197655,-0.8871837,-0.3198475,-0.07057331
0.046321392,0.3197943,-0.887157,-0.3198813,-0.07062245
0.051341534,0.319822,-0.8871332,-0.3199107,-0.07066414
0.056365967,0.3198445,-0.8871053,-0.3199526,-0.07072286
0.061390877,0.3198782,-0.8870741,-0.319992,-0.07078473
0.134246349,0.3208256,-0.8864207,-0.3205584,-0.0721063
0.139270783,0.320896,-0.8863809,-0.3205829,-0.07217276
0.141782761,0.3209329,-0.8863603,-0.320595,-0.07220884
0.146807671,0.3210122,-0.8863219,-0.3206085,-0.07226632
0.151832104,0.3210862,-0.8862858,-0.3206216,-0.07232367
0.156857014,0.3211485,-0.8862573,-0.3206266,-0.07237297
0.161881447,0.3212031,-0.8862405,-0.3206105,-0.07240874
0.166905403,0.3212532,-0.8862274,-0.3205908,-0.07243414
0.171929836,0.3213104,-0.8862174,-0.3205587,-0.07244459
0.176954746,0.3213836,-0.8862053,-0.3205178,-0.07244898
0.181979179,0.3214576,-0.8861963,-0.3204685,-0.07244806
0.187004089,0.3215364,-0.8861886,-0.3204146,-0.0724299
0.192028046,0.3216172,-0.8861806,-0.3203614,-0.07240622
0.197052479,0.3217056,-0.8861725,-0.3203008,-0.07238056
0.202077389,0.3218069,-0.8861592,-0.3202439,-0.07234439
0.207101822,0.3219077,-0.8861469,-0.3201851,-0.07230588
0.279957295,0.3231002,-0.8860149,-0.3194172,-0.07200106
0.282465458,0.3231386,-0.8860096,-0.3193937,-0.07199841
0.287489891,0.3232155,-0.8860022,-0.3193358,-0.07200181
0.292514801,0.3232963,-0.8859909,-0.3192835,-0.07200871
0.297539234,0.3233808,-0.8859791,-0.3192282,-0.07202098
0.302563667,0.3234611,-0.8859664,-0.3191788,-0.07203693
0.307587624,0.3235413,-0.8859517,-0.3191328,-0.07206033
0.312612534,0.3236119,-0.8859406,-0.3190877,-0.07208027
0.317636967,0.3236854,-0.8859251,-0.3190506,-0.07210241
0.322661877,0.3237561,-0.8859075,-0.3190201,-0.07213581
0.327686310,0.3238201,-0.8858874,-0.3190005,-0.07218342
0.332710743,0.3238896,-0.8858625,-0.3189871,-0.07223772
0.337734699,0.3239519,-0.8858377,-0.318979,-0.07229644
0.342759609,0.3240035,-0.8858117,-0.3189841,-0.07236123
0.347784042,0.3240442,-0.8857883,-0.3189941,-0.07242201
0.352808952,0.324064,-0.8857684,-0.3190132,-0.07249148
0.425664425,0.3237949,-0.8856827,-0.3193452,-0.07327536
0.428176403,0.3237705,-0.8856853,-0.3193633,-0.07327413
0.433200836,0.3237228,-0.885691,-0.3193969,-0.07326857
0.435712814,0.3236965,-0.8856941,-0.3194159,-0.07326487
0.440737724,0.3236555,-0.8856972,-0.3194509,-0.07325506
0.445762158,0.3236121,-0.8857017,-0.3194866,-0.07323682
0.450787068,0.3235726,-0.8857025,-0.3195296,-0.07321408
0.455811501,0.3235247,-0.8857082,-0.319568,-0.07318887
0.460835457,0.3234782,-0.885713,-0.3196076,-0.07316367
0.465859890,0.3234276,-0.8857222,-0.319642,-0.07312737
0.470884800,0.3233695,-0.8857311,-0.3196849,-0.07308821
0.475909233,0.3233044,-0.8857459,-0.3197209,-0.07303915
0.480929852,0.3232343,-0.8857622,-0.3197589,-0.07298472
0.485954762,0.3231665,-0.8857769,-0.3198011,-0.07292345
0.490978718,0.3230935,-0.8857936,-0.3198414,-0.07286568
0.573883534,0.3220272,-0.8862159,-0.3200473,-0.0715362
0.576395512,0.3220011,-0.8862296,-0.3200445,-0.07149536
0.581419945,0.3219504,-0.8862591,-0.3200309,-0.07141875
0.586444378,0.3219029,-0.8862856,-0.3200211,-0.07134768
0.591469288,0.3218572,-0.8863113,-0.3200102,-0.07128346
0.596493721,0.321815,-0.8863321,-0.3200078,-0.07122744
0.601518631,0.3217794,-0.8863481,-0.3200087,-0.07118262
0.606542587,0.3217415,-0.8863611,-0.3200197,-0.07114343
0.611567021,0.3217007,-0.8863716,-0.3200389,-0.07111187
0.616591931,0.3216609,-0.8863755,-0.3200698,-0.07110266
0.621616364,0.3216252,-0.8863736,-0.3201111,-0.07110402
0.626640797,0.3215885,-0.8863681,-0.3201591,-0.07112306
0.631664753,0.321544,-0.8863595,-0.3202187,-0.07116301
0.636689663,0.3214869,-0.8863513,-0.3202868,-0.07121472
0.641714096,0.3214252,-0.8863464,-0.3203529,-0.07125681
0.646739006,0.3213576,-0.8863403,-0.3204282,-0.07129926
0.757277966,0.3219602,-0.8856425,-0.3214157,-0.07279207
0.762298584,0.3218862,-0.8856719,-0.3214068,-0.07280172
0.767323494,0.3217981,-0.885704,-0.3214001,-0.07282802
0.772347927,0.3217009,-0.8857408,-0.3213866,-0.07287017
0.777373314,0.3216014,-0.8857764,-0.3213763,-0.07292213
0.782396793,0.3215003,-0.8858194,-0.3213492,-0.07296537
0.787421226,0.3213992,-0.8858635,-0.3213181,-0.07301312
0.792445660,0.3212965,-0.8859134,-0.3212736,-0.07305524
0.797470570,0.321207,-0.8859621,-0.3212225,-0.07308361
0.802494526,0.3211255,-0.8860101,-0.3211665,-0.07310478
0.807518959,0.3210671,-0.8860551,-0.3210992,-0.07311143
0.812543869,0.3210236,-0.8860981,-0.3210244,-0.07311115
0.817568302,0.3210028,-0.8861317,-0.320955,-0.07309862
0.822593212,0.3209992,-0.8861628,-0.320875,-0.07308847
0.827617645,0.321007,-0.8861892,-0.3207977,-0.0730722
0.832641602,0.3210253,-0.886213,-0.3207193,-0.07304949
0.938157082,0.3232054,-0.8857483,-0.3197444,-0.07334464
0.943181515,0.3232731,-0.885734,-0.3197211,-0.07331967
0.945693493,0.3232975,-0.8857319,-0.3197062,-0.07330168
0.950717926,0.3233249,-0.8857306,-0.3196922,-0.07325985
0.955742836,0.3233368,-0.8857331,-0.3196813,-0.07322346
0.960762501,0.3233365,-0.8857362,-0.3196819,-0.073186
0.965787411,0.3233129,-0.8857425,-0.3196942,-0.07315988
0.970811844,0.3232676,-0.885751,-0.3197188,-0.0731483
0.975836754,0.3232051,-0.8857626,-0.3197497,-0.0731508
0.980861187,0.3231287,-0.8857728,-0.3197942,-0.0731684
0.985886097,0.3230497,-0.8857788,-0.3198484,-0.07320791
0.990910053,0.3229671,-0.8857871,-0.319899,-0.07325064
0.995934486,0.3228838,-0.8857956,-0.3199504,-0.07329132
1.000958920,0.3227913,-0.8858098,-0.3199958,-0.07332837
1.005983829,0.3226938,-0.8858275,-0.3200412,-0.07334457
1.114010811,0.3216618,-0.8861269,-0.3203267,-0.07301607
1.116522789,0.3216562,-0.886129,-0.3203289,-0.07300509
1.121547699,0.3216488,-0.8861318,-0.3203343,-0.07297961
1.126572132,0.3216472,-0.8861327,-0.3203397,-0.0729531
1.131597042,0.3216413,-0.8861337,-0.3203486,-0.07292678
1.136620998,0.3216393,-0.8861346,-0.320356,-0.07289344
1.141645432,0.321639,-0.8861335,-0.3203665,-0.07286244
1.146670342,0.3216454,-0.8861312,-0.3203748,-0.07282411
1.151694775,0.321656,-0.88613,-0.3203789,-0.0727741
1.156719208,0.3216677,-0.8861257,-0.3203877,-0.07273593
1.161739349,0.3216852,-0.8861179,-0.3204015,-0.07269179
1.166763783,0.3217047,-0.8861086,-0.3204168,-0.07265364
1.171788693,0.3217349,-0.8860914,-0.3204398,-0.07262627
1.176813126,0.3217652,-0.886071,-0.3204701,-0.07260946
1.181838036,0.3218051,-0.8860464,-0.3205006,-0.07259568
1.186862469,0.3218418,-0.8860231,-0.320531,-0.07258379
1.294888973,0.3217507,-0.8862014,-0.3203193,-0.07174005
1.299913883,0.3216713,-0.8862467,-0.3202893,-0.07167069
1.302425861,0.3216277,-0.8862711,-0.3202728,-0.07163972
1.307450295,0.3215453,-0.8863215,-0.3202307,-0.07157261
1.312475205,0.3214663,-0.8863717,-0.3201876,-0.07149966
1.317499638,0.3214033,-0.8864157,-0.3201472,-0.07141911
1.322524071,0.3213467,-0.8864623,-0.3200932,-0.07133714
1.327548981,0.3212994,-0.8865072,-0.320037,-0.07124434
1.332572937,0.3212612,-0.8865469,-0.3199872,-0.07114763
1.337597370,0.3212245,-0.8865854,-0.3199397,-0.0710461
1.342622280,0.321188,-0.8866259,-0.3198853,-0.07094876
1.347648144,0.3211461,-0.8866662,-0.319837,-0.07085466
1.352671623,0.3211005,-0.8867074,-0.3197906,-0.07075568
1.357696056,0.3210545,-0.8867463,-0.3197493,-0.07066048
1.362718105,0.3209962,-0.8867867,-0.3197153,-0.07057307
1.367740631,0.320936,-0.8868268,-0.3196817,-0.0704952
1.475768089,0.3188193,-0.887866,-0.3191502,-0.06941887
1.478280068,0.3187358,-0.8878959,-0.3191548,-0.06939902
1.480792523,0.3186496,-0.887925,-0.3191636,-0.06938257
1.485821724,0.3184722,-0.8879797,-0.3191954,-0.06934993
1.490841389,0.3182899,-0.8880282,-0.3192466,-0.06933023
1.498378277,0.3180059,-0.888096,-0.3193444,-0.06931415
1.500890255,0.3179118,-0.8881155,-0.3193843,-0.06931261
1.505915165,0.3177254,-0.8881503,-0.3194733,-0.06931092
1.510939598,0.3175259,-0.8881823,-0.319577,-0.06933756
1.515963555,0.3173285,-0.8882087,-0.319692,-0.06937233
1.520988464,0.3171272,-0.8882347,-0.3198079,-0.06942607
1.526012898,0.3169277,-0.8882547,-0.3199333,-0.0695047
1.531041622,0.3167278,-0.8882749,-0.3200576,-0.0695838
1.536062241,0.3165291,-0.8882895,-0.3201926,-0.06968244
1.541086674,0.316332,-0.8883064,-0.320318,-0.06978539
1.649113655,0.3141389,-0.8880001,-0.3226388,-0.07283103
1.654134274,0.3140495,-0.8880095,-0.3226908,-0.07287251
1.656646252,0.3140045,-0.8880147,-0.3227168,-0.07288647
1.661670685,0.3139155,-0.888027,-0.3227659,-0.07290414
1.666695118,0.3138318,-0.8880371,-0.3228153,-0.07292197
1.671720028,0.3137551,-0.8880467,-0.3228628,-0.07292373
1.676744461,0.3136787,-0.8880585,-0.3229052,-0.07292163
1.681769371,0.3136176,-0.8880692,-0.3229386,-0.07290746
1.686793327,0.3135468,-0.8880847,-0.322971,-0.07287868
1.691817761,0.313484,-0.8881008,-0.3229978,-0.07283555
1.696842194,0.3134164,-0.8881202,-0.3230214,-0.07278316
1.701867104,0.3133534,-0.888142,-0.3230349,-0.07273035
1.706891537,0.3132887,-0.8881686,-0.3230378,-0.07267212
1.711916447,0.3132149,-0.8881969,-0.3230429,-0.07262034
1.716940403,0.3131349,-0.8882295,-0.3230438,-0.07256367
1.721964836,0.3130504,-0.88827,-0.3230267,-0.07250642
1.832504272,0.314225,-0.888171,-0.3221336,-0.0726129
1.835016727,0.3143224,-0.8881518,-0.3220841,-0.07264552
1.837528706,0.3144213,-0.8881313,-0.3220369,-0.07267774
1.842553616,0.3146358,-0.8880818,-0.3219492,-0.07274372
1.847578049,0.3148681,-0.8880273,-0.321858,-0.07280512
1.852598667,0.3151193,-0.8879642,-0.3217726,-0.07286616
1.857622623,0.3153893,-0.8878948,-0.3216865,-0.0729234
1.862647533,0.3156701,-0.8878227,-0.3215972,-0.07298102
1.867671967,0.3159634,-0.8877495,-0.3214956,-0.07305042
1.872697353,0.3162631,-0.8876715,-0.3213993,-0.07312426
1.877721310,0.3165764,-0.8875854,-0.3213103,-0.07320426
1.882745743,0.3168918,-0.8874996,-0.3212157,-0.07329441
1.887769699,0.3172277,-0.8874049,-0.3211213,-0.07340304
1.892795563,0.3175748,-0.8873037,-0.3210335,-0.07350985
1.897819042,0.3179324,-0.8871955,-0.3209523,-0.07362349
1.902843475,0.3183056,-0.8870814,-0.3208714,-0.07373918
2.015894890,0.3244587,-0.8850189,-0.319739,-0.07656734
2.020919800,0.3244964,-0.8850086,-0.3197164,-0.07662077
2.023432255,0.3245055,-0.8850058,-0.3197094,-0.07664629
2.025944233,0.3245091,-0.8850061,-0.3196996,-0.07666817
2.030968666,0.3245045,-0.8850129,-0.3196775,-0.07670017
2.035993576,0.3244656,-0.8850307,-0.3196616,-0.07672588
2.041018009,0.3244064,-0.8850562,-0.3196458,-0.07674787
2.046041965,0.3243305,-0.885088,-0.3196331,-0.07675581
2.051062584,0.3242514,-0.8851212,-0.3196219,-0.07675325
2.056087494,0.3241614,-0.8851577,-0.3196144,-0.07674274
2.061111927,0.3240648,-0.8851995,-0.3196007,-0.07672509
2.066136837,0.3239684,-0.8852382,-0.3195942,-0.07671358
2.071161270,0.3238678,-0.8852795,-0.3195865,-0.07669523
2.076185226,0.3237698,-0.8853195,-0.3195781,-0.07668094
2.081210613,0.3236581,-0.8853626,-0.3195765,-0.07666251
2.086234570,0.3235458,-0.8854095,-0.3195685,-0.07662714
2.091259003,0.3234235,-0.8854561,-0.3195707,-0.07659636
2.096283913,0.323299,-0.8855027,-0.3195753,-0.07656386
2.101308346,0.3231766,-0.8855485,-0.3195786,-0.07653701
2.106332302,0.3230607,-0.8855918,-0.3195805,-0.07651874
2.111356735,0.3229506,-0.8856312,-0.3195841,-0.0765105
2.116381645,0.3228415,-0.8856725,-0.3195846,-0.07649206
2.121406078,0.322744,-0.8857092,-0.3195861,-0.07647109
2.126430988,0.3226519,-0.8857467,-0.3195849,-0.07643086
2.131454945,0.3225613,-0.8857835,-0.3195831,-0.07639427
2.136479378,0.3224774,-0.8858151,-0.3195891,-0.07635682
2.141504288,0.3223954,-0.8858445,-0.319601,-0.07631328
2.146528721,0.3223214,-0.8858712,-0.3196098,-0.07627799
2.151553154,0.3222393,-0.8858998,-0.3196228,-0.07623837
2.156578064,0.3221683,-0.8859243,-0.3196344,-0.07620586
2.161602020,0.3220787,-0.8859543,-0.3196476,-0.07617997
2.166626453,0.3219815,-0.8859869,-0.3196617,-0.07615265
2.171651363,0.3218791,-0.8860199,-0.3196807,-0.07612027
2.176675797,0.3217725,-0.8860564,-0.3196958,-0.07608513
2.181700707,0.3216718,-0.8860891,-0.3197159,-0.076044
2.186725140,0.3215764,-0.8861199,-0.3197363,-0.07600301
2.191749096,0.3214843,-0.8861519,-0.3197522,-0.07595309
2.196773529,0.3213881,-0.886182,-0.3197763,-0.075906
2.201798439,0.3212901,-0.8862103,-0.3198078,-0.07585984
2.206822872,0.3211773,-0.886242,-0.3198444,-0.07581273
2.211847782,0.3210621,-0.8862746,-0.3198829,-0.07575675
2.216871738,0.3209327,-0.8863085,-0.3199309,-0.07570568
2.221896172,0.3208037,-0.8863448,-0.3199736,-0.0756464
2.226921082,0.3206703,-0.8863819,-0.3200188,-0.07558774
2.231945515,0.3205333,-0.8864159,-0.3200741,-0.07553425
2.236969948,0.3203963,-0.8864511,-0.320127,-0.07547724
2.241994858,0.32026,-0.8864821,-0.320189,-0.07542875
2.247018814,0.3201239,-0.8865121,-0.320255,-0.07537579
2.252039433,0.3199897,-0.8865435,-0.3203148,-0.07532144
2.257063866,0.3198558,-0.8865736,-0.3203766,-0.07527382
2.262088776,0.3197309,-0.8865992,-0.320444,-0.07521515
2.267113209,0.3196085,-0.8866242,-0.3205096,-0.07516097
2.272137642,0.3194877,-0.88665,-0.3205723,-0.07510252
2.277162075,0.3193659,-0.8866747,-0.3206387,-0.07504674
2.282186508,0.3192473,-0.8867,-0.3207,-0.07498959
2.287210941,0.3191282,-0.886725,-0.3207633,-0.07492999
2.292235851,0.3190045,-0.8867519,-0.3208255,-0.07487226
2.297260284,0.3188815,-0.8867788,-0.3208884,-0.07480858
2.302285194,0.3187647,-0.8868051,-0.3209468,-0.07474279
2.307309628,0.3186552,-0.8868296,-0.3210018,-0.07468367
2.312333584,0.3185449,-0.8868509,-0.3210652,-0.07462989
2.317358017,0.3184412,-0.8868698,-0.3211272,-0.0745803
2.322382927,0.3183375,-0.8868905,-0.3211839,-0.07453123
2.327407360,0.3182323,-0.8869123,-0.3212384,-0.07448696
2.332431316,0.3181132,-0.8869396,-0.3212921,-0.07443993
2.337456226,0.3179855,-0.886973,-0.3213394,-0.07438366
2.342480660,0.3178546,-0.8870067,-0.3213905,-0.07432044
2.347505570,0.3177133,-0.8870443,-0.3214422,-0.07425212
2.352530003,0.3175769,-0.8870815,-0.3214894,-0.07418565
2.357554436,0.3174487,-0.887116,-0.3215364,-0.07411902
2.362578392,0.3173298,-0.8871493,-0.3215766,-0.07405363
2.367603302,0.3172319,-0.8871754,-0.3216126,-0.07400567
2.372627735,0.317158,-0.8871909,-0.3216518,-0.07396589
2.377652645,0.3171017,-0.8872039,-0.32168,-0.07392728
2.382677078,0.3170494,-0.887214,-0.321711,-0.07389629
2.387701988,0.3170071,-0.8872195,-0.3217431,-0.07387114
2.392725945,0.3169678,-0.8872238,-0.3217742,-0.07385325
2.397750378,0.3169224,-0.8872325,-0.321801,-0.07382615
2.402774811,0.3168776,-0.8872416,-0.3218258,-0.0738015
2.407799721,0.3168357,-0.8872508,-0.3218488,-0.07377262
2.412828446,0.3167891,-0.8872601,-0.3218741,-0.07374867
2.417849064,0.3167528,-0.8872662,-0.3218982,-0.0737271
2.422873020,0.3167129,-0.8872744,-0.3219182,-0.07371187
