Time (s),Power (dBm),Percentage (%)
0.495086670,-41,100
0.994806290,-43,100
1.495067597,-39,100
2.019205570,-41,100
2.495070934,-41,100
2.994800568,-39,100
3.495189667,-41,100
4.033644676,-41,100
4.494928837,-41,100
4.994707584,-41,100
5.494907379,-41,100
5.995196819,-41,100
6.495205402,-41,100
6.995037556,-41,100
7.495155335,-41,100
7.995384693,-41,100
8.495475769,-41,100
8.995283604,-41,100
9.495541096,-41,100
9.995328903,-41,100
10.509529114,-41,100
10.995276928,-41,100
11.495410442,-39,100
11.995211601,-41,100
12.577576161,-41,100
12.995265484,-41,100
13.495456696,-41,100
13.995433331,-43,100
14.495424748,-43,100
14.995175838,-41,100
15.495409966,-41,100
15.995183945,-41,100
16.495409012,-41,100
16.995121956,-41,100
17.495511055,-41,100
17.995047569,-43,100
18.495313645,-41,100
18.995091438,-41,100
19.528820515,-41,100
20.069987297,-41,100
20.511125565,-43,100
20.995021343,-43,100
21.495340824,-43,100
21.994942188,-43,100
22.506462574,-43,100
22.995118141,-43,100
23.541630745,-43,100
23.995110035,-43,100
24.495267868,-43,100
24.995030403,-43,100
25.495193005,-43,100
25.994933605,-43,100
26.495172978,-43,100
26.994898796,-41,100
27.495169640,-41,100
27.994876862,-43,100
28.495158196,-43,100
28.994781971,-41,100
29.516317368,-42,100
30.053208351,-41,100
30.588877201,-42,100
30.994738102,-43,100
31.494894505,-41,100
31.994725704,-41,100
32.494838715,-43,100
32.994657040,-43,100
33.494842529,-43,100
33.994660378,-43,100
34.494811535,-43,100
34.994720936,-43,100
35.494856358,-43,100
35.994727612,-43,100
36.494783402,-43,100
36.994602203,-43,100
37.494950295,-41,100
37.994622231,-43,100
38.494801521,-41,100
39.031863213,-43,100
39.494892120,-43,100
39.994585991,-43,100
40.494884491,-43,100
40.994539261,-45,100
41.603080273,-45,100
41.994469643,-45,100
42.495456219,-45,100
42.994413853,-45,100
43.495266438,-45,100
43.994898796,-45,100
44.513645172,-45,100
44.994974613,-43,100
45.500997543,-45,100
46.063428402,-45,100
46.495163441,-45,100
46.994917393,-43,100
47.502262116,-43,100
48.037857056,-45,100
48.495169163,-45,100
48.994910717,-47,100
49.495142937,-45,100
49.994769573,-45,100
50.494861603,-47,100
50.994748116,-47,100
51.494862080,-47,100
51.994650841,-47,100
52.581409454,-47,100
52.994640827,-45,100
53.494850159,-47,100
53.994724274,-47,100
54.494696140,-47,100
54.994617939,-45,100
55.494765759,-47,100
55.994555473,-47,100
56.494711399,-47,100
56.994499683,-47,100
57.494818211,-47,100
57.994700909,-45,100
58.495131493,-47,100
58.994484901,-47,100
59.495514870,-47,100
59.994899750,-47,100
60.495487690,-47,100
61.083449364,-47,100
61.495048046,-45,100
61.994863987,-45,100
62.495083809,-45,100
62.994902134,-45,100
63.494953156,-45,100
63.994772434,-45,100
64.518893719,-45,100
64.994761944,-45,100
65.495003224,-45,100
65.994753838,-45,100
66.596220493,-45,100
67.028635979,-45,100
67.498512268,-45,100
67.994744301,-45,100
68.494973660,-45,100
68.994892120,-45,100
69.494906902,-45,100
69.999220848,-45,100
70.495062828,-45,100
70.994716644,-45,100
71.495013237,-43,100
71.994751930,-43,100
72.571202755,-44,100
72.994608402,-45,100
73.494834423,-43,100
73.994688988,-43,100
74.494788170,-43,100
74.994553566,-43,100
