Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.001100540,-1.487314,0.2650009,-0.2647556,0.04681971,0.9646969,-0.2197578,-8.855556,-36.34623,-6.8628,1008.076
0.006124973,-1.363794,0.5058023,-0.3868864,0.04577043,0.9719769,-0.2153543,-8.855556,-36.34623,-6.8628,1008.076
0.011149883,-1.487314,0.6864034,-0.325821,0.0453508,0.9661373,-0.217823,-8.855556,-36.34623,-6.8628,1008.076
0.016174316,-1.857875,0.626203,-0.325821,0.04971604,0.9656752,-0.2173525,-8.855556,-36.34623,-6.8628,1008.074
0.021199703,-1.796114,0.6864034,-0.325821,0.04825015,0.966674,-0.2221279,-8.855556,-36.34623,-6.8628,1008.074
0.026223183,-1.734354,0.7466037,-0.4479518,0.04733443,0.9622053,-0.2116485,-8.855556,-36.34623,-6.8628,1008.074
0.031247616,-1.796114,0.7466037,-0.4479518,0.04635277,0.9632107,-0.216903,-8.855556,-36.34623,-6.8628,1008.074
0.036272526,-1.240274,0.8068041,-0.325821,0.04490382,0.9627365,-0.2202605,-8.855556,-36.34623,-6.8628,1008.074
0.041296959,-1.240274,0.9874052,-0.5090172,0.0487303,0.9671418,-0.21877,-8.855556,-36.34623,-6.8628,1008.074
0.046321392,-0.9932337,1.168006,-0.5700825,0.0452922,0.9714728,-0.2134448,-9.971563,-35.98721,-7.257693,1008.074
0.051341534,-0.9932337,0.9272048,-0.5090172,0.04727251,0.9676035,-0.2163687,-9.971563,-35.98721,-7.257693,1008.074
0.056365967,-1.054994,1.408808,-0.6922134,0.0462873,0.9690604,-0.2163496,-9.971563,-35.98721,-7.257693,1008.074
0.061390877,-1.363794,1.348607,-0.631148,0.05069875,0.9646499,-0.2092248,-9.971563,-35.98721,-7.257693,1008.074
0.134246349,-2.043155,1.168006,-0.4479518,0.04580837,0.9685693,-0.2163555,-9.602667,-35.98288,-6.41116,1008.08
0.139270783,-2.228435,1.168006,-0.4479518,0.04482014,0.9704677,-0.2096261,-9.602667,-35.98288,-6.41116,1008.08
0.141782761,-2.290195,1.168006,-0.3868864,0.050664,0.9676127,-0.214455,-9.602667,-35.98288,-6.41116,1008.08
0.146807671,-2.166675,0.626203,-0.2647556,0.04103637,0.9621802,-0.2140396,-9.603439,-35.61364,-7.254607,1008.08
0.151832104,-2.104915,0.8068041,-0.2036902,0.04154091,0.9602655,-0.2188533,-9.603439,-35.61364,-7.254607,1008.08
0.156857014,-1.796114,0.5058023,0.1016368,0.0415132,0.9627108,-0.21978,-9.603439,-35.61364,-7.254607,1008.08
0.161881447,-1.487314,0.1446002,0.4069638,0.0459222,0.9583467,-0.2193593,-9.603439,-35.61364,-7.254607,1008.08
0.166905403,-1.302034,-0.09620129,0.4069638,0.03421154,0.9660275,-0.2125499,-9.603439,-35.61364,-7.254607,1008.08
0.171929836,-1.425554,-0.5176038,0.59016,0.04104819,0.9611883,-0.2116577,-9.603439,-35.61364,-7.254607,1008.08
0.176954746,-1.734354,-0.8186056,0.7122907,0.0405227,0.9646521,-0.2192757,-9.603439,-35.61364,-7.254607,1008.08
0.181979179,-1.610834,-0.878806,0.8344215,0.03992674,0.9748287,-0.2100466,-9.603439,-35.61364,-7.254607,1008.082
0.187004089,-1.610834,-1.480809,0.8344215,0.039034,0.9680038,-0.2115697,-9.603439,-35.61364,-7.254607,1008.082
0.192028046,-1.610834,-1.420609,0.6512253,0.03852225,0.9704393,-0.2115384,-9.603439,-35.61364,-7.254607,1008.082
0.197052479,-1.796114,-1.661411,0.8954869,0.04094128,0.9705114,-0.2196802,-9.597063,-36.35369,-7.256669,1008.082
0.202077389,-1.919635,-1.842012,0.59016,0.04768754,0.9739143,-0.2114995,-9.597063,-36.35369,-7.256669,1008.082
0.207101822,-1.981395,-2.022613,0.59016,0.04825295,0.9666212,-0.2144662,-9.597063,-36.35369,-7.256669,1008.082
0.279957295,-1.796114,-0.878806,0.7733561,0.04671787,0.9739245,-0.2138933,-8.479946,-36.71307,-7.251534,1008.082
0.282465458,-1.672594,-0.9992067,0.7122907,0.04428121,0.9753386,-0.2090849,-8.479946,-36.71307,-7.251534,1008.082
0.287489891,-1.796114,-0.9390063,1.078683,0.04581716,0.9680189,-0.2072634,-8.479946,-36.71307,-7.251534,1008.082
0.292514801,-1.857875,-0.8186056,0.9565524,0.04584067,0.9656528,-0.2178294,-9.595762,-36.35411,-7.711388,1008.082
0.297539234,-1.981395,-0.6982049,1.017618,0.04824113,0.9676132,-0.2168481,-9.595762,-36.35411,-7.711388,1008.082
0.302563667,-1.919635,-0.3972031,0.8954869,0.04580977,0.9685429,-0.2125247,-9.595762,-36.35411,-7.711388,1008.082
0.307587624,-1.981395,-0.3370027,0.8344215,0.04871634,0.9685588,-0.2120473,-9.595762,-36.35411,-7.711388,1008.082
0.312612534,-1.734354,-0.3370027,0.7122907,0.05018065,0.9675897,-0.2115816,-9.595762,-36.35411,-7.711388,1008.082
0.317636967,-1.796114,-0.216602,0.7122907,0.05016389,0.9690595,-0.2125206,-9.595762,-36.35411,-7.711388,1008.082
0.322661877,-1.857875,0.02419943,0.6512253,0.05211789,0.9676091,-0.2125403,-9.595762,-36.35411,-7.711388,1008.082
