Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.493495941,43.784,32.762
1.493357659,43.822,32.764
2.493212223,43.77,32.766
3.493074894,43.79,32.766
4.492934227,43.772,32.766
5.492887020,43.846,32.768
6.493138790,43.834,32.77
7.492998123,43.788,32.772
8.493189335,43.808,32.772
9.493049145,43.798,32.774
10.507986069,43.856,32.776
11.492773533,43.824,32.776
12.575538159,43.824,32.778
13.492494106,43.87,32.78
14.492355347,43.886,32.78
15.492217541,43.888,32.782
16.492077351,43.904,32.782
17.491939068,43.864,32.784
18.491800308,43.906,32.786
19.526834011,43.87,32.786
20.509114266,43.926,32.788
21.491390228,43.882,32.788
22.503813267,43.942,32.79
23.538847447,43.946,32.79
24.493489266,43.922,32.792
25.493351936,43.926,32.792
26.493214607,43.946,32.794
27.493076801,43.946,32.794
28.492939472,43.932,32.794
29.512904644,43.912,32.796
30.585624218,43.95,32.798
31.492534638,43.95,32.798
32.492396355,43.956,32.798
33.492259979,44.002,32.8
34.492123604,43.968,32.8
35.491991520,43.976,32.8
36.491854668,43.954,32.802
37.491719246,44.002,32.802
38.491583347,43.966,32.804
39.491447449,43.994,32.804
40.491312027,44.002,32.804
41.599204540,44.018,32.806
42.493557930,44.006,32.806
43.491398811,44,32.808
44.511361599,44.012,32.808
45.498665333,43.998,32.808
46.493505955,44.032,32.81
47.498399258,44.058,32.81
48.493240357,44.018,32.812
49.493105888,44.02,32.812
50.492970944,44.016,32.812
51.492836952,44.034,32.814
52.578120232,43.998,32.814
53.492568970,44.03,32.816
54.492434502,43.994,32.816
55.492300511,44.01,32.816
56.492168427,44.06,32.818
57.492033005,44.044,32.818
58.491899490,44.074,32.82
59.492173195,44.04,32.82
60.492039681,44.092,32.82
61.491906166,44.078,32.82
62.491773605,44.076,32.82
63.491673470,44.108,32.822
64.516666889,44.086,32.822
65.491411686,44.088,32.824
66.594283104,44.06,32.824
67.496170998,44.118,32.824
68.493525982,44.096,32.826
69.493393421,44.122,32.826
70.493265152,44.068,32.826
71.493132591,44.126,32.828
72.568369389,44.106,32.828
73.492868424,44.088,32.83
74.492736340,44.112,32.83
75.525268078,44.112,32.83
76.492476940,44.15,32.83
77.492344856,44.08,32.832
78.492217541,44.128,32.832
79.492082119,44.094,32.832
80.491950512,44.122,32.834
81.491818905,44.136,32.834
82.491687775,44.156,32.834
83.491556168,44.152,32.836
84.491425514,44.148,32.836
85.491294861,44.142,32.836
86.554032326,44.202,32.838
87.491098404,44.162,32.838
88.490967751,44.134,32.838
89.490837097,44.202,32.84
90.490706921,44.15,32.84
91.490576267,44.174,32.842
92.493428230,44.172,32.842
93.493298054,44.176,32.842
94.493167877,44.182,32.844
95.493038178,44.228,32.844
96.492908478,44.228,32.844
97.530467034,44.214,32.846
98.492657662,44.192,32.846
99.492524147,44.234,32.848
100.560226441,44.182,32.848
101.492270947,44.192,32.85
102.492138863,44.212,32.85
103.492012024,44.22,32.85
104.491883755,44.252,32.852
105.491754532,44.252,32.852
106.491625786,44.22,32.852
107.536718845,44.226,32.854
108.491415024,44.248,32.854
109.491286755,44.262,32.856
110.491158486,44.284,32.856
111.491031170,44.264,32.856
112.490903378,44.28,32.858
113.490775585,44.24,32.858
114.490648270,44.25,32.86
115.490520954,44.268,32.86
116.490398884,44.214,32.862
117.492784023,44.338,32.862
118.492651940,44.298,32.864
119.492529392,44.312,32.864
120.492402554,44.292,32.866
121.492275715,44.274,32.866
122.492148876,44.292,32.866
123.492022991,44.318,32.868
124.491896153,44.29,32.868
125.491770268,44.314,32.87
126.491643906,44.36,32.87
127.519153118,44.32,32.87
128.491391659,44.372,32.87
129.491265774,44.33,32.872
130.491141796,44.332,32.872
131.491014481,44.346,32.872
132.490889073,44.326,32.874
133.490762711,44.32,32.874
134.490637303,44.346,32.874
135.490511894,44.368,32.874
136.490386486,44.352,32.876
137.490261555,44.35,32.876
138.490136147,44.286,32.876
139.490011692,44.312,32.878
140.489886284,44.33,32.878
141.489761353,44.352,32.878
142.492148876,44.364,32.878
143.492027760,44.356,32.88
144.491903305,44.394,32.88
145.491778374,44.364,32.88
146.491653919,44.334,32.88
147.531730652,44.368,32.88
148.503970146,44.338,32.882
149.576838017,44.336,32.882
150.491295815,44.364,32.882
151.491174698,44.384,32.882
