Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.339960575,89.55078,186.375,4.00625,290.9375,0
1.395448208,89.53516,185.34375,4.005,288.125,0
2.449441433,89.53516,185.625,4.004375,290,0
3.328331947,89.52344,185.625,4.005,293.75,0
4.383182526,89.51172,184.78125,4.005,302.8125,0
5.438144207,89.51172,184.78125,4.00625,280.3125,0
6.316932678,89.5,184.96875,4.006875,303.125,0
7.371685028,89.5,185.25,4.0075,291.875,0
8.426625252,89.48828,185.71875,4.003125,298.75,0
9.305862904,89.47656,185.71875,4.00375,299.6875,0
10.360342980,89.47656,185.8125,4.0075,290.3125,0
11.415095329,89.46484,186,4.00875,267.5,0
12.294217587,89.45313,186.09375,4.00625,289.0625,0
13.348924637,89.45313,186.65625,4.005625,265.625,0
14.403717995,89.4375,187.03125,4.004375,271.875,0
15.458448887,89.42578,186.75,4.005,288.125,0
16.337560654,89.42578,186.84375,4.003125,291.875,0
17.392221928,89.41406,187.3125,4.00375,275.3125,0
18.447045326,89.40234,187.3125,4.003125,285.625,0
19.325995922,89.40234,187.59375,4.006875,280.9375,0
20.380804539,89.39063,187.59375,4.004375,290.3125,0
21.435675621,89.39063,187.875,4.00625,277.1875,0
22.315402985,89.37891,187.6875,4.00625,297.8125,0
23.369976044,89.36719,187.21875,3.99875,282.5,0
24.424161911,89.36719,187.59375,4.00375,281.25,0
25.303307056,89.35547,187.5,4.003125,285.625,0
26.357955933,89.33984,187.78125,4.00375,287.8125,0
27.412859440,89.33984,187.21875,4.005,265.625,0
28.291765690,89.32813,187.3125,4,285.625,0
29.346612930,89.31641,187.21875,4.003125,285.625,0
30.401296616,89.31641,186.09375,4.001875,293.75,0
31.456163406,89.30469,186.09375,4.005,286.875,0
32.335358620,89.29297,186.5625,4.00375,291.25,0
33.389892578,89.29297,186.5625,4.004375,276.875,0
34.444683075,89.28125,185.53125,4.005625,346.25,0
35.323821068,89.26953,185.0625,4.004375,349.6875,0
36.378508091,89.26953,185.15625,4.001875,284.0625,0
37.433331967,89.25781,185.53125,4.0025,285.625,0
38.312232971,89.24219,185.34375,4.003125,302.1875,0
39.367080212,89.24219,185.4375,4.005625,288.4375,0
40.421992779,89.23047,185.34375,4.001875,279.6875,0
41.300891876,89.23047,185.625,4.006875,272.1875,0
42.355745316,89.21875,184.875,4.001875,288.125,0
43.410402775,89.20703,184.78125,4.0025,270.9375,0
44.289820194,89.20703,184.59375,4.005,286.25,0
45.344246864,89.19531,185.0625,3.999375,281.25,0
46.399155140,89.18359,185.34375,4.001875,284.6875,0
47.453833103,89.18359,185.34375,4.0025,280.3125,0
48.332899094,89.17188,185.34375,4.00375,292.1875,0
49.387563229,89.16016,185.90625,4.00625,273.75,0
50.442371369,89.16016,186.28125,4.001875,276.5625,0
51.321347714,89.14453,186.46875,4.0025,272.5,0
52.376214504,89.13281,186,4.0025,305.625,0
53.431062698,89.13281,185.4375,4.003125,284.375,0
54.310173988,89.12109,185.53125,4.00375,281.25,0
55.364864826,89.10938,185.25,3.999375,274.6875,0
56.419960022,89.10938,185.34375,4.0025,288.125,0
57.298542500,89.09766,185.4375,3.999375,279.375,0
58.353472233,89.08594,185.90625,3.995,283.4375,0
59.408223152,89.08594,185.53125,4.001875,294.6875,0
60.462903500,89.07422,185.8125,4.005,290,0
61.342005253,89.07422,185.8125,4.005625,289.0625,0
62.396939278,89.0625,185.71875,4.00375,282.8125,0
63.451529503,89.04688,185.34375,4.00125,297.5,0
64.330466747,89.04688,185.4375,3.99875,294.6875,0
65.385322571,89.03516,185.8125,4.001875,283.125,0
66.440045357,89.02344,185.8125,4.00125,286.5625,0
67.319703102,89.02344,185.25,4.005,282.1875,0
68.373887062,89.01172,184.875,4.004375,291.25,0
69.429056645,89,185.0625,4.00125,295.3125,0
70.307675839,89,184.96875,4.003125,304.375,0
71.362402916,88.98828,185.25,4.003125,288.125,0
72.417387486,88.97656,185.53125,4.004375,272.1875,0
73.296213627,88.97656,185.625,4.001875,269.375,0
74.351085663,88.96484,184.96875,4.001875,299.6875,0
75.405776024,88.94922,184.96875,4.003125,292.1875,0
76.460717678,88.94922,185.0625,4.003125,274.6875,0
77.339767933,88.9375,185.15625,4.0025,274.6875,0
78.394531727,88.92578,185.625,4.00125,290.3125,0
79.449345112,88.92578,184.875,4.000625,303.75,0
80.328358650,88.91406,184.875,4.00125,299.0625,0
81.382987022,88.90234,184.96875,4.001875,291.25,0
82.437765122,88.90234,185.34375,3.999375,290.3125,0
83.316745281,88.89063,185.4375,4.00125,276.875,0
84.371626854,88.87891,184.78125,4.000625,284.375,0
85.426349640,88.87891,184.59375,4.0025,296.875,0
86.305400372,88.86719,183.9375,4,297.8125,0
87.360104084,88.86719,184.21875,4.000625,269.375,0
88.414923191,88.85156,184.59375,4.000625,288.4375,0
89.294703960,88.83984,184.5,4.000625,282.1875,0
90.348852635,88.83984,184.125,4,296.5625,0
91.403642178,88.82813,184.3125,4.001875,285.625,0
92.458336353,88.81641,184.78125,3.999375,277.8125,0
93.337434292,88.81641,184.59375,4.00375,286.5625,0
94.392039776,88.80469,184.6875,4,286.25,0
95.446976185,88.79297,184.59375,3.999375,293.75,0
96.325853348,88.79297,184.40625,4,293.4375,0
97.380781174,88.78125,184.125,3.99625,283.125,0
98.435449600,88.76953,184.5,4,275.625,0
99.314545155,88.76953,184.59375,4.001875,276.875,0
100.369536400,88.75391,184.78125,4,300.3125,0
101.424266338,88.74219,185.15625,4.00125,295.3125,0
102.303026676,88.74219,185.34375,4.001875,285,0
103.357861519,88.73047,185.625,4.00125,273.75,0
104.412593365,88.71875,185.625,3.995625,296.25,0
105.291655541,88.71875,185.25,4,289.6875,0
106.346368313,88.70703,184.96875,4,306.5625,0
107.401162624,88.69531,184.6875,3.999375,332.8125,0
108.456035137,88.69531,185.15625,4.0025,279.375,0
109.335089684,88.68359,185.625,4.001875,286.5625,0
110.389860630,88.68359,185.625,3.99875,285.3125,0
111.444528103,88.67188,185.8125,3.99875,271.25,0
112.323700905,88.65625,185.8125,3.998125,286.25,0
113.378475666,88.65625,185.4375,3.99875,296.875,0
114.433203697,88.64453,185.625,3.991875,279.6875,0
115.312119484,88.63281,185.0625,4.000625,270.3125,0
116.367019653,88.63281,184.875,4,284.375,0
117.421750069,88.62109,184.5,3.9975,292.8125,0
118.300797939,88.60938,184.6875,3.99875,290,0
119.355528832,88.60938,184.78125,4,287.5,0
120.410320759,88.59766,184.6875,4.001875,281.5625,0
121.289457798,88.58594,184.78125,4.000625,277.5,0
122.344180107,88.58594,184.96875,3.99875,288.4375,0
123.399203301,88.57422,184.78125,3.99875,297.8125,0
124.454049587,88.55859,184.59375,3.998125,295.3125,0
125.332689285,88.55859,183.375,3.99625,302.1875,0
126.387660027,88.54688,182.71875,4.001875,291.875,0
127.442351818,88.53516,182.53125,3.999375,329.0625,0
128.321264267,88.53516,182.8125,3.99875,270.9375,0
129.376136303,88.52344,183,3.995,306.5625,0
130.430963039,88.51172,181.03125,3.998125,291.5625,0
131.309908867,88.51172,180.65625,3.996875,293.75,0
132.364623070,88.5,180.84375,3.990625,291.25,0
133.419684887,88.48828,181.5,3.99875,288.4375,0
134.298604012,88.48828,181.96875,4,276.875,0
135.353277683,88.47656,182.25,3.99625,284.0625,0
136.407973290,88.46094,182.53125,3.9975,284.6875,0
137.463008404,88.46094,182.90625,4.00125,285,0
138.341942787,88.44922,183.375,4,272.5,0
139.396520615,88.44922,183.9375,3.996875,289.6875,0
140.451485157,88.4375,183.84375,3.99875,300.9375,0
141.330334663,88.42578,183.46875,3.99625,298.4375,0
142.385095120,88.42578,183.5625,3.99875,281.875,0
143.439887047,88.41406,183.65625,3.9825,440,0
144.318932057,88.40234,181.6875,3.999375,282.8125,0
145.374464989,88.40234,181.59375,3.998125,313.4375,0
146.428994179,88.39063,181.21875,3.99875,279.6875,0
147.307551861,88.37891,181.6875,3.9975,286.875,0
148.362451077,88.37891,181.875,3.995,273.75,0
149.417468071,88.36328,181.59375,3.995,279.0625,0
150.296182633,88.35156,181.5,3.99625,278.4375,0
151.350834370,88.35156,181.96875,3.996875,285.625,0
