Time (s),X (g),Y (g),Z (g)
0.006693840,0.1520512,0.4867874,-0.1330901
0.011768818,0.1511911,0.4839106,-0.1369509
0.016844749,0.1500866,0.4822907,-0.1332642
0.021920681,0.1516865,0.4803232,-0.1355067
0.026997089,0.1470818,0.4827592,-0.1328716
0.032072067,0.1487475,0.4855382,-0.1332258
0.037147999,0.1522429,0.4820239,-0.1325843
0.042223930,0.1473374,0.4876522,-0.1347562
0.047299862,0.1487474,0.4867006,-0.1286645
0.052375317,0.1515723,0.4791291,-0.1340389
0.057451248,0.1491591,0.4830775,-0.1284013
0.062527180,0.1501285,0.4833113,-0.1298469
0.067603111,0.1543073,0.4828556,-0.1285074
0.072678566,0.1476872,0.4828812,-0.1318437
0.077754498,0.1468627,0.4908417,-0.1335377
0.082830429,0.1510597,0.4852402,-0.1271306
0.085368633,0.1554466,0.4844808,-0.127993
0.090444565,0.1515238,0.485385,-0.1315166
0.095522404,0.1486565,0.4874566,-0.1341463
0.100595474,0.1515058,0.487262,-0.1323313
0.105671406,0.1501555,0.4865059,-0.1268573
0.110747814,0.1526355,0.4882599,-0.1252696
0.115822792,0.1463106,0.4863274,-0.1295733
0.120898724,0.1482947,0.4863371,-0.130895
0.125974655,0.1455369,0.4844003,-0.1268934
0.131050587,0.1507664,0.4828797,-0.125414
0.136126041,0.147948,0.4803863,-0.1337113
0.141201973,0.1540314,0.4869004,-0.1334466
0.146277905,0.1506996,0.4858476,-0.1270445
0.151353836,0.15266,0.4827883,-0.1290935
0.156429291,0.1485966,0.4787866,-0.1295309
0.161505222,0.1483388,0.4781199,-0.1338649
0.166581154,0.1468367,0.4851072,-0.129335
0.171657085,0.1474069,0.4849209,-0.1255915
0.176732540,0.1468885,0.484549,-0.1289245
0.181808472,0.150958,0.4878242,-0.134615
0.186889172,0.14314,0.4849689,-0.1296683
0.191960335,0.1454244,0.4858113,-0.1316274
0.197035790,0.1522342,0.4881955,-0.131332
0.202111721,0.1466482,0.4847782,-0.1291041
0.207188129,0.1538132,0.4861907,-0.134767
