Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.006693840,64.75253,28.3061,40.16746
0.011768818,64.75287,28.30716,40.16763
0.016844749,64.75542,28.30779,40.1688
0.021920681,64.75742,28.30839,40.17112
0.026997089,64.76005,28.30933,40.17346
0.032072067,64.76264,28.30949,40.17603
0.037147999,64.76514,28.31098,40.17844
0.042223930,64.76918,28.31208,40.1824
0.047299862,64.77331,28.31358,40.1869
0.052375317,64.77735,28.31401,40.19254
0.057451248,64.78063,28.31556,40.19757
0.062527180,64.78568,28.31697,40.20269
0.067603111,64.78988,28.3175,40.20733
0.072678566,64.79395,28.31925,40.21204
0.075216293,64.79582,28.32003,40.21457
0.080292702,64.80025,28.32164,40.21936
0.085368633,64.80502,28.32291,40.22454
0.090444565,64.80975,28.32417,40.2297
0.095522404,64.81393,28.32598,40.23533
0.100595474,64.8182,28.3269,40.24011
0.105671406,64.82239,28.32822,40.24542
0.110747814,64.82558,28.33026,40.24997
0.115822792,64.82923,28.3316,40.25412
0.120898724,64.83229,28.33337,40.25842
0.125974655,64.83704,28.3354,40.26258
0.131050587,64.84032,28.33664,40.26564
0.136126041,64.84322,28.33768,40.26861
0.141201973,64.84529,28.3384,40.27081
0.146277905,64.84702,28.33887,40.27161
0.151353836,64.84841,28.33913,40.27271
0.156429291,64.84922,28.33853,40.27295
0.161505222,64.84872,28.3376,40.27202
0.166581154,64.8482,28.33666,40.26978
0.171657085,64.84746,28.33573,40.26639
0.176732540,64.84652,28.33517,40.2626
0.181808472,64.8454,28.3339,40.25711
0.186889172,64.8439,28.33253,40.25052
0.191960335,64.84131,28.33193,40.24259
0.197035790,64.83822,28.33067,40.23425
0.202111721,64.83633,28.32934,40.22615
0.207188129,64.83401,28.32829,40.21751
0.212263584,64.831,28.32729,40.20772
0.217339039,64.82821,28.32587,40.19739
0.222419262,64.8245,28.32429,40.18581
0.227490902,64.82134,28.32291,40.17473
0.232566834,64.81836,28.3213,40.16434
0.237641811,64.81483,28.31962,40.1538
0.242717743,64.8108,28.31748,40.14256
0.245255947,64.80891,28.31646,40.1375
0.250331879,64.80536,28.31458,40.12727
0.255407333,64.80129,28.3131,40.11724
0.260483265,64.7979,28.31078,40.10766
0.265559197,64.79415,28.30955,40.099
0.270635128,64.79048,28.30841,40.09146
