Time (s),Humidity (%)
0.460977078,13.18848
1.460909844,13.44531
2.460842133,14.34961
3.460774899,14.04883
4.460707665,13.9707
5.460643292,14.73047
6.460574150,13.81445
7.460507393,13.35645
8.460440636,14.17188
9.462912083,14.22852
10.462846279,14.01563
11.462779522,13.66992
12.462713719,13.02148
13.462647915,14.00586
14.462582111,13.7373
15.462516308,13.72656
16.462450981,14.46387
17.462385178,14.09473
18.462319851,12.86621
19.462255001,14.51953
20.462190628,13.48047
21.462125301,13.08984
22.462060928,13.83887
23.461996079,13.41406
24.461931706,14.29688
25.461867333,13.82813
26.461802960,13.50391
27.461739063,13.92871
28.461675167,14.29785
29.461611271,13.49316
30.461547375,14.4209
31.461483479,14.15234
32.461419582,15.4043
33.461359024,13.38184
34.461293221,14.51074
35.461230278,14.8457
36.461166859,13.76172
37.461103916,14.16504
38.461041451,13.80664
39.460978985,13.85254
40.460916519,13.80762
41.460854054,13.70703
42.460791588,13.96387
43.460729599,14.09863
44.460667610,13.31641
45.460606098,14.2334
46.460544109,13.93164
47.460483074,15.55176
48.460421085,14.32324
49.460360050,14.24512
50.460299492,14.66992
51.460238457,14.47949
52.460177899,13.22852
53.460117340,14.77148
54.460056782,14.2793
55.462534428,13.28418
56.462474346,13.9668
57.462413788,13.62012
58.462354660,14.82715
59.462295055,14.12305
60.462234974,13.90039
61.462175846,14.53809
62.462116718,13.39746
63.462057591,13.04004
64.461998463,15.23047
65.461939812,13.86719
66.461881161,13.99023
67.461822033,13.28613
68.461763859,13.82324
69.461708069,14.06934
70.461647511,14.14746
71.461589337,14.13672
72.461531162,14.41602
73.461472988,14.14746
74.461415291,14.42773
75.461362362,14.39453
76.461299896,14.1709
77.461247444,14.89746
78.461184502,13.55566
79.461127758,14.11523
80.461069584,13.91406
81.461015701,14.33887
82.460959911,13.57813
83.460898399,14.1377
84.460844994,13.81348
85.460783959,14.07129
86.460726738,14.46289
87.460669994,13.56836
88.460613251,14.8877
89.460556507,13.74707
90.460499287,13.22168
91.460443020,14.96582
92.460386276,14.18262
93.460330010,13.71387
94.460277557,13.85938
95.460219383,13.64648
96.460165501,14.12793
97.460104466,14.5752
98.460048676,13.89258
99.459992409,14.02734
100.459936619,14.84375
101.459880352,14.9668
102.459824562,14.41895
103.462306976,13.70313
104.462255478,14.21777
105.462195397,13.47949
106.462139607,13.93848
107.462084293,14.53125
108.462028504,14.06152
109.461973190,14.38574
110.461922646,14.62012
111.461862087,13.80469
112.461807251,13.50195
113.461751938,14.49805
114.461696625,13.2793
115.461641312,13.41309
116.461586475,13.5918
117.461531162,14.07324
118.461476803,13.39063
119.461421490,14.27441
120.461367130,14.44238
121.461311817,13.79395
122.461257458,14.88965
123.461206913,14.77734
124.461148262,13.91699
125.461093903,14.25293
126.461039543,13.41406
127.460984707,13.02246
128.460930824,14.26367
129.460876465,14.65527
130.460822582,13.45898
131.460768223,14.36523
132.460714340,13.03418
133.460660458,13.92871
134.460606575,13.17969
135.460552693,14.1748
136.460499764,13.95117
137.460445881,13.7832
138.460392952,13.17969
139.460339069,13.72852
140.460285664,14.1084
141.460232735,13.58301
142.460179329,13.54883
143.460126400,12.90039
144.460073948,14.3877
145.460020542,14.52246
146.459968090,13.63867
147.459914684,13.00098
148.459862232,14.43262
149.459809780,13.65039
150.459757328,12.68848
151.459704876,13.67285
