Time (s),X (g),Y (g),Z (g)
0.006693840,0.4443173,0.1975536,-0.2110408
0.011768818,0.443936,0.1926787,-0.2115133
0.016844749,0.4405075,0.1945755,-0.21003
0.021920681,0.4415456,0.1916702,-0.2085679
0.026997089,0.4385726,0.1949964,-0.2123508
0.032072067,0.4414658,0.1964812,-0.2127988
0.037147999,0.4415236,0.1950516,-0.2079709
0.042223930,0.4424735,0.1964498,-0.2155754
0.047299862,0.4399904,0.2008106,-0.2116732
0.052375317,0.4401656,0.1920546,-0.2073113
0.057451248,0.4381152,0.1988192,-0.2091674
0.062527180,0.4396138,0.1978443,-0.2090966
0.067603111,0.4415561,0.1988527,-0.2052094
0.072678566,0.438708,0.1958267,-0.2113682
0.077754498,0.4435265,0.1992506,-0.2170639
0.082830429,0.4401191,0.2011908,-0.2083612
0.085368633,0.4430715,0.2002769,-0.2049837
0.090444565,0.4426413,0.1977763,-0.2097037
0.095522404,0.443166,0.1967625,-0.2139518
0.100595474,0.4441309,0.1982391,-0.2110172
0.105671406,0.4401909,0.2020712,-0.2095066
0.110747814,0.4421254,0.20454,-0.2080215
0.115822792,0.438822,0.1995664,-0.2132298
0.120898724,0.4408142,0.1986212,-0.2122287
0.125974655,0.4359466,0.2004858,-0.2116645
0.131050587,0.4379111,0.2010298,-0.2063508
0.136126041,0.4385593,0.1927174,-0.2101453
0.141201973,0.4462734,0.1972138,-0.2091712
0.146277905,0.4403642,0.201507,-0.2086503
0.151353836,0.4409213,0.1981165,-0.206239
0.156429291,0.4361004,0.1951057,-0.2071786
0.161505222,0.4376146,0.1912168,-0.2086315
0.166581154,0.4384239,0.1989934,-0.2119916
0.171657085,0.4369,0.2019065,-0.210084
0.176732540,0.4379155,0.1989897,-0.2115399
0.181808472,0.4452349,0.1966525,-0.2125361
0.186889172,0.4359327,0.1984453,-0.2149339
0.191960335,0.4388606,0.1975306,-0.2145
0.197035790,0.4446484,0.1996047,-0.2107278
0.202111721,0.4378251,0.1990089,-0.2121801
0.207188129,0.4461443,0.1957471,-0.2098423
0.212263584,0.4450951,0.1986337,-0.2141937
0.217339039,0.4436052,0.199107,-0.2142334
0.222419262,0.4460462,0.1977235,-0.2104653
0.227490902,0.4434985,0.2030732,-0.2081101
0.232566834,0.4449403,0.2026077,-0.2091185
0.237641811,0.4454408,0.1996412,-0.2173179
0.242717743,0.4452997,0.2060187,-0.2125878
0.247794151,0.4502702,0.1988187,-0.2093084
0.250331879,0.4449536,0.1963113,-0.209326
0.255407333,0.4481832,0.2041286,-0.214658
0.260483265,0.4506227,0.2022543,-0.2104095
0.265559197,0.4462841,0.1987739,-0.2133316
0.270635128,0.448622,0.2032266,-0.2109941
0.275711060,0.4496645,0.1978604,-0.2158429
0.280786514,0.4462179,0.1992849,-0.2139388
0.285862446,0.4481578,0.1988125,-0.2158752
0.290938377,0.4485742,0.2017478,-0.2149367
0.296014309,0.4437072,0.2016951,-0.2125409
0.301089764,0.4461785,0.1977468,-0.2235742
0.306165695,0.4422475,0.2001662,-0.2173313
0.311241627,0.4412564,0.200622,-0.217791
0.316317558,0.440852,0.1957479,-0.2153809
0.321392536,0.43973,0.2045096,-0.2129518
0.326470852,0.4447944,0.1943362,-0.2153431
0.331544876,0.4431476,0.2060354,-0.2105108
0.336620808,0.4378968,0.201033,-0.2171744
0.341695786,0.4388961,0.2010307,-0.2200231
0.346771717,0.4384364,0.2020509,-0.2137644
0.351847649,0.4404273,0.2015743,-0.2175687
0.356924057,0.4365951,0.2010781,-0.2122568
0.361999035,0.436267,0.1937013,-0.2203493
0.367074967,0.4410947,0.1976619,-0.2202982
0.372150898,0.4339094,0.1951991,-0.2091986
0.377226830,0.4285071,0.1994073,-0.2206001
0.382302284,0.4300831,0.195555,-0.2157392
0.387378216,0.429595,0.1974812,-0.215663
0.392454147,0.4296616,0.1950019,-0.2184574
0.397530079,0.4232826,0.1988115,-0.212607
0.402605534,0.4256472,0.2021714,-0.2187502
0.407681465,0.4257331,0.1982934,-0.2119746
0.412757397,0.421428,0.1947579,-0.216194
0.415295601,0.4219258,0.1942587,-0.2166363
0.420370579,0.4243093,0.1971647,-0.2199234
0.425446510,0.4194617,0.1975849,-0.2164906
0.430522442,0.4190462,0.1941409,-0.2173937
0.435598374,0.4199747,0.1975564,-0.216383
0.440673828,0.4220273,0.1922035,-0.2177851
0.445754528,0.4199634,0.1989637,-0.219649
0.450825691,0.4228789,0.1995362,-0.212452
0.455901623,0.4272797,0.1971087,-0.2181992
0.460977078,0.4219168,0.1975389,-0.2143523
0.466053009,0.4249309,0.1907166,-0.218186
0.471131802,0.4242741,0.1989996,-0.2148264
0.476204872,0.4242121,0.2009064,-0.2191429
0.481280327,0.4257385,0.1965756,-0.21486
0.486356259,0.4305073,0.2005431,-0.214898
0.491432190,0.4348187,0.2030626,-0.2120622
0.496511936,0.4337277,0.207934,-0.2106686
0.501583576,0.4333921,0.197669,-0.2159987
0.506659508,0.4347362,0.2031186,-0.2083994
0.511735439,0.4401601,0.1968308,-0.2151933
0.516811371,0.4401456,0.1963918,-0.2119251
0.521887303,0.4420169,0.1978869,-0.2129709
0.526962757,0.4409757,0.198339,-0.2168858
0.532038689,0.4394722,0.1983209,-0.2179169
0.537114620,0.4414282,0.1954575,-0.2151272
0.542190552,0.4465946,0.2028631,-0.213787
0.547266007,0.4514781,0.19907,-0.2100475
0.552341938,0.4470864,0.1960616,-0.2129921
0.557421208,0.4513585,0.1986241,-0.2039824
0.562493801,0.4517085,0.2014827,-0.2117076
0.567568779,0.4498245,0.1946561,-0.2074593
0.572644711,0.4497648,0.193625,-0.2132651
0.577721119,0.4485891,0.2014236,-0.2075496
0.582797051,0.4499564,0.2033602,-0.2104672
0.585334301,0.4520384,0.1945953,-0.2133638
0.590410233,0.4476281,0.1945729,-0.2071703
0.595486164,0.4500997,0.1912044,-0.2067304
0.600562096,0.4464784,0.2018582,-0.2072065
0.605637550,0.4514253,0.1960378,-0.2134636
0.610713482,0.4518863,0.1964996,-0.2173029
