Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
0.006693840,0.1987767,1.002767,36.58615
0.011768818,0.2683933,0.9978867,36.58615
0.016844749,0.5104975,1.000114,36.58615
0.021920681,0.5790622,0.9974596,36.58615
0.026997089,0.4695362,1.000229,36.58615
0.032072067,0.4880066,1.001532,36.58615
0.037147999,0.6075865,1.000905,36.58615
0.042223930,0.7914711,1.001037,36.51546
0.047299862,0.9805492,1.006048,36.51546
0.052375317,0.9961264,0.9981338,36.51546
0.057451248,0.9403466,1.004571,36.51546
0.062527180,1.195745,1.003579,36.51546
0.065065384,0.8928063,1.001997,36.51546
0.070146084,0.9418924,1.0057,36.51546
0.075216293,0.9582246,0.9970673,36.51546
0.080292702,1.03238,1.002791,36.51546
0.085368633,1.039406,1.006577,36.51546
0.090444565,1.080132,1.003361,36.85775
0.095522404,1.063583,1.001668,36.85775
0.100595474,0.8588009,1.003574,36.85775
0.105671406,1.102337,1.007732,36.85775
0.110747814,0.9340526,1.010342,36.85775
0.115822792,0.8436913,1.004717,36.85775
0.120898724,0.8750446,1.003875,36.85775
0.125974655,1.065134,1.005985,36.85775
0.131050587,0.6276893,1.007312,36.85775
0.136126041,0.7219191,0.9984789,36.93531
0.141201973,0.3361429,1.002826,36.93531
0.146277905,0.3262962,1.007333,36.93531
0.151353836,0.3053245,1.004369,36.93531
0.156429291,0.23459,1.001428,36.93531
0.161505222,0.1939901,0.9973039,36.93531
0.166581154,0.6541114,1.004406,36.93531
0.171657085,0.6128249,1.007644,36.93531
0.176732540,0.7259354,1.004497,36.93531
0.181808472,1.025512,1.001796,36.93531
0.186889172,1.233544,1.003507,37.22711
0.191960335,1.412984,1.002556,37.22711
0.197035790,1.492411,1.005009,37.22711
0.202111721,1.513086,1.004417,37.22711
0.207188129,1.556003,1.001303,37.22711
0.212263584,1.640334,1.003481,37.22711
0.217339039,1.958638,1.003986,37.22711
0.222419262,2.056155,1.003145,37.22711
0.227490902,1.940945,1.008875,37.22711
0.230028629,1.728181,1.007654,37.22711
0.235104561,1.916484,1.008129,36.78754
0.240180016,2.053659,1.009363,36.78754
0.245255947,1.808174,1.010653,36.78754
0.250331879,1.844838,1.001961,36.78754
0.255407333,1.796557,1.008727,36.78754
0.260483265,1.685052,1.007495,36.78754
0.265559197,1.563198,1.003698,36.78754
0.270635128,1.315807,1.008396,36.78754
0.275711060,1.242131,1.0023,36.78754
0.280786514,0.9597026,1.0041,37.08402
0.285862446,0.7098289,1.003278,37.08402
0.290938377,0.7440786,1.006316,37.08402
0.296014309,0.2284749,1.006779,37.08402
0.301089764,0.262329,1.001112,37.08402
0.306165695,0.2229855,1.004573,37.08402
0.311241627,0.4537458,1.004994,37.08402
0.316317558,0.3644361,1.000583,37.08402
0.321392536,0.6405795,1.009655,37.08402
0.326470852,0.8783883,0.9990733,37.08402
0.331544876,1.280555,1.011435,36.63816
0.336620808,1.183247,1.005621,36.63816
0.341695786,1.532592,1.005139,36.63816
0.346771717,1.61139,1.007122,36.63816
0.351847649,1.881123,1.005975,36.63816
0.356924057,1.909235,1.006442,36.63816
0.361999035,2.273342,0.9979073,36.63816
0.367074967,2.145562,1.001654,36.63816
0.372150898,2.409392,1.001232,36.63816
0.377226830,2.377954,1.003823,36.85775
0.382302284,2.33737,1.000701,36.85775
0.387378216,2.192767,1.00264,36.85775
0.392454147,2.134298,0.9997681,36.85775
0.394992352,2.184783,1.00775,36.85775
0.400073052,2.099964,1.007667,36.85775
0.405143261,1.932093,0.9988849,36.85775
0.410219669,1.896858,1.006697,36.85775
0.415295601,1.697339,0.9997894,36.85775
0.420370579,1.710137,1.002046,36.85775
0.425446510,1.57174,1.003253,36.78754
0.430522442,1.289457,0.9997509,36.78754
0.435598374,0.9905658,1.003233,36.78754
0.440673828,0.7610324,0.9976327,36.78754
0.445754528,0.5621911,1.004138,36.78754
