Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
0.006693840,0.6678894,0.05248046,0.7347925,0.5637604,0.5999178,-0.5581055,-0.474182,0.7915512,0.3732771
0.011768818,0.6678809,0.05249444,0.7347993,0.5637567,0.5999242,-0.5581024,-0.4741983,0.7915455,0.3732685
0.016844749,0.6678654,0.05252141,0.7348115,0.563767,0.599906,-0.5581115,-0.4742079,0.7915576,0.3732311
0.021920681,0.6678391,0.05252889,0.7348354,0.5637912,0.5998943,-0.5581004,-0.4742171,0.7915663,0.3732016
0.026997089,0.6678103,0.05254805,0.7348605,0.5638135,0.5998793,-0.5580943,-0.4742315,0.7915767,0.373162
0.032072067,0.6677836,0.0525561,0.7348837,0.5638423,0.5998576,-0.5580877,-0.4742341,0.791592,0.3731254
0.037147999,0.6677507,0.05257869,0.7349124,0.5638626,0.5998489,-0.558077,-0.474257,0.7915974,0.3730857
0.042223930,0.6677049,0.05260047,0.7349527,0.563903,0.5998232,-0.5580642,-0.4742739,0.7916157,0.3730262
0.047299862,0.6676512,0.05262199,0.7350001,0.5639474,0.5998004,-0.5580437,-0.4742969,0.7916314,0.3729638
0.052375317,0.6675931,0.05261919,0.7350534,0.564011,0.5997702,-0.5580121,-0.4743036,0.7916547,0.3729065
0.057451248,0.667534,0.05262479,0.7351071,0.5640615,0.5997568,-0.5579757,-0.4743274,0.7916647,0.3728559
0.062527180,0.6674746,0.05265075,0.7351592,0.5641136,0.5997249,-0.5579573,-0.4743489,0.791687,0.3727811
0.065065384,0.667451,0.052659,0.7351801,0.5641377,0.5997082,-0.557951,-0.4743536,0.7916992,0.3727497
0.070146084,0.667398,0.05267307,0.7352276,0.564187,0.5996826,-0.5579288,-0.4743701,0.7917178,0.3726897
0.075216293,0.6673386,0.05268851,0.7352805,0.5642358,0.5996646,-0.5578989,-0.474396,0.7917305,0.3726304
0.080292702,0.6672811,0.05271202,0.7353311,0.564283,0.5996403,-0.5578772,-0.4744208,0.7917472,0.3725635
0.085368633,0.6672223,0.05273211,0.7353833,0.5643365,0.5996101,-0.5578555,-0.4744402,0.7917688,0.3724934
0.090444565,0.6671637,0.05275217,0.7354355,0.5643902,0.5995803,-0.5578341,-0.4744597,0.7917905,0.3724236
0.095522404,0.6670972,0.05276582,0.7354956,0.5644463,0.5995611,-0.5577984,-0.4744874,0.7918046,0.3723597
0.100595474,0.667044,0.05278003,0.7355425,0.5644969,0.5995321,-0.5577778,-0.4745016,0.7918252,0.3722974
0.105671406,0.6669835,0.05279198,0.7355969,0.5645518,0.5995082,-0.5577482,-0.4745219,0.7918427,0.372235
0.110747814,0.6669263,0.05280682,0.7356485,0.5645941,0.5994997,-0.5577152,-0.4745532,0.7918485,0.3721839
0.115822792,0.6668764,0.05282423,0.735692,0.564635,0.5994799,-0.5576943,-0.4745738,0.7918619,0.3721285
0.120898724,0.6668234,0.05283722,0.7357399,0.564676,0.5994701,-0.5576642,-0.4746009,0.7918691,0.3720802
0.125974655,0.6667693,0.05287591,0.735786,0.5647134,0.5994458,-0.557652,-0.4746321,0.7918845,0.3720073
0.131050587,0.6667312,0.05289891,0.7358188,0.5647423,0.5994279,-0.5576419,-0.4746512,0.7918965,0.3719577
0.136126041,0.6666958,0.05291611,0.7358503,0.5647716,0.599412,-0.5576301,-0.4746672,0.791908,0.3719142
0.141201973,0.6666696,0.0529272,0.7358733,0.5647933,0.5994002,-0.5576208,-0.4746782,0.7919161,0.371883
0.146277905,0.6666585,0.05294597,0.7358817,0.5648,0.5993882,-0.5576265,-0.4746854,0.7919237,0.3718573
0.151353836,0.6666461,0.05295497,0.7358925,0.5648115,0.5993781,-0.5576259,-0.4746894,0.7919309,0.3718373
0.156429291,0.6666479,0.05295664,0.7358911,0.5648176,0.5993651,-0.5576342,-0.4746802,0.7919409,0.3718283
0.161505222,0.6666626,0.05294997,0.7358779,0.5648116,0.5993609,-0.5576444,-0.474666,0.7919443,0.3718385
0.166581154,0.6666906,0.05295682,0.7358519,0.5647906,0.5993553,-0.5576718,-0.4746515,0.7919481,0.371849
0.171657085,0.6667297,0.05297312,0.7358149,0.5647559,0.599351,-0.5577112,-0.4746373,0.79195,0.3718624
0.176732540,0.6667705,0.05299482,0.7357762,0.5647148,0.5993516,-0.5577523,-0.4746286,0.7919482,0.3718773
0.181808472,0.6668326,0.05302453,0.7357176,0.5646576,0.5993461,-0.5578161,-0.4746091,0.7919505,0.3718973
0.186889172,0.6669065,0.05305997,0.7356484,0.5645884,0.5993425,-0.5578909,-0.474588,0.7919514,0.371923
0.191960335,0.6669878,0.05310374,0.7355706,0.5644988,0.5993549,-0.5579676,-0.4745789,0.7919386,0.3719607
0.197035790,0.6670775,0.05313802,0.7354861,0.5644082,0.5993658,-0.5580469,-0.4745595,0.7919277,0.3720078
0.202111721,0.6671655,0.05318463,0.7354025,0.5643209,0.5993648,-0.5581365,-0.474539,0.7919254,0.3720386
0.207188129,0.6672572,0.05323464,0.7353155,0.5642257,0.59937,-0.5582273,-0.474523,0.7919183,0.3720742
0.212263584,0.6673598,0.05328798,0.7352181,0.564117,0.5993813,-0.5583253,-0.4745075,0.7919062,0.3721195
0.217339039,0.66747,0.05334556,0.7351131,0.5640038,0.599386,-0.5584339,-0.4744858,0.7918984,0.3721628
0.222419262,0.6675937,0.05340278,0.7349961,0.5638772,0.5993973,-0.5585499,-0.4744615,0.7918861,0.3722196
0.227490902,0.6677113,0.05346385,0.7348845,0.5637553,0.5994053,-0.5586643,-0.4744402,0.7918758,0.3722681
0.232566834,0.6678234,0.05351746,0.7347781,0.5636426,0.5994103,-0.5587726,-0.4744155,0.7918685,0.372315
0.235104561,0.6678791,0.05355102,0.7347245,0.5635837,0.5994119,-0.55883,-0.4744062,0.7918648,0.3723341
0.240180016,0.6680012,0.05358484,0.7346107,0.563467,0.5994262,-0.5589324,-0.4743723,0.7918518,0.3724046
0.245255947,0.6681172,0.05362672,0.7345014,0.5633547,0.599434,-0.5590369,-0.4743412,0.7918428,0.3724625
0.250331879,0.6682298,0.05366859,0.734396,0.5632457,0.5994425,-0.5591385,-0.4743124,0.7918341,0.3725183
0.255407333,0.6683371,0.05370599,0.7342944,0.563136,0.5994592,-0.55923,-0.4742895,0.7918182,0.3725795
0.260483265,0.6684457,0.0537385,0.7341927,0.5630363,0.5994626,-0.5593266,-0.474254,0.7918134,0.3726345
0.265559197,0.6685388,0.05376822,0.7341059,0.5629421,0.5994803,-0.5594033,-0.4742349,0.7917985,0.3726908
0.270635128,0.6686196,0.0537883,0.7340301,0.5628598,0.5994986,-0.5594658,-0.4742175,0.7917827,0.3727452
0.275711060,0.6686993,0.0538047,0.7339562,0.5627824,0.5995145,-0.5595268,-0.4741968,0.7917697,0.372799
0.280786514,0.6687615,0.05383572,0.7338966,0.5627232,0.5995101,-0.5595909,-0.4741785,0.7917708,0.3728194
0.285862446,0.6688067,0.05385891,0.7338536,0.5626788,0.5995089,-0.5596367,-0.4741672,0.7917701,0.3728352
0.290938377,0.6688523,0.05387262,0.7338109,0.5626395,0.5995064,-0.5596792,-0.4741493,0.7917712,0.3728555
0.296014309,0.668869,0.05387467,0.7337954,0.5626255,0.5995067,-0.5596928,-0.4741422,0.7917708,0.3728655
0.301089764,0.6688827,0.0538674,0.7337837,0.562621,0.5995027,-0.5597018,-0.4741284,0.7917745,0.3728753
0.306165695,0.6688879,0.05387384,0.7337781,0.562619,0.5994937,-0.559713,-0.4741228,0.7917806,0.372869
0.311241627,0.6688712,0.05386353,0.7337942,0.5626463,0.5994775,-0.5597032,-0.4741142,0.7917937,0.3728523
0.316317558,0.6688567,0.05385345,0.7338083,0.5626736,0.5994583,-0.5596966,-0.4741026,0.7918091,0.3728347
0.321392536,0.6688243,0.05385038,0.7338387,0.5627062,0.5994484,-0.5596751,-0.4741105,0.7918173,0.3728083
0.326470852,0.6687701,0.05382738,0.7338896,0.5627564,0.5994502,-0.559622,-0.4741271,0.7918171,0.3727871
0.331544876,0.6686994,0.05379903,0.7339565,0.5628248,0.5994479,-0.5595559,-0.4741463,0.7918209,0.3727551
0.336620808,0.6686282,0.05377248,0.7340233,0.5628915,0.5994467,-0.5594898,-0.4741675,0.7918233,0.3727227
0.341695786,0.6685385,0.05372989,0.7341092,0.5629731,0.5994583,-0.5593958,-0.4741988,0.7918178,0.3726957
0.346771717,0.6684425,0.0536873,0.7342001,0.5630589,0.5994697,-0.5592973,-0.4742329,0.7918122,0.3726647
0.351847649,0.6683285,0.05363467,0.7343075,0.5631577,0.599488,-0.559177,-0.4742758,0.7918011,0.3726328
0.356924057,0.6682194,0.05358812,0.7344111,0.5632538,0.5995027,-0.5590651,-0.4743169,0.7917935,0.3725977
0.361999035,0.6680841,0.05352715,0.7345392,0.5633833,0.5995047,-0.5589322,-0.4743546,0.791796,0.3725448
0.367074967,0.6679487,0.05347037,0.7346667,0.5635143,0.5995005,-0.5588043,-0.47439,0.7918027,0.3724852
0.372150898,0.6678077,0.05342689,0.7347992,0.5636432,0.5994983,-0.5586772,-0.4744372,0.7918078,0.372416
0.377226830,0.6676642,0.05338952,0.7349327,0.5637734,0.5994909,-0.5585534,-0.474485,0.7918156,0.3723384
0.382302284,0.667518,0.0533393,0.7350699,0.5639162,0.5994763,-0.5584251,-0.4745222,0.7918302,0.3722609
0.387378216,0.6673776,0.05328909,0.7352017,0.5640545,0.5994617,-0.5583013,-0.4745563,0.7918447,0.3721871
0.392454147,0.6672435,0.05324534,0.7353272,0.5641916,0.5994363,-0.5581903,-0.474583,0.7918671,0.3721063
0.397530079,0.667122,0.05320102,0.7354412,0.5643311,0.599391,-0.5580981,-0.4745889,0.7919045,0.3720201
0.400073052,0.6670613,0.05318084,0.7354981,0.5644009,0.599367,-0.5580537,-0.4745918,0.7919243,0.3719748
0.405143261,0.6669493,0.05313444,0.7356032,0.564531,0.5993261,-0.5579658,-0.4745947,0.7919582,0.371899
0.410219669,0.6668312,0.05309343,0.7357138,0.5646608,0.5992901,-0.5578734,-0.4746071,0.7919884,0.3718197
0.415295601,0.6667283,0.05306801,0.7358094,0.5647738,0.599251,-0.5578011,-0.4746179,0.7920198,0.3717395
0.420370579,0.666629,0.05303636,0.735902,0.5648823,0.5992194,-0.5577254,-0.4746289,0.7920459,0.3716705
0.425446510,0.6665293,0.05301192,0.7359945,0.5649841,0.5991941,-0.5576496,-0.4746485,0.7920668,0.3716016
0.430522442,0.6664529,0.05299136,0.7360656,0.5650666,0.5991689,-0.5575933,-0.4746583,0.7920874,0.3715457
0.435598374,0.6663872,0.05298573,0.7361258,0.5651304,0.5991497,-0.5575495,-0.4746751,0.7921025,0.3714929
0.440673828,0.6663371,0.05298191,0.7361718,0.5651808,0.5991322,-0.5575175,-0.474686,0.7921162,0.3714502
0.445754528,0.6662964,0.05298775,0.7362087,0.5652207,0.5991131,-0.557498,-0.4746963,0.7921305,0.3714074
0.450825691,0.6662788,0.05298188,0.7362246,0.5652459,0.5990967,-0.5574896,-0.4746903,0.7921429,0.3713878
0.455901623,0.6662736,0.05297604,0.7362303,0.5652626,0.5990809,-0.5574903,-0.4746785,0.7921557,0.3713764
0.460977078,0.6662811,0.05297747,0.7362235,0.5652623,0.599071,-0.5575015,-0.4746684,0.7921633,0.3713734
0.466053009,0.66631,0.0529952,0.7361958,0.5652475,0.5990456,-0.5575437,-0.4746452,0.7921813,0.3713646
0.471131802,0.666348,0.05301455,0.7361596,0.565222,0.5990248,-0.5575917,-0.4746214,0.7921956,0.371364
0.476204872,0.6663975,0.05304286,0.7361129,0.5651797,0.5990121,-0.5576487,-0.4746025,0.7922037,0.3713715
0.481280327,0.666458,0.05306876,0.736056,0.5651254,0.5990068,-0.5577096,-0.4745819,0.7922061,0.3713926
0.486356259,0.6665279,0.05309448,0.7359904,0.565062,0.5990043,-0.5577762,-0.4745585,0.792206,0.3714221
0.491432190,0.6666074,0.053128,0.7359157,0.5649898,0.598999,-0.5578552,-0.4745324,0.7922079,0.3714514
0.496511936,0.6666999,0.05315322,0.735829,0.5649055,0.5990024,-0.5579362,-0.4745013,0.7922031,0.3715
0.501583576,0.6668004,0.05318183,0.735736,0.5648108,0.5990127,-0.5580217,-0.4744729,0.7921939,0.3715563
0.506659508,0.6669022,0.05320439,0.7356414,0.5647146,0.5990271,-0.5581034,-0.4744434,0.7921813,0.3716199
0.511735439,0.6670078,0.0532209,0.7355438,0.5646152,0.599046,-0.5581831,-0.474412,0.7921656,0.3716924
0.516811371,0.6671171,0.05323297,0.7354434,0.56451,0.5990743,-0.5582592,-0.4743829,0.7921433,0.3717764
0.521887303,0.6672384,0.05324203,0.7353318,0.564404,0.59909,-0.558349,-0.4743371,0.7921305,0.3718609
0.526962757,0.6673624,0.05324566,0.7352186,0.5643015,0.5991016,-0.5584403,-0.4742841,0.7921216,0.371947
0.532038689,0.667478,0.05325875,0.7351123,0.5642,0.5991145,-0.558529,-0.4742414,0.792111,0.3720235
0.537114620,0.6675919,0.05326435,0.7350079,0.564105,0.5991244,-0.5586143,-0.4741932,0.7921031,0.3721009
0.542190552,0.6677173,0.05326778,0.7348933,0.5639997,0.5991389,-0.5587052,-0.4741413,0.792092,0.3721901
0.547266007,0.6678395,0.05327204,0.7347817,0.5639038,0.5991412,-0.5587998,-0.4740829,0.7920901,0.3722683
0.552341938,0.6679538,0.05326289,0.7346774,0.5638202,0.5991416,-0.5588832,-0.4740197,0.7920901,0.3723474
