Time (s),W,X,Y,Z
0.006693840,-0.8136076,0.4147137,0.3714857,0.1571027
0.011768818,-0.8136059,0.4147118,0.3714936,0.1570976
0.016844749,-0.813595,0.4147239,0.3715053,0.1570946
0.021920681,-0.8135846,0.4147285,0.3715203,0.1571018
0.026997089,-0.8135718,0.4147363,0.3715382,0.1571052
0.032072067,-0.8135588,0.4147456,0.3715521,0.1571141
0.037147999,-0.8135462,0.4147504,0.3715737,0.1571158
0.042223930,-0.8135261,0.4147623,0.3716004,0.1571254
0.047299862,-0.8135048,0.4147717,0.3716318,0.1571366
0.052375317,-0.8134824,0.4147806,0.3716605,0.1571613
0.057451248,-0.8134634,0.4147821,0.371693,0.1571788
0.062527180,-0.8134379,0.4147963,0.3717272,0.1571917
0.065065384,-0.813427,0.4148037,0.3717401,0.1571987
0.070146084,-0.8134056,0.4148135,0.3717695,0.1572137
0.075216293,-0.8133847,0.4148189,0.3718033,0.157228
0.080292702,-0.8133618,0.414829,0.3718369,0.1572397
0.085368633,-0.8133374,0.4148415,0.3718701,0.1572547
0.090444565,-0.813313,0.414854,0.3719033,0.1572697
0.095522404,-0.8132899,0.4148591,0.3719409,0.1572873
0.100595474,-0.8132678,0.4148704,0.3719697,0.1573027
0.105671406,-0.8132452,0.4148782,0.372003,0.1573203
0.110747814,-0.8132272,0.414879,0.3720367,0.1573322
0.115822792,-0.8132081,0.4148865,0.3720652,0.1573431
0.120898724,-0.8131909,0.4148882,0.3720962,0.1573551
0.125974655,-0.8131678,0.414901,0.3721305,0.1573591
0.131050587,-0.8131515,0.4149098,0.3721539,0.1573641
0.136126041,-0.8131369,0.4149173,0.3721752,0.1573706
0.141201973,-0.8131263,0.4149223,0.3721905,0.157376
0.146277905,-0.8131188,0.4149302,0.3721987,0.1573737
0.151353836,-0.8131123,0.4149356,0.3722063,0.1573757
0.156429291,-0.8131091,0.4149428,0.3722045,0.1573777
0.161505222,-0.8131123,0.4149454,0.3721946,0.1573773
0.166581154,-0.8131174,0.4149523,0.3721797,0.1573678
0.171657085,-0.8131248,0.4149613,0.3721606,0.1573506
0.176732540,-0.8131335,0.4149689,0.3721421,0.1573296
0.181808472,-0.8131452,0.4149832,0.3721127,0.1573007
0.186889172,-0.8131599,0.414999,0.3720782,0.1572657
