Time (s),Power (dBm),Percentage (%)
0.464210510,-39,100
0.964147568,-39,100
1.464223862,-39,100
1.964124203,-39,100
2.464212895,-41,100
2.964120388,-39,100
3.464221001,-39,100
3.964149952,-41,100
4.464261532,-43,100
4.964106083,-41,100
5.464179039,-41,100
5.964130402,-41,100
6.464163303,-41,100
6.964092255,-41,100
7.464164257,-41,100
7.964114189,-39,100
8.464277268,-39,100
8.964067459,-43,100
9.464267731,-41,100
9.964178085,-41,100
10.464262486,-41,100
10.964238644,-41,100
11.464253426,-39,100
11.964208603,-41,100
12.464244843,-41,100
12.964201450,-39,100
13.464201927,-43,100
13.964125633,-43,100
14.464212895,-41,100
14.964125156,-41,100
15.464192867,-41,100
15.964106560,-41,100
16.464200497,-41,100
16.964111328,-41,100
17.464141846,-41,100
17.964092255,-41,100
18.464154720,-41,100
18.964087009,-41,100
19.464138985,-41,100
19.964054584,-41,100
20.464065552,-41,100
20.964089394,-41,100
21.464004517,-39,100
21.963918209,-39,100
22.463979244,-39,100
22.963935852,-39,100
23.464127541,-39,100
23.963890553,-39,100
24.464210987,-41,100
24.963869572,-41,100
25.463982105,-41,100
25.963891029,-41,100
26.464014053,-43,100
26.963860989,-43,100
27.464092732,-43,100
27.963869095,-43,100
28.464113236,-43,100
28.963848591,-45,100
29.464004517,-43,100
29.963897705,-43,100
30.463975906,-43,100
30.963878632,-45,100
31.463919640,-45,100
31.963861465,-45,100
32.463964462,-45,100
32.963879585,-43,100
33.464058399,-45,100
33.963815689,-43,100
34.464161396,-43,100
34.963833332,-43,100
35.463950157,-43,100
35.963829517,-41,100
36.464107037,-39,100
36.963776588,-41,100
37.464277268,-39,100
37.963735104,-39,100
38.464185238,-37,100
38.964025974,-39,100
39.464439392,-37,100
39.963749409,-37,100
40.464376450,-39,100
40.963964939,-39,100
41.464158535,-37,100
41.963903427,-37,100
42.464290619,-37,100
42.963835239,-37,100
43.464184284,-39,100
43.963746548,-39,100
44.464182854,-37,100
44.963810921,-39,100
45.464139938,-39,100
45.963737011,-39,100
46.464160919,-39,100
46.963763237,-39,100
47.464281082,-39,100
47.963718414,-39,100
48.464086533,-39,100
48.963761330,-41,100
49.464272976,-41,100
49.963726521,-41,100
50.464187145,-41,100
50.963743687,-43,100
51.464181423,-43,100
51.963702679,-43,100
52.464201927,-43,100
52.963750362,-43,100
53.464169026,-45,100
53.963693619,-43,100
54.464141369,-43,100
54.963656425,-45,100
55.464121342,-45,100
55.963789463,-47,100
56.464095116,-45,100
56.963799477,-47,100
57.464068413,-45,100
57.963813782,-45,100
58.464024544,-47,100
58.963755131,-45,100
59.464017391,-45,100
59.963738441,-47,100
60.463991165,-45,100
60.963733673,-45,100
61.463943958,-45,100
61.963688374,-45,100
62.463976860,-47,100
62.963677883,-45,100
63.463931084,-47,100
63.963742733,-45,100
64.463943005,-47,100
64.963651657,-47,100
65.463937283,-47,100
65.963673115,-47,100
66.463476658,-47,100
66.963567734,-47,100
67.463499546,-47,100
67.963518143,-47,100
68.463754177,-47,100
68.963788033,-47,100
69.463743687,-47,100
69.963771820,-47,100
70.463704586,-47,100
70.963643074,-47,100
71.463753700,-47,100
71.963768005,-45,100
72.463711262,-45,100
72.963756084,-45,100
73.463689327,-45,100
73.963599682,-47,100
74.463684082,-45,100
74.963744640,-45,100
75.463660717,-45,100
75.963738441,-45,100
76.463678837,-45,100
76.963553905,-45,100
77.463673115,-45,100
77.963452816,-45,100
78.463687897,-45,100
78.963723660,-45,100
79.463632107,-45,100
79.963515759,-45,100
80.463676453,-43,100
80.963722706,-43,100
81.463694573,-45,100
81.963677406,-43,100
82.463678837,-45,100
82.963433743,-45,100
83.463675976,-45,100
83.963631153,-43,100
84.463656902,-45,100
84.963596821,-47,100
85.463630676,-45,100
85.963449478,-47,100
86.463667393,-47,100
86.963624954,-47,100
87.463644981,-45,100
87.963604450,-47,100
88.463665009,-45,100
88.963383675,-47,100
89.463639259,-47,100
89.963641167,-47,100
90.463678837,-47,100
90.963549614,-47,100
91.463643551,-47,100
91.963396072,-47,100
92.463661671,-45,100
92.963473320,-47,100
93.463639736,-47,100
93.963377476,-47,100
94.463639259,-47,100
94.963409901,-45,100
95.463630200,-45,100
95.963389873,-45,100
96.463619232,-45,100
96.963425636,-45,100
97.463671208,-47,100
97.963373184,-45,100
98.463646889,-45,100
98.963373184,-45,100
99.463610172,-45,100
99.963327885,-43,100
100.463593483,-45,100
100.963392258,-45,100
101.463783264,-45,100
101.963395119,-45,100
102.463728905,-45,100
102.963335991,-45,100
103.463720799,-45,100
103.963357925,-45,100
104.463686943,-45,100
104.963354588,-45,100
105.463707924,-45,100
105.963296413,-45,100
106.463682175,-45,100
106.963496685,-45,100
107.463672161,-43,100
107.963421822,-43,100
108.463657856,-43,100
108.963428974,-43,100
109.463649750,-41,100
109.963477612,-41,100
110.463564873,-41,100
110.963433743,-41,100
111.463495731,-41,100
111.963440418,-37,100
112.463502884,-39,100
112.963439465,-39,100
113.463472366,-40,100
113.963389397,-39,100
114.463446617,-37,100
114.963421822,-37,100
115.463427544,-39,100
115.963386536,-39,100
116.463440895,-37,100
116.963364124,-39,100
117.463411331,-39,100
117.963374138,-37,100
118.463356018,-39,100
118.963266373,-39,100
119.463292122,-39,100
119.963215828,-39,100
120.463274956,-39,100
120.963197231,-37,100
121.463359356,-39,100
121.963182926,-37,100
122.463508606,-39,100
122.963185787,-39,100
123.463504315,-39,100
123.963180065,-41,100
124.463512421,-41,100
124.963252068,-43,100
125.463490486,-43,100
125.963190079,-45,100
126.463470459,-43,100
126.963375568,-43,100
127.463500023,-47,100
