Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.006693840,-0.1022435,0.1471357,-0.08607867,-0.02986471,0.9891049,0.1622362,-6.980646,-28.86147,-21.37364,1009.175
0.011768818,0.1452488,0.08755435,-0.2080193,-0.03026234,0.9842242,0.1617552,-6.980646,-28.86147,-21.37364,1009.175
0.016844749,0.3925272,0.3254364,-0.02492532,-0.03370044,0.986133,0.1632011,-6.980646,-28.86147,-21.37364,1009.175
0.021920681,0.2686541,0.5036988,0.09708501,-0.03267151,0.9832365,0.1646337,-6.980646,-28.86147,-21.37364,1009.175
0.026997089,0.2684659,0.3844044,-0.02497065,-0.03565897,0.986573,0.1608112,-6.980646,-28.86147,-21.37364,1009.175
0.032072067,0.2064159,0.3841442,0.2190344,-0.03276833,0.9880732,0.1603266,-6.980646,-28.86147,-21.37364,1009.175
0.037147999,0.33001,0.5028434,-0.08604199,-0.03273339,0.986649,0.1651149,-6.980646,-28.86147,-21.37364,1009.175
0.042223930,0.3916256,0.6809196,0.09697533,-0.03180041,0.9880655,0.1574508,-6.596088,-28.86447,-21.37085,1009.175
0.047299862,0.3294984,0.9184288,0.09693357,-0.03430648,0.992442,0.1612907,-6.596088,-28.86447,-21.37085,1009.175
0.052375317,0.2674489,0.9178519,0.2797976,-0.034138,0.9837093,0.1655952,-6.596088,-28.86447,-21.37085,1009.175
0.054913521,0.1436412,0.9175635,0.2187028,-0.03465037,0.9846395,0.1608077,-6.596088,-28.86447,-21.37085,1009.175
0.059989452,0.4528408,0.7980092,0.0966282,-0.03335573,0.9939393,0.164163,-6.596088,-28.86447,-21.37085,1009.175
0.065065384,0.4525174,0.7379442,0.2185622,-0.03080415,0.987659,0.1660689,-6.596088,-28.86447,-21.37085,1009.175
0.070146084,0.3904102,0.8564398,0.03538495,-0.03233656,0.9915261,0.165117,-6.596088,-28.86447,-21.37085,1009.175
0.075216293,0.2664606,0.915372,0.09636963,-0.037554,0.9836078,0.1588981,-6.596088,-28.86447,-21.37085,1009.175
0.080292702,0.45184,0.9148156,0.1573543,-0.03132386,0.9890834,0.1622396,-6.596088,-28.86447,-21.37085,1009.177
0.085368633,0.3277935,0.9737486,0.1572555,-0.03136872,0.9920457,0.1675097,-6.596088,-28.86447,-21.37085,1009.177
0.090444565,0.575035,0.9136665,0.03510453,-0.03181839,0.9895669,0.1627199,-6.98275,-28.86644,-21.82805,1009.177
0.095522404,0.2035609,1.032033,0.1570963,-0.03132137,0.9885671,0.1584079,-6.98275,-28.86644,-21.82805,1009.177
0.100595474,0.3889603,0.7339774,0.2180045,-0.03037062,0.9900643,0.1612801,-6.98275,-28.86644,-21.82805,1009.177
0.105671406,0.3887548,1.030924,0.03482766,-0.03433092,0.9939139,0.1627284,-6.98275,-28.86644,-21.82805,1009.177
0.110747814,0.2029833,0.9113542,-0.02618197,-0.03242774,0.9963886,0.1641623,-6.98275,-28.86644,-21.82805,1009.177
0.115822792,0.388422,0.7323523,0.1568552,-0.03575176,0.9914283,0.1588987,-6.98275,-28.86644,-21.82805,1009.177
0.120898724,0.2026507,0.8508514,-0.02622573,-0.0337867,0.9904903,0.1598515,-6.98275,-28.86644,-21.82805,1009.183
0.125974655,0.6354786,0.8503355,-0.08721617,-0.03868555,0.9923703,0.1603429,-6.98275,-28.86644,-21.82805,1009.183
0.131050587,0.3877291,0.4929238,-0.02619279,-0.03674009,0.9929263,0.1656069,-6.98275,-28.86644,-21.82805,1009.183
0.136126041,0.2637813,0.6710997,0.03481141,-0.03610791,0.9846253,0.1617689,-5.831177,-28.88042,-22.27411,1009.183
0.141201973,0.2017731,0.2542929,-0.08726262,-0.02840475,0.98913,0.1627118,-5.831177,-28.88042,-22.27411,1009.183
0.146277905,0.2016075,0.2541892,0.03480604,-0.03432116,0.9934307,0.163207,-5.831177,-28.88042,-22.27411,1009.183
0.151353836,0.139619,0.2540669,0.09581025,-0.03376805,0.9900473,0.1655983,-5.831177,-28.88042,-22.27411,1009.183
0.156429291,0.1395313,-0.1624779,0.09573089,-0.03857977,0.9870465,0.1646497,-5.831177,-28.88042,-22.27411,1009.183
0.161505222,-0.04610309,-0.1623385,0.09567075,-0.03705139,0.9831611,0.163207,-5.831177,-28.88042,-22.27411,1009.18
