Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.460977078,45.414,32.982
1.460909844,45.418,32.984
2.460842133,45.424,32.984
3.460774899,45.416,32.986
4.460707665,45.446,32.986
5.460643292,45.47,32.988
6.460574150,45.44,32.988
7.460507393,45.442,32.99
8.460440636,45.438,32.99
9.460373879,45.456,32.992
10.462846279,45.452,32.992
11.462779522,45.492,32.994
12.462713719,45.454,32.994
13.462647915,45.466,32.996
14.462582111,45.524,32.996
15.462516308,45.52,32.996
16.462450981,45.49,32.998
17.462385178,45.474,32.998
18.462319851,45.478,33
19.462255001,45.494,33
20.462190628,45.49,33
21.462125301,45.524,33.002
22.462060928,45.534,33.002
23.461996079,45.546,33.002
24.461931706,45.522,33.004
25.461867333,45.526,33.004
26.461802960,45.538,33.006
27.461739063,45.56,33.006
28.461675167,45.554,33.008
29.461611271,45.568,33.008
30.461547375,45.532,33.008
31.461483479,45.584,33.01
32.461419582,45.564,33.01
33.461359024,45.566,33.012
34.461293221,45.598,33.012
35.461230278,45.586,33.012
36.461166859,45.586,33.014
37.461103916,45.622,33.014
38.461041451,45.564,33.014
39.460978985,45.606,33.016
40.460916519,45.578,33.018
41.460854054,45.646,33.018
42.460791588,45.618,33.018
43.460729599,45.646,33.02
44.460667610,45.652,33.022
45.460606098,45.654,33.022
46.460544109,45.616,33.024
47.460483074,45.646,33.026
48.460421085,45.662,33.026
49.460360050,45.642,33.028
50.460299492,45.686,33.028
51.460238457,45.652,33.03
52.460177899,45.678,33.03
53.460117340,45.674,33.032
54.460056782,45.662,33.032
55.459996224,45.66,33.034
56.462474346,45.676,33.036
57.462413788,45.704,33.036
58.462354660,45.69,33.038
59.462295055,45.686,33.038
60.462234974,45.718,33.04
61.462175846,45.688,33.04
62.462116718,45.738,33.042
63.462057591,45.696,33.042
64.461998463,45.732,33.044
65.461939812,45.76,33.044
66.461881161,45.738,33.046
67.461822033,45.744,33.046
68.461763859,45.768,33.048
69.461708069,45.726,33.048
70.461647511,45.786,33.048
71.461589337,45.76,33.05
72.461531162,45.752,33.05
73.461472988,45.784,33.052
74.461415291,45.754,33.052
75.461362362,45.772,33.054
76.461299896,45.82,33.054
77.461247444,45.742,33.054
78.461184502,45.832,33.056
79.461127758,45.778,33.056
80.461069584,45.742,33.056
81.461015701,45.744,33.058
82.460959911,45.758,33.058
83.460898399,45.772,33.058
84.460844994,45.776,33.058
85.460783959,45.758,33.06
86.460726738,45.798,33.06
87.460669994,45.772,33.06
88.460613251,45.824,33.062
89.460556507,45.8,33.062
90.460499287,45.77,33.062
91.460443020,45.796,33.062
92.460386276,45.746,33.062
93.460330010,45.798,33.064
94.460277557,45.806,33.064
95.460219383,45.812,33.064
96.460165501,45.79,33.064
97.460104466,45.814,33.066
98.460048676,45.796,33.066
99.459992409,45.832,33.066
100.459936619,45.786,33.068
101.459880352,45.842,33.068
102.459824562,45.864,33.068
103.459768772,45.798,33.068
104.459712982,45.79,33.068
105.462195397,45.834,33.068
106.462139607,45.822,33.07
107.462084293,45.83,33.07
108.462028504,45.826,33.07
109.461973190,45.798,33.07
110.461922646,45.864,33.07
111.461862087,45.824,33.072
112.461807251,45.86,33.072
113.461751938,45.854,33.072
114.461696625,45.874,33.072
115.461641312,45.88,33.074
116.461586475,45.86,33.074
117.461531162,45.894,33.074
118.461476803,45.88,33.074
119.461421490,45.838,33.074
120.461367130,45.856,33.074
121.461311817,45.872,33.076
122.461257458,45.872,33.076
123.461206913,45.904,33.076
124.461148262,45.832,33.076
125.461093903,45.902,33.076
126.461039543,45.896,33.078
127.460984707,45.874,33.078
128.460930824,45.91,33.078
129.460876465,45.888,33.08
130.460822582,45.902,33.08
131.460768223,45.898,33.08
132.460714340,45.908,33.082
133.460660458,45.894,33.082
134.460606575,45.926,33.082
135.460552693,45.896,33.082
136.460499764,45.844,33.082
137.460445881,45.866,33.084
138.460392952,45.882,33.084
139.460339069,45.878,33.084
140.460285664,45.922,33.084
141.460232735,45.946,33.086
142.460179329,45.878,33.086
143.460126400,45.934,33.086
144.460073948,45.92,33.086
145.460020542,45.93,33.088
146.459968090,45.914,33.088
147.459914684,45.958,33.088
148.459862232,45.976,33.088
149.459809780,45.91,33.088
150.459757328,45.946,33.088
151.459704876,45.968,33.09
