Time (s),X (g),Y (g),Z (g)
0.000000000,-0.001002312,0.005921334,0.01033698
0.004930496,0.00409658,0.0006106001,0.008147236
0.009860516,0.0007619238,0.003577068,0.01441225
0.014791012,-0.0008662411,-0.002421226,0.01078879
0.019721985,0.0008872196,0.001860602,0.01005936
0.024652004,-0.001217543,0.002454702,0.009757351
0.029582500,0.0003755819,0.004078038,0.01274783
0.034512520,-0.0009027014,0.0005904114,0.008589654
0.039443016,0.004466073,0.001135232,0.008370738
0.044373035,0.001250334,0.004206959,0.01314137
0.049303532,-0.0004497097,-0.001581929,0.004839447
0.054234028,-0.0008272133,0.0003923201,0.01326844
0.059164047,-0.002429517,-0.006186549,0.01217457
0.064094543,-0.005007941,-0.002615372,0.009476138
0.069024563,-0.0001751673,0.001579393,0.01265356
0.073955536,-0.002820597,-0.002066572,0.006843386
0.078885078,-0.001313123,-0.0009628665,0.01023968
0.083816052,0.001902838,0.004819092,0.01399427
0.088746548,0.003035072,0.002885038,0.007453501
0.096141815,0.001077259,-0.002461982,0.008994647
0.101072311,0.0002980889,-0.0034069,0.01580845
0.106005669,0.005091706,-0.00567347,0.01078998
0.110932827,-0.000444151,-0.001432723,0.01316255
0.115862846,0.0006205086,0.0009197568,0.008748097
0.120793343,0.003077264,0.007096353,0.01170322
0.125724316,-0.001267378,0.0007685459,0.01415973
0.130654335,0.001312968,0.0009717818,0.00957428
0.135580540,0.001076607,0.003948451,0.007806837
0.140510559,-0.001599301,-0.005988205,0.01150648
0.145441532,0.0001552715,0.00154957,0.01434425
0.150371075,-0.002370248,-0.002340882,0.01427456
0.155302525,0.003069008,0.00230668,0.009982007
0.160232544,-0.002549011,0.001750763,0.009572526
0.165162563,0.004909788,-0.0003039338,0.01041388
0.170096397,0.003261678,-6.626727E-05,0.009220183
0.175023079,-0.0008859744,-0.004148077,0.006869168
0.179953575,-0.00131486,0.0008467047,0.01309816
0.184887409,0.003492457,0.0003745214,0.01093784
0.189814091,-0.0008895779,0.005492083,0.009248862
0.194744587,-0.0008634105,-0.0005439586,0.01258581
0.199674606,-0.002382119,-0.002022224,0.007040533
0.204605579,-0.002494365,0.004111581,0.01096371
0.209535122,0.006805645,-0.003977126,0.0122862
0.214466095,0.0004488355,-0.002566707,0.009229951
0.219396591,-0.0004322733,0.0008907527,0.005169556
0.224326611,-0.001593151,-0.002974662,0.01036932
0.229257107,-0.00431066,0.002912499,0.009493928
0.234187126,0.0007923727,0.001414552,0.009403974
0.239117622,0.003474622,-0.0004430644,0.007700395
0.244048119,0.00193869,0.003952165,0.01181783
0.248978138,0.004257582,0.004946114,0.00984126
0.253909111,0.0008121098,0.002483934,0.006469052
0.258838654,0.00588113,0.003233157,0.0103258
0.263769627,0.004656629,0.0007248796,0.006849808
0.268699646,-0.00152909,0.002080053,0.01530107
0.276095390,0.0004033162,-0.002796164,0.01284672
0.281025410,-0.004432345,-0.004540357,0.009998462
0.285955906,-0.005408294,-0.002945062,0.01395773
0.290886402,-0.0009965375,-0.000900966,0.00937483
0.295816422,0.001984654,0.002630502,0.008553777
0.300746918,-0.001103999,0.005783215,0.01183114
0.305676937,0.002395831,0.001485215,0.01274726
0.310607910,0.002742667,0.00319057,0.008974368
0.315537453,0.001192743,-0.0006374697,0.01142061
0.320468426,0.0003407225,0.002035013,0.01350645
0.325398922,-0.00227274,-0.0003984724,0.01308332
0.330328941,0.0007949292,-0.001137611,0.01013584
0.335255623,-0.00335036,-0.0009645786,0.01097171
0.340185165,-0.0001589552,0.002809912,0.006101464
0.345116139,0.004094484,-0.002575952,0.01290176
0.350046635,0.0006242476,1.268304E-05,0.006571383
0.354976654,-0.001640041,-0.001221509,0.01322726
0.359907150,-0.0002318192,-0.001471543,0.01379154
0.364837170,0.0002327308,0.003746164,0.008474661
0.369767666,-0.002364798,0.004307268,0.006914224
0.374698162,-0.0009388842,0.00462136,0.006010752
0.379628182,0.003502249,0.0004412993,0.008382545
0.384559155,-0.003213073,0.006596053,0.01623452
0.389488697,-0.0006141523,-0.000868515,0.008510052
0.394419670,0.001320391,0.002281096,0.01134491
0.399349690,-0.0009312173,0.002547551,0.006769912
0.404280186,0.003858671,0.0007398443,0.01222337
0.409210682,0.0004525203,-0.002302999,0.0113798
0.414140701,-0.0001244696,-0.0008623786,0.009768482
0.419071198,0.0001402851,0.001974548,0.01287731
0.424001217,0.001329789,-0.001152394,0.01139425
0.428931713,-0.0001048506,0.00312384,0.008251711
0.433861733,0.001745223,0.0003502265,0.01229991
0.438792229,0.001630591,0.001607952,0.006180475
0.443723202,9.337184E-05,0.004017272,0.01105731
0.451118469,0.0004400602,-0.003270093,0.01175904
0.456052303,-0.003130288,-0.0009497022,0.01054008
0.460978985,0.006271638,-0.002127779,0.01026936
0.465909481,0.002781903,0.004132842,0.008594829
0.470839501,0.002247465,-0.002321771,0.008523452
0.475769997,0.001350028,0.001391269,0.009168122
0.480700493,0.003049129,-0.003310669,0.01185222
0.485630512,0.0007146623,-0.0007294184,0.01016231
0.490561485,0.001983153,-0.0007308177,0.004986064
0.495491028,-0.0006920788,0.001785772,0.01354501
0.500422001,0.002466301,0.004969872,0.01014193
0.505352020,0.001806934,0.004437906,0.008228172
0.510282517,0.001013889,-0.001153218,0.009703395
0.515213013,0.001145123,0.003359785,0.007780824
0.520143032,-0.0003989141,-0.0004788253,0.0102273
0.525073528,-9.288895E-05,0.002092184,0.008630933
0.530003548,0.001473199,-0.004508193,0.009949382
0.534930229,0.0007083672,-0.003281712,0.01238804
0.539860726,-0.00542203,-0.004382066,0.01218704
