Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.000000000,2.98595,-23.9983,9.153204
0.004930496,2.987326,-23.99869,9.164271
0.009860516,2.988156,-23.99838,9.169208
0.014791012,2.987216,-23.99819,9.190636
0.019721985,2.987647,-23.9979,9.202392
0.024652004,2.987485,-23.99772,9.185244
0.029582500,2.987832,-23.99746,9.163507
0.034512520,2.988857,-23.99741,9.138046
0.039443016,2.988584,-23.99738,9.116921
0.044373035,2.988849,-23.99758,9.094657
0.049303532,2.988339,-23.99754,9.082335
0.054234028,2.98807,-23.99651,9.064164
0.059164047,2.985859,-23.99554,9.060616
0.064094543,2.985193,-23.9948,9.049924
0.069024563,2.9846,-23.99454,9.037994
0.073955536,2.984621,-23.99393,9.038349
0.078885078,2.984336,-23.99316,9.038889
0.083816052,2.986064,-23.99399,9.028865
0.088746548,2.986945,-23.99445,9.016689
0.093677998,2.987929,-23.99482,9.007655
0.098607063,2.987145,-23.99478,9.010295
0.103537083,2.986143,-23.99438,9.016918
0.110932827,2.984604,-23.99481,9.022561
0.115862846,2.985746,-23.99515,9.010548
0.120793343,2.986754,-23.9952,9.006244
0.125724316,2.987302,-23.99508,9.011153
0.130654335,2.988111,-23.99495,9.00878
0.135580540,2.988195,-23.99523,9.014097
0.140510559,2.985308,-23.994,9.033298
0.145441532,2.985224,-23.99346,9.039382
0.150371075,2.984635,-23.99298,9.049827
0.155302525,2.985422,-23.9938,9.056111
0.160232544,2.985725,-23.99385,9.059042
0.165162563,2.985473,-23.99426,9.065021
0.170096397,2.985348,-23.99454,9.060504
0.175023079,2.984432,-23.99448,9.051591
0.179953575,2.985013,-23.99391,9.039619
0.184887409,2.985778,-23.99395,9.022171
0.189814091,2.986634,-23.99444,9.002488
0.194744587,2.98705,-23.99458,8.986609
0.199674606,2.986587,-23.99387,8.977009
0.204605579,2.987794,-23.99388,8.953876
0.209535122,2.986229,-23.99452,8.94808
0.214466095,2.986019,-23.99483,8.937571
0.219396591,2.985985,-23.99512,8.945242
0.224326611,2.9842,-23.99417,8.968948
0.229257107,2.984695,-23.99386,8.980435
0.234187126,2.985406,-23.99433,8.985132
0.239117622,2.98518,-23.99461,9.002882
0.244048119,2.986022,-23.9953,9.01131
0.248978138,2.987705,-23.99631,9.011954
0.253909111,2.988943,-23.99761,9.014362
0.258838654,2.99011,-23.99909,9.016951
0.263769627,2.990061,-23.99913,9.029046
0.268699646,2.990647,-23.99854,9.023276
0.273630142,2.989784,-23.9984,9.024906
0.278560638,2.988821,-23.99784,9.027411
0.285955906,2.987669,-23.99668,9.040563
0.290886402,2.986881,-23.99678,9.045935
0.295816422,2.987352,-23.99772,9.036844
0.300746918,2.988834,-23.99816,9.023581
0.305676937,2.989894,-23.99912,9.011604
0.310607910,2.990515,-23.99948,9.003226
0.315537453,2.990074,-23.99988,9.011691
0.320468426,2.990305,-23.9998,9.01296
0.325398922,2.990575,-23.9995,9.015185
0.330328941,2.989935,-23.99939,9.024812
0.335255623,2.988976,-23.99865,9.035979
0.340185165,2.988889,-23.99819,9.036104
0.345116139,2.987976,-23.99806,9.04408
0.350046635,2.987968,-23.99858,9.045177
0.354976654,2.987742,-23.99816,9.055198
0.359907150,2.987653,-23.99739,9.064853
0.364837170,2.989015,-23.99729,9.056483
0.369767666,2.989201,-23.997,9.051398
0.374698162,2.989113,-23.99717,9.048292
0.379628182,2.989577,-23.99754,9.040322
0.384559155,2.99166,-23.99702,9.0231
0.389488697,2.991949,-23.99694,9.021122
0.394419670,2.992852,-23.99743,9.012815
0.399349690,2.994126,-23.99697,9.00239
0.404280186,2.993903,-23.99742,8.997954
0.409210682,2.993713,-23.9978,8.995646
0.414140701,2.99354,-23.99754,8.990452
0.419071198,2.993493,-23.99759,8.971138
0.424001217,2.99318,-23.99757,8.955762
0.428931713,2.993923,-23.99801,8.931561
0.433861733,2.993086,-23.99743,8.924304
0.438792229,2.992745,-23.99737,8.909362
0.443723202,2.993055,-23.99773,8.885518
0.448653221,2.992501,-23.99741,8.878755
0.453583717,2.992645,-23.99728,8.864643
0.458513737,2.992515,-23.99745,8.852393
0.465909481,2.993804,-23.99862,8.859017
0.470839501,2.993774,-23.99956,8.868378
0.475769997,2.994012,-23.99939,8.879173
0.480700493,2.993721,-23.99944,8.890004
0.485630512,2.993871,-23.99927,8.895236
0.490561485,2.993761,-23.99947,8.905632
0.495491028,2.993604,-23.99912,8.914072
0.500422001,2.994552,-23.99914,8.91725
0.505352020,2.99532,-23.99948,8.915558
0.510282517,2.994616,-23.99806,8.920649
0.515213013,2.995112,-23.99784,8.907438
0.520143032,2.995587,-23.99766,8.901983
0.525073528,2.996175,-23.99731,8.897137
0.530003548,2.994763,-23.99697,8.900323
0.534930229,2.993612,-23.99673,8.907009
0.539860726,2.99161,-23.99531,8.91616
0.544790745,2.991521,-23.99517,8.910256
0.549721241,2.991973,-23.99559,8.907077
0.554651261,2.992229,-23.99591,8.904146
0.559581757,2.991438,-23.99641,8.910902
0.564511776,2.993111,-23.99686,8.903299
0.569442272,2.993042,-23.99825,8.903702
0.574373245,2.99331,-23.99797,8.900379
0.579303265,2.992979,-23.99811,8.899248
0.584233761,2.994618,-23.99796,8.881904
0.589163780,2.994765,-23.99917,8.880449
0.594094277,2.995116,-23.99905,8.877527
0.599024773,2.994747,-23.99816,8.882138
0.603954792,2.995094,-23.99842,8.884332
0.608885288,2.994923,-23.9977,8.885821
0.613815308,2.994174,-23.99792,8.890184
0.618745804,2.993845,-23.99741,8.891138
0.623675823,2.993988,-23.99837,8.889215
0.628606796,2.992861,-23.99945,8.890124
0.633537769,2.993983,-23.99966,8.877828
0.640932560,2.995495,-23.99936,8.855435
0.645863056,2.994388,-23.99909,8.859625
0.650793076,2.994611,-23.99877,8.848443
0.655723572,2.992661,-23.99859,8.854174
0.660653591,2.992573,-23.99842,8.845467
0.665584088,2.992422,-23.99858,8.838968
0.670514107,2.992733,-23.99857,8.827428
0.675444603,2.992704,-23.99881,8.81381
0.680375576,2.992717,-23.99946,8.806917
0.685305596,2.993783,-23.99978,8.784683
0.690236092,2.992966,-24.00008,8.781284
0.695166111,2.994873,-23.99981,8.749849
0.700096607,2.994269,-23.99898,8.740978
