Time (s),X (g),Y (g),Z (g)
0.000000000,0.004214525,0.006530695,0.009184599
0.004930496,0.007159799,0.0002495684,0.005770087
0.009860516,0.007151753,0.004086494,0.01249409
0.014791012,0.003305048,-0.001723655,0.0105229
0.019721985,0.005221754,0.00215786,0.008653462
0.024652004,0.003275871,0.003113605,0.009144187
0.029582500,0.006188452,0.004572839,0.01106292
0.034512520,0.002806544,0.001156468,0.008167267
0.039443016,0.007663071,0.0007161535,0.00576663
0.044373035,0.007158101,0.004563212,0.01106244
0.049303532,0.001356959,-0.001253765,0.004801691
0.054234028,0.004772961,0.001168672,0.01245159
0.059164047,0.001918465,-0.005106051,0.01285285
0.064094543,-0.001015246,-0.001239449,0.01098818
0.069024563,0.005281448,0.002196278,0.0114904
0.073955536,-3.680587E-05,-0.001214426,0.00763911
0.078885078,0.002888352,-0.0002305657,0.01002544
0.083816052,0.008184493,0.005094651,0.01151615
0.088746548,0.006238014,0.002667721,0.005291998
0.093677998,0.007226259,0.001668632,0.01291782
0.098607063,0.00383538,-0.0007488802,0.009077132
0.106005669,0.008246481,-0.006011065,0.008527994
0.110932827,0.004813433,-0.0007121637,0.01241452
0.115862846,0.004298836,0.001215816,0.007668853
0.120793343,0.008631557,0.007030845,0.008683443
0.125724316,0.00479424,0.001661204,0.01340085
0.130654335,0.005274653,0.001183372,0.008144796
0.135580540,0.004760176,0.00408702,0.006271958
0.140510559,0.002426922,-0.005091913,0.01188558
0.145441532,0.006273091,0.002188191,0.01291293
0.150371075,0.003392696,-0.001212362,0.01430702
0.155302525,0.007228285,0.002207126,0.007664323
0.160232544,0.001884669,0.002645206,0.009589374
0.165162563,0.008698404,-0.00068634,0.007631898
0.170096397,0.006746531,-0.0002119429,0.007165313
0.175023079,0.001427531,-0.003618926,0.007135212
0.179953575,0.0043253,0.001696546,0.01243705
0.184887409,0.007727116,0.0002669804,0.008597255
0.189814091,0.003791749,0.006034326,0.00819838
0.194744587,0.004323661,0.0002147779,0.01194912
0.199674606,0.0004500449,-0.001242295,0.007639706
0.204605579,0.002840877,0.005034827,0.01057178
0.209535122,0.01066732,-0.004559547,0.009017706
0.214466095,0.003843635,-0.002180863,0.008582771
0.219396591,0.001864612,0.001204476,0.004809976
0.224326611,0.002400994,-0.002167609,0.01048857
0.229257107,0.0004180968,0.00410169,0.0100854
0.234187126,0.004795372,0.001706433,0.008144736
0.239117622,0.006260037,-0.0006919354,0.005730093
0.244048119,0.007194817,0.00412754,0.009606957
0.248978138,0.008626699,0.004603159,0.006755352
0.253909111,0.003758878,0.002621289,0.00532043
0.258838654,0.01005313,0.002640814,0.006751776
0.263769627,0.007149726,0.0002107397,0.00434339
0.268699646,0.005216867,0.00306125,0.01439863
0.273630142,0.0042817,-0.003685609,0.008116722
