Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
0.000000000,0.1617502,1.003976,68.34703
0.004930496,0.1670448,1.001763,68.34703
0.009860516,0.1116,1.008067,68.34703
0.014791012,0.1115106,1.004416,68.34703
0.019721985,0.03937289,1.003681,68.34703
0.024652004,0.1405201,1.003379,69.02387
0.029582500,0.1382234,1.006393,69.02387
0.034512520,0.03933555,1.0022,69.02387
0.039443016,0.2568924,1.00199,69.02387
0.044373035,0.1381316,1.006791,69.02387
0.049303532,0.1242004,0.9984264,69.02387
0.054234028,0.2910368,1.006909,69.02387
0.059164047,0.1812178,1.00583,69.02387
0.064094543,0.1553924,1.003108,69.02387
0.069024563,0.07191795,1.006291,69.02387
0.073955536,0.08658239,1.000448,68.55688
0.078885078,0.07839452,1.003861,68.55688
0.083816052,0.1068316,1.007652,68.55688
0.088746548,0.1547706,1.001065,68.55688
0.093677998,0.2224194,1.008363,68.55688
0.098607063,0.08612417,1.00336,68.55688
0.103537083,0.1068755,1.003996,68.55688
0.108467579,0.1406472,1.008453,68.55688
0.113398075,0.07188848,1.003098,68.55688
0.118328095,0.0765899,1.003123,68.55688
0.125724316,0.1819775,1.007807,68.32407
0.130654335,0.1205804,1.003192,68.32407
0.135580540,0.08481851,1.00142,68.32407
0.140510559,0.3643041,1.005155,68.32407
0.145441532,0.08476144,1.007993,68.32407
0.150371075,0.2401864,1.007927,68.32407
0.155302525,0.3216119,1.003608,68.32407
0.160232544,0.08595346,1.003193,68.32407
0.165162563,0.09618187,1.004048,68.32407
0.170096397,0.1666951,1.00284,68.54259
0.175023079,0.1175945,1.000477,68.54259
0.179953575,0.1891625,1.006738,68.54259
0.184887409,0.1276796,1.004569,68.54259
0.189814091,0.1789265,1.002878,68.54259
0.194744587,0.1235507,1.006222,68.54259
0.199674606,0.1140552,1.000645,68.54259
0.204605579,0.1265015,1.004601,68.54259
0.209535122,0.1837968,1.005951,68.54259
0.214466095,0.2818911,1.002847,68.54259
0.219396591,0.1096555,0.9987574,68.70051
0.224326611,0.2339554,1.003996,68.70051
0.229257107,0.175181,1.003123,68.70051
0.234187126,0.1545434,1.00302,68.70051
0.239117622,0.07394565,1.00131,68.70051
0.244048119,0.1234866,1.005458,68.70051
0.248978138,0.06398644,1.003481,68.70051
0.253909111,0.1962441,1.000068,68.70051
0.258838654,0.06193609,1.00397,68.70051
0.263769627,0.1703586,1.00046,68.70051
0.268699646,0.1552133,1.008958,68.55688
0.273630142,0.1662102,1.002535,68.55688
0.278560638,0.1140603,1.001513,68.55688
0.283490658,0.1277813,1.003638,68.55688
0.288421154,0.1082735,1.003158,68.55688
0.293351173,0.2415816,1.00351,68.55688
0.298281670,0.1185379,1.00437,68.55688
0.305676937,0.1487011,1.006388,68.55688
0.310607910,0.0511109,1.002595,68.55688
0.315537453,0.05104316,1.00505,68.4016
0.320468426,0.2303408,1.00715,68.4016
0.325398922,0.05365012,1.006725,68.4016
0.330328941,0.2152407,1.003757,68.4016
0.335255623,0.2070357,1.004603,68.4016
0.340185165,0.1639546,0.9996994,68.4016
0.345116139,0.2168783,1.006552,68.4016
0.350046635,0.03512316,1.000169,68.4016
0.354976654,0.1602192,1.006869,68.4016
0.359907150,0.1030581,1.007436,68.4016
0.364837170,0.08481522,1.002091,68.55688
0.369767666,0.1658116,1.000525,68.55688
0.374698162,0.1821312,0.9996153,68.55688
0.379628182,0.1046616,1.001997,68.55688
0.384559155,0.2123008,1.009921,68.55688
0.389488697,0.1362103,1.00212,68.55688
0.394419670,0.03502494,1.004976,68.55688
0.399349690,0.1233727,1.000371,68.55688
0.404280186,0.1460662,1.005864,68.55688
0.409210682,0.1185742,1.00501,68.55688
0.414140701,0.07620077,1.003386,68.66997
0.419071198,0.180824,1.006517,68.66997
0.424001217,0.08578449,1.005024,68.66997
0.428931713,0.07819769,1.001864,68.66997
0.433861733,0.05085853,1.005936,68.66997
0.438792229,0.09989693,0.9997774,68.66997
0.443723202,0.2122011,1.004691,68.66997
0.448653221,0.05093635,1.005567,68.66997
0.453583717,0.2285804,0.9994629,68.66997
0.458513737,0.2003828,1.004192,68.66997
0.463444233,0.08464291,1.002846,68.03388
0.468374729,0.1182751,1.000535,68.03388
0.473304749,0.05392781,1.00187,68.03388
0.480700493,0.1600662,1.005493,68.03388
0.485630512,0.180663,1.003783,68.03388
0.490561485,0.1090937,0.9985747,68.03388
0.495491028,0.1090311,1.007189,68.03388
0.500422001,0.09121632,1.003778,68.03388
0.505352020,0.1089241,1.001847,68.03388
0.510282517,0.3502191,1.003321,68.55688
0.515213013,0.1604054,1.001392,68.55688
0.520143032,0.07270364,1.003848,68.55688
0.525073528,0.08427513,1.002243,68.55688
0.530003548,0.2573298,1.003579,68.55688
0.534930229,0.1129627,1.006028,68.55688
0.539860726,0.1746879,1.005845,68.55688
0.544790745,0.1601404,1.00505,68.55688
0.549721241,0.1565536,1.005481,68.55688
0.554651261,0.1639017,1.003736,68.55688
0.559581757,0.1941489,1.003878,68.68422
0.564511776,0.1036771,1.004154,68.68422
0.569442272,0.3077413,1.004499,68.68422
0.574373245,0.03915935,1.004712,68.68422
0.579303265,0.0872015,1.004343,68.68422
0.584233761,0.1700951,1.004827,68.68422
0.589163780,0.1231294,1.007465,68.68422
0.594094277,0.1175671,1.002991,68.68422
0.599024773,0.123446,1.005814,68.68422
0.603954792,0.2759882,1.006265,68.68422
0.608885288,0.123417,1.003234,68.43134
0.613815308,0.1458634,1.006329,68.43134
0.618745804,0.1245239,1.008638,68.43134
0.623675823,0.2027807,1.004974,68.43134
0.628606796,0.2164135,0.9971884,68.43134
0.633537769,0.1604112,1.007938,68.43134
0.638467312,0.08642003,1.002583,68.43134
0.643397808,0.05109893,1.006757,68.43134
0.648327828,0.1602357,1.003246,68.43134
0.655723572,0.1756299,1.002457,68.43134
0.660653591,0.1174335,1.009771,68.519
0.665584088,0.1233772,1.006278,68.519
0.670514107,0.1372369,0.9999171,68.519
0.675444603,0.0996736,1.004985,68.519
0.680375576,0.1075591,0.9989763,68.519
0.685305596,0.0543218,1.000738,68.519
0.690236092,0.06229326,1.005551,68.519
0.695166111,0.0751681,1.002275,68.519
0.700096607,0.2571542,1.001779,68.519
0.705027104,0.117204,1.00555,68.27174
0.709957123,0.1529499,0.9994695,68.27174
0.714887619,0.1090652,1.001833,68.27174
0.719817639,0.1565397,1.004925,68.27174
0.724748135,0.2508843,1.001829,68.27174
0.729679108,0.1799595,0.9992186,68.27174
0.734604836,0.1406331,1.005565,68.27174
0.739535332,0.0649296,1.005418,68.27174
0.744465351,0.1279056,1.007323,68.27174
0.749395847,0.03452475,1.002261,68.27174
0.754325867,0.155156,1.006737,68.70051
0.759256840,0.07511178,1.006942,68.70051
0.764187336,0.1266977,1.004961,68.70051
0.769117356,0.1530154,0.9968711,68.70051
0.774047852,0.1863392,1.000452,68.70051
0.778977871,0.1909937,1.007284,68.70051
0.783908367,0.233784,0.9988905,68.70051
0.788838863,0.1177184,1.002069,68.70051
0.793768883,0.1671877,1.00264,68.70051
0.798699379,0.173786,1.004388,68.70051
0.803629398,0.311171,1.004984,68.38731
