Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
0.000000000,0.8949917,-0.1785861,-0.39283,0.144207,0.9759864,-0.1154431,0.4067096,0.0472204,0.9052661
0.004930496,0.8949613,-0.1787843,-0.3928095,0.1443795,0.9759493,-0.1155431,0.4067157,0.04724199,0.9052624
0.009860516,0.8949512,-0.1788738,-0.3927921,0.1444569,0.9759324,-0.1155902,0.4067108,0.04725523,0.905264
0.014791012,0.8948989,-0.1792322,-0.392749,0.1447919,0.9758679,-0.1157201,0.4067078,0.04724047,0.9052663
0.019721985,0.8948713,-0.1794351,-0.3927194,0.1449759,0.9758304,-0.115807,0.4067032,0.04724738,0.905268
0.024652004,0.8949155,-0.1791418,-0.3927516,0.1447082,0.9758839,-0.1156867,0.4067003,0.04724488,0.9052692
0.029582500,0.894972,-0.1787738,-0.3927901,0.1443689,0.975951,-0.1155435,0.4066962,0.04725046,0.9052708
0.034512520,0.8950361,-0.1783471,-0.3928373,0.1439712,0.9760278,-0.1153868,0.4066954,0.04726666,0.9052702
0.039443016,0.895089,-0.1779854,-0.39288,0.1436412,0.9760937,-0.1152378,0.4066949,0.04726236,0.9052705
0.044373035,0.8951438,-0.1776083,-0.3929269,0.1432932,0.9761626,-0.1150907,0.4066981,0.0472665,0.9052696
0.049303532,0.8951746,-0.1773949,-0.3929526,0.1431007,0.9762015,-0.1149978,0.4066975,0.04725846,0.90527
0.054234028,0.8952267,-0.1770826,-0.3929735,0.1428179,0.9762579,-0.1148664,0.406681,0.04725457,0.9052773
0.059164047,0.8952423,-0.1770063,-0.3929722,0.1427635,0.9762734,-0.1148021,0.4066656,0.04721998,0.905286
0.064094543,0.895274,-0.1768189,-0.3929839,0.1425973,0.9763076,-0.1147158,0.4066538,0.04720975,0.9052918
0.069024563,0.8953056,-0.1766115,-0.3930053,0.1424112,0.9763457,-0.1146235,0.4066495,0.04720048,0.9052944
0.073955536,0.8953089,-0.1766171,-0.3929951,0.1424174,0.9763446,-0.1146248,0.40664,0.04720102,0.9052985
0.078885078,0.895313,-0.1766238,-0.3929828,0.1424267,0.9763436,-0.1146217,0.4066276,0.04719682,0.9053043
0.083816052,0.8953319,-0.1764655,-0.3930105,0.1422691,0.9763707,-0.1145847,0.4066409,0.0472238,0.9052968
0.088746548,0.8953587,-0.1762644,-0.3930393,0.1420783,0.9764062,-0.1145177,0.4066482,0.04723755,0.9052928
0.093677998,0.8953785,-0.1761175,-0.39306,0.1419367,0.976432,-0.1144736,0.4066541,0.04725297,0.9052895
0.098607063,0.8953726,-0.1761572,-0.3930566,0.141978,0.9764258,-0.1144782,0.4066535,0.04724062,0.9052908
0.103537083,0.8953587,-0.1762628,-0.3930402,0.1420819,0.9764072,-0.1145054,0.4066471,0.04722491,0.9052941
0.108467579,0.8953456,-0.1763313,-0.3930399,0.1421503,0.9763958,-0.1145196,0.4066526,0.0472093,0.9052926
0.115862846,0.8953689,-0.1761521,-0.3930662,0.1419815,0.9764273,-0.114457,0.4066594,0.04721835,0.9052888
0.120793343,0.8953792,-0.1760857,-0.3930724,0.1419142,0.9764385,-0.1144449,0.4066601,0.04723426,0.9052877
0.125724316,0.895368,-0.1761731,-0.3930592,0.141991,0.9764224,-0.1144875,0.4066583,0.04724296,0.9052881
0.130654335,0.8953748,-0.176138,-0.3930592,0.1419541,0.976428,-0.1144847,0.4066561,0.04725579,0.9052883
0.135580540,0.8953601,-0.1762295,-0.3930528,0.1420369,0.9764119,-0.1145232,0.4066606,0.04725704,0.9052867
0.140510559,0.8953214,-0.1765359,-0.393004,0.1423384,0.9763591,-0.1146022,0.4066409,0.04721188,0.9052979
0.145441532,0.89531,-0.1766385,-0.3929837,0.1424341,0.9763405,-0.114641,0.4066324,0.04721074,0.9053017
0.150371075,0.8952875,-0.1768121,-0.3929572,0.1425978,0.9763097,-0.1147012,0.4066247,0.04720162,0.9053056
0.155302525,0.8952662,-0.1769252,-0.3929551,0.1426951,0.9762887,-0.1147595,0.4066378,0.04721376,0.9052992
0.160232544,0.8952582,-0.1769771,-0.3929491,0.1427408,0.9762787,-0.1147848,0.4066386,0.0472185,0.9052982
0.165162563,0.8952405,-0.1770776,-0.3929444,0.1428338,0.9762608,-0.1148224,0.4066451,0.04721438,0.9052956
0.170096397,0.8952501,-0.1770001,-0.3929582,0.142763,0.9762753,-0.1147901,0.4066496,0.04721231,0.905294
0.175023079,0.8952721,-0.1768419,-0.3929779,0.1426237,0.9763041,-0.1147135,0.4066487,0.04719784,0.9052947
0.179953575,0.8953059,-0.1766414,-0.3929909,0.1424372,0.9763398,-0.1146401,0.4066395,0.04720724,0.9052984
0.184887409,0.8953489,-0.1763495,-0.3930239,0.1421645,0.9763919,-0.114534,0.4066401,0.04721931,0.9052975
0.189814091,0.8953939,-0.1760203,-0.3930683,0.1418563,0.9764503,-0.1144153,0.406648,0.04723265,0.9052932
0.194744587,0.8954324,-0.1757528,-0.3931008,0.1416081,0.9764984,-0.1143142,0.4066502,0.04723918,0.9052923
0.199674606,0.8954605,-0.1755853,-0.39311,0.1414587,0.9765282,-0.1142389,0.4066389,0.0472321,0.905297
0.204605579,0.8955176,-0.1751995,-0.3931525,0.1410972,0.9765968,-0.1141013,0.4066391,0.04725119,0.9052964
0.209535122,0.8955275,-0.1750905,-0.3931788,0.1410059,0.9766175,-0.1140366,0.4066492,0.04722623,0.9052933
0.214466095,0.895551,-0.1749102,-0.3932053,0.1408412,0.9766499,-0.113962,0.4066543,0.04722279,0.9052911
0.219396591,0.8955298,-0.1750409,-0.3931946,0.1409608,0.9766262,-0.1140145,0.4066588,0.04722213,0.9052888
0.224326611,0.8954781,-0.1754319,-0.3931381,0.1413324,0.9765574,-0.1141438,0.4066437,0.04719427,0.9052969
0.229257107,0.8954523,-0.1756308,-0.3931089,0.1415123,0.9765217,-0.1142301,0.4066388,0.04720222,0.9052988
0.234187126,0.8954373,-0.1757161,-0.3931048,0.1415852,0.9765058,-0.1142754,0.4066463,0.04721327,0.9052948
0.239117622,0.8953915,-0.1760172,-0.3930746,0.1418623,0.9764518,-0.1143936,0.4066507,0.0472096,0.9052929
0.244048119,0.8953663,-0.1761672,-0.3930662,0.1419933,0.9764246,-0.1144673,0.4066617,0.04722266,0.9052878
0.248978138,0.8953574,-0.1761905,-0.3930756,0.1420022,0.976419,-0.1145029,0.4066778,0.04724888,0.905279
0.253909111,0.8953424,-0.176241,-0.3930874,0.1420384,0.976409,-0.1145436,0.4066985,0.04726795,0.9052688
0.258838654,0.895326,-0.1762944,-0.393102,0.1420773,0.976399,-0.1145849,0.4067222,0.04728587,0.9052577
0.263769627,0.8952956,-0.1765001,-0.3930787,0.1422662,0.9763619,-0.1146669,0.4067228,0.04728506,0.9052573
