Time (s),W,X,Y,Z
0.000000000,-0.9724954,0.04181602,-0.2055382,0.08298063
0.004930496,-0.9724862,0.04184767,-0.2055364,0.0830767
0.009860516,-0.9724829,0.04186332,-0.2055313,0.0831199
0.014791012,-0.9724682,0.04189355,-0.2055226,0.08329941
0.019721985,-0.97246,0.04191801,-0.2055156,0.08339956
0.024652004,-0.9724728,0.04188589,-0.2055204,0.08325426
0.029582500,-0.9724889,0.04184981,-0.2055258,0.08307106
0.034512520,-0.9725069,0.04181294,-0.2055339,0.08285759
0.039443016,-0.9725223,0.04177286,-0.2055416,0.08267847
0.044373035,-0.9725379,0.04173545,-0.2055511,0.08249073
0.049303532,-0.972547,0.0417091,-0.2055556,0.08238562
0.054234028,-0.9725619,0.04167369,-0.2055536,0.08223139
0.059164047,-0.972567,0.04164805,-0.2055482,0.08219737
0.064094543,-0.9725763,0.04162285,-0.2055463,0.0821057
0.069024563,-0.9725855,0.04159635,-0.2055487,0.08200375
0.073955536,-0.9725863,0.04159678,-0.2055435,0.08200673
0.078885078,-0.9725875,0.04159486,-0.2055369,0.08201074
0.083816052,-0.9725924,0.04159207,-0.2055464,0.08192911
0.088746548,-0.9725999,0.04157805,-0.2055541,0.08182776
0.093677998,-0.9726053,0.04157045,-0.2055598,0.08175315
0.098607063,-0.9726039,0.04156853,-0.205559,0.08177409
0.103537083,-0.9726002,0.04157163,-0.2055539,0.08182825
0.108467579,-0.9725968,0.04157142,-0.205556,0.08186373
0.113398075,-0.9726018,0.04156132,-0.205562,0.08179437
0.120793343,-0.9726061,0.04155823,-0.2055643,0.08173914
0.125724316,-0.9726026,0.04157156,-0.2055612,0.08178163
0.130654335,-0.9726042,0.04157407,-0.2055603,0.08176298
0.135580540,-0.9726,0.04158448,-0.2055607,0.08180815
0.140510559,-0.9725897,0.04159361,-0.2055453,0.08196528
0.145441532,-0.9725863,0.04160343,-0.2055386,0.08201654
0.150371075,-0.97258,0.04161683,-0.2055312,0.08210377
0.155302525,-0.9725737,0.04163523,-0.2055353,0.08215838
0.160232544,-0.9725713,0.04164304,-0.2055345,0.08218367
0.165162563,-0.9725664,0.04165186,-0.205536,0.08223382
0.170096397,-0.9725692,0.04164291,-0.2055401,0.08219545
0.175023079,-0.9725759,0.04161919,-0.2055435,0.08211841
0.179953575,-0.9725853,0.04160235,-0.2055425,0.08201817
0.184887409,-0.9725974,0.04157767,-0.2055486,0.081872
0.189814091,-0.9726102,0.04155003,-0.2055593,0.08170711
0.194744587,-0.9726211,0.04152526,-0.2055659,0.0815736
0.199674606,-0.9726292,0.04150373,-0.2055636,0.08149149
0.204605579,-0.9726453,0.0414726,-0.2055712,0.08129805
0.209535122,-0.9726488,0.04144941,-0.2055798,0.08124629
0.214466095,-0.9726557,0.04142904,-0.2055865,0.08115706
0.219396591,-0.9726497,0.04144263,-0.2055862,0.08122187
0.224326611,-0.9726353,0.04146932,-0.2055708,0.08141909
0.229257107,-0.9726276,0.04149386,-0.2055637,0.08151711
0.234187126,-0.9726231,0.04150854,-0.2055655,0.08155812
0.239117622,-0.9726101,0.04153853,-0.2055616,0.08170784
0.244048119,-0.9726026,0.04156116,-0.2055639,0.08178069
0.248978138,-0.9725996,0.04157717,-0.2055711,0.08178922
0.253909111,-0.9725951,0.04159274,-0.2055804,0.08181188
0.258838654,-0.9725902,0.04160817,-0.2055913,0.08183601
0.263769627,-0.9725815,0.04162939,-0.2055873,0.08193819
0.268699646,-0.9725864,0.04162366,-0.2055839,0.08189038
0.273630142,-0.9725858,0.04161919,-0.2055828,0.08190261
0.278560638,-0.9725854,0.04161518,-0.2055778,0.08192203
0.283490658,-0.9725806,0.04162664,-0.2055648,0.08200647
0.288421154,-0.9725752,0.0416337,-0.2055616,0.08207463
0.293351173,-0.972577,0.04162481,-0.205569,0.08203906
0.300746918,-0.9725875,0.04160864,-0.2055819,0.08188968
0.305676937,-0.9725939,0.04159679,-0.2055936,0.08179037
0.310607910,-0.972599,0.04158728,-0.2055992,0.08172067
0.315537453,-0.9725925,0.04159895,-0.2055999,0.08179152
0.320468426,-0.9725916,0.04160311,-0.2055986,0.08180264
0.325398922,-0.9725904,0.04160919,-0.2055951,0.0818219
0.330328941,-0.972584,0.04162091,-0.2055911,0.08190215
0.335255623,-0.9725779,0.04163232,-0.2055814,0.08199485
0.340185165,-0.9725786,0.04163152,-0.2055775,0.08199572
0.345116139,-0.9725735,0.04163797,-0.2055742,0.08206151
0.350046635,-0.9725718,0.04164019,-0.2055782,0.08207082
0.354976654,-0.9725654,0.04165591,-0.2055712,0.0821551
0.359907150,-0.9725599,0.04167194,-0.2055611,0.08223653
0.364837170,-0.9725657,0.04166844,-0.2055623,0.08216821
0.369767666,-0.9725697,0.04166075,-0.2055616,0.08212551
0.374698162,-0.9725717,0.04165456,-0.2055642,0.0820991
0.379628182,-0.9725765,0.04164446,-0.20557,0.08203255
0.384559155,-0.972589,0.04163097,-0.2055703,0.08189059
0.389488697,-0.9725904,0.04162982,-0.2055701,0.08187437
0.394419670,-0.9725951,0.04162291,-0.2055766,0.08180577
0.399349690,-0.9726028,0.04161477,-0.2055756,0.08171986
0.404280186,-0.9726052,0.04160523,-0.2055812,0.08168197
0.409210682,-0.9726062,0.04159973,-0.2055854,0.08166213
0.414140701,-0.9726105,0.04158883,-0.2055852,0.08161791
0.419071198,-0.9726242,0.04155394,-0.2055926,0.08145449
0.424001217,-0.9726352,0.0415238,-0.2055982,0.0813239
0.428931713,-0.9726512,0.04148709,-0.2056102,0.0811206
0.433861733,-0.9726577,0.04146669,-0.2056085,0.0810577
0.438792229,-0.9726685,0.04143705,-0.2056136,0.08093071
0.443723202,-0.9726844,0.04139726,-0.205625,0.08072964
0.448653221,-0.97269,0.0413803,-0.2056251,0.08067144
0.453583717,-0.9727001,0.04135621,-0.2056289,0.08055235
0.458513737,-0.9727083,0.0413333,-0.205635,0.08044849
0.463444233,-0.9727021,0.04135036,-0.2056398,0.08050386
0.468374729,-0.9726986,0.04136326,-0.2056467,0.08052114
0.475769997,-0.9726856,0.04139503,-0.2056408,0.08067784
0.480700493,-0.9726779,0.04141195,-0.2056375,0.0807689
0.485630512,-0.9726745,0.04142247,-0.2056341,0.0808134
0.490561485,-0.9726669,0.04144026,-0.2056321,0.08090115
0.495491028,-0.9726616,0.04145381,-0.2056262,0.08097222
0.500422001,-0.9726591,0.04146753,-0.2056245,0.08100081
0.505352020,-0.9726592,0.04147119,-0.2056276,0.08098786
0.510282517,-0.9726585,0.04147347,-0.2056141,0.08102955
0.515213013,-0.9726681,0.04145391,-0.2056166,0.08091871
