Time (s),Power (dBm),Percentage (%)
0.132406235,-41,100
0.632550717,-39,100
1.133491516,-39,100
1.703588009,-41,100
2.134179115,-39,100
2.632213593,-39,100
3.132319450,-39,100
3.632267952,-41,100
4.148778915,-41,100
4.632183552,-41,100
5.132192612,-39,100
5.632226467,-39,100
6.132327080,-41,100
6.632207394,-41,100
7.132151127,-39,100
7.632129669,-39,100
8.132089615,-39,100
8.632240772,-41,100
9.132294178,-39,100
9.632009506,-41,100
10.132085800,-37,100
10.631977081,-41,100
11.132001400,-43,100
11.632146835,-43,100
12.131995678,-43,100
12.631999016,-39,100
13.131978512,-41,100
13.631875038,-41,100
14.131982327,-43,100
14.632100582,-41,100
15.131974697,-39,100
15.631923199,-39,100
16.131799221,-41,100
16.631861687,-39,100
17.131990910,-39,100
17.632031918,-41,100
18.131792069,-39,100
18.631766319,-39,100
19.132331371,-41,100
19.632251263,-39,100
20.219832420,-39,100
20.675952435,-41,100
21.132291794,-41,100
21.668799400,-39,100
22.132186413,-41,100
22.632160664,-41,100
23.148444176,-41,100
23.703182221,-41,100
24.132207871,-37,100
24.632155895,-37,100
25.173808575,-37,100
25.733369827,-37,100
26.132243156,-37,100
26.632139206,-37,100
27.132126331,-35,100
27.671737671,-35,100
28.132013321,-45,100
28.632247448,-37,100
29.132018566,-39,100
29.632072449,-35,100
30.131955147,-35,100
30.631942749,-39,100
31.131936073,-35,100
31.632076264,-43,100
32.132000923,-39,100
32.631997109,-37,100
33.131842136,-37,100
33.631914139,-43,100
34.131985188,-39,100
34.631988526,-37,100
35.131892204,-39,100
35.631847859,-45,100
36.131769657,-41,100
36.631809712,-37,100
37.131888866,-39,100
37.631819248,-37,100
38.131854057,-39,100
38.631776810,-41,100
39.131671906,-39,100
39.631870747,-39,100
40.131922245,-37,100
40.631745815,-41,100
41.136516094,-41,100
41.683820248,-41,100
42.131582737,-35,100
42.631761074,-35,100
43.131838322,-37,100
43.631575108,-37,100
44.178726673,-37,100
44.631588936,-37,100
45.131549835,-43,100
45.631623268,-41,100
46.131786346,-39,100
46.631517410,-39,100
47.131551266,-39,100
47.631436825,-47,100
48.131392956,-31,100
48.631618023,-41,100
49.171018601,-35,100
49.717417240,-37,100
50.131382465,-39,100
50.631353855,-39,100
51.131568909,-39,100
51.631482124,-41,100
52.206894875,-41,100
52.657643795,-39,100
53.131334782,-39,100
53.631278992,-37,100
54.131352901,-45,100
54.631495476,-41,100
55.135581970,-41,100
55.631323815,-33,100
56.131217480,-35,100
56.631160736,-39,100
57.131394863,-39,100
57.631284714,-37,100
58.131175041,-43,100
58.631197930,-35,100
59.131108284,-39,100
59.631204605,-37,100
60.131216526,-37,100
60.631137371,-41,100
61.131142139,-39,100
61.631042004,-35,100
62.131514072,-35,100
62.631668091,-37,100
63.131585121,-37,100
63.631464958,-37,100
64.131509304,-39,100
64.631421089,-45,100
65.131364822,-35,100
65.631611347,-35,100
66.131632805,-35,100
66.631469727,-35,100
67.131341457,-35,100
67.631311417,-47,100
68.131271839,-37,100
68.631506443,-37,100
69.131564140,-37,100
69.631285191,-37,100
70.131294251,-39,100
70.631244660,-37,100
71.190713406,-37,100
71.737490654,-41,100
72.183275700,-41,100
72.631167889,-39,100
73.131189823,-41,100
73.631134987,-41,100
74.131251335,-41,100
74.631354809,-43,100
75.131101608,-47,100
75.631077290,-39,100
76.131361008,-39,100
76.631293774,-37,100
77.131342888,-43,100
77.631515980,-39,100
78.131349087,-37,100
78.631324768,-43,100
79.131206989,-37,100
79.631215096,-45,100
80.131350517,-41,100
80.631320477,-41,100
81.131264210,-45,100
81.631191254,-39,100
82.131105900,-41,100
82.631085873,-39,100
83.131296158,-39,100
83.631354809,-37,100
84.131123543,-37,100
84.631158829,-39,100
85.131024838,-39,100
85.631261349,-37,100
86.131359577,-37,100
86.631172180,-35,100
87.131180286,-33,100
87.631198883,-43,100
88.131103516,-37,100
88.631075382,-35,100
89.241139412,-33,100
89.631132126,-41,100
90.131542683,-43,100
90.631515026,-39,100
91.131419659,-35,100
91.631453991,-37,100
92.131629944,-37,100
92.631414890,-37,100
93.131469250,-37,100
93.631405354,-33,100
94.220537186,-41,100
94.631391525,-37,100
95.142711163,-37,100
95.631371021,-43,100
96.131393433,-35,100
96.631331921,-37,100
97.152193546,-37,100
97.712605953,-41,100
98.131446362,-41,100
98.631308556,-35,100
99.131268978,-37,100
99.631227970,-33,100
100.131183624,-37,100
100.631217480,-37,100
101.131387234,-41,100
101.631245613,-37,100
102.131188870,-35,100
102.640632630,-35,100
103.131077290,-37,100
103.631277561,-37,100
104.131276131,-33,100
104.698446751,-33,100
105.131073475,-43,100
105.631033421,-42,100
106.131031990,-39,100
106.631384373,-35,100
107.131227016,-35,100
107.631072521,-39,100
108.130970955,-45,100
108.630986691,-41,100
109.130954742,-39,100
109.631027699,-39,100
110.131143093,-35,100
110.631008148,-37,100
111.140051842,-35,100
111.630826473,-43,100
112.130827904,-41,100
112.631017208,-43,100
113.130989552,-35,100
113.630895615,-37,100
114.130813122,-37,100
114.630789757,-35,100
115.130778790,-35,100
115.630923271,-41,100
116.130997181,-39,100
116.630719662,-37,100
117.130755425,-35,100
117.630709171,-39,100
118.130682468,-39,100
118.630729199,-39,100
119.130895138,-41,100
119.630690098,-41,100
120.130581856,-37,100
120.630635739,-37,100
121.170473099,-37,100
121.630738259,-35,100
122.130815983,-37,100
122.630530358,-39,100
123.130548000,-41,100
123.630546093,-39,100
124.130585194,-41,100
124.630581379,-39,100
125.130696774,-37,100
125.630521774,-41,100
126.130465031,-37,100
126.630391598,-37,100
127.130389214,-39,100
127.630584717,-35,100
128.130374908,-39,100
128.630434513,-41,100
129.130341530,-37,100
129.630307675,-39,100
130.130340099,-41,100
130.630389691,-37,100
131.130550861,-39,100
131.630376816,-37,100
132.130249023,-41,100
132.630937576,-39,100
133.130941391,-39,100
133.631039620,-39,100
134.131168842,-41,100
134.630958557,-39,100
135.130867958,-37,100
135.630935669,-41,100
136.154643059,-41,100
136.631104469,-37,100
137.130920410,-39,100
137.630879879,-39,100
138.130921841,-41,100
138.630813599,-39,100
139.130827427,-39,100
139.630906582,-39,100
140.131026268,-39,100
140.630823612,-39,100
141.130817413,-37,100
141.630713940,-41,100
142.130676746,-39,100
142.630916119,-39,100
143.130759239,-41,100
143.630664349,-41,100
144.151728630,-41,100
144.630627155,-41,100
145.130602837,-41,100
145.631048203,-39,100
146.212695122,-39,100
146.634455204,-39,100
147.200096130,-39,100
147.630775452,-41,100
148.130806446,-41,100
148.630849362,-43,100
149.130827904,-41,100
149.630727768,-39,100
150.130754948,-41,100
150.630688191,-43,100
151.130651951,-41,100
