Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.1425635,0.06901825,-0.03279122,0.4109242,0.0537511,0.9144507,-24.85112,-4.263822,-63.52605,1008.806
0.004930496,0.16355,0.009024013,-0.03277062,0.4138755,0.04749156,0.9110324,-24.85112,-4.263822,-63.52605,1008.806
0.009860516,-0.08137187,0.06898807,-0.03276917,0.4138626,0.05134173,0.917758,-24.85112,-4.263822,-63.52605,1008.806
0.014791012,-0.08130153,0.06896357,-0.03269117,0.4100128,0.04551682,0.9157892,-24.85112,-4.263822,-63.52605,1008.81
0.019721985,-0.02004566,0.00893167,-0.03268977,0.411925,0.04940524,0.9139215,-24.85112,-4.263822,-63.52605,1008.81
0.024652004,-0.08125709,-0.1111076,0.02825351,0.4099762,0.05035849,0.9144134,-24.88171,-3.515357,-64.28715,1008.81
0.029582500,0.04126123,0.1288599,0.0282549,0.4128847,0.0518233,0.9163337,-24.88171,-3.515357,-64.28715,1008.81
0.034512520,-0.01998872,0.008839522,-0.03270473,0.4095019,0.04842313,0.9134375,-24.88171,-3.515357,-64.28715,1008.81
0.039443016,-0.203629,0.1287734,0.08914215,0.414358,0.04797851,0.9110371,-24.88171,-3.515357,-64.28715,1008.81
0.044373035,0.04139502,0.1287302,0.02820169,0.4138562,0.05182971,0.916332,-24.88171,-3.515357,-64.28715,1008.81
0.049303532,-0.08107903,0.008709889,-0.09368064,0.4080544,0.04600469,0.9100717,-24.88171,-3.515357,-64.28715,1008.81
0.054234028,-0.01980407,0.248621,0.1499926,0.411454,0.04842324,0.9177289,-24.88171,-3.515357,-64.28715,1008.81
0.059164047,-0.142182,0.06853681,0.08903306,0.4085841,0.04211393,0.9181389,-24.88171,-3.515357,-64.28715,1008.81
0.064094543,-0.08092633,0.12852,-0.03286835,0.4056385,0.0459703,0.91628,-24.88171,-3.515357,-64.28715,1008.81
0.069024563,0.04159179,-0.0515076,0.02809417,0.411931,0.04939676,0.9167848,-24.88171,-3.515357,-64.28715,1008.81
0.073955536,0.04156566,0.06848307,-0.03284621,0.4066032,0.0459866,0.9129376,-24.49424,-3.888505,-63.91367,1008.81
0.078885078,-0.01966525,0.0684212,-0.03282558,0.409516,0.04696625,0.9153297,-24.49424,-3.888505,-63.91367,1008.81
0.083816052,0.1027182,0.008446176,0.02811778,0.4148254,0.05231845,0.916813,-24.49424,-3.888505,-63.91367,1008.81
0.088746548,-0.1422039,-0.05154771,-0.03278434,0.4128862,0.04990527,0.9105848,-24.49424,-3.888505,-63.91367,1008.81
0.093677998,0.1639863,0.008473258,0.1500236,0.4138804,0.0489216,0.9182073,-24.49424,-3.888505,-63.91367,1008.81
0.098607063,-0.08095513,0.008467939,0.0281413,0.4104889,0.04649174,0.9143679,-24.49424,-3.888505,-63.91367,1008.81
