Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.000890255,72.99231,2.585812,-106.1537
0.021188736,72.97424,2.579314,-106.1562
0.041491985,72.9624,2.557413,-106.1542
0.061795234,72.95501,2.542476,-106.1617
0.082097530,72.94766,2.54581,-106.1799
0.102400780,72.94049,2.54699,-106.2004
0.122703075,72.93677,2.535129,-106.2173
0.140468597,72.9279,2.527062,-106.2345
0.160771847,72.90196,2.524609,-106.2558
0.181074142,72.87732,2.511544,-106.2707
0.201377392,72.85046,2.496575,-106.2707
0.221675873,72.82027,2.48302,-106.2567
0.241979122,72.79686,2.475783,-106.2388
0.262282371,72.77668,2.462886,-106.2159
0.282584667,72.75905,2.452852,-106.1872
0.300350189,72.73595,2.459129,-106.1567
0.320652485,72.70259,2.469121,-106.1194
0.340955734,72.67067,2.472972,-106.0799
0.361258983,72.64251,2.473539,-106.0423
0.381561279,72.6213,2.478593,-106.0018
0.401864529,72.59476,2.491999,-105.9601
0.422163010,72.56908,2.506483,-105.9118
0.442466259,72.55637,2.521534,-105.8659
0.460231781,72.55492,2.533213,-105.8267
0.480534077,72.56419,2.553377,-105.7822
0.500837326,72.58118,2.565128,-105.7338
0.521139622,72.6052,2.576199,-105.6849
0.541442871,72.6302,2.578214,-105.6372
0.561746120,72.65905,2.579093,-105.5921
0.582048893,72.68891,2.579512,-105.5457
0.602351665,72.72742,2.579395,-105.5014
0.622650146,72.76696,2.581624,-105.4601
0.640415668,72.79486,2.582824,-105.4314
0.660718918,72.83234,2.585583,-105.4072
0.681021213,72.86502,2.571034,-105.389
0.701324463,72.89236,2.563113,-105.3787
0.721627235,72.92658,2.533154,-105.3783
0.741930008,72.97235,2.52678,-105.3925
0.762232780,73.02883,2.526763,-105.423
0.782536030,73.08318,2.521288,-105.474
0.800301075,73.13357,2.521404,-105.5272
0.820599556,73.20183,2.526371,-105.5885
0.840902805,73.26791,2.519049,-105.6469
0.861206055,73.32587,2.503803,-105.7129
0.881508350,73.38336,2.480531,-105.7861
0.901843071,73.43909,2.456957,-105.862
0.922146320,73.49602,2.431558,-105.9402
0.942448616,73.55695,2.412336,-106.0238
0.960214138,73.61252,2.397951,-106.1078
0.980517387,73.68465,2.379046,-106.2198
1.000819683,73.76467,2.362034,-106.3366
1.021118641,73.85757,2.342962,-106.4539
1.041421413,73.95763,2.321465,-106.5605
1.061724663,74.0479,2.312613,-106.6515
1.082027912,74.13422,2.298762,-106.7244
1.102330208,74.23217,2.285615,-106.7759
1.122633457,74.3399,2.271589,-106.8061
1.140398025,74.43868,2.26388,-106.8152
1.160701275,74.53429,2.262581,-106.8194
1.181004524,74.61667,2.261145,-106.8194
1.201306820,74.68469,2.259479,-106.8225
1.221606254,74.74279,2.269796,-106.8241
1.241908550,74.81059,2.28205,-106.8278
1.262211799,74.87656,2.287977,-106.8351
1.282514095,74.93047,2.298693,-106.8456
1.300279617,74.97345,2.312278,-106.8559
1.320582867,75.0365,2.315101,-106.8706
1.340885162,75.11272,2.309917,-106.8933
1.361188412,75.17666,2.301949,-106.9209
1.381491661,75.22035,2.291068,-106.9526
1.401793957,75.27135,2.281095,-106.9854
1.422093391,75.32755,2.274032,-107.0115
1.442395687,75.37756,2.267678,-107.0313
