Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.000000000,90.6757,1.002894,94.99299
0.022192478,90.65855,1.064287,94.98205
0.041918278,90.66451,1.104447,95.01872
0.061644554,90.67201,1.114397,95.00475
0.081370353,90.66814,1.109364,94.94823
0.101097107,90.67008,1.144683,94.94176
0.120822906,90.6826,1.184629,94.96167
0.140549183,90.69416,1.187498,94.92275
0.160271644,90.70456,1.180554,94.88531
0.182463646,90.69312,1.191368,94.87435
0.202189445,90.69664,1.195247,94.93266
0.221915722,90.70245,1.184262,94.96285
0.241642475,90.68881,1.165459,94.94874
0.261368275,90.68701,1.168277,94.99333
0.281094551,90.68294,1.159263,95.04951
0.300820350,90.68507,1.117329,95.05771
0.320547104,90.66824,1.083003,95.03047
0.340273380,90.65054,1.069861,95.03623
0.359995365,90.6424,1.050183,95.07114
0.382186890,90.63573,1.021741,95.1192
0.401913643,90.65855,1.020423,95.18604
0.421639442,90.65657,1.02085,95.21093
0.441365719,90.6515,1.018211,95.23186
0.461091995,90.66717,1.02502,95.2714
0.480817795,90.69199,1.038942,95.31667
0.500544548,90.72488,1.050533,95.37759
0.520270347,90.78234,1.054798,95.44897
0.539996624,90.83773,1.045502,95.49683
0.562184334,90.88422,1.035477,95.5317
0.581911087,90.91286,1.034644,95.57053
0.601636887,90.92401,1.039043,95.61022
0.621363163,90.95175,1.039607,95.65749
0.641088962,90.98116,1.048062,95.68827
0.660815716,90.99639,1.054663,95.69511
0.680541992,91.02152,1.053553,95.71543
0.700267792,91.04292,1.054899,95.73248
0.722460270,91.04783,1.050562,95.71396
0.742186069,91.07698,1.039222,95.68684
0.761908531,91.1123,1.018102,95.62744
0.781634331,91.17867,1.000721,95.56487
0.801361084,91.26743,0.9944417,95.50153
0.821086884,91.34238,0.9830662,95.42664
0.840813160,91.45065,0.958836,95.38547
0.860539436,91.53296,0.9471257,95.31161
0.880265236,91.59947,0.948661,95.21928
0.900087357,91.6724,0.9412971,95.13875
0.922278881,91.74295,0.930164,95.02643
0.942004681,91.8202,0.9221564,94.93542
0.961727142,91.91436,0.9129053,94.85477
0.981453896,92.00574,0.8996617,94.74926
1.001179695,92.08815,0.8845668,94.61906
1.020905971,92.18219,0.874539,94.49871
1.040631771,92.29823,0.8702354,94.38822
1.060358524,92.41907,0.8612852,94.2915
1.080084324,92.55864,0.8535235,94.23724
1.102276802,92.71218,0.8394722,94.185
1.122002601,92.85078,0.8319685,94.13914
1.141728878,92.99854,0.8338965,94.11431
1.161450863,93.14257,0.8497989,94.10211
1.181177139,93.27061,0.8694823,94.08235
1.200903415,93.39758,0.8951703,94.05678
1.220629215,93.50381,0.913071,94.03397
1.240355968,93.60419,0.9257358,94.02399
1.260081768,93.73578,0.944757,94.03152
1.282274246,93.88552,0.9737757,94.03683
1.302000046,94.00452,1.002638,94.04942
1.321726322,94.11764,1.02909,94.06604
1.341452122,94.24909,1.053254,94.05414
1.361174583,94.37525,1.073133,94.02744
1.380900383,94.49509,1.090963,94.00616
1.400627136,94.58194,1.107067,93.96914
1.420353412,94.67907,1.115107,93.95606
1.440079212,94.75953,1.125539,93.96561
1.462271690,94.81948,1.143713,93.9426
1.481997490,94.8526,1.150452,93.93
1.501724243,94.89443,1.161692,93.92912
1.521450043,94.95457,1.172071,93.93375
1.541176319,94.99503,1.17411,93.92092
1.560898304,95.02481,1.168306,93.92256
1.580624580,95.07771,1.166757,93.94146
1.600350857,95.13647,1.165312,93.95595
1.620076656,95.19888,1.168945,93.9608
1.642268658,95.25428,1.162578,93.95111
1.661994934,95.28425,1.14223,93.96422
1.681721687,95.33386,1.137621,93.97582
1.701447487,95.39165,1.137035,93.95328
1.721173763,95.42764,1.127221,93.91736
1.740899563,95.44308,1.109751,93.88177
1.760622024,95.44731,1.100541,93.8361
1.780347824,95.4613,1.097183,93.77962
1.800074577,95.46633,1.092526,93.71419
1.822266102,95.46717,1.078443,93.67238
1.841992855,95.47105,1.084666,93.63921
1.861718655,95.48505,1.075895,93.59856
1.881444931,95.50583,1.058767,93.58638
1.901171684,95.52594,1.062514,93.58642
1.920897484,95.54366,1.06693,93.58589
1.940623760,95.56747,1.066637,93.60148
1.960345745,95.60438,1.070942,93.64567
1.980072021,95.63834,1.091341,93.69759
2.002264023,95.67765,1.120559,93.73231
2.021990299,95.72536,1.149163,93.75378
2.041716099,95.7875,1.184996,93.77414
2.061442375,95.8298,1.221346,93.77623
2.081168175,95.87058,1.247986,93.7766
2.100894928,95.93417,1.27985,93.76897
2.120621204,95.97759,1.309839,93.77296
2.140347004,96.02722,1.338866,93.79357
2.160069465,96.08084,1.36305,93.79704
2.182261467,96.14481,1.38479,93.80579
2.201987743,96.18773,1.403826,93.83704
2.221713543,96.21017,1.432488,93.85094
2.241440296,96.22117,1.472263,93.83566
2.261166096,96.20754,1.505597,93.80004
2.280892372,96.18903,1.51199,93.76539
2.300618172,96.1724,1.502635,93.73564
2.320344925,96.1535,1.484928,93.71694
2.340071201,96.14002,1.463968,93.71264
2.362258911,96.13372,1.438017,93.73443
2.381984711,96.14919,1.424149,93.7701
2.401711464,96.15714,1.421551,93.7957
2.421437740,96.16018,1.418714,93.8095
2.441163540,96.15697,1.412181,93.83895
2.460889816,96.16576,1.412556,93.8792
2.480615616,96.15919,1.426164,93.88442
2.500342369,96.13335,1.441658,93.87768
2.520068169,96.11324,1.454761,93.86237
2.542260647,96.08581,1.464111,93.83282
2.561982155,96.07797,1.470764,93.81864
2.581708908,96.05856,1.481828,93.79729
2.601434708,96.03698,1.484324,93.75813
2.621160984,96.01911,1.486033,93.73743
2.640887737,95.99735,1.49358,93.73621
2.660613537,95.97261,1.508208,93.72183
2.680339813,95.94642,1.50607,93.72616
2.700065613,95.93729,1.512537,93.74245
2.722258091,95.91581,1.524226,93.74381
2.741983890,95.90528,1.53167,93.76741
2.761706352,95.89337,1.54157,93.78675
2.781432152,95.89671,1.544049,93.81835
2.801158905,95.89724,1.550711,93.85976
2.820885181,95.88851,1.556404,93.88387
2.840610981,95.88682,1.563272,93.89164
2.860337257,95.88557,1.570469,93.89429
2.880063057,95.88336,1.577999,93.89288
2.902290821,95.87757,1.582384,93.87984
2.922014713,95.8524,1.582237,93.86517
2.941741467,95.83915,1.58715,93.85772
2.961462975,95.82113,1.584201,93.84776
2.981189728,95.81564,1.580698,93.84322
3.000915527,95.79848,1.582408,93.82315
3.020641804,95.79446,1.569222,93.81351
3.040368557,95.80679,1.551416,93.83381
3.060094356,95.80618,1.549165,93.84695
3.082285881,95.8058,1.543927,93.84898
3.102012634,95.81879,1.532587,93.88101
3.121738910,95.82001,1.529058,93.89475
3.141464710,95.81602,1.522909,93.91065
3.161187172,95.81444,1.517304,93.93575
3.180912971,95.81106,1.516529,93.92905
3.200639248,95.80862,1.508806,93.91458
3.220365047,95.81465,1.496072,93.926
3.240091801,95.82407,1.495314,93.93266
3.262283325,95.81947,1.499859,93.90282
3.282010078,95.8225,1.490483,93.89351
3.301735878,95.82076,1.481556,93.88927
3.321462154,95.8157,1.483977,93.87511
3.341188907,95.81535,1.48383,93.85921
3.360910416,95.81001,1.469229,93.84706
3.380637169,95.81067,1.451591,93.85306
3.400425434,95.80424,1.438926,93.85658
3.420151234,95.80315,1.428843,93.86104
3.442343235,95.79788,1.426089,93.87499
3.462069511,95.78468,1.423225,93.87631
3.481796265,95.76979,1.409565,93.88069
3.501522064,95.75937,1.396799,93.89285
3.521248340,95.7535,1.396842,93.90081
3.540974140,95.73952,1.387094,93.91167
3.560696602,95.71889,1.376263,93.93522
3.580422878,95.70253,1.375034,93.95369
3.600148678,95.68841,1.372747,93.96545
3.622340679,95.67895,1.364642,93.98157
3.642066955,95.64954,1.355506,93.98761
3.661793709,95.62476,1.345869,93.99551
3.681519508,95.60732,1.338362,93.99868
3.701245785,95.59226,1.326797,94.00775
3.720971584,95.57874,1.310131,94.02984
3.740698337,95.5593,1.309735,94.04065
3.760419846,95.54112,1.305564,94.04388
3.780146599,95.52879,1.298744,94.05529
3.802338123,95.51897,1.297032,94.07614
3.822064877,95.50996,1.285777,94.09088
3.841790676,95.50284,1.275846,94.10716
3.861516952,95.50217,1.278408,94.11898
3.881243706,95.50429,1.276227,94.12568
3.900969505,95.5134,1.271571,94.1497
3.920695782,95.51523,1.270156,94.16679
3.940421581,95.52227,1.271553,94.17205
3.960144043,95.54037,1.275086,94.17868
3.982336044,95.56364,1.26757,94.19531
4.002062321,95.59521,1.258456,94.22437
4.021788120,95.62437,1.252734,94.26204
4.041514396,95.65828,1.252237,94.28532
4.061240196,95.69152,1.247431,94.3088
4.080966949,95.72529,1.242471,94.33933
4.100693226,95.75706,1.241412,94.37008
4.120419025,95.79208,1.238739,94.39362
4.140145778,95.80971,1.238733,94.41695
4.162333488,95.83565,1.233856,94.44617
4.182059765,95.84592,1.228599,94.47337
4.201785564,95.85919,1.228466,94.49726
4.221512317,95.86238,1.238306,94.49623
4.241238117,95.86312,1.245781,94.48535
4.260964393,95.86851,1.240403,94.4811
4.280690193,95.86932,1.232857,94.47758
4.300416946,95.8796,1.227028,94.47118
4.320143223,95.87669,1.222519,94.45925
4.342335224,95.8717,1.213534,94.44269
4.362056732,95.88095,1.208434,94.44038
4.381783485,95.88864,1.206529,94.43427
4.401509762,95.89346,1.205585,94.42634
4.421235561,95.89603,1.194801,94.43279
4.440961838,95.90504,1.192236,94.43833
4.460687637,95.90064,1.193291,94.43185
4.480414390,95.90124,1.192243,94.43043
4.500140667,95.89339,1.191245,94.43201
4.522332668,95.89027,1.189213,94.42408
4.542058468,95.88369,1.180096,94.41288
4.561780929,95.88118,1.167847,94.41712
4.581506729,95.88493,1.158071,94.43001
4.601233005,95.89639,1.149759,94.44659
4.620959759,95.91219,1.148952,94.45634
4.640685558,95.92481,1.147907,94.46058
4.660411835,95.91734,1.148418,94.45737
4.680137634,95.91201,1.144934,94.4565
4.702330112,95.90018,1.140802,94.4502
4.722055912,95.89045,1.135236,94.44744
4.741782665,95.88205,1.133452,94.44402
4.761504173,95.88232,1.132797,94.4432
4.781230926,95.88404,1.135317,94.44905
4.800957203,95.88706,1.138652,94.44961
4.820683002,95.87569,1.142307,94.44689
4.840409279,95.86192,1.142877,94.44321
4.860135078,95.85441,1.143511,94.43877
4.882327557,95.85181,1.142691,94.44658
4.902053356,95.85228,1.145147,94.45708
4.921780109,95.84388,1.150191,94.45706
4.941505909,95.83346,1.151893,94.45608
4.961228371,95.82347,1.153318,94.45586
4.980954170,95.81066,1.155675,94.45881
5.000680447,95.79877,1.159739,94.46141
5.020407200,95.79474,1.161792,94.46567
5.040132999,95.77667,1.167948,94.46809
5.062324524,95.76983,1.170839,94.47742
5.082051277,95.77522,1.166453,94.49911
5.101777553,95.77242,1.165066,94.51705
5.121503353,95.7691,1.164522,94.54035
5.141230106,95.76404,1.172093,94.56496
5.160951614,95.75513,1.172539,94.58077
5.180678367,95.75517,1.17283,94.60478
5.200404167,95.75681,1.169688,94.63434
5.220130443,95.7658,1.168048,94.66142
5.242322445,95.76603,1.163084,94.68105
5.262048721,95.76816,1.161644,94.69862
5.281774521,95.76256,1.156356,94.70339
5.301500797,95.77457,1.148264,94.7269
5.321227550,95.77893,1.14202,94.7478
5.340953350,95.77951,1.128997,94.75661
5.360675812,95.78139,1.112708,94.77663
5.380401611,95.78549,1.102881,94.79924
5.400127888,95.79547,1.095351,94.8183
5.422319889,95.80212,1.084084,94.83571
5.442046165,95.80343,1.070717,94.86263
5.461771965,95.80783,1.06027,94.89378
5.481498718,95.80584,1.05089,94.9229
5.501224995,95.81057,1.039579,94.94527
5.520950794,95.8145,1.028958,94.97228
5.540677547,95.81229,1.02202,95.01233
5.560399055,95.81169,1.01554,95.04842
5.580125809,95.81712,1.010504,95.07612
5.602317333,95.82506,1.00597,95.10514
5.622044086,95.82423,0.9995687,95.1342
5.641769886,95.83332,0.9980487,95.1647
5.661496162,95.82428,0.9993073,95.18895
5.681221962,95.81615,0.99845,95.20377
5.700948238,95.81856,0.9955553,95.21343
5.720674992,95.82088,0.9935913,95.22314
5.740400791,95.82166,0.9941549,95.23166
5.760123253,95.81467,0.9971555,95.22765
5.782314777,95.80453,0.9997172,95.22421
5.802041531,95.79333,1.003968,95.2165
5.821767330,95.78603,1.007478,95.21162
5.841493607,95.7762,1.012353,95.20695
5.861219406,95.77286,1.016848,95.19198
5.880946159,95.77563,1.013477,95.18059
5.900671959,95.78114,1.017215,95.17871
5.920398235,95.77225,1.015923,95.17687
5.940124989,95.76118,1.012394,95.18645
5.962312698,95.75504,0.9966552,95.21487
5.982038498,95.75021,0.9879931,95.25934
6.001764774,95.7442,0.9909938,95.28255
6.021491527,95.73907,0.988806,95.30553
6.041217327,95.73066,0.9872758,95.34357
6.060943603,95.71645,0.9856039,95.37591
6.080669403,95.70769,0.986106,95.40283
6.100395679,95.7018,0.9853153,95.43858
6.120121479,95.70518,0.9896958,95.46874
6.142313957,95.70118,0.9922814,95.48719
6.162035942,95.70612,0.9956748,95.50328
6.181762218,95.70725,0.99824,95.51637
