Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.014194488,-7.425595,23.50274,5.697729
0.034399032,-7.426147,23.50301,5.697093
0.054602623,-7.426982,23.50006,5.696731
0.074807167,-7.423266,23.50357,5.697298
0.092485904,-7.419284,23.49384,5.698835
0.112690449,-7.403995,23.49506,5.704195
0.132894516,-7.402647,23.48915,5.704548
0.153099060,-7.395244,23.48961,5.708877
0.173302650,-7.381844,23.48546,5.713142
0.193507194,-7.368012,23.48308,5.719047
0.213711738,-7.367417,23.48165,5.719369
0.233915806,-7.358154,23.47666,5.723183
0.254120350,-7.344076,23.46599,5.729151
0.274323940,-7.347064,23.46803,5.726359
0.294528484,-7.333246,23.4625,5.731769
0.314732551,-7.325323,23.45609,5.733652
0.332411766,-7.322289,23.45757,5.733256
0.352615833,-7.326962,23.45625,5.729695
0.372820377,-7.319632,23.44576,5.731822
0.393023968,-7.29705,23.44361,5.74011
0.413228512,-7.295723,23.43456,5.7376
0.433432579,-7.274218,23.42867,5.745461
0.453637123,-7.2735,23.4247,5.741468
0.473841667,-7.27962,23.41099,5.736984
0.494045734,-7.250734,23.41373,5.748224
0.514250278,-7.25386,23.40193,5.746231
0.534453869,-7.241352,23.39969,5.75215
0.554658413,-7.23783,23.3997,5.752542
0.572337150,-7.229371,23.39253,5.757487
0.592541695,-7.232401,23.39824,5.75554
0.612745762,-7.227934,23.39282,5.756271
0.632950306,-7.215545,23.38486,5.762756
0.653153896,-7.223781,23.39281,5.757737
0.673358440,-7.220417,23.38403,5.760508
0.693562984,-7.223302,23.38688,5.757607
0.713767052,-7.237108,23.38835,5.752677
0.733971596,-7.225229,23.38239,5.757284
0.754175186,-7.254334,23.39251,5.744008
0.774379730,-7.267431,23.39676,5.737959
0.794583797,-7.256848,23.39588,5.741562
0.812263012,-7.277232,23.39924,5.730353
0.832467079,-7.307679,23.41331,5.718371
0.852671623,-7.262866,23.40634,5.7362
0.872875214,-7.290048,23.4075,5.720946
0.893079758,-7.282503,23.41167,5.725699
0.913283825,-7.283641,23.41788,5.721242
0.933488369,-7.29709,23.42026,5.71628
0.953692913,-7.308993,23.43314,5.709045
0.973896980,-7.308611,23.42765,5.709399
0.994101524,-7.303561,23.42792,5.709321
1.014305115,-7.318676,23.43139,5.701198
1.034509659,-7.308959,23.43228,5.706022
1.054713726,-7.314257,23.42909,5.704233
1.072392940,-7.312609,23.43573,5.705459
1.092597008,-7.297101,23.42942,5.713025
1.112801552,-7.29821,23.43106,5.712752
1.133005142,-7.306115,23.43354,5.710555
1.153209686,-7.283749,23.42178,5.721174
1.173413753,-7.281768,23.42552,5.718152
1.193618297,-7.281317,23.42306,5.719284
1.213822841,-7.27563,23.41914,5.721796
1.234026432,-7.268784,23.4178,5.724809
1.254230976,-7.264741,23.41446,5.726019
1.274435043,-7.2538,23.40431,5.731501
1.294639587,-7.233016,23.39491,5.741907
1.312318325,-7.239786,23.39499,5.739894
1.332522869,-7.228267,23.38994,5.745595
1.352726459,-7.223399,23.38731,5.744748
1.372931003,-7.241228,23.39632,5.736952
1.393135071,-7.226756,23.38568,5.745014
1.413339615,-7.230148,23.38802,5.739919
1.479003429,-7.224666,23.38161,5.744009
1.494156361,-7.228827,23.3866,5.74082
1.514360905,-7.206142,23.38007,5.751125
1.534564972,-7.214857,23.37806,5.745955
1.554769516,-7.253943,23.40338,5.72785
1.572448254,-7.235775,23.37717,5.74159
1.592652798,-7.223654,23.3917,5.741891
1.612856388,-7.246479,23.38861,5.73361
1.633060932,-7.245272,23.38952,5.731287
1.653264999,-7.249067,23.39088,5.72896
1.673469543,-7.257968,23.37721,5.721583
1.693674087,-7.239448,23.39854,5.728448
1.713877678,-7.273445,23.41468,5.718554
1.734082222,-7.24666,23.40049,5.722451
1.754286289,-7.301035,23.43046,5.700174
1.774490833,-7.23897,23.40821,5.729782
1.794694900,-7.282103,23.41364,5.704849
1.812374115,-7.284033,23.42076,5.705752
1.832577705,-7.26534,23.4161,5.712242
1.852782249,-7.27558,23.41407,5.70802
1.872986317,-7.256374,23.4132,5.715094
1.893190861,-7.277909,23.41897,5.704075
1.913395405,-7.268635,23.41413,5.709746
1.933599472,-7.271071,23.41667,5.705187
1.953804016,-7.279024,23.41914,5.702414
1.974007607,-7.265954,23.41309,5.707146
1.994212151,-7.281914,23.41628,5.700225
2.014416218,-7.274233,23.41375,5.703924
2.034620762,-7.284436,23.4178,5.696247
2.054825306,-7.2708,23.41029,5.702866
2.072504043,-7.26212,23.40958,5.705175
2.092707634,-7.275633,23.41539,5.698341
2.112912178,-7.263143,23.40787,5.705053
2.133116245,-7.26677,23.41083,5.700868
2.153320789,-7.273489,23.40895,5.699741
2.173525333,-7.260719,23.4084,5.703043
2.193728924,-7.266388,23.40833,5.699895
2.213933468,-7.264199,23.4087,5.701169
2.234137535,-7.272514,23.41294,5.695146
2.254342079,-7.268204,23.409,5.696461
2.274546146,-7.267313,23.40876,5.696485
2.294750690,-7.272433,23.41109,5.693154
2.312428951,-7.273128,23.41041,5.691092
2.332633495,-7.269876,23.40894,5.69269
2.352837562,-7.258514,23.40508,5.695364
2.373042106,-7.272205,23.41201,5.688655
2.393246651,-7.268214,23.40798,5.689341
2.413450718,-7.267486,23.40882,5.689322
2.433655262,-7.267894,23.40635,5.689679
2.453858852,-7.262912,23.40236,5.691046
2.474063396,-7.270986,23.40792,5.687293
2.494267464,-7.265079,23.40825,5.689307
2.514472008,-7.267896,23.40962,5.686765
2.534676552,-7.266612,23.40695,5.687845
2.552355289,-7.259033,23.40469,5.689084
2.572558880,-7.268914,23.40964,5.683837
2.592763424,-7.260955,23.40626,5.687427
2.612967968,-7.251626,23.40574,5.689906
2.633172035,-7.267006,23.41168,5.682201
2.653376579,-7.25739,23.40931,5.686841
2.673580170,-7.25849,23.40545,5.687229
2.693784714,-7.25498,23.4076,5.687819
2.713988781,-7.250772,23.40302,5.685657
2.734193325,-7.264531,23.40773,5.679724
2.754397392,-7.255283,23.40606,5.684305
2.774601936,-7.249369,23.40348,5.685425
2.792280197,-7.24697,23.40341,5.685346
2.812484741,-7.247304,23.40213,5.682858
2.832688808,-7.255167,23.40882,5.67847
2.852893352,-7.257934,23.4052,5.676991
2.873097897,-7.243231,23.40225,5.681755
2.893301964,-7.253386,23.4,5.674856
2.913506508,-7.246571,23.39724,5.67466
2.933710098,-7.260503,23.39816,5.664508
2.953914642,-7.256497,23.39458,5.668593
2.974118710,-7.260715,23.39946,5.663349
2.994323254,-7.265746,23.39806,5.660066
3.014527797,-7.261909,23.39573,5.659373
3.034731388,-7.275937,23.40105,5.652537
3.052410126,-7.29402,23.40995,5.643341
3.072614670,-7.313233,23.41693,5.633138
3.092819214,-7.301545,23.42061,5.635986
3.113023281,-7.325314,23.41942,5.622006
3.133227825,-7.322661,23.42655,5.626
3.153431415,-7.357101,23.44127,5.610476
3.173635959,-7.349566,23.44242,5.617608
3.193840027,-7.344931,23.44406,5.618279
3.214044571,-7.35826,23.45061,5.613677
3.234249115,-7.357796,23.45622,5.611895
3.254453182,-7.391613,23.4591,5.597789
3.274657726,-7.348829,23.45733,5.612724
3.292335987,-7.379287,23.45784,5.598278
3.312540054,-7.355531,23.46044,5.613645
3.332744598,-7.380983,23.46277,5.597146
3.352949142,-7.376918,23.44794,5.601234
3.373153210,-7.366341,23.45714,5.601569
3.393357754,-7.396717,23.45506,5.592574
3.413561344,-7.431812,23.5054,5.579019
3.433765888,-7.421298,23.45867,5.585515
3.453969955,-7.481061,23.49991,5.556059
3.474174499,-7.429434,23.50681,5.587565
3.494379043,-7.46797,23.50892,5.573782
3.514582634,-7.444938,23.50042,5.57988
3.532261372,-7.45403,23.50992,5.572183
3.552465916,-7.448918,23.49817,5.575977
3.572670460,-7.453461,23.5056,5.57138
3.592874527,-7.441389,23.49634,5.575792
3.613079071,-7.464156,23.50524,5.564679
3.633282661,-7.43848,23.50216,5.574156
3.653487205,-7.457708,23.50696,5.561712
3.673691273,-7.45643,23.50211,5.561483
3.693895817,-7.456835,23.50989,5.561085
3.714100361,-7.45857,23.50342,5.560287
